"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",35728.6556811091,3.68533197219606,35717.8462685908,35725.9814971543,35728.8193311136,35731.1592644879,35741.4854741334
"Num Offtake","Neonatal Female",2566.42222527359,0.500262499929853,2564.95621078907,2566.05984388493,2566.4441167924,2566.7610964114,2568.16190687774
"Num Offtake","Neonatal Male",7786.84939187792,2.75095676905138,7778.62594284896,7784.90903484165,7786.91751125598,7788.72351515075,7796.26834327219
"Num Offtake","Neonatal Combined",10353.2716171515,3.25076580184413,10343.582153638,10350.9630947529,10353.358390097,10355.4831917461,10364.4302501499
"Num Offtake","Juvenile Female",8579.13829108571,0.390879211371764,8578.05729590455,8578.85852544461,8579.15634671075,8579.3872431583,8580.55892859918
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",8579.13829108571,0.390879211371764,8578.05729590455,8578.85852544461,8579.15634671075,8579.3872431583,8580.55892859918
"Num Offtake","Adult Female",16094.5855019231,0.0422476568966864,16094.4635058342,16094.5566758005,16094.5868074801,16094.6134180167,16094.7333515101
"Num Offtake","Adult Male",701.660270948789,0.0293665479705975,701.575472229189,701.640270907851,701.661173190423,701.679586325302,701.762943874174
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-1586.10287934005,18.8612731819649,-1643.01291888861,-1598.45132198814,-1586.55354941738,-1573.63497053556,-1523.03553858682
"Cml Pop Growth","Neonatal Female",-893.26332651209,6.9185889828753,-913.017603899909,-898.256737227955,-893.384928606116,-888.718785398125,-870.225263225329
"Cml Pop Growth","Neonatal Male",6250.02713604719,5.71672433786515,6234.10598974231,6246.16703871467,6249.95881813771,6253.89505151364,6269.9891938255
"Cml Pop Growth","Neonatal Combined",5356.7638095351,12.5910939179089,5321.66348726757,5347.91699419194,5356.58474799145,5365.32069539276,5398.952655286
"Cml Pop Growth","Juvenile Female",-1854.78770140794,3.46516112180601,-1865.29573480187,-1857.24818863339,-1854.79055609866,-1852.3933172766,-1843.14299994066
"Cml Pop Growth","Juvenile Male",7391.10171664967,3.20608670502184,7381.28469966431,7388.85043831179,7391.07368162261,7393.3103428779,7401.76675170476
"Cml Pop Growth","Juvenile Combined",5536.31401524173,6.67080045155752,5515.98896486244,5531.59287508874,5536.27790866893,5540.92869992825,5558.6237517641
"Cml Pop Growth","Adult Female",-14944.716117039,0.594464553181004,-14946.3765907541,-14945.1430409996,-14944.6876159871,-14944.3395163768,-14942.5531286784
"Cml Pop Growth","Adult Male",2465.53541292209,0.605097359930038,2463.85168619732,2465.10150442683,2465.56517969504,2465.9225332212,2467.73629158569
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",34142.5528017691,22.1113782519631,34075.3116406416,34127.9281621714,34142.4090229464,34157.0429498044,34215.6317637313
"Total Number Increase","Neonatal Female",1673.1588987615,7.28919172719046,1652.00361844566,1667.93453683881,1673.02416593107,1678.08383629608,1697.55697121053
"Total Number Increase","Neonatal Male",14036.8765279251,7.74084989760205,14013.8302524954,14031.5448438407,14036.7086556755,14041.9013865881,14062.8732876199
"Total Number Increase","Neonatal Combined",15710.0354266866,15.0204901201751,15665.833870941,15699.4672114743,15709.7144374776,15719.9020370855,15760.4302588304
"Total Number Increase","Juvenile Female",6724.35058967777,3.82971981345429,6712.88218659647,6721.64670262225,6724.42275034382,6726.95111722649,6737.41592865852
"Total Number Increase","Juvenile Male",7391.10171664967,3.20608670502184,7381.28469966431,7388.85043831179,7391.07368162261,7393.3103428779,7401.76675170476
"Total Number Increase","Juvenile Combined",14115.4523063274,7.03249910012144,14094.1668862608,14110.4547371289,14115.4836872554,14120.2627841829,14139.1826803633
"Total Number Increase","Adult Female",1149.86938488414,0.635440280020024,1148.10873565897,1149.41467312078,1149.89938612113,1150.27478129862,1152.18022283169
"Total Number Increase","Adult Male",3167.19568387088,0.633594633008776,3165.44249966465,3166.7423109767,3167.22541149926,3167.60061338782,3169.49923545987
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",7654.46405818867,0.182078463891452,7653.95862690891,7654.33351820485,7654.47285870484,7654.57997655262,7655.12527718829
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",1899.66633588326,0.08655182537519,1899.42697266458,1899.60438777702,1899.67033391452,1899.72146098505,1899.98090561839
"Total Mortality","Juvenile Male",409.096109166655,0.0818393067636309,408.869656206684,409.037548501156,409.099948985321,409.148412562593,409.3936512469
"Total Mortality","Juvenile Combined",2308.76244504992,0.168388774376874,2308.2975338997,2308.64196647279,2308.77027066969,2308.87011739852,2309.37455686529
"Total Mortality","Adult Female",5345.70161313875,0.0140322574692361,5345.6610930092,5345.69203874802,5345.70204677018,5345.71088526984,5345.750720323
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",165689963.415821,3475.85877988706,165680304.861174,165687472.531937,165690134.415521,165692173.694212,165702582.968382
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",32176548.3971907,1466.01481820497,32172494.0629926,32175499.1201672,32176616.1158442,32177482.1061648,32181876.5793643
"Value of Total Mortality","Juvenile Male",8445380.07763643,1689.49064882837,8440705.18273079,8444171.15125787,8445459.34685297,8446459.82894218,8451522.53634099
