"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",5346647.07709574,239.535177076776,5345920.41939222,5346485.43299217,5346650.33085695,5346813.23595861,5347374.57930717
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",139659.485927275,84.3883158526941,139372.423117392,139607.052094314,139659.466295633,139712.586898743,139903.382075937
"Num Offtake","Juvenile Male",323866.705384664,177.890556655789,323206.002778874,323749.432191981,323873.598394342,323987.34384634,324364.659650638
"Num Offtake","Juvenile Combined",463526.191311939,194.839136522011,462946.765638323,463394.568046696,463528.971469703,463661.383739397,464114.655901135
"Num Offtake","Adult Female",531407.637126965,9.907773831757,531375.490601821,531401.235058734,531407.761092409,531414.040885389,531435.229811336
"Num Offtake","Adult Male",2219143.82167294,45.189936142894,2218985.74268725,2219113.81814799,2219144.77616046,2219174.54751148,2219276.6506869
"Num Offtake","Oxen",2132569.42698389,0.544125572270431,2132567.67697858,2132569.07057767,2132569.43347448,2132569.79560768,2132571.00288772
"Cml Pop Growth","Overall",-1429160.9707795,27708.3369092125,-1515808.48919979,-1448750.47162165,-1428369.84538874,-1411029.57317738,-1339785.1297009
"Cml Pop Growth","Neonatal Female",-534002.602002688,13348.5718772828,-570898.3635316,-543033.14462963,-533476.608597329,-524589.493464475,-492838.137010156
"Cml Pop Growth","Neonatal Male",-266179.503173342,12637.2238191229,-305537.005931632,-274190.995912756,-266220.797339876,-257311.461010454,-226757.03170604
"Cml Pop Growth","Neonatal Combined",-800182.10517603,18812.0965455159,-864045.31492896,-812891.027104435,-800116.796271425,-787132.322105678,-740821.023443569
"Cml Pop Growth","Juvenile Female",1732210.10147345,7041.66061512339,1709882.75808666,1727584.31238791,1732400.10249876,1736943.57505077,1753415.75357726
"Cml Pop Growth","Juvenile Male",1321219.99656426,6349.03179922505,1298818.50707772,1317302.88712959,1321244.46867288,1325471.95933841,1340654.69277048
"Cml Pop Growth","Juvenile Combined",3053430.09803771,9415.12926050917,3025018.56285371,3046788.40967654,3053811.92851333,3059215.96354581,3084036.47810168
"Cml Pop Growth","Adult Female",-565561.258903341,1353.91046898657,-570170.619097829,-566400.489816418,-565559.065514565,-564710.686537649,-561638.641158771
"Cml Pop Growth","Adult Male",-1541222.72384145,1194.29004018103,-1545667.45184338,-1542003.89993357,-1541176.40859407,-1540417.03065949,-1537868.94908867
"Cml Pop Growth","Oxen",-1575624.9808964,21.4353860422696,-1575700.11843712,-1575639.14248806,-1575624.46516265,-1575610.38494642,-1575561.97663695
"Total Number Increase","Overall",3917486.10631623,27862.6603876675,3830513.64522492,3897816.76422671,3918352.64075341,3935895.25068484,4007341.56868479
"Total Number Increase","Neonatal Female",-534002.602002688,13348.5718772828,-570898.3635316,-543033.14462963,-533476.608597329,-524589.493464475,-492838.137010156
"Total Number Increase","Neonatal Male",-266179.503173342,12637.2238191229,-305537.005931632,-274190.995912756,-266220.797339876,-257311.461010454,-226757.03170604
"Total Number Increase","Neonatal Combined",-800182.10517603,18812.0965455159,-864045.31492896,-812891.027104435,-800116.796271425,-787132.322105678,-740821.023443569
"Total Number Increase","Juvenile Female",1871869.58740073,7120.34673810059,1849255.18120405,1867180.57685418,1872076.83664259,1876662.58725324,1893319.1356532
"Total Number Increase","Juvenile Male",1645086.70194892,6514.51045840295,1622100.81041165,1641045.76122874,1645100.03478678,1649417.19904842,1664936.03829166
