"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",5384382.15669275,246.444710396625,5383586.36553807,5384227.65181432,5384394.83672151,5384547.04319438,5385179.18543649
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",139648.875766554,83.0434956816787,139362.93657356,139593.826757547,139649.970512255,139706.827700329,139892.333244856
"Num Offtake","Juvenile Male",323860.332426577,180.348095408383,323290.551428753,323746.058805133,323872.755706134,323982.734416145,324430.613746501
"Num Offtake","Juvenile Combined",463509.208193131,200.75528311119,462862.710925967,463383.06753353,463520.827740256,463643.456141213,464150.213158823
"Num Offtake","Adult Female",531406.445635599,9.81152762076395,531373.964614064,531400.030942187,531406.584468775,531413.374666145,531433.315802376
"Num Offtake","Adult Male",2256130.52683429,45.634387348179,2255992.9128691,2256099.89555558,2256134.22337494,2256161.46313826,2256275.97031631
"Num Offtake","Oxen",2133335.97602973,0.547207641565313,2133334.44284822,2133335.58962029,2133336.02932625,2133336.34818417,2133337.61991027
"Cml Pop Growth","Overall",-918976.621976242,28840.2173034038,-1023307.80056215,-940716.923043657,-917020.645011269,-898520.341900984,-826301.004135452
"Cml Pop Growth","Neonatal Female",-535068.902273665,13189.3487862982,-573090.982092758,-544459.458867413,-534709.199707799,-525986.096368497,-492343.212392256
"Cml Pop Growth","Neonatal Male",-265822.251088928,13461.0396212334,-308578.455158634,-274630.798363113,-265178.893421388,-256335.966306174,-220685.42469665
"Cml Pop Growth","Neonatal Combined",-800891.153362593,19530.0236940782,-863071.245463659,-815858.73933721,-800081.993672368,-787136.558456428,-732818.800855147
"Cml Pop Growth","Juvenile Female",1731419.21599646,6878.15992582151,1706935.63128412,1727083.68336726,1731485.53947402,1736136.9500362,1751405.33629995
