"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",5355951.58722005,236.478451040372,5355286.77820921,5355784.60100735,5355956.14114406,5356118.80364558,5356614.93918863
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",141895.875502124,81.4882010831489,141639.987597622,141840.043222821,141895.76497453,141950.837417692,142156.322076294
"Num Offtake","Juvenile Male",329079.700972215,172.451781761619,328573.231704999,328956.261581403,329081.359969033,329201.819624779,329628.604561322
"Num Offtake","Juvenile Combined",470975.57647434,192.611565390643,470421.953022323,470841.21128929,470982.08249215,471112.75221964,471511.873176118
"Num Offtake","Adult Female",531709.200979333,9.60373596466648,531677.212542054,531702.588931774,531709.364928739,531716.052499287,531737.411030108
"Num Offtake","Adult Male",2220675.90223079,44.0103161030805,2220542.25878975,2220645.0444428,2220675.56598043,2220707.85267793,2220803.10895947
"Num Offtake","Oxen",2132590.90753559,0.532046969074632,2132589.27650174,2132590.53477281,2132590.92235345,2132591.3095731,2132592.29648884
"Cml Pop Growth","Overall",-1034927.04916831,26994.2127541044,-1120549.5027891,-1054131.12626445,-1035174.21244138,-1017334.07299201,-953856.095840178
"Cml Pop Growth","Neonatal Female",-531690.884519099,13431.177269625,-570704.91393512,-540778.571279703,-532247.124360876,-522362.305328342,-488426.893569195
"Cml Pop Growth","Neonatal Male",-263376.4885621,12645.7239601622,-298601.776960333,-271745.343313527,-263089.487327457,-255166.977574404,-228529.09421767
"Cml Pop Growth","Neonatal Combined",-795067.373081199,18466.1609714583,-847058.287588649,-807916.780816766,-795221.286965646,-783264.512806834,-736318.087750178
"Cml Pop Growth","Juvenile Female",1893390.98179439,6792.60315568923,1873556.77162444,1888751.27882858,1893291.22095783,1897849.69057813,1915500.36080042
"Cml Pop Growth","Juvenile Male",1478229.88513149,6166.23589294411,1461597.61407549,1473885.3835927,1478325.5110871,1482371.48629701,1498214.77272557
"Cml Pop Growth","Juvenile Combined",3371620.86692587,9250.70538540165,3340666.00450491,3365156.69360615,3371785.11860162,3377593.58458388,3399779.8350741
"Cml Pop Growth","Adult Female",-529929.946963188,1307.23213658039,-534020.586101934,-530829.289077759,-529932.96914668,-529041.07890819,-525742.758781236
"Cml Pop Growth","Adult Male",-1506648.19839001,1157.31591182533,-1510033.70316648,-1507461.83892534,-1506628.13002461,-1505837.28129441,-1502948.4110248
