"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",5358998.04130301,247.411392278428,5358314.9431182,5358833.43414912,5359002.19853296,5359172.08840757,5359846.04985862
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",139784.73140002,85.1521926803173,139445.943309579,139726.373646449,139785.571055318,139845.201885228,140035.171642631
"Num Offtake","Juvenile Male",324165.315386397,180.7768476638,323664.845934802,324040.265705781,324163.535400568,324290.372132434,324810.605309932
"Num Offtake","Juvenile Combined",463950.046786417,201.248279972132,463392.670140061,463817.211633429,463953.769543992,464091.726380686,464643.360549954
"Num Offtake","Adult Female",543288.902167105,10.2083559809642,543254.09817774,543281.561732064,543288.814334639,543296.118689172,543317.630599385
"Num Offtake","Adult Male",2219189.32030993,46.1046435289407,2219071.62823268,2219157.41312974,2219188.81768378,2219221.59142449,2219349.99971315
"Num Offtake","Oxen",2132569.77203955,0.556545151977129,2132568.36615726,2132569.37586453,2132569.78168065,2132570.16469516,2132571.58767022
"Cml Pop Growth","Overall",-396426.262188238,28263.7629627204,-508488.759011298,-415195.784474157,-394525.347767603,-377515.189134011,-311286.87824475
"Cml Pop Growth","Neonatal Female",-461098.621934154,13732.8828769664,-510541.151412077,-470121.563696275,-460279.003906015,-451939.214002541,-419442.783584012
"Cml Pop Growth","Neonatal Male",-192023.271435472,12997.4170063725,-236095.295615461,-201073.30909717,-191812.163789111,-182743.666808995,-151956.505117821
"Cml Pop Growth","Neonatal Combined",-653121.893369626,19150.4294411439,-735797.832510291,-665790.73279903,-651877.863613525,-639754.186033073,-596949.578210617
"Cml Pop Growth","Juvenile Female",1752473.46441095,7047.1578032168,1721042.3174996,1747585.77816304,1752448.13754053,1757222.65455245,1774247.91344152
"Cml Pop Growth","Juvenile Male",1341673.36606659,6458.76560555047,1319952.03565582,1337193.72780651,1341580.9174719,1346329.30179634,1365290.86159436
"Cml Pop Growth","Juvenile Combined",3094146.83047755,9647.97821546848,3055720.97119822,3087541.94475493,3093827.67747357,3100286.65011918,3125713.38528135
"Cml Pop Growth","Adult Female",277320.781813495,1381.59188282009,271805.795377061,276373.204542655,277334.104192263,278303.107270469,281386.256223958
"Cml Pop Growth","Adult Male",-1539168.8244119,1213.28089402161,-1542539.18018787,-1540007.52162807,-1539183.09265884,-1538325.79644932,-1534838.7038097
"Cml Pop Growth","Oxen",-1575603.15669775,21.8665601541304,-1575658.97882745,-1575618.24023137,-1575603.34805965,-1575587.90094967,-1575526.8291027
"Total Number Increase","Overall",4962571.77911477,28423.8226598682,4849995.81997706,4943727.64399955,4964476.13039759,4981566.7200555,5048177.86434496
"Total Number Increase","Neonatal Female",-461098.621934154,13732.8828769664,-510541.151412077,-470121.563696275,-460279.003906015,-451939.214002541,-419442.783584012
"Total Number Increase","Neonatal Male",-192023.271435472,12997.4170063725,-236095.295615461,-201073.30909717,-191812.163789111,-182743.666808995,-151956.505117821
"Total Number Increase","Neonatal Combined",-653121.893369626,19150.4294411439,-735797.832510291,-665790.73279903,-651877.863613525,-639754.186033073,-596949.578210617
"Total Number Increase","Juvenile Female",1892258.19581097,7126.21609313169,1860488.26080918,1887352.3334953,1892229.36761478,1897057.11528961,1914283.08508415
"Total Number Increase","Juvenile Male",1665838.68145299,6626.28118772609,1643616.88159062,1661245.86062791,1665782.72282738,1670587.62423143,1690082.5624464
"Total Number Increase","Juvenile Combined",3558096.87726396,9821.73763854587,3519137.74633232,3551427.57652052,3557766.58769023,3564338.48545878,3590356.7458313
"Total Number Increase","Adult Female",820609.6839806,1391.5427426457,815059.893554801,819655.202770552,820624.464475286,821598.821545943,824703.886823343
"Total Number Increase","Adult Male",680020.495898032,1258.1446249937,676532.448044811,679145.675065776,680008.157765909,680891.680343274,684511.295903455
"Total Number Increase","Oxen",556966.615341799,22.4151654638395,556909.395062761,556951.087112564,556966.365654793,556982.286940538,557044.758567516
"Total Mortality","Overall",2401878.65805869,28021.6554539148,2317316.94775616,2383482.19689299,2400613.23442704,2421183.50176747,2512413.7492843
"Total Mortality","Neonatal Female",475529.926046079,20440.2853264043,411436.496071806,462094.372364364,474373.640630349,489645.206969359,562835.637819473
"Total Mortality","Neonatal Male",448381.067462689,19200.7673650108,387026.550216157,434338.696927372,448324.454005642,461556.855385547,516845.033338223
"Total Mortality","Neonatal Combined",923910.993508768,28146.8715191771,839060.301152196,905472.07446314,922599.192337664,943238.038378652,1034759.33069164
"Total Mortality","Juvenile Female",200358.115006696,122.051476175122,199872.518743729,200274.468893243,200359.318512622,200444.789368827,200717.079354438
"Total Mortality","Juvenile Male",199130.122308787,111.048634993478,198822.691074235,199053.306076408,199129.02888892,199206.942881352,199526.514690387
"Total Mortality","Juvenile Combined",399488.237315482,166.523194799949,398883.172578791,399378.878868094,399487.791683194,399600.421913598,400033.913158209
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",549973.005468114,11.4259333962972,549943.838301142,549965.098036502,549972.880904242,549981.003092157,550012.826015869
"Total Mortality","Oxen",528506.421766323,0.137926407227614,528506.073352017,528506.323583818,528506.424155639,528506.519076628,528506.871726967
"Value of Total Mortality","Overall",33271015987.6057,286732191.223273,32391263319.7852,33070210095.4324,33260217110.7897,33471289467.4468,34370066962.353
"Value of Total Mortality","Neonatal Female",2252256673.00382,96811507.5475505,1948690383.16895,2188621739.05391,2246780147.97178,2319111005.21192,2665763502.25418
"Value of Total Mortality","Neonatal Male",6331636291.19143,271136058.788082,5465242689.37193,6133342497.47953,6330836846.60016,6517692980.53715,7298423166.09108
"Value of Total Mortality","Neonatal Combined",8583892964.19524,288571046.777609,7696294728.83388,8382384516.25349,8572848138.00764,8786562305.12084,9688174181.03669
"Value of Total Mortality","Juvenile Female",2817620680.16821,1716400.47274645,2810791777.46716,2816444371.34203,2817637604.979,2818839575.02142,2822668768.03631
"Value of Total Mortality","Juvenile Male",3180275816.43991,1773540.25711276,3175365880.61942,3179048996.49267,3180258353.60345,3181502705.70358,3186606536.72676
"Value of Total Mortality","Juvenile Combined",5997896496.60811,2490810.32815418,5989159581.73187,5996240685.70675,5997865161.7313,5999585215.01787,6006211460.5711
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",17366323854.4336,360793.089345106,17365402852.0162,17366074163.9636,17366319921.1195,17366576392.8815,17367581255.2905
"Value of Total Mortality","Oxen",15075450670.9819,3934.29987363612,15075440732.5924,15075447870.3622,15075450739.1363,15075453446.7225,15075463505.9433
"Population Liveweight (kg)","Overall",14115746847.367,1088251600.0373,11024416596.2057,13380967591.4514,14075148741.7481,14833395538.9587,18256765312.2841
"Population Liveweight (kg)","Neonatal Female",354958098.68596,74114167.126981,127467287.31576,296270813.78909,364637129.321544,413688795.455402,502482636.591041
"Population Liveweight (kg)","Neonatal Male",367052205.407952,97170654.9761556,119782422.55074,299887697.212852,366795905.691832,440348690.033629,591934525.609343
"Population Liveweight (kg)","Juvenile Female",915462969.59707,190739710.231935,515896104.946094,765666740.150574,905146691.98387,1042345748.83178,1463201380.41252
"Population Liveweight (kg)","Juvenile Male",957547788.14376,213336406.385469,551500640.753013,791245717.189919,937617438.283786,1114991249.40494,1582488259.90194
"Population Liveweight (kg)","Juvenile Combined",1873010757.74083,293666610.311465,1175544838.50245,1665504096.64641,1866520074.36347,2062382933.05969,2754680317.84099
"Population Liveweight (kg)","Adult Female",4423286903.43062,652616375.376188,2874466899.11388,3906295274.03215,4412486782.10173,4918141580.91044,6034162512.19176
"Population Liveweight (kg)","Adult Male",3612984212.11898,572111831.758972,2399740386.77393,3187270828.60909,3604424447.93407,4006467752.5688,5328839136.38347
"Population Liveweight (kg)","Oxen",3484454669.98271,564468996.990744,2332027009.39474,3043784950.20326,3445636177.46572,3901870992.36938,5012305831.72122
"Offtake Liveweight (kg)","Overall",1370333672.7725,134508409.031435,989739347.403097,1273825575.56572,1366226999.6712,1459344839.35307,1787876411.64588
"Offtake Liveweight (kg)","Juvenile Female",23594390.3934007,5069545.17004632,12806588.0854789,19734536.8566559,23364888.4612154,27455984.7208198,36652684.2040052
"Offtake Liveweight (kg)","Juvenile Male",58846837.0708634,12752307.2860008,34048575.4512896,49378097.7790914,57766176.9704578,67184268.19965,95963894.6676946
"Offtake Liveweight (kg)","Adult Female",132309102.767827,19552322.6867256,85006162.2347023,117618640.028237,133478602.667955,145616555.519419,181803003.648863
"Offtake Liveweight (kg)","Adult Male",593914039.164154,96145695.0683501,390038132.197973,522763175.407782,586062058.045744,666078201.919188,846775654.699455
"Offtake Liveweight (kg)","Oxen",561669303.376258,95680093.2919964,382225884.034605,490114852.055082,554045062.425893,626922815.41478,816360577.269273
"Meat (kg)","Overall",4498926318.40622,140705660.749505,4040600462.71822,4398436392.58762,4498409678.63406,4594385493.43218,4971942656.16534
"Manure","Overall",37684283860.2728,1137029853.37425,33801764607.6797,36862186255.83,37694774698.9294,38489894390.3293,40919348731.976
"Manure","Neonatal Female",1026832189.71503,25082110.7302794,945606946.909857,1008808533.76025,1027182637.23844,1045563038.94955,1100155798.07037
"Manure","Neonatal Male",974811798.468304,24772167.8584218,892955452.236437,956909530.359167,975717159.896345,992270111.763527,1051503590.40514
