"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",5384371.50932821,248.530325131251,5383571.15634801,5384206.67070364,5384380.54740188,5384531.17038327,5385211.1320038
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",139651.895169772,87.183074970395,139390.699611964,139591.328393822,139653.709810785,139712.829322209,139886.093345089
"Num Offtake","Juvenile Male",323848.889366303,177.007389298152,323285.682308164,323737.182672912,323851.496085018,323971.868892677,324498.578276361
"Num Offtake","Juvenile Combined",463500.784536075,202.527587328336,462834.986142476,463368.877795116,463504.394864212,463631.532871814,464190.431546291
"Num Offtake","Adult Female",531406.862023059,10.307828099194,531376.16236194,531399.675791971,531406.843096843,531414.427083615,531437.478233788
"Num Offtake","Adult Male",2256127.9166613,45.5171139640966,2255979.30361082,2256097.45710479,2256128.38700332,2256160.23457188,2256275.08701367
"Num Offtake","Oxen",2133335.94610777,0.548989821527576,2133334.15787903,2133335.57653847,2133335.95315997,2133336.34019266,2133337.48191923
"Cml Pop Growth","Overall",-920550.2259112,28595.1015523463,-1017207.81417537,-939599.505992118,-920063.181188494,-902306.192725351,-833123.840600021
"Cml Pop Growth","Neonatal Female",-535366.368907721,14247.9195833537,-592663.586429063,-545623.523631256,-535208.348024667,-525219.166160712,-488832.901460627
"Cml Pop Growth","Neonatal Male",-266697.579474651,12598.6491114586,-311211.624606332,-275577.663286137,-267045.39806956,-257720.558618927,-232152.944013189
"Cml Pop Growth","Neonatal Combined",-802063.948382373,19218.9602924485,-872471.680099322,-814747.386290997,-801314.679046032,-789425.650952269,-743664.636365778
"Cml Pop Growth","Juvenile Female",1731538.77526687,7230.78936639296,1706780.37418278,1726779.29410109,1731544.40778888,1736462.57661632,1751498.89108006
"Cml Pop Growth","Juvenile Male",1320612.30856273,6294.12616666295,1300277.27122598,1316659.32251463,1320672.16206167,1324808.99982022,1344144.43985921
"Cml Pop Growth","Juvenile Combined",3052151.08382961,9829.80749857177,3020748.1335296,3045556.5301348,3052073.31150522,3058683.4929253,3085179.3125953
"Cml Pop Growth","Adult Female",-565683.55151823,1398.18113649728,-569877.157217767,-566659.788627144,-565654.85602464,-564713.350105735,-561920.838106044
"Cml Pop Growth","Adult Male",-1046462.39284658,1198.38208839504,-1050263.99618823,-1047216.82479409,-1046456.27206397,-1045628.60530334,-1042040.91362554
"Cml Pop Growth","Oxen",-1558491.41699363,21.5886345370119,-1558561.87676116,-1558505.78060222,-1558491.20009094,-1558476.05262321,-1558421.34792079
"Total Number Increase","Overall",4463821.28341701,28762.0644288282,4367033.90599849,4444667.76294395,4464230.02760643,4482226.84793798,4551812.28290717
