"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",5355935.48425289,252.905624448309,5355032.50129816,5355771.52232824,5355942.46572038,5356114.35142119,5356681.28348871
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",141890.71122919,83.492810043294,141609.579331855,141834.202155834,141892.755776158,141946.008316257,142155.688942806
"Num Offtake","Juvenile Male",329071.801919608,182.929718899469,328379.570251756,328943.565433112,329075.74161499,329204.791218601,329537.119328661
"Num Offtake","Juvenile Combined",470962.513148798,206.31245265688,470218.08401553,470827.840056917,470965.568507239,471110.703136979,471581.081636793
"Num Offtake","Adult Female",531708.527904906,9.86926665827136,531675.045640734,531701.852150076,531708.677550278,531715.290987418,531736.667925625
"Num Offtake","Adult Male",2220673.56595216,46.3533883594231,2220515.97417076,2220642.45187553,2220675.84777659,2220706.7607255,2220789.30502501
"Num Offtake","Oxen",2132590.87724702,0.556586755554482,2132589.20578968,2132590.50611678,2132590.89433538,2132591.26931825,2132592.19145095
"Cml Pop Growth","Overall",-1036162.79756894,28402.4068042857,-1142131.94037203,-1056120.79435991,-1035951.2580228,-1016041.61617985,-956523.507863939
"Cml Pop Growth","Neonatal Female",-532364.392704383,13809.1980678205,-582839.52158852,-541719.370902373,-531929.398053268,-522940.686078041,-493501.427476362
"Cml Pop Growth","Neonatal Male",-263310.179428431,12657.8073475973,-304666.148411978,-271551.779783973,-262952.204722624,-255065.577291911,-230623.002703337
"Cml Pop Growth","Neonatal Combined",-795674.572132814,18763.4201701471,-860775.022430226,-807930.317186264,-795012.602958284,-782898.075891108,-740718.131871989
"Cml Pop Growth","Juvenile Female",1893050.59090257,7028.4138813546,1869803.9311786,1888373.01230078,1893150.23422352,1898045.11629557,1917636.17259326
"Cml Pop Growth","Juvenile Male",1478077.60211359,6567.7076201636,1451529.00718372,1473728.48413296,1477817.69530759,1482994.90488124,1495225.9250516
"Cml Pop Growth","Juvenile Combined",3371128.19301616,9958.84912942761,3336094.13355017,3364183.64801925,3371189.19873585,3378431.07053217,3400618.07314996
"Cml Pop Growth","Adult Female",-530012.353662438,1339.18727406103,-534515.59295753,-530912.271211783,-529977.591428133,-529130.0719334,-525749.265214965
"Cml Pop Growth","Adult Male",-1506700.56217995,1228.1293749557,-1511371.34402071,-1507553.77553203,-1506665.01871289,-1505805.50770325,-1503577.90013842
"Cml Pop Growth","Oxen",-1574903.5026099,21.9881951392668,-1574978.49985838,-1574918.34029991,-1574902.35179619,-1574887.70095268,-1574848.53100482
"Total Number Increase","Overall",4319772.68668395,28574.8093039367,4213033.79367161,4299679.24081804,4320048.46441806,4340154.23701946,4399846.68494105
"Total Number Increase","Neonatal Female",-532364.392704383,13809.1980678205,-582839.52158852,-541719.370902373,-531929.398053268,-522940.686078041,-493501.427476362
"Total Number Increase","Neonatal Male",-263310.179428431,12657.8073475973,-304666.148411978,-271551.779783973,-262952.204722624,-255065.577291911,-230623.002703337
"Total Number Increase","Neonatal Combined",-795674.572132814,18763.4201701471,-860775.022430226,-807930.317186264,-795012.602958284,-782898.075891108,-740718.131871989
"Total Number Increase","Juvenile Female",2034941.30213176,7105.99668107883,2011450.9141539,2030205.66683484,2035041.76173715,2039988.81368662,2059791.86153607
"Total Number Increase","Juvenile Male",1807149.4040332,6738.34229333054,1779908.57743548,1802735.23700807,1806884.11055896,1812164.82920033,1824756.78940291
"Total Number Increase","Juvenile Combined",3842090.70616496,10139.42830656,3806410.41066286,3835031.76623167,3842177.05968612,3849528.88805468,3872199.15478676
"Total Number Increase","Adult Female",1696.17424246806,1348.796239124,-2840.5473167965,788.527194671478,1729.37753165339,2583.94829672732,5987.40271066024
"Total Number Increase","Adult Male",713973.003772209,1273.29943101532,709144.630150054,713084.965221845,714002.098502338,714901.252793507,717211.404886597
"Total Number Increase","Oxen",557687.374637125,22.5368276099328,557610.705931306,557672.239315414,557688.512451494,557703.51940531,557743.660446137
"Total Mortality","Overall",2887748.36415394,28199.0837878423,2809382.1088377,2867457.843188,2887457.80439983,2907604.71701231,2990505.76530349
"Total Mortality","Neonatal Female",474822.495373,20402.4124177809,415626.376627052,460333.357141782,474955.24557931,488938.684736366,549170.726993079
"Total Mortality","Neonatal Male",447892.496494418,19024.5909335458,399701.392089685,435236.089774258,447437.925875772,459989.340979696,520199.74833529
"Total Mortality","Neonatal Combined",922714.991867418,28212.74277986,844311.226182368,902393.76551109,922429.984763219,942571.590569942,1025527.44365182
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",886180.87984151,16.4487777637783,886125.076067889,886169.753583459,886181.129250464,886192.151645696,886227.779876041
"Total Mortality","Adult Male",550340.84025771,11.4875788542939,550301.784903189,550333.12937785,550341.405753329,550349.066788494,550369.523419243
"Total Mortality","Oxen",528511.652187305,0.137936717682691,528511.237956573,528511.56021155,528511.656422246,528511.749352784,528511.977881324
"Value of Total Mortality","Overall",44584710518.6853,350707722.673572,43590448131.3189,44334288164.6254,44588305216.4569,44823251282.289,45902058457.0493
"Value of Total Mortality","Neonatal Female",4552417968.41657,195610590.894158,3984868037.09354,4413501607.30599,4553690727.03776,4687758637.2551,5265240610.23636
"Value of Total Mortality","Neonatal Male",6756899116.01264,287004677.835633,6029888877.39375,6565964764.46916,6750041470.8515,6939391920.53349,7847725173.31181
"Value of Total Mortality","Neonatal Combined",11309317084.4292,351005337.844038,10314256262.7469,11058258480.6986,11313272201.0231,11547865250.0389,12627912968.2296
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",16565653914.4705,307482.10207325,16564610757.2303,16565445927.8795,16565658576.7494,16565864621.8006,16566530631.3556
"Value of Total Mortality","Adult Male",15010706820.4946,313327.061423169,15009641574.3169,15010496503.999,15010722244.5524,15010931201.5194,15011489162.0854
"Value of Total Mortality","Oxen",19361921077.1387,5053.28469172548,19361905901.8768,19361917707.6249,19361921232.2849,19361924636.777,19361933008.8754
"Population Liveweight (kg)","Overall",14048420524.6558,1053818546.72574,10904095445.7115,13277375614.6878,14065409006.781,14783792217.1224,17726147675.7562
"Population Liveweight (kg)","Neonatal Female",350809024.759428,72596010.0408699,124851975.300411,303066673.254794,355721778.473305,404465033.287949,493921867.718536
"Population Liveweight (kg)","Neonatal Male",357579713.662915,94608415.6020308,105963123.749326,289368498.499073,360726934.876467,427615953.468831,588354440.607284
"Population Liveweight (kg)","Juvenile Female",951291091.437805,195258462.704603,519421471.207064,806511028.117099,945305814.70604,1094207347.60412,1556735822.67016
"Population Liveweight (kg)","Juvenile Male",996379255.499248,212939332.635814,561960736.348826,820246516.519418,976583976.720076,1143971091.75221,1564820931.46627
"Population Liveweight (kg)","Juvenile Combined",1947670346.93705,286083769.571148,1148677043.80306,1733031886.72015,1933924418.8065,2152608662.03814,2862734680.53687
"Population Liveweight (kg)","Adult Female",4281455233.9552,649440273.352859,2764782062.41266,3789546155.17268,4276789313.93047,4779747909.9354,5739440776.91144
"Population Liveweight (kg)","Adult Male",3659142141.42238,572858114.97676,2421047276.70661,3242207427.01324,3633601002.56903,4067782303.05495,5234471552.08516
"Population Liveweight (kg)","Oxen",3451764063.91882,553432044.547575,2310023429.25148,3023233181.50727,3422556127.68805,3833840152.43732,5033202448.29603
"Offtake Liveweight (kg)","Overall",1365763618.54131,135299722.152216,1002400764.39654,1268239140.04885,1352779072.42053,1462782177.73471,1743519769.80223
"Offtake Liveweight (kg)","Juvenile Female",24026579.910342,5157999.46578782,13302709.6620618,20330129.0919611,23724554.5549949,27760570.1014335,39214851.9570099
"Offtake Liveweight (kg)","Juvenile Male",60752042.0868307,13353250.0654781,33881394.0897231,49919099.0726245,59490433.1660467,70696483.0982658,101543534.692662
"Offtake Liveweight (kg)","Adult Female",129028450.554435,19235335.0338686,84262752.3408931,115648974.906606,128579536.757254,142431340.75248,176087537.016118
"Offtake Liveweight (kg)","Adult Male",590051357.599177,94381427.5683941,389545223.321938,517761866.395228,584763035.834018,657845333.288934,844375857.478933
"Offtake Liveweight (kg)","Oxen",561905188.390527,92103293.4236382,373130931.311718,494144796.054559,557072156.972195,624697238.076858,821209093.020212
"Meat (kg)","Overall",4497595814.41383,138402185.813937,4024574973.83865,4407202091.39113,4495225634.10416,4596883353.72887,4974843761.06038
"Manure","Overall",37380590376.8894,1131092352.13787,33181695055.2087,36597595413.9517,37408011753.3107,38219008190.7821,40417422328.1051
"Manure","Neonatal Female",1022374812.62735,25828646.354038,940555831.626094,1004992791.47762,1022816560.31567,1039484163.46734,1119672766.03366
"Manure","Neonatal Male",969881243.778679,24024700.5339292,898577689.80612,954131547.231119,970014418.26312,985726885.824181,1040933242.91473
"Manure","Neonatal Combined",1992256056.40603,34546427.3756927,1865329220.96621,1969412941.81572,1992456397.66204,2015819300.42389,2099611929.892
"Manure","Juvenile Female",2027444369.3244,67960154.0870582,1827168142.83502,1980815469.9484,2028652210.99192,2073576497.56843,2226702893.7934
"Manure","Juvenile Male",2001138529.63812,64974120.3119452,1814526507.12686,1957648829.82246,1999978659.06987,2045055893.94772,2195423942.43034
"Manure","Juvenile Combined",4028582898.96252,93983378.6143191,3692258747.34058,3963016062.10049,4024803445.8337,4090282268.55234,4351693932.55171
"Manure","Adult Female",12105101836.7656,758992751.070489,9967229385.77791,11665439036.6681,12093443294.3026,12521539552.1895,13797229916.0401
"Manure","Adult Male",9826699168.98361,585824217.889636,8097450727.33218,9467928678.50689,9821043408.62327,10172920710.5629,11554781128.667
"Manure","Oxen",9427950415.77166,582283272.731332,8072930013.83525,9081688282.98106,9423393532.21237,9767807814.85538,11407320929.5854
"Hides","Overall",982516.686143263,10.3231272108963,982478.089399375,982509.874002776,982517.278339118,982523.757382112,982545.018345902
"Hides","Juvenile Female",0,0,0,0,0,0,0
"Hides","Juvenile Male",0,0,0,0,0,0,0
"Hides","Juvenile Combined",0,0,0,0,0,0,0
"Hides","Adult Female",443090.439920755,8.22438888188913,443062.538033945,443084.87679173,443090.564625232,443096.075822848,443113.889938021
"Hides","Adult Male",275170.420128855,5.74378942714696,275150.892451595,275166.564688925,275170.702876665,275174.533394247,275184.761709621
"Hides","Oxen",264255.826093653,0.0689683588413456,264255.618978287,264255.780105775,264255.828211123,264255.874676392,264255.988940662
"Milk","Overall",1114279065.23334,194578200.424553,508271778.232813,988819561.632204,1112876848.36834,1247499036.5135,1687450496.4441
"Wool","Overall",0,0,0,0,0,0,0
