"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",5351860.83176565,29.1468009291455,5351769.19112575,5351840.66211775,5351860.30899066,5351880.12575282,5351949.44510686
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",141057.350302377,7.26398234095863,141033.879979446,141052.21680786,141057.216949092,141062.097028962,141078.941899575
"Num Offtake","Juvenile Male",326882.702863795,16.8036722122488,326828.339158408,326870.788674812,326882.410319594,326893.655091585,326932.591780357
"Num Offtake","Juvenile Combined",467940.053166172,24.0676459743175,467862.219137853,467923.005482672,467939.626589018,467955.75302938,468011.533679932
"Num Offtake","Adult Female",531548.067376462,0.855328919687375,531545.54970976,531547.481542088,531548.059867844,531548.669835862,531550.896133249
"Num Offtake","Adult Male",2219796.41969662,4.27555979455576,2219783.86585171,2219793.48963754,2219796.37346875,2219799.42227267,2219810.55168092
"Num Offtake","Oxen",2132576.2915264,0.0513695350512239,2132576.12562249,2132576.2561723,2132576.29183576,2132576.32661743,2132576.46361276
"Cml Pop Growth","Overall",-513625.02823642,3621.24729232871,-524994.079613574,-515956.694434496,-513529.128358282,-511271.681774369,-503543.484555952
"Cml Pop Growth","Neonatal Female",-228792.840889557,1245.78571230983,-232235.944961711,-229541.361601018,-228711.334810828,-227983.904686371,-224833.356101977
"Cml Pop Growth","Neonatal Male",24199.73001242,1245.78571230982,20756.6259402651,23451.2093009586,24281.2360911481,25008.6662156049,28159.2148000002
"Cml Pop Growth","Neonatal Combined",-204593.110877137,2491.57142461964,-211479.319021446,-206090.15230006,-204430.09871968,-202975.238470766,-196674.141301977
"Cml Pop Growth","Juvenile Female",1875739.81673959,610.722116844999,1873449.71389984,1875329.50889795,1875726.7176849,1876120.9885313,1877649.73314704
"Cml Pop Growth","Juvenile Male",1454384.11010579,602.854280793311,1452121.79483237,1453977.99721638,1454372.24807616,1454760.61879777,1456269.85772769
"Cml Pop Growth","Juvenile Combined",3330123.92684538,1213.57273246168,3325571.50873221,3329307.93818002,3330099.58413808,3330880.51650024,3333919.59087474
"Cml Pop Growth","Adult Female",-543028.084010004,116.525680128428,-543406.863853171,-543110.87274884,-543030.12672714,-542952.572551735,-542683.625065878
"Cml Pop Growth","Adult Male",-1520813.41909811,112.786997928086,-1521181.90295562,-1520893.25274069,-1520815.26207679,-1520739.86383328,-1520481.6163364
"Cml Pop Growth","Oxen",-1575314.34109655,2.02805758515723,-1575320.27454494,-1575315.72590886,-1575314.37077945,-1575312.92352044,-1575307.64344677
"Total Number Increase","Overall",4838235.80352923,3641.55665848476,4826775.11151217,4835894.65002297,4838332.37273004,4840601.324852,4848392.42421767
"Total Number Increase","Neonatal Female",-228792.840889557,1245.78571230983,-232235.944961711,-229541.361601018,-228711.334810828,-227983.904686371,-224833.356101977
"Total Number Increase","Neonatal Male",24199.73001242,1245.78571230982,20756.6259402651,23451.2093009586,24281.2360911481,25008.6662156049,28159.2148000002
"Total Number Increase","Neonatal Combined",-204593.110877137,2491.57142461964,-211479.319021446,-206090.15230006,-204430.09871968,-202975.238470766,-196674.141301977
"Total Number Increase","Juvenile Female",2016797.16704197,617.452720681719,2014483.59387929,2016383.14063312,2016783.23186986,2017182.94776807,2018727.59164591
"Total Number Increase","Juvenile Male",1781266.81296958,618.422100117342,1778950.13399078,1780852.34081843,1781253.12484075,1781653.22055936,1783200.05043439
"Total Number Increase","Juvenile Combined",3798063.98001155,1235.87466128985,3793433.72787006,3797235.59859245,3798036.35671061,3798836.18075388,3801927.6420803
"Total Number Increase","Adult Female",-11480.0166335425,117.359002705599,-11861.0725961216,-11563.2902725716,-11482.0756451226,-11403.8519204463,-11132.728932629
"Total Number Increase","Adult Male",698983.00059851,116.951898667011,698603.101185353,698899.904502204,698980.951345236,699058.875283673,699328.935344523
"Total Number Increase","Oxen",557261.950429848,2.07874065482244,557255.851077547,557260.52685512,557261.925994487,557263.40893732,557268.820165991
"Total Mortality","Overall",2367526.52034259,23.178013397776,2367452.83360968,2367510.44560463,2367526.14940792,2367541.72506663,2367596.37386382
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",202182.202100074,10.4117080220407,202148.561303872,202174.844091267,202182.010960366,202189.005741512,202213.150056058
"Total Mortality","Juvenile Male",200799.374616331,10.3222557875241,200765.979768736,200792.055900241,200799.194910608,200806.102413402,200830.020665076
"Total Mortality","Juvenile Combined",402981.576716405,20.7339550415714,402914.541072608,402966.899991508,402981.205453463,402995.108799123,403043.170721134
"Total Mortality","Adult Female",885913.445627437,1.42554819947951,885909.249516267,885912.469236813,885913.433113074,885914.449726436,885918.160222082
"Total Mortality","Adult Male",550123.460533509,1.05959525343093,550120.34936325,550122.734388434,550123.449077039,550124.204650183,550126.96280788
"Total Mortality","Oxen",528508.037465238,0.0127307108571126,528507.99634992,528508.028703571,528508.037541907,528508.046161711,528508.080112727
"Value of Total Mortality","Overall",43026477387.4261,354053.395488279,43025364208.9844,43026232383.5254,43026471042.879,43026711751.95,43027553805.2993
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
