"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",5382952.84629826,252.372069932984,5382231.26535045,5382779.18417631,5382942.16972242,5383125.28364942,5383618.03052855
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",139651.448803855,88.6468882123665,139391.722966092,139588.825691046,139652.314036152,139716.138868945,139927.54387636
"Num Offtake","Juvenile Male",323861.537479058,184.442089287865,323285.366015063,323743.016940692,323857.946726513,323986.97420185,324388.7824579
"Num Offtake","Juvenile Combined",463512.986282913,205.844071761544,462935.311604275,463374.683289536,463508.127883007,463653.421621746,464054.439859479
"Num Offtake","Adult Female",531406.783419904,10.5101686739537,531378.189670816,531399.391191666,531407.196698428,531414.231904107,531435.59574485
"Num Offtake","Adult Male",2219142.35066922,46.7617903460397,2218991.82841466,2219110.80533591,2219143.03310173,2219172.9015833,2219263.36402624
"Num Offtake","Oxen",2168890.72592621,0.564914496961219,2168888.77945153,2168890.34134671,2168890.75127063,2168891.10541103,2168892.1591533
"Cml Pop Growth","Overall",-938068.329473803,29385.6037851331,-1044969.48516703,-956698.848229237,-938361.353652354,-919650.052535137,-841993.739746325
"Cml Pop Growth","Neonatal Female",-535019.334162555,14138.8841345916,-583152.280243877,-544469.34391181,-534500.443132211,-525732.929557336,-490492.171829103
"Cml Pop Growth","Neonatal Male",-265338.376593671,13551.5025275772,-305671.358763667,-275356.791577366,-265130.710882482,-255363.804277467,-223780.633543502
"Cml Pop Growth","Neonatal Combined",-800357.710756227,19839.8154497238,-875533.020062344,-813137.563307257,-800194.708233207,-787519.34387906,-740819.765063349
"Cml Pop Growth","Juvenile Female",1731494.45244718,7334.89307530268,1709498.71098097,1726558.72328242,1731436.60377591,1736699.2022403,1755985.93626359
"Cml Pop Growth","Juvenile Male",1321183.23731721,6646.81667304296,1300131.55033921,1316726.42167226,1321131.5903795,1325727.46740083,1342690.36209183
"Cml Pop Growth","Juvenile Combined",3052677.6897644,10054.3075585704,3025040.26122919,3046281.53062434,3052544.31966604,3059286.17851348,3085154.38852538
"Cml Pop Growth","Adult Female",-565690.562999667,1421.53684330826,-569863.649884026,-566690.443557247,-565676.505006503,-564654.209172174,-561245.845560398
"Cml Pop Growth","Adult Male",-1541257.08238343,1238.36120618421,-1545137.88745255,-1542057.64081975,-1541281.62939663,-1540420.13117678,-1537701.24175996
"Cml Pop Growth","Oxen",-1083440.66309888,22.315997456254,-1083512.34164002,-1083455.77895367,-1083440.35457006,-1083425.99342028,-1083382.79469065
"Total Number Increase","Overall",4444884.51682445,29553.0547220615,4337557.80750494,4426156.93804671,4444614.82295189,4463417.24378324,4541515.5149125
"Total Number Increase","Neonatal Female",-535019.334162555,14138.8841345916,-583152.280243877,-544469.34391181,-534500.443132211,-525732.929557336,-490492.171829103
"Total Number Increase","Neonatal Male",-265338.376593671,13551.5025275772,-305671.358763667,-275356.791577366,-265130.710882482,-255363.804277467,-223780.633543502
"Total Number Increase","Neonatal Combined",-800357.710756227,19839.8154497238,-875533.020062344,-813137.563307257,-800194.708233207,-787519.34387906,-740819.765063349
"Total Number Increase","Juvenile Female",1871145.90125104,7417.44097445016,1848905.9289508,1866176.36067516,1871075.04521641,1876417.55811108,1895913.48013996
"Total Number Increase","Juvenile Male",1645044.77479627,6817.79870672733,1623416.91635428,1640493.19670246,1644941.22758643,1649698.82754431,1667070.24558791
"Total Number Increase","Juvenile Combined",3516190.67604731,10232.3725451942,3488184.01120034,3509662.64937112,3516026.50920846,3522966.16638467,3549145.84891034
