"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",10328943.7158032,51.3929975828247,10328772.4665996,10328908.2299287,10328945.95729,10328976.9300479,10329091.9531286
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",27485.6920881965,10.3267025848867,27447.0801358531,27478.1974500756,27486.0216162992,27492.679070066,27514.5558782261
"Num Offtake","Juvenile Male",76762.9456875038,29.8279145064098,76663.6647456693,76743.0834054962,76762.6083775134,76783.0371688664,76850.5635418452
"Num Offtake","Juvenile Combined",104248.6377757,32.4937401717239,104140.198742134,104227.423216123,104249.775248681,104270.722645307,104342.601388738
"Num Offtake","Adult Female",115413.402723001,1.3468922252056,115408.535660211,115412.456109851,115413.431781656,115414.325754864,115417.600238374
"Num Offtake","Adult Male",10109281.6753045,19.6903059935747,10109220.0860203,10109268.1842252,10109282.5090345,10109295.4221375,10109336.9079138
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-10583789.8546555,2899.72900447122,-10593761.6778327,-10585808.1194715,-10583787.1441555,-10581744.4087939,-10575412.3234929
"Cml Pop Growth","Neonatal Female",-222429.687745038,1421.72655456553,-226565.640130403,-223365.109731961,-222451.943216913,-221464.344753331,-218373.970889564
"Cml Pop Growth","Neonatal Male",-4464.44877473363,1168.09203126028,-8166.1880997488,-5288.14452033382,-4427.88262095844,-3619.68045279288,-685.343005847419
"Cml Pop Growth","Neonatal Combined",-226894.136519772,1913.98306140908,-233262.354047974,-228211.902024921,-226915.358873528,-225618.161192957,-220973.016165185
"Cml Pop Growth","Juvenile Female",432149.27260732,828.688417047108,429539.408052732,431571.326037631,432171.009270977,432730.324882863,434582.172931061
"Cml Pop Growth","Juvenile Male",322077.049269919,646.346188650425,319959.203040236,321645.410665126,322069.773558237,322509.314443791,324080.59245229
"Cml Pop Growth","Juvenile Combined",754226.321877238,1088.64868266367,751047.955615615,753506.317585129,754243.566114112,754961.006362864,757324.341005387
"Cml Pop Growth","Adult Female",-389552.456306762,162.765651625413,-390160.242973554,-389671.345216987,-389546.939016687,-389443.596783674,-389096.612735289
"Cml Pop Growth","Adult Male",-10721569.5837062,115.134336048544,-10721953.4154001,-10721646.1660511,-10721571.8235165,-10721491.6149661,-10721231.8049663
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",-254846.138852292,2927.34459508843,-264967.868125704,-256868.857978944,-254860.199747127,-252801.50231451,-246423.027647421
"Total Number Increase","Neonatal Female",-222429.687745038,1421.72655456553,-226565.640130403,-223365.109731961,-222451.943216913,-221464.344753331,-218373.970889564
"Total Number Increase","Neonatal Male",-4464.44877473363,1168.09203126028,-8166.1880997488,-5288.14452033382,-4427.88262095844,-3619.68045279288,-685.343005847419
"Total Number Increase","Neonatal Combined",-226894.136519772,1913.98306140908,-233262.354047974,-228211.902024921,-226915.358873528,-225618.161192957,-220973.016165185
"Total Number Increase","Juvenile Female",459634.964695516,837.67117763625,456996.939632378,459056.669604986,459655.711338902,460222.868860971,462096.728809287
"Total Number Increase","Juvenile Male",398839.994957423,672.421075467689,396637.078387453,398389.502192725,398829.732177767,399292.897401055,400922.243893154
"Total Number Increase","Juvenile Combined",858474.959652939,1113.31601766168,855238.17090143,857736.056801867,858493.806688391,859217.200636676,861664.408364374
"Total Number Increase","Adult Female",-274139.053583761,164.034419352622,-274751.707313343,-274258.68351007,-274133.457233696,-274029.240295726,-273679.77617929
