"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",4027732.51857181,1956.24629686034,4023408.14998414,4026297.30371905,4027540.04396519,4028948.50788993,4035586.83490597
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",30849.8267094403,284.047711720584,30212.2529872782,30647.5255114327,30822.839615214,31025.4812574984,31978.2306370371
"Num Offtake","Juvenile Male",88912.2925035094,1023.80617817581,86576.5067587354,88179.0433098662,88799.8238823275,89555.8649816359,92936.1222237955
"Num Offtake","Juvenile Combined",119762.11921295,1307.53493398393,116788.759746014,118828.575825108,119620.767196277,120587.338267653,124914.352860833
"Num Offtake","Adult Female",121338.908544761,33.8274609394159,121270.895382748,121314.477319321,121334.834863331,121359.301858523,121479.547682614
"Num Offtake","Adult Male",3786631.4908141,625.205277315636,3785348.49485538,3786174.23505131,3786553.65535576,3787019.5322833,3789192.93436253
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-816475.212563123,143823.809229028,-1197968.90768329,-922518.325935598,-820511.946570485,-726089.383472432,-153244.419401519
"Cml Pop Growth","Neonatal Female",552421.539898897,49620.3736783953,423193.751618347,516522.913292031,551006.099135656,585460.593311456,803840.857768641
"Cml Pop Growth","Neonatal Male",770317.948377663,49592.2568268421,644332.410733623,734214.817148537,768539.492198917,803222.547664535,1024063.6087525
"Cml Pop Growth","Neonatal Combined",1322739.48827656,99170.4868732539,1067526.16235197,1250757.94571313,1319243.08811694,1389019.54427958,1827904.46652115
"Cml Pop Growth","Juvenile Female",779747.929920917,23927.4076628835,721064.707076828,762087.772895052,777825.979438459,795268.832449846,873138.237562427
"Cml Pop Growth","Juvenile Male",661895.874153403,23305.4545754409,604413.067816679,644945.970614317,660081.718014544,676593.479297953,754012.892299586
"Cml Pop Growth","Juvenile Combined",1441643.80407432,47214.5087069757,1325477.77489351,1407403.8219919,1437949.93585055,1471831.09570923,1627151.12986201
"Cml Pop Growth","Adult Female",55772.3462104627,4609.71430348754,45403.0561198113,52499.3584463795,55332.2154915056,58635.9348584275,74047.7749274098
"Cml Pop Growth","Adult Male",-3636630.85112447,4004.58447864416,-3645878.95266382,-3639476.55147452,-3637010.74142395,-3634062.603337,-3621074.07517468
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",3211257.30600869,145205.849712917,2825918.89824275,3105183.34226237,3207070.62470997,3302394.67051702,3876826.5739947
"Total Number Increase","Neonatal Female",552421.539898897,49620.3736783953,423193.751618347,516522.913292031,551006.099135656,585460.593311456,803840.857768641
"Total Number Increase","Neonatal Male",770317.948377663,49592.2568268421,644332.410733623,734214.817148537,768539.492198917,803222.547664535,1024063.6087525
"Total Number Increase","Neonatal Combined",1322739.48827656,99170.4868732539,1067526.16235197,1250757.94571313,1319243.08811694,1389019.54427958,1827904.46652115
"Total Number Increase","Juvenile Female",810597.756630357,24190.6035067316,751345.00796041,792906.681935958,808627.717599816,826371.273348631,905079.396396557
