"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",4066150.22479557,51.3131777374553,4065997.31849104,4066113.02826244,4066148.49020371,4066185.89297282,4066287.21651407
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",27485.9529613878,10.5400868315893,27455.653260689,27478.9306417105,27485.8916571059,27492.9352820242,27517.4871052242
"Num Offtake","Juvenile Male",76762.9393930472,29.8056201133746,76681.5037524936,76740.804243602,76762.0317126742,76784.1057273504,76845.7102592823
"Num Offtake","Juvenile Combined",104248.892354435,32.0691689316342,104158.517924251,104226.104480741,104248.157576548,104271.884378706,104339.182105033
"Num Offtake","Adult Female",115413.455157104,1.37322590181464,115409.18941205,115412.58846558,115413.462451638,115414.408095291,115417.157379349
"Num Offtake","Adult Male",3846487.87728403,20.1234635870528,3846424.82857924,3846473.41750487,3846487.44397869,3846501.82598305,3846543.51046632
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-3359674.82003156,2829.81263088844,-3367892.28775388,-3361591.76825049,-3359772.47673796,-3357750.61723553,-3350746.45991394
"Cml Pop Growth","Neonatal Female",-222351.07608278,1367.07253369381,-226958.358036132,-223259.92178614,-222432.566059786,-221462.829097119,-217261.591064552
"Cml Pop Growth","Neonatal Male",-4434.19435743028,1199.02866231729,-8476.06702605868,-5225.36179444977,-4424.90536780609,-3642.742713151,-644.986434988794
"Cml Pop Growth","Neonatal Combined",-226785.27044021,1861.27377769923,-232655.64659976,-227988.086900425,-226869.339504979,-225575.427054273,-220789.03939132
"Cml Pop Growth","Juvenile Female",432150.403854927,833.730290978915,429555.984651854,431576.502183742,432152.314764189,432715.448744014,434496.489556728
"Cml Pop Growth","Juvenile Male",322073.965570776,641.310028448163,320289.862574149,321634.25861379,322074.409584519,322495.474595458,324227.880584566
"Cml Pop Growth","Juvenile Combined",754224.369425703,1074.86760295326,751160.260328906,753464.353955152,754185.27101928,754912.295401043,757088.93871244
"Cml Pop Growth","Adult Female",-389548.493519599,166.120296403086,-390022.159003681,-389660.16231215,-389548.759629013,-389438.996750271,-389047.960211019
"Cml Pop Growth","Adult Male",-3497565.42549746,116.389045320824,-3497887.67592399,-3497650.51074337,-3497567.18836394,-3497481.77571702,-3497232.38883593
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",706475.40476401,2856.71261149935,698190.528396894,704545.357961423,706363.418298765,708448.300251355,715538.360280603
"Total Number Increase","Neonatal Female",-222351.07608278,1367.07253369381,-226958.358036132,-223259.92178614,-222432.566059786,-221462.829097119,-217261.591064552
"Total Number Increase","Neonatal Male",-4434.19435743028,1199.02866231729,-8476.06702605868,-5225.36179444977,-4424.90536780609,-3642.742713151,-644.986434988794
"Total Number Increase","Neonatal Combined",-226785.27044021,1861.27377769923,-232655.64659976,-227988.086900425,-226869.339504979,-225575.427054273,-220789.03939132
"Total Number Increase","Juvenile Female",459636.356816315,842.895710223664,457012.461282472,459057.400851551,459638.469231153,460208.763194482,462002.68273898
"Total Number Increase","Juvenile Male",398836.904963823,667.12112028088,396983.08833038,398375.652820719,398831.762784823,399280.552454869,401073.590843848
"Total Number Increase","Juvenile Combined",858473.261780138,1098.69640654888,855318.778253157,857700.322733065,858431.614103553,859169.412032862,861428.120817473
"Total Number Increase","Adult Female",-274135.038362495,167.416593038946,-274612.969591631,-274247.899275123,-274135.512087788,-274024.27404056,-273631.096252126
"Total Number Increase","Adult Male",348922.451786577,135.480091424411,348552.289784062,348821.837470917,348918.325966698,349018.662397048,349298.682996738
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",819620.957241334,2749.20173042113,811062.958204426,817721.421181316,819696.211069287,821561.524749718,827601.08942431
"Total Mortality","Neonatal Female",131762.21723939,2042.42543334211,124675.659053807,130404.764697959,131820.428047048,133143.202081701,138588.535730845
"Total Mortality","Neonatal Male",106732.985874566,1740.93379957627,101493.717387174,105567.949864193,106775.012637672,107896.848008636,112953.397728803
"Total Mortality","Neonatal Combined",238495.203113956,2686.97931140918,229982.917110285,236724.974619321,238594.74638408,240329.065209552,246924.731209356
"Total Mortality","Juvenile Female",96197.9325025939,476.829961637107,94478.9316553728,95863.4854755381,96178.8324694178,96508.3124440106,97637.8077941391
"Total Mortality","Juvenile Male",73286.4982311131,368.831382759225,72174.4368221569,73020.8588614755,73280.448897288,73546.493796199,74643.5615051872
"Total Mortality","Juvenile Combined",169484.430733707,605.881134124386,167666.078193431,169044.154894169,169465.819228026,169870.555647227,171292.635763886
"Total Mortality","Adult Female",411641.323393671,4.89783904980473,411626.108902977,411638.232193902,411641.349410842,411644.722206537,411654.527986344
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",12052634626.5693,25905825.3177425,11971407266.3611,12034943546.5313,12053243703.5722,12070181420.5157,12126542794.9435
"Value of Total Mortality","Neonatal Female",1220157265.56365,18913466.1216019,1154533632.02787,1207586851.86094,1220696314.93141,1232945595.36169,1283371002.23952
"Value of Total Mortality","Neonatal Male",895385338.878393,14604731.4925714,851433001.635896,885611826.459481,895737902.307757,905149003.623491,947568509.155432
"Value of Total Mortality","Neonatal Combined",2115542604.44204,23924408.2082398,2040291102.99883,2099902314.63955,2116206124.25279,2131627512.81802,2191641514.5048
"Value of Total Mortality","Juvenile Female",1108477799.50843,5494457.23899457,1088669948.89345,1104624004.57793,1108257712.00556,1112054272.15729,1125069318.19512
"Value of Total Mortality","Juvenile Male",1681121671.71343,8460636.62107582,1655612054.25324,1675028160.46733,1680982905.82287,1687085719.51984,1712251395.94637
"Value of Total Mortality","Juvenile Combined",2789599471.22185,10136390.0696821,2760206135.86871,2782387581.3485,2789649717.73595,2796241654.6861,2825927650.4326
"Value of Total Mortality","Adult Female",7147492550.90536,85043.133753932,7147228375.63256,7147438877.17032,7147493002.65188,7147551565.84935,7147721827.51683
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",2432573429.68842,407247311.467528,1376292800.75911,2144294158.63828,2443266692.05543,2718208412.64282,3489169015.48675
"Population Liveweight (kg)","Neonatal Female",46481766.938394,26473658.5712227,906366.550485513,22694301.1103508,47636472.7343027,68886389.300966,90806574.5926577
"Population Liveweight (kg)","Neonatal Male",40849522.0121034,23153228.2591249,809216.469962993,21049973.4646772,40963671.0387571,60796632.436348,81182102.4152413
"Population Liveweight (kg)","Juvenile Female",99402456.2338571,57071380.546827,1107007.46894968,50944896.1014904,99698431.0739996,148486205.317824,199637916.433997
"Population Liveweight (kg)","Juvenile Male",75738092.171795,44415232.5078773,851561.282228847,38332028.8142629,77557674.6856164,114265321.884401,153645120.642634
"Population Liveweight (kg)","Juvenile Combined",175140548.405652,71858377.4096942,5887110.71525115,120416906.596552,176283249.125085,227082733.474462,342294275.61243
"Population Liveweight (kg)","Adult Female",447537942.311125,256042663.683233,3661766.48806121,223374474.211043,457756571.531267,670071049.14745,878873900.330609
"Population Liveweight (kg)","Adult Male",1722563650.02114,299267832.311154,815784396.168729,1505833438.8862,1743321250.27547,1967694266.55963,2282392895.16851
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",1466304173.2875,239725952.276147,786973648.080201,1306153653.78487,1482955650.73908,1652194886.17006,1931299075.91716
"Offtake Liveweight (kg)","Juvenile Female",2525728.2951891,1417090.13930493,27462.125624668,1347151.39843682,2542338.45197837,3711695.86943416,4951909.59972055
