"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",3997296.93475621,41.9739427738259,3997175.60913124,3997268.13441528,3997296.58357673,3997326.55539949,3997433.76409122
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",28540.3009460601,9.17334440014435,28507.4372766566,28533.6874859851,28540.0340683086,28546.6024471395,28571.5777740232
"Num Offtake","Juvenile Male",79654.9156957417,25.4705470844878,79571.5186613014,79638.4951137095,79654.7163297333,79672.6126794564,79736.5465366484
"Num Offtake","Juvenile Combined",108195.216641802,27.1413894834489,108118.323383899,108176.297611122,108196.4293008,108214.579737099,108287.633978545
"Num Offtake","Adult Female",115552.020597711,1.07085636525297,115548.325322746,115551.224888168,115551.999168441,115552.76812182,115555.391290029
"Num Offtake","Adult Male",3773549.69751669,15.3542842847119,3773500.18277054,3773539.18294944,3773549.82146092,3773560.38850775,3773595.34720729
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-3407216.4823082,2747.37408918346,-3416827.69620597,-3409052.84229741,-3407240.40935083,-3405446.10160351,-3397815.24082544
"Cml Pop Growth","Neonatal Female",-221504.846042274,1377.24838981375,-226132.225873922,-222443.522094334,-221470.115570693,-220585.912855908,-217086.439620732
"Cml Pop Growth","Neonatal Male",-3549.16713035513,1157.76655017126,-7639.61698646331,-4271.29547557971,-3543.312069326,-2747.59682133058,-292.847495581605
"Cml Pop Growth","Neonatal Combined",-225054.013172629,1839.01732846532,-231363.13082729,-226301.557681102,-225071.410277455,-223863.979374293,-219158.862188256
"Cml Pop Growth","Juvenile Female",509879.398168743,764.247348617102,507308.532623545,509319.042983665,509864.084222379,510390.994401372,512575.922490857
"Cml Pop Growth","Juvenile Male",379470.967777299,586.529334020902,377404.741072091,379077.324627243,379489.968539401,379884.102098047,381407.186653956
"Cml Pop Growth","Juvenile Combined",889350.365946041,966.275152050249,886439.993791093,888645.476092006,889368.260485971,889981.143473895,892374.87699191
"Cml Pop Growth","Adult Female",-372993.713288849,145.223336591755,-373514.30137056,-373099.776414476,-372997.993179013,-372894.986308011,-372497.188685273
"Cml Pop Growth","Adult Male",-3698519.12179276,99.6727511323411,-3698846.42460367,-3698582.80038341,-3698519.28517118,-3698450.27615143,-3698197.19457641
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",590080.452448009,2771.4355193058,580415.794475291,588218.787623575,590046.578366403,591860.116679224,599556.830524344
"Total Number Increase","Neonatal Female",-221504.846042274,1377.24838981375,-226132.225873922,-222443.522094334,-221470.115570693,-220585.912855908,-217086.439620732
"Total Number Increase","Neonatal Male",-3549.16713035513,1157.76655017126,-7639.61698646331,-4271.29547557971,-3543.312069326,-2747.59682133058,-292.847495581605
"Total Number Increase","Neonatal Combined",-225054.013172629,1839.01732846532,-231363.13082729,-226301.557681102,-225071.410277455,-223863.979374293,-219158.862188256
"Total Number Increase","Juvenile Female",538419.699114803,772.798680533329,535815.969900202,537846.813256207,538400.668011091,538936.40907702,541147.50026488
"Total Number Increase","Juvenile Male",459125.88347304,610.253691976652,456977.703276412,458724.131764194,459146.522448867,459556.069882375,461141.357263946
"Total Number Increase","Juvenile Combined",997545.582587843,987.792595941851,994588.935445569,996831.568772517,997560.967756111,998191.811774728,1000625.80384011
"Total Number Increase","Adult Female",-257441.692691139,146.265839589507,-257965.976047814,-257548.356539054,-257446.176348739,-257342.128288618,-256941.797395244
"Total Number Increase","Adult Male",75030.5757239336,114.633029611894,74655.2646622355,74956.6285783605,75029.8622683252,75110.0441608781,75398.1526308772
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",937719.079296161,2692.90356642634,929039.558417151,935934.205279573,937623.408952606,939552.439066726,947038.206483934
"Total Mortality","Neonatal Female",131802.147862042,2092.80944443915,124543.503515884,130417.902144442,131769.487445887,133250.493082901,137517.075848028
"Total Mortality","Neonatal Male",106744.168409212,1715.44264900334,101473.752861136,105566.557397317,106666.49501197,107934.327763253,112669.79321887
"Total Mortality","Neonatal Combined",238546.316271254,2695.12518013432,229857.873453113,236759.195779972,238448.784561114,240382.204529791,247870.965492695
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",412135.540131834,3.81938770273789,412122.360317795,412132.702101133,412135.463700774,412138.206301157,412147.562267771
"Total Mortality","Adult Male",287037.222893073,1.16793244395307,287033.456525497,287036.423096482,287037.232320962,287038.036109442,287040.695262981
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",17835343753.6435,25855526.1151915,17758715469.8479,17818400497.1335,17834606169.2685,17852882096.3501,17931988409.6843
"Value of Total Mortality","Neonatal Female",1008210477.1084,16008786.2201116,952686030.821992,997621795.072376,1007960643.74614,1019289483.40554,1051926382.84176
"Value of Total Mortality","Neonatal Male",1274594023.33822,20483488.516366,1211661872.02543,1260532590.47544,1273666553.01949,1288805291.47669,1345349794.63227
"Value of Total Mortality","Neonatal Combined",2282804500.44663,25893534.2262881,2206025347.34871,2265858907.46596,2282114606.18836,2300324777.07401,2379560849.72437
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",5737164124.12153,53168.0769322905,5736980653.51804,5737124617.09936,5737163060.15715,5737201238.73432,5737331479.17897
"Value of Total Mortality","Adult Male",9815375129.07534,39938.0085525764,9815246336.3346,9815347779.64837,9815375451.4665,9815402937.39806,9815493868.4252
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",1399825278.05567,391597286.401645,374380411.513904,1114145885.2789,1397359849.59108,1669558999.03462,2389374193.59925
"Population Liveweight (kg)","Neonatal Female",45442658.3677907,26117096.2061289,906104.709929829,22653571.2784494,44556510.6252529,68919541.5192451,90903341.7926
"Population Liveweight (kg)","Neonatal Male",42073667.5418012,23904548.1605295,809469.719236479,21094720.2353058,43003345.8661158,63293242.2324121,81269513.2048617
"Population Liveweight (kg)","Juvenile Female",253982886.208494,43465395.135414,129458362.83807,224467056.459994,255447409.211694,287028747.935152,350798310.967812
"Population Liveweight (kg)","Juvenile Male",81825181.7901381,46320019.5632057,907944.603188192,43665117.7288333,80102016.891999,120994096.065395,163801648.703349
"Population Liveweight (kg)","Juvenile Combined",335808067.998632,63890425.7079548,152210123.515779,294983508.791643,334671754.447343,382279483.498101,496854607.338839
"Population Liveweight (kg)","Adult Female",443852538.10694,251419764.386705,3678411.7525368,239103292.079518,434065455.753249,663018023.141374,882801273.786385
"Population Liveweight (kg)","Adult Male",532648346.04051,300782361.942488,4403912.97094555,286269837.832884,513070579.354043,788351624.486145,1057026134.31068
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",480095572.529391,266590296.094755,23646671.2269509,233065805.572749,485789904.456165,718504373.426999,947543234.355236
"Offtake Liveweight (kg)","Juvenile Female",6112151.12971467,1068177.74390273,3082394.20857078,5381662.64452739,6166118.64780839,6905583.1675745,8304880.61089567
"Offtake Liveweight (kg)","Juvenile Male",7392044.31073617,4112510.85916527,79641.8427034783,3984647.1916216,7405888.03341325,10853606.0481225,14344613.0420534
"Offtake Liveweight (kg)","Adult Female",14108784.198888,7916849.20358592,115551.651707833,7395196.57260504,14559512.7834665,20799291.7296467,27732888.8737636
"Offtake Liveweight (kg)","Adult Male",452482592.890053,266064787.292116,3773523.22690922,210374313.417557,458486577.200902,690560200.568107,905653499.119442
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",1628205642.78578,278760303.819534,772962002.94225,1434113985.47986,1621923195.06764,1828831785.15443,2536449760.8774
"Manure","Overall",7755719784.01155,296180931.094891,6888003099.55175,7545260180.35587,7747035604.55922,7958177590.15702,8680730475.00895
"Manure","Neonatal Female",233006260.027274,5875037.2565067,215102326.561339,228965570.898263,233018215.758455,236877647.748098,251266136.663355
"Manure","Neonatal Male",192196084.191594,4823120.50649032,177800323.831757,189097443.007887,192346980.887328,195454474.800565,205452927.339324
"Manure","Neonatal Combined",425202344.218868,7572585.8873687,401894159.389254,419801523.180593,425435705.297989,430448571.333778,449736750.726766
"Manure","Juvenile Female",411564115.368183,13092027.1601414,358604720.630383,403029380.310028,411850804.907546,420209323.203418,451643669.015313
"Manure","Juvenile Male",313226460.80687,10417105.6111996,280100061.204074,306083932.520413,313031262.967071,320019957.668539,348074827.025931
"Manure","Juvenile Combined",724790576.175053,16651553.8289671,668625182.843374,713894998.916004,724175861.396211,735529139.423525,779817262.383896
"Manure","Adult Female",2606659753.98313,163649501.379522,2158246919.3689,2516688633.47138,2612669610.37993,2708206919.78334,3068465972.48358
"Manure","Adult Male",3999067109.6345,246081644.173265,3290456001.65908,3832468109.65189,4000442171.02704,4170067210.69148,4750514293.38423
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",349586.381512454,2.00051714379232,349579.391912649,349584.883585042,349586.325731752,349587.851833852,349592.76536158
"Hides","Juvenile Female",0,0,0,0,0,0,0
"Hides","Juvenile Male",0,0,0,0,0,0,0
"Hides","Juvenile Combined",0,0,0,0,0,0,0
"Hides","Adult Female",206067.770065917,1.90969385136895,206061.180158898,206066.351050567,206067.731850387,206069.103150579,206073.781133886
"Hides","Adult Male",143518.611446537,0.583966221976533,143516.728262749,143518.211548241,143518.616160481,143519.018054721,143520.34763149
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",152191647.745822,25498187.9215725,67740156.2172161,134388544.573547,152401104.181412,169865186.506863,231611479.016048
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",15856694802.1689,1255225154.94507,12155247566.0077,15025872807.0587,15869138992.4501,16701267510.8387,19495772274.395
"Cml Dry Matter","Neonatal Female",538676957.542623,50015070.1121229,386651174.572162,506930990.259837,537729520.193891,568920863.33774,717210286.230941
"Cml Dry Matter","Neonatal Male",444880019.288976,42397771.1949666,319746088.45689,418479281.474902,443326095.516239,468266941.754913,566985873.466687
"Cml Dry Matter","Neonatal Combined",983556976.831599,64985093.460768,781300034.281693,941336548.70892,982135278.69617,1029003997.97834,1185182163.6913
"Cml Dry Matter","Juvenile Female",1994023838.67297,98116652.0402569,1657264927.32706,1927242931.25975,1998268278.43014,2062647484.532,2310659447.81031
"Cml Dry Matter","Juvenile Male",682675470.921571,89310979.3139024,417596714.649246,619485604.060647,682277829.590364,744189539.884228,932261766.100933
"Cml Dry Matter","Juvenile Combined",2676699309.59454,133763513.643237,2242565016.35298,2584776228.67057,2680019095.92819,2766343998.96685,3162458953.56401
"Cml Dry Matter","Adult Female",4805470370.73258,667954734.195232,2644055890.19818,4347965246.94764,4801421420.18014,5259095776.21159,7104024726.31372
"Cml Dry Matter","Adult Male",7390968145.01018,1040609879.15842,4195833309.92167,6694187302.0988,7402685263.92379,8105069353.80556,10371984169.8557
"Cml Dry Matter","Oxen",0,0,0,0,0,0,0
"Value of Offtake","Overall",113387168827.294,18047817576.5033,68266341470.1029,99547188502.034,114534449091.889,127221346425.359,153065226357.887
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",427206931.310291,68711537.7480615,232183347.657394,377393113.848104,431067742.989946,480656103.050794,564885511.493891
"Value of Offtake","Juvenile Male",1419172274.68048,329053579.600073,479649134.620781,1181564289.02999,1453034913.23771,1669561836.7569,2094604070.64565
"Value of Offtake","Juvenile Combined",1846379205.99078,337418976.503317,895510156.29076,1615805969.1918,1878241912.75758,2095094330.26063,2584474310.89356
"Value of Offtake","Adult Female",1815804395.46178,284592112.52564,1140799359.79086,1591863447.40189,1802063037.58329,2021376521.39482,2538634115.59181
"Value of Offtake","Adult Male",109724985225.841,18048063859.2299,63836159001.0109,95671795649.1627,110638404067.924,123615737538.601,149842236655.307
"Value of Offtake","Oxen",0,0,0,0,0,0,0
"Value of draught","Overall",0,0,0,0,0,0,0
"Value of Herd Increase","Overall",-101893162854.498,17578357494.0712,-141504523826.066,-116131594013.706,-102083614337.063,-89278504720.3877,-60120593440.6586
"Value of Herd Increase","Neonatal Female",-1808390254.81794,241513004.429135,-2512339981.18434,-1968506501.16278,-1782056844.95789,-1616861459.37833,-1352034170.82111
"Value of Herd Increase","Neonatal Male",-35738755.9169118,12913468.5601042,-86458324.9877033,-44297002.5920154,-34579983.5424164,-26384515.6467072,-3106747.82635646
"Value of Herd Increase","Neonatal Combined",-1844129010.73485,241692322.005828,-2536849490.7891,-2009728665.64471,-1816563216.33562,-1654729841.15292,-1377933065.25548
"Value of Herd Increase","Juvenile Female",7629697193.55555,1262774994.38984,3941090558.96025,6697668184.96055,7720359287.50903,8598205369.96613,10178217558.383
"Value of Herd Increase","Juvenile Male",6660803375.83697,1581009663.14215,1991588598.32482,5552323368.56867,6730793104.95143,7862736284.43573,10006650132.2571
"Value of Herd Increase","Juvenile Combined",14290500569.3925,2017210435.33805,7502935446.06999,12937499493.9194,14331758994.3273,15722916226.8437,19537974995.5268
"Value of Herd Increase","Adult Female",-5909900882.69312,943237281.307089,-8111183225.86446,-6592526492.4232,-5911915625.08764,-5198113204.1152,-3588840072.7375
