"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",3988051.33247268,32.2432055626799,3987956.33571876,3988029.63713125,3988050.10427987,3988073.84608309,3988150.85773419
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",27879.5301545697,6.14431084864549,27859.1194154994,27875.5062537634,27879.8031204623,27883.8196044136,27898.0273286916
"Num Offtake","Juvenile Male",77850.5316639011,17.4071070534535,77801.8397932375,77838.2340871053,77850.5488192599,77861.9760874765,77898.6344327538
"Num Offtake","Juvenile Combined",105730.061818471,19.2224758324284,105674.709202817,105717.114843236,105729.723874723,105743.934710485,105789.23400432
"Num Offtake","Adult Female",115453.058336484,0.94139182394953,115450.11421994,115452.434910648,115453.096767909,115453.700989589,115456.122668359
"Num Offtake","Adult Male",3766868.21231773,13.581805353841,3766829.20309411,3766858.90119365,3766867.85623251,3766877.5413327,3766909.02222783
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-3352228.2694436,997.563699621876,-3355480.07663525,-3352925.67677629,-3352221.46274273,-3351554.442316,-3349204.75733749
"Cml Pop Growth","Neonatal Female",-138332.607418684,270.367062762116,-139169.880283053,-138496.149297897,-138335.657289956,-138161.366361924,-137277.87225075
"Cml Pop Growth","Neonatal Male",64946.0789513574,270.367062762123,64108.8060869888,64782.5370721439,64943.0290800858,65117.3200081175,66000.8141192924
"Cml Pop Growth","Neonatal Combined",-73386.5284673268,540.734125524239,-75061.0741960643,-73713.6122257532,-73392.62820987,-73044.0463538064,-71277.0581314572
"Cml Pop Growth","Juvenile Female",471826.570764377,424.508708154049,470179.381722389,471520.950558118,471831.112923462,472105.553089253,473121.046930661
"Cml Pop Growth","Juvenile Male",352608.932994548,336.042283911059,351690.898830052,352357.085208154,352600.654306373,352844.559176237,353596.136548187
"Cml Pop Growth","Juvenile Combined",824435.503758925,568.355175198449,822206.596130638,824043.75019514,824439.070988533,824835.990730283,826237.94677914
"Cml Pop Growth","Adult Female",-383279.736984011,95.923517902025,-383598.293068126,-383343.489305998,-383277.052809164,-383214.012636081,-382990.303491845
"Cml Pop Growth","Adult Male",-3719997.50775118,65.4170659493206,-3720185.62593688,-3720043.2559316,-3719997.79615893,-3719954.23544705,-3719821.71396118
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",635823.063029085,1015.28799022868,632513.628884652,635095.704577975,635820.036549288,636500.649826618,638912.05544633
"Total Number Increase","Neonatal Female",-138332.607418684,270.367062762116,-139169.880283053,-138496.149297897,-138335.657289956,-138161.366361924,-137277.87225075
"Total Number Increase","Neonatal Male",64946.0789513574,270.367062762123,64108.8060869888,64782.5370721439,64943.0290800858,65117.3200081175,66000.8141192924
"Total Number Increase","Neonatal Combined",-73386.5284673268,540.734125524239,-75061.0741960643,-73713.6122257532,-73392.62820987,-73044.0463538064,-71277.0581314572
"Total Number Increase","Juvenile Female",499706.100918947,429.011850283149,498042.112729332,499399.622600763,499706.681681314,499989.188131691,501011.519809234
"Total Number Increase","Juvenile Male",430459.464658449,349.324639859826,429497.498783543,430199.676904676,430452.263694022,430704.590640079,431474.668708892
"Total Number Increase","Juvenile Combined",930165.565577396,581.324986850051,927900.639908412,929763.265023568,930169.798467052,930571.427542545,932019.244184262
"Total Number Increase","Adult Female",-267826.678647528,96.8025255256051,-268148.178848186,-267890.908538601,-267823.979651129,-267760.757936351,-267534.678216045
"Total Number Increase","Adult Male",46870.7045665438,78.0779074674113,46651.8803844587,46815.5812331125,46870.6677524778,46922.2190035419,47086.1179351592
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",890694.244382721,615.39327155578,888626.936117053,890295.078251926,890685.323472054,891114.214669427,893017.604987298
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",97577.7942079276,485.316053865411,96154.7941575275,97259.3329428159,97591.8694337398,97897.6812360295,99370.1313645837
"Total Mortality","Juvenile Male",74338.5269901475,382.447663720296,73206.1313247759,74078.1050339026,74348.042486535,74609.1744172428,75479.7741558797
"Total Mortality","Juvenile Combined",171916.321198075,617.539965939847,169841.01184723,171512.457922556,171903.123644806,172338.436113815,174245.317612231
"Total Mortality","Adult Female",411782.574733458,3.35763083875698,411772.07405112,411780.351181312,411782.71180554,411784.866862868,411793.504183815
"Total Mortality","Adult Male",306995.348451187,1.10690123258427,306992.169245141,306994.589605478,306995.319430659,306996.108754983,306998.674411074
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",18641897221.113,7161820.00504698,18617902116.2458,18637314097.1935,18641890878.6667,18646688035.9443,18666311632.8378
