"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",4080295.07470197,11.7698901503556,4080255.53125989,4080287.12883381,4080294.85814815,4080302.92392606,4080344.00555789
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",29000.8737264539,1.71272685578351,28995.010425622,28999.6959113785,29000.8427663127,29002.031471385,29008.0027339863
"Num Offtake","Juvenile Male",80979.6879971656,6.17312132283525,80958.5363649104,80975.436207349,80979.5877090106,80983.8696510564,81005.381222491
"Num Offtake","Juvenile Combined",109980.561723619,7.88583941863233,109953.546790532,109975.132118728,109980.430475323,109985.902594325,110013.383956477
"Num Offtake","Adult Female",121185.748794049,0.201029007757173,121185.112109604,121185.608373602,121185.741703337,121185.880834507,121186.570081958
"Num Offtake","Adult Male",3849128.7641843,3.73949477797325,3849116.87235975,3849126.15990409,3849128.59537766,3849131.20083921,3849144.05151946
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-2477964.0563424,849.865242746323,-2480846.38746252,-2478506.56479396,-2477974.18147071,-2477381.0431394,-2474365.79146432
"Cml Pop Growth","Neonatal Female",-103212.185527975,288.156956565635,-104096.050707349,-103411.930481031,-103205.101321463,-103008.731316854,-102125.506373381
"Cml Pop Growth","Neonatal Male",100066.500842067,288.156956565647,99182.6356626922,99866.7558890107,100073.585048579,100269.955053188,101153.179996661
"Cml Pop Growth","Neonatal Combined",-3145.68468590812,576.313913131281,-4913.41504465707,-3545.17459201996,-3131.5162728841,-2738.77626366625,-972.326376719517
"Cml Pop Growth","Juvenile Female",560342.465532143,145.684345372525,559788.548171487,560242.023805675,560341.5878416,560439.269707837,560954.579122459
"Cml Pop Growth","Juvenile Male",420343.369436081,141.944364959368,419803.162509295,420247.073111469,420342.581126251,420437.759734604,420938.948212968
"Cml Pop Growth","Juvenile Combined",980685.834968225,287.625540530608,979591.710680783,980489.383587785,980684.33397492,980876.391488464,981893.527335427
"Cml Pop Growth","Adult Female",25535.0666633782,27.8043689237972,25439.7502351971,25515.9658083695,25534.647948799,25553.8907160111,25650.7808123743
"Cml Pop Growth","Adult Male",-3481039.27328809,24.4125348403005,-3481123.52524653,-3481055.58574006,-3481039.67621134,-3481022.39489801,-3480937.7732354
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",1602331.01835957,858.310576422972,1599409.14379737,1601779.55354867,1602330.55797002,1602917.11265574,1605978.21409357
"Total Number Increase","Neonatal Female",-103212.185527975,288.156956565635,-104096.050707349,-103411.930481031,-103205.101321463,-103008.731316854,-102125.506373381
"Total Number Increase","Neonatal Male",100066.500842067,288.156956565647,99182.6356626922,99866.7558890107,100073.585048579,100269.955053188,101153.179996661
"Total Number Increase","Neonatal Combined",-3145.68468590812,576.313913131281,-4913.41504465707,-3545.17459201996,-3131.5162728841,-2738.77626366625,-972.326376719517
"Total Number Increase","Juvenile Female",589343.339258597,147.283549435056,588783.558597109,589241.6966183,589342.802104682,589441.334297116,589962.581856445
"Total Number Increase","Juvenile Male",501323.057433247,147.706867076294,500761.698874206,501221.433276187,501322.546293317,501421.205221519,501944.329435459
"Total Number Increase","Juvenile Combined",1090666.39669184,294.990302481292,1089545.25747131,1090463.11860315,1090665.47068414,1090862.41425647,1091906.9112919
"Total Number Increase","Adult Female",146720.815457428,28.000441034435,146624.862344801,146701.521997333,146720.370990202,146739.797223712,146837.350894332
"Total Number Increase","Adult Male",368089.490896206,28.0596423764855,367993.347113226,368070.164578856,368089.035040954,368108.498413891,368206.278284051
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",0,0,0,0,0,0,0
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",1352994879.82707,434206593.344837,302652882.466645,1044152818.5082,1348079575.35118,1663916032.86755,2516722256.73185
"Population Liveweight (kg)","Neonatal Female",51776895.6161053,29117529.4253008,1025686.40561752,27705540.0887657,51289803.0675472,76985483.5302607,102636365.412479
"Population Liveweight (kg)","Neonatal Male",45991580.562513,26855168.2905894,915128.565399274,21986075.220691,45793328.2813888,68676949.8778998,91600075.5973626
"Population Liveweight (kg)","Juvenile Female",115210609.203155,64804524.9713845,1236034.39358413,59345783.1918453,116834452.870938,171847709.780698,222559603.411165
"Population Liveweight (kg)","Juvenile Male",85020231.1355984,49972359.9274296,950484.146115148,40881486.5332842,84601424.6863272,127376064.195716,171164668.144759
"Population Liveweight (kg)","Juvenile Combined",200230840.338753,81920728.8536825,13497623.8028413,141388399.829301,200061036.857896,258792254.133395,385579160.847665
"Population Liveweight (kg)","Adult Female",494200785.842277,278864280.347251,4076803.56847388,260917444.061528,489223500.849531,729762144.547098,978444525.682207
"Population Liveweight (kg)","Adult Male",560794777.467422,327576020.687625,4621587.58902874,272674260.991915,580007868.348544,851533051.582575,1109185664.8352
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",486869578.120376,269271937.878458,21494180.7221516,262061499.393393,478967712.175241,722915989.630131,965393206.840653
