"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",3978743.43127935,51.3591285958058,3978575.45020331,3978708.88853565,3978743.4528545,3978778.95787601,3978913.89558162
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",27542.4691078965,10.631776178278,27506.2807773078,27535.3679817657,27542.8282515257,27549.5190431979,27575.2203265556
"Num Offtake","Juvenile Male",76969.4416192033,29.8197667463117,76869.6082970192,76949.533658855,76968.7386604242,76990.0886687471,77072.2228339468
"Num Offtake","Juvenile Combined",104511.9107271,31.9234803782967,104403.335832575,104489.8689055,104511.927694812,104532.836177678,104616.942378617
"Num Offtake","Adult Female",121003.48701874,1.38668114711784,120999.275804271,121002.580329676,121003.486837741,121004.415040722,121007.220917475
"Num Offtake","Adult Male",3753228.03353351,20.267009151747,3753165.79908626,3753214.34144342,3753228.10111696,3753241.88655457,3753292.95826006
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-3146790.55388211,2838.39496894508,-3155443.23293184,-3148522.86087131,-3146667.13565438,-3144812.99735355,-3136596.15209622
"Cml Pop Growth","Neonatal Female",-189338.457902452,1438.33681658313,-193653.796162349,-190312.802771707,-189278.827757175,-188406.637148496,-185419.147293021
"Cml Pop Growth","Neonatal Male",28605.6727134675,1196.45106896081,23825.90538702,27859.2644708838,28579.8526302339,29399.7888162239,33040.7917292048
"Cml Pop Growth","Neonatal Combined",-160732.785188985,1914.71026342812,-166577.230177453,-161978.969394069,-160640.7771555,-159400.943039779,-155033.967160709
"Cml Pop Growth","Juvenile Female",441225.720757104,854.548015977028,438267.871300084,440672.014139998,441232.825713204,441798.591664127,443857.967884281
"Cml Pop Growth","Juvenile Male",331030.883136698,629.274469900255,328623.953932019,330641.8440018,331021.705548027,331435.536154318,332956.345710955
"Cml Pop Growth","Juvenile Combined",772256.603893802,1061.32999240638,768939.21811732,771587.75443695,772247.294671475,772941.759020099,776284.315794318
"Cml Pop Growth","Adult Female",1916.86750525899,172.229518608635,1328.36425415054,1800.98959519947,1921.54395158659,2029.76212609734,2448.61530991085
"Cml Pop Growth","Adult Male",-3760231.24009219,114.503913642682,-3760621.21161287,-3760307.28986603,-3760234.95317588,-3760150.62438549,-3759835.15064971
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
