"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",4066147.31621603,48.8557009671748,4065998.89483741,4066109.68479371,4066146.06887636,4066182.3734479,4066288.4986541
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",27485.0670564631,10.8196070084665,27450.0160318306,27477.8733504094,27485.294499653,27492.4327138833,27517.6885044712
"Num Offtake","Juvenile Male",76761.6686568563,28.2616685015771,76679.7417312452,76741.5356439801,76761.1319887174,76782.0486592435,76843.097748128
"Num Offtake","Juvenile Combined",104246.735713319,30.6964162730988,104151.669347351,104223.80593947,104245.835070492,104267.562544977,104334.048776019
"Num Offtake","Adult Female",115413.35639917,1.40288948219224,115408.878888029,115412.360825176,115413.377037355,115414.320583027,115417.353447551
"Num Offtake","Adult Male",3846487.22410354,19.128539281682,3846427.90138856,3846473.62352096,3846486.45495378,3846500.85050377,3846543.89697926
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-3360058.55727122,2891.91968876703,-3369374.65333455,-3362098.31659988,-3360207.01571431,-3358061.83112322,-3351328.07296889
"Cml Pop Growth","Neonatal Female",-222473.071353315,1412.39772186234,-226958.104732838,-223444.937051867,-222478.746730057,-221569.153798953,-216492.260428587
"Cml Pop Growth","Neonatal Male",-4575.74927904911,1173.59896775337,-9103.95412286988,-5343.31414550412,-4562.10268920695,-3806.67595656571,-925.689713257714
"Cml Pop Growth","Neonatal Combined",-227048.820632364,1924.54514647757,-233651.273804716,-228393.057603988,-227093.074867169,-225722.700925436,-221155.950542312
"Cml Pop Growth","Juvenile Female",432089.572458825,847.894876618847,429371.332511442,431513.516049563,432093.90541833,432690.514089035,434656.829002537
"Cml Pop Growth","Juvenile Male",322033.772572399,612.237424567457,320017.613034475,321615.352153156,322035.664689888,322458.598195088,324044.140397717
"Cml Pop Growth","Juvenile Combined",754123.345031224,1084.42619746902,751089.079502118,753373.118385715,754125.260853999,754840.214781567,757668.996113078
"Cml Pop Growth","Adult Female",-389562.533279517,170.563850915441,-390116.342320407,-389675.293605334,-389558.935548496,-389447.656712905,-389045.133744719
"Cml Pop Growth","Adult Male",-3497570.54839056,110.357456448336,-3497883.62079199,-3497648.93446679,-3497572.4290138,-3497491.54583965,-3497249.56027073
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",706088.758944814,2915.92402099489,696699.033022293,704038.288704029,705978.365256822,708086.057888802,714913.095956648
"Total Number Increase","Neonatal Female",-222473.071353315,1412.39772186234,-226958.104732838,-223444.937051867,-222478.746730057,-221569.153798953,-216492.260428587
"Total Number Increase","Neonatal Male",-4575.74927904911,1173.59896775337,-9103.95412286988,-5343.31414550412,-4562.10268920695,-3806.67595656571,-925.689713257714
"Total Number Increase","Neonatal Combined",-227048.820632364,1924.54514647757,-233651.273804716,-228393.057603988,-227093.074867169,-225722.700925436,-221155.950542312
"Total Number Increase","Juvenile Female",459574.639515288,857.377682581125,456829.360364098,458993.422733392,459578.578422299,460184.097098694,462174.517507008
"Total Number Increase","Juvenile Male",398795.441229256,636.716578758404,396724.686373166,398363.24617042,398792.004895193,399232.599075517,400887.238145845
"Total Number Increase","Juvenile Combined",858370.080744544,1107.05361698407,855293.53821678,857602.346084124,858375.195817402,859094.943336151,861961.875684699
"Total Number Increase","Adult Female",-274149.176880348,171.889435034492,-274707.121659919,-274263.003986833,-274145.500974679,-274033.391024418,-273628.197596865
"Total Number Increase","Adult Male",348916.675712982,128.46212955276,348544.280596565,348825.162018089,348914.23631235,349009.312087469,349286.807946036
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",819845.147784565,2768.42964867667,811538.426218224,817967.840933377,819941.470198121,821800.639390285,828180.036808792
"Total Mortality","Neonatal Female",131891.821807434,2105.13739086145,123683.310669428,130520.650198735,131960.300941492,133294.567193615,139585.256269004
"Total Mortality","Neonatal Male",106869.721846129,1668.34920812971,101764.004983446,105772.879476726,106872.596778317,107992.23684733,112659.002897347
