"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",3978862.67186591,41.4553111812181,3978733.80543672,3978835.00589807,3978863.62417127,3978890.8448658,3979004.74113661
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",28540.5149441212,9.10128644988196,28511.8210231813,28534.3665033712,28540.7933124171,28546.6981145382,28563.8411208253
"Num Offtake","Juvenile Male",79655.1108101634,24.9112948096539,79580.2412811125,79638.147279882,79654.7463214956,79672.3263839717,79743.0392245954
"Num Offtake","Juvenile Combined",108195.625754285,26.9404776472567,108113.538816517,108177.376742246,108196.412025497,108214.013781483,108285.484834074
"Num Offtake","Adult Female",115552.035280119,1.07265313657844,115548.866500283,115551.309261583,115552.036347791,115552.7577546,115554.869214466
"Num Offtake","Adult Male",3755115.01083151,15.0531210772901,3755068.91884656,3755104.69315321,3755114.96500498,3755125.03838394,3755167.31377882
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-3458599.48480392,2831.18721719531,-3467637.37537355,-3460520.05533333,-3458618.24534688,-3456631.74037129,-3450567.00413554
"Cml Pop Growth","Neonatal Female",-221475.645568116,1403.72770680428,-226561.182298893,-222414.214747418,-221460.26362089,-220474.89915528,-217595.270883717
"Cml Pop Growth","Neonatal Male",-3445.55416923146,1229.94557250215,-7249.75174354215,-4267.79192675883,-3446.87446336163,-2613.63032191125,270.696497647441
"Cml Pop Growth","Neonatal Combined",-224921.199737348,1881.28995239356,-230610.716997823,-226168.726093488,-224979.894001923,-223655.776762976,-219401.023717985
"Cml Pop Growth","Juvenile Female",509909.132253342,755.088234208138,507633.892251721,509392.212436327,509905.240074498,510404.509756831,512159.094526801
"Cml Pop Growth","Juvenile Male",379492.884840846,575.806094990655,377932.202766233,379105.664627054,379478.213171971,379862.479426869,381483.083617988
"Cml Pop Growth","Juvenile Combined",889402.017094188,980.548711044252,886385.851571206,888726.907257422,889399.761258014,890028.709522852,892325.815482777
"Cml Pop Growth","Adult Female",-372990.25448863,144.006123210646,-373445.213576832,-373087.1481699,-372985.601550867,-372893.137221249,-372617.417267566
"Cml Pop Growth","Adult Male",-3750090.04767213,97.1808346852876,-3750379.88921172,-3750157.41763616,-3750091.64526313,-3750024.02475072,-3749747.6490755
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",520263.187061997,2855.09290222584,511129.364722768,518318.959386079,520253.965361934,522222.174991924,528366.761793305
"Total Number Increase","Neonatal Female",-221475.645568116,1403.72770680428,-226561.182298893,-222414.214747418,-221460.26362089,-220474.89915528,-217595.270883717
"Total Number Increase","Neonatal Male",-3445.55416923146,1229.94557250215,-7249.75174354215,-4267.79192675883,-3446.87446336163,-2613.63032191125,270.696497647441
"Total Number Increase","Neonatal Combined",-224921.199737348,1881.28995239356,-230610.716997823,-226168.726093488,-224979.894001923,-223655.776762976,-219401.023717985
"Total Number Increase","Juvenile Female",538449.647197463,763.589637937488,536153.038746361,537927.388695483,538447.463740985,538951.251628281,540722.935647627
"Total Number Increase","Juvenile Male",459147.995651009,598.866229944251,457531.940246751,458745.292049097,459131.531675717,459534.641581994,461226.122842584
"Total Number Increase","Juvenile Combined",997597.642848473,1002.0287793934,994505.532621468,996914.250069183,997599.512068192,998242.391209997,1000592.39502786
"Total Number Increase","Adult Female",-257438.219208511,145.050844888621,-257896.34707655,-257535.872245097,-257433.770487104,-257340.189229379,-257063.212675555
