"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",3972810.28274804,51.7373676456218,3972675.72663236,3972774.47102683,3972812.69499437,3972845.57294269,3972967.54706136
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",27485.3100167436,11.0687497382786,27451.011120748,27477.3652824551,27485.1979565044,27493.1730793839,27520.8682895394
"Num Offtake","Juvenile Male",76761.3567742096,29.9443170812295,76673.6105958189,76740.8989513517,76762.2757367138,76781.5683796189,76850.8122680749
"Num Offtake","Juvenile Combined",104246.666790953,32.400959341181,104168.703761982,104223.385529018,104247.289380639,104269.87535837,104348.725185597
"Num Offtake","Adult Female",115413.398701252,1.43921309276807,115408.799536639,115412.392432852,115413.383171236,115414.412934145,115417.543793949
"Num Offtake","Adult Male",3753150.21725583,20.213392285604,3753092.29753305,3753136.83099345,3753150.93976471,3753163.60580951,3753209.98381868
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-3623437.69399692,2820.91835009121,-3631429.44424018,-3625423.13308983,-3623447.47272065,-3621539.56803704,-3613269.81557543
"Cml Pop Growth","Neonatal Female",-222470.531153369,1385.94660537648,-226939.637197901,-223425.587858011,-222473.1415044,-221522.992850165,-218138.475541867
"Cml Pop Growth","Neonatal Male",-4454.11690382566,1224.80890336492,-8605.47184673464,-5249.42431934379,-4462.16757596435,-3604.85631664185,-676.111640742049
"Cml Pop Growth","Neonatal Combined",-226924.648057195,1861.35317260321,-232760.729058197,-228168.804581028,-226954.058776664,-225660.240197016,-220024.359517404
"Cml Pop Growth","Juvenile Female",432083.456792695,845.628290557054,429422.745236081,431457.576783625,432116.076527682,432673.899099363,434980.398963689
"Cml Pop Growth","Juvenile Male",322054.156988637,652.511306941672,319754.453954891,321583.798783206,322085.589180235,322496.69292869,323859.730671672
"Cml Pop Growth","Juvenile Combined",754137.613781331,1081.11388328956,750909.201159168,753364.227106077,754159.097935757,754893.173881952,757821.392844242
"Cml Pop Growth","Adult Female",-389558.794626798,174.375593440453,-390096.664584402,-389684.264311064,-389563.824511244,-389433.929960884,-388994.006765548
"Cml Pop Growth","Adult Male",-3761091.86509426,115.095479580358,-3761440.99973438,-3761170.34586797,-3761089.73380548,-3761012.52240131,-3760743.92931939
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",349372.588751117,2848.41129477817,341310.544834505,347367.081649886,349369.437894415,351287.510452122,359641.165853776
"Total Number Increase","Neonatal Female",-222470.531153369,1385.94660537648,-226939.637197901,-223425.587858011,-222473.1415044,-221522.992850165,-218138.475541867
"Total Number Increase","Neonatal Male",-4454.11690382566,1224.80890336492,-8605.47184673464,-5249.42431934379,-4462.16757596435,-3604.85631664185,-676.111640742049
"Total Number Increase","Neonatal Combined",-226924.648057195,1861.35317260321,-232760.729058197,-228168.804581028,-226954.058776664,-225660.240197016,-220024.359517404
"Total Number Increase","Juvenile Female",459568.766809438,855.421417284087,456887.250737561,458936.410787791,459598.096299726,460168.325214262,462501.267253229
"Total Number Increase","Juvenile Male",398815.513762846,678.604369150273,396428.06455071,398331.655024457,398845.366674506,399281.831312021,400702.97468754
"Total Number Increase","Juvenile Combined",858384.280572285,1105.43598100915,855086.37237471,857588.371830913,858410.20242772,859158.502926119,862139.480665198
"Total Number Increase","Adult Female",-274145.395925546,175.7480402469,-274687.865047763,-274271.744016137,-274150.2834081,-274019.732311923,-273576.816079907
"Total Number Increase","Adult Male",-7941.64783842617,134.271600272141,-8336.17782499362,-8033.52362124575,-7937.48220711341,-7851.06221644685,-7540.12693651207
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",1176656.43527826,2767.07153978607,1167105.48104648,1174821.72328285,1176648.36136255,1178476.77939401,1185004.20629193
"Total Mortality","Neonatal Female",131915.765726081,2087.19424419612,124894.798124108,130509.099435035,131927.813605636,133237.180980514,138405.426549245
"Total Mortality","Neonatal Male",106749.457715603,1763.6815168721,101876.607034717,105532.84063216,106763.671720146,107967.790126263,112879.299682064
"Total Mortality","Neonatal Combined",238665.223441684,2703.52938986119,229749.631383475,236841.640767515,238695.538024949,240402.412436913,246386.356970369
"Total Mortality","Juvenile Female",96208.39743855,471.257432573806,94497.212147994,95886.4815720491,96198.1480580729,96525.531443072,97572.2023325554
"Total Mortality","Juvenile Male",73284.7864605473,382.356806781109,72018.5506725309,73020.7456124165,73288.2880219747,73549.1209919535,74501.3447920635
"Total Mortality","Juvenile Combined",169493.183899097,617.34886949726,167800.436694103,169066.946210003,169482.969754239,169925.376009644,171790.673203239
"Total Mortality","Adult Female",411641.122034464,5.13319336420431,411624.718347345,411637.533010507,411641.066644075,411644.739465116,411655.90619842
"Total Mortality","Adult Male",356856.905903014,1.92192910256565,356851.398781831,356855.633110853,356856.974600579,356858.178913035,356862.588625383
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",22602066779.3455,28318496.5764794,22506254851.3632,22583021731.5853,22602574792.4528,22621468102.0733,22689016870.0145
"Value of Total Mortality","Neonatal Female",1170862055.78156,18525583.580733,1108545133.20013,1158376723.37063,1170968990.72558,1182590714.39056,1228463189.13292
"Value of Total Mortality","Neonatal Male",1186617871.29172,19604933.3830146,1132451678.54647,1173094059.51201,1186775872.95444,1200160750.50255,1254756672.00559
"Value of Total Mortality","Neonatal Combined",2357479927.07328,26682834.0981695,2269836577.39098,2339710337.95836,2357975295.14024,2374880881.87401,2433255940.65627
"Value of Total Mortality","Juvenile Female",1228839288.19802,6019221.43409471,1206982862.24763,1224727559.13088,1228708376.11815,1232889940.06164,1246258734.73086
"Value of Total Mortality","Juvenile Male",1420603559.02691,7411871.77810535,1396057958.85665,1415485206.54614,1420671435.74275,1425727604.4697,1444186176.63399
"Value of Total Mortality","Juvenile Combined",2649442847.22493,9713177.59970097,2622514998.00297,2642657572.20415,2649340756.70948,2656203466.1259,2686606015.60919
"Value of Total Mortality","Adult Female",4966898126.27163,61937.5643921252,4966700197.93441,4966854820.79166,4966897457.9263,4966941774.50929,4967076513.29936
"Value of Total Mortality","Adult Male",12628245878.7757,68012.1159694324,12628050995.9551,12628200837.9425,12628248309.8054,12628290927.3183,12628446975.6695
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",1238677606.45044,394755773.056333,203063628.971233,941968679.873483,1256674385.1199,1530161159.0322,2175318475.20488
"Population Liveweight (kg)","Neonatal Female",45543503.8805616,25374696.6355986,906361.975425032,24438930.0957769,45285968.6688803,67881555.0552147,90716331.3796633
