"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",427205.931108012,44.0410553661163,427075.058561736,427177.674637587,427208.260414114,427235.344547959,427349.887319686
"Num Offtake","Neonatal Female",29687.5657349173,5.95302327356021,29669.8421556661,29683.7585181843,29687.8375242086,29691.5721969416,29706.9982058821
"Num Offtake","Neonatal Male",91023.8866941548,32.711900099019,90925.1130191982,91003.3074764538,91025.6248944295,91046.1351136786,91130.2667304122
"Num Offtake","Neonatal Combined",120711.452429072,38.6601230299861,120594.955174864,120687.027201341,120713.376094335,120737.5209743,120837.264936294
"Num Offtake","Juvenile Female",102246.571673418,4.7702908849588,102233.407781133,102243.513009903,102246.714617875,102249.780664964,102263.010032088
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",102246.571673418,4.7702908849588,102233.407781133,102243.513009903,102246.714617875,102249.780664964,102263.010032088
"Num Offtake","Adult Female",195673.508038174,0.544454319271577,195671.862118179,195673.161984489,195673.50014941,195673.873181306,195675.415449762
"Num Offtake","Adult Male",8574.39896734826,0.378903994318541,8573.25220116352,8574.158431612,8574.39343376587,8574.6530761111,8575.72675324078
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-66900.5484894627,219.909630684691,-67793.9509725939,-67049.9333334016,-66894.8941027061,-66750.7422019286,-66189.3898327223
"Cml Pop Growth","Neonatal Female",-33111.8292168076,80.5603746671828,-33474.5043408415,-33166.3252454194,-33112.4628576765,-33057.4748735156,-32844.3573028902
"Cml Pop Growth","Neonatal Male",66930.2719783669,67.5434471715888,66614.9001646974,66884.7242609744,66930.3913240488,66976.4486733087,67155.0882101801
"Cml Pop Growth","Neonatal Combined",33818.4427615594,147.592724864953,33140.3958238558,33719.3647616182,33817.4729629104,33917.0752020593,34302.448417235
"Cml Pop Growth","Juvenile Female",-37583.0864485426,40.5255080008675,-37707.1582811573,-37608.8127173464,-37581.5349714441,-37555.0475944086,-37452.4427522493
"Cml Pop Growth","Juvenile Male",84250.2841590078,37.5593603356407,84134.6995338587,84226.0917587851,84251.850851917,84276.1982487807,84371.0068695049
"Cml Pop Growth","Juvenile Combined",46667.1977104652,78.0805209737577,46427.5412527014,46617.2960577757,46670.3689640224,46721.0417854559,46918.5641172556
"Cml Pop Growth","Adult Female",-177915.324831064,7.54065249667693,-177935.809115468,-177920.132900592,-177915.095125221,-177910.230837762,-177889.484733052
"Cml Pop Growth","Adult Male",30529.1358695763,7.69611033235649,30508.1456920833,30524.1938233855,30529.3952476826,30534.340987756,30555.5581961086
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",360305.382618549,258.254647081776,359314.339905489,360133.461222651,360311.01848738,360478.562181797,361132.907300471
"Total Number Increase","Neonatal Female",-3424.2634818903,84.7927545069513,-3800.19466237949,-3481.48088958031,-3424.54514167539,-3365.45935807469,-3142.90152518014
"Total Number Increase","Neonatal Male",157954.158672522,90.7579577523026,157562.825765173,157893.380015715,157955.609736807,158016.663672248,158250.81347379
"Total Number Increase","Neonatal Combined",154529.895190631,175.395265157996,153762.631102794,154413.232475226,154531.316467831,154651.084348945,155107.91194861
"Total Number Increase","Juvenile Female",64663.4852248751,44.9939130997224,64527.0921900817,64635.0494956445,64665.7251899258,64694.2630214922,64809.4308648556
"Total Number Increase","Juvenile Male",84250.2841590078,37.5593603356407,84134.6995338587,84226.0917587851,84251.850851917,84276.1982487807,84371.0068695049
"Total Number Increase","Juvenile Combined",148913.769383883,82.5166820763175,148661.79172394,148861.708883771,148917.658458486,148970.345023459,149180.437734361
"Total Number Increase","Adult Female",17758.1832071103,8.07057539588503,17736.0582620685,17752.9840646154,17758.4513550044,17763.6522578894,17785.9307167102
"Total Number Increase","Adult Male",39103.5348369246,8.06512023284747,39081.4028482689,39098.3460532009,39103.7938647634,39108.9958960598,39131.2849493494
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",147815.165623228,16.0641295198738,147767.704950541,147805.046866768,147816.007485068,147825.725701234,147867.703932313
"Total Mortality","Neonatal Female",37514.2876104864,7.52245668204451,37491.8914512508,37509.4766729783,37514.6310533181,37519.3503215898,37538.8431874328
"Total Mortality","Neonatal Male",17820.1693668838,6.40416072361065,17800.8319854487,17816.1404777846,17820.5096624306,17824.5250433822,17840.9958810244
"Total Mortality","Neonatal Combined",55334.4569773702,13.9233201944816,55292.7234366995,55325.5295037708,55335.1355096575,55343.8745282447,55379.8390684572
"Total Mortality","Juvenile Female",22640.3122991139,1.05627869595515,22637.3974372509,22639.6350236213,22640.3439511009,22641.0228615277,22643.952221391
"Total Mortality","Juvenile Male",4848.83831977865,1.00007490887319,4846.09395318534,4848.19491059692,4848.87043923066,4849.51549111142,4852.27933371932
"Total Mortality","Juvenile Combined",27489.1506188926,2.05633145393993,27483.4913904363,27487.8334221212,27489.2208134022,27490.5363629522,27496.2315551103
"Total Mortality","Adult Female",64991.5580269649,0.180836613187081,64991.0113463951,64991.4430877054,64991.5554067682,64991.6793066482,64992.1915600996
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",2591867383.37705,186020.987377036,2591323928.1031,2591749213.43833,2591876894.03168,2591988903.62646,2592476589.98843
