"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",420740.104271467,42.1635497360067,420586.331433426,420711.884605622,420740.075069139,420769.375057314,420876.966381913
"Num Offtake","Neonatal Female",29690.6811851677,5.73685236572995,29669.7757465206,29686.8425112475,29690.7041557517,29694.6572833629,29709.266631278
"Num Offtake","Neonatal Male",91042.5945185757,31.4728581744426,90927.8999926359,91021.5840451512,91042.9527074161,91063.7807635248,91143.3759388961
"Num Offtake","Neonatal Combined",120733.275703743,37.2047012846303,120597.675739156,120708.420212425,120733.441398692,120758.372100116,120852.642570174
"Num Offtake","Juvenile Female",95654.6243548584,4.34980831763786,95638.3920167081,95651.7280161509,95654.6392334089,95657.6684506197,95669.1056648469
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",95654.6243548584,4.34980831763786,95638.3920167081,95651.7280161509,95654.6392334089,95657.6684506197,95669.1056648469
"Num Offtake","Adult Female",195777.775186633,0.54229293635566,195775.795328645,195777.414060101,195777.781402081,195778.157901736,195779.554290857
"Num Offtake","Adult Male",8574.42902623229,0.376307085562389,8573.055579906,8574.17891003687,8574.43363913681,8574.69459965087,8575.66385603488
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-60364.1187867232,209.140003798318,-61115.2994713841,-60496.7741856452,-60360.3069725333,-60231.0081076755,-59655.096923871
"Cml Pop Growth","Neonatal Female",-32979.2615668626,76.2176138046323,-33223.0654734797,-33027.2941349575,-32977.0728022683,-32930.4035548144,-32731.2332297221
"Cml Pop Growth","Neonatal Male",67049.4947591528,63.8700534967138,66852.7857124395,67008.1176582525,67049.9746124195,67091.2658458812,67259.2409960833
"Cml Pop Growth","Neonatal Combined",34070.2331922902,139.581441551122,33643.9440178903,33983.6276489713,34071.6403680013,34160.1435073301,34513.7338286048
"Cml Pop Growth","Juvenile Female",-32500.4904203734,39.1625270406702,-32642.6428720193,-32526.7148826293,-32499.5093978787,-32474.4162860785,-32377.3150378735
"Cml Pop Growth","Juvenile Male",84274.6710672819,36.0422701510116,84144.0457389924,84251.001308802,84275.2543647254,84299.0336687842,84387.1279166435
"Cml Pop Growth","Juvenile Combined",51774.1806469085,75.1992349998686,51501.4028669732,51724.4614975285,51775.6863933215,51824.0244694283,52009.81287877
"Cml Pop Growth","Adult Female",-176739.384112954,7.3903745386411,-176766.952562555,-176744.307295236,-176739.295195595,-176734.248690079,-176714.813167119
"Cml Pop Growth","Adult Male",30530.8514870321,7.51351818341411,30502.8177322899,30525.8228874847,30530.95571748,30536.0817804361,30555.8522560387
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",360375.985484744,245.875112481525,359471.031962041,360219.908945316,360374.819209787,360532.709201681,361209.324392677
"Total Number Increase","Neonatal Female",-3288.58038169482,80.2747321804928,-3553.28972695916,-3339.58315016163,-3286.4206116158,-3237.0000785659,-3023.66986411014
"Total Number Increase","Neonatal Male",158092.089277728,86.0732182227461,157794.909484006,158038.503270493,158094.285283639,158146.346077795,158381.349744272
"Total Number Increase","Neonatal Combined",154803.508896034,166.191547850594,154241.619757047,154697.760656449,154807.63749579,154911.224004426,155357.679880162
"Total Number Increase","Juvenile Female",63154.1339344849,43.2205887384467,62996.8315831355,63125.7067100768,63154.6754952479,63182.8994274492,63291.7906269734
"Total Number Increase","Juvenile Male",84274.6710672819,36.0422701510116,84144.0457389924,84251.001308802,84275.2543647254,84299.0336687842,84387.1279166435
"Total Number Increase","Juvenile Combined",147428.805001767,79.2250355297324,147140.877322128,147376.345636031,147430.43179886,147481.545146704,147678.918543617
"Total Number Increase","Adult Female",19038.3910736792,7.91864004076477,19008.8427660902,19033.0835919538,19038.4269816917,19043.9103690803,19064.7411237378
"Total Number Increase","Adult Male",39105.2805132644,7.88027086775726,39075.8733121959,39100.036297773,39105.3091890896,39110.7747046141,39131.5161120736
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",148027.24957516,15.5026350202428,147970.762308263,148016.981075601,148027.164322247,148038.115331508,148077.762634247
"Total Mortality","Neonatal Female",37518.224406712,7.24929526214992,37491.8075342396,37513.3737187583,37518.2534331771,37523.2487489768,37541.7096522513
"Total Mortality","Neonatal Male",17823.8318846226,6.16158772710922,17801.3776041921,17819.718566586,17823.9020089167,17827.9796142675,17843.5623316994
"Total Mortality","Neonatal Combined",55342.0562913345,13.4074444252054,55293.1851384317,55333.0735736913,55342.1713903998,55351.2466499784,55385.2719839507
"Total Mortality","Juvenile Female",22809.9488846201,1.03726198343695,22806.0780962919,22809.258219236,22809.9524325821,22810.6747843785,22813.4021200789
"Total Mortality","Juvenile Male",4849.05478364478,0.977153587601999,4845.4082907123,4848.40450092385,4849.05833944711,4849.73606337215,4852.30799789712
"Total Mortality","Juvenile Combined",27659.0036682649,2.01438939174385,27651.4863870042,27657.6674788184,27659.0138164207,27660.4147576997,27665.710117976
"Total Mortality","Adult Female",65026.1896155603,0.180118725289455,65025.5320198715,65026.0696699621,65026.1916799769,65026.3167316481,65026.7805323204
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",2595634249.19849,179800.021768022,2594979271.1635,2595515972.1202,2595634817.45661,2595760586.999,2596223823.94709
"Value of Total Mortality","Neonatal Female",417052582.50501,80583.1661340585,416758932.550608,416998662.257717,417052905.163197,417108433.093626,417313644.494425
"Value of Total Mortality","Neonatal Male",170770133.286569,59034.1720134333,170554998.825764,170730723.58646,170770805.147431,170809872.684297,170959170.700012
"Value of Total Mortality","Neonatal Combined",587822715.791579,139582.161572638,587313931.376372,587729311.327041,587823930.486409,587918720.966666,588272815.194437
"Value of Total Mortality","Juvenile Female",386354914.207695,17569.1434754557,386289350.794993,386343215.717419,386354974.303076,386367209.497804,386413405.109896
"Value of Total Mortality","Juvenile Male",100103886.953563,20172.3586624559,100028608.753465,100090462.517072,100103960.359546,100117951.292255,100171046.308588
"Value of Total Mortality","Juvenile Combined",486458801.161258,37741.0135487774,486317959.548457,486433775.239482,486458984.791137,486485227.51441,486584451.418484
"Value of Total Mortality","Adult Female",1521352732.24565,4214.05769687533,1521337347.13691,1521349925.99843,1521352780.54474,1521355706.25364,1521366557.33417
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",323350582.724793,106216692.499323,77082170.099508,237593869.872399,324197847.847852,411606692.425667,585227167.801
"Population Liveweight (kg)","Neonatal Female",18447762.566021,10584713.5463348,248933.053914267,9460152.51514021,17933066.3446176,27631282.7661032,36617906.6139905
"Population Liveweight (kg)","Neonatal Male",11067776.0957777,6265968.92990413,147527.76369383,5463573.72400917,11216194.7305694,16526022.0608775,21711836.0159584
"Population Liveweight (kg)","Juvenile Female",66516420.1459309,38223084.3803252,349718.659742842,33219800.6681094,65917600.4058944,99772720.8130595,131157878.927174
"Population Liveweight (kg)","Juvenile Male",23529732.3148596,13591234.7679662,125477.847543438,11417498.6808178,23462784.4731767,35385104.568071,47072505.2091247
"Population Liveweight (kg)","Juvenile Combined",90046152.4607905,40146682.1819414,3360712.75316116,58421272.9295953,90282103.8371873,122287395.673566,175925959.17298
"Population Liveweight (kg)","Adult Female",170709425.279861,95610703.1282508,609808.781606501,89033451.693188,170443566.440709,251397143.645797,335407232.440281
"Population Liveweight (kg)","Adult Male",33079466.3223429,4438182.35481728,18677843.3860868,30145340.7145721,33608128.2432526,36516467.5490769,41559401.5234393
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",77863375.5588622,32632350.8717248,5762171.73543374,52279323.9785266,78832041.1712444,104639379.101203,146361382.331402
"Offtake Liveweight (kg)","Juvenile Female",18243343.4534981,10395528.670302,95655.3152770056,9134514.34077249,18269356.9022587,27452329.434341,35875914.6243176
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",55153533.2682511,31162020.1731666,195776.651765124,28143119.9576686,56481800.0601072,82275644.4334119,107678037.615341
"Offtake Liveweight (kg)","Adult Male",4466498.83711299,590652.109609222,2647031.88184423,4059260.21859062,4535319.49479069,4926104.00396561,5566402.09233191
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",253866996.211235,34077242.6612983,148313635.123862,230071666.928594,254427291.198,278035968.473858,344446460.066649
"Manure","Overall",781231250.290548,28408365.4275068,694773692.546693,761582745.61723,780553511.741993,800888355.504933,885484187.42594
"Manure","Neonatal Female",62429943.4179883,1592320.25457086,56395849.0543796,61322085.3254227,62412515.2900199,63483550.4050036,67196148.7589121
"Manure","Neonatal Male",31296767.5373365,787618.637372881,28674474.4719982,30756451.8345473,31313099.0118319,31816264.2021062,33989334.26456
"Manure","Neonatal Combined",93726710.9553248,1811364.02387504,87823349.4362844,92528671.5556956,93710566.4882076,95019263.8803798,98860749.173666
"Manure","Juvenile Female",151242400.929751,5019926.84808298,134284453.425876,147849299.94787,151228064.299119,154501721.904786,167588786.354847
