"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",423430.143621747,42.3218452607556,423302.957231089,423401.273040272,423430.597780798,423457.275767788,423574.003050073
"Num Offtake","Neonatal Female",29700.9888581995,5.75002067738768,29683.6921304338,29697.0768383935,29701.051341745,29704.6755545321,29720.5512821349
"Num Offtake","Neonatal Male",91103.8628139053,31.6009320364363,91010.7735750288,91082.381328012,91104.6152531382,91124.7683625941,91211.1206224387
"Num Offtake","Neonatal Combined",120804.851672105,37.3459463833187,120694.465705463,120779.643618904,120805.599384914,120829.636379946,120931.671904574
"Num Offtake","Juvenile Female",97907.6603927065,4.37629269282027,97893.5968845232,97904.8181841545,97907.7450454293,97910.5063668169,97921.9739379631
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",97907.6603927065,4.37629269282027,97893.5968845232,97904.8181841545,97907.7450454293,97910.5063668169,97921.9739379631
"Num Offtake","Adult Female",196105.943479735,0.543990552825424,196104.326462817,196105.577935773,196105.952626435,196106.290075142,196107.603342005
"Num Offtake","Adult Male",8611.6880772008,0.377608629627364,8610.56817828601,8611.43463756498,8611.69538837112,8611.92794758714,8612.83998995495
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-34647.153981895,218.252446992114,-35287.3755742309,-34793.3561630787,-34662.1560997475,-34493.5418409411,-33818.3880897067
"Cml Pop Growth","Neonatal Female",-32571.5745221561,79.895869501988,-32796.0204829297,-32625.6807336613,-32573.5397322442,-32516.1692349893,-32267.6039154114
"Cml Pop Growth","Neonatal Male",67414.6642978505,67.1143626557501,67225.2111934517,67367.019559438,67412.1610902105,67459.7652665868,67669.421526236
"Cml Pop Growth","Neonatal Combined",34843.0897756944,146.5437707933,34441.7799841591,34741.1973623785,34840.9106078173,34941.4488103695,35396.8936308308
"Cml Pop Growth","Juvenile Female",-16182.6330663777,40.1987351194569,-16298.7673298376,-16209.949522677,-16181.9431179498,-16156.4134979516,-16046.63244261
"Cml Pop Growth","Juvenile Male",88415.2098919314,37.0901994010217,88309.6354570934,88390.0264400332,88415.9784365163,88439.3437617482,88540.2389847469
"Cml Pop Growth","Juvenile Combined",72232.5768255537,77.2838346445067,72010.8681272558,72180.3352152971,72234.0071957457,72283.2096165566,72493.6065421369
"Cml Pop Growth","Adult Female",-173011.222351906,7.43953974632103,-173035.288453783,-173016.074632206,-173011.139725382,-173006.452245961,-172986.662052052
"Cml Pop Growth","Adult Male",31288.4017687626,7.56709366832083,31263.9844984639,31283.4911553826,31288.4903248796,31293.297501047,31313.3241279888
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",388782.989639851,255.190520210873,388034.016430227,388613.146053483,388771.40548542,388965.739971872,389737.345799118
"Total Number Increase","Neonatal Female",-2870.58566395665,84.0018756488278,-3109.8247554823,-2927.27300917467,-2872.58792150558,-2811.15621942526,-2549.54393293841
"Total Number Increase","Neonatal Male",158518.527111756,89.7255409010217,158260.597440972,158458.629029916,158515.368936266,158581.097180181,158863.579544876
"Total Number Increase","Neonatal Combined",155647.941447799,173.57865763893,155150.772685489,155530.924255175,155642.666806729,155769.333824234,156314.035611937
"Total Number Increase","Juvenile Female",81725.0273263289,44.2840242792132,81594.8295546856,81694.630797075,81726.0764192242,81754.474595734,81875.341495353
"Total Number Increase","Juvenile Male",88415.2098919314,37.0901994010217,88309.6354570934,88390.0264400332,88415.9784365163,88439.3437617482,88540.2389847469
"Total Number Increase","Juvenile Combined",170140.23721826,81.3382011639393,169904.465011779,170084.930896924,170141.329490428,170193.30405862,170415.5804801
"Total Number Increase","Adult Female",23094.7211278287,7.96872491298817,23069.0380090346,23089.5268101128,23094.830004162,23099.8744790121,23120.8911943632
"Total Number Increase","Adult Male",39900.0898459634,7.93462518167075,39874.5526767499,39894.924178222,39900.2227951028,39905.2137269884,39926.1280891104
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",120502.264590801,13.6071704544427,120461.646223043,120493.053850853,120502.503309996,120511.099611213,120548.51741325
"Total Mortality","Neonatal Female",37531.2495571793,7.26593521960805,37509.3927830027,37526.3061866973,37531.3285136596,37535.9082007269,37555.969347425
"Total Mortality","Neonatal Male",17835.8266635674,6.18666134234452,17817.6021506042,17831.6211332305,17835.9739720933,17839.9194400008,17856.8250232662
"Total Mortality","Neonatal Combined",55367.0762207467,13.4491576579186,55326.9949336069,55357.984399049,55367.2737408938,55375.8761188893,55412.7943706911
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",65135.1883700547,0.180682576473853,65134.6512894357,65135.0669572389,65135.191408066,65135.3034892435,65135.7396814516
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
