"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",426715.600393671,43.3778259919243,426590.624743842,426686.300050012,426716.843674969,426744.892471292,426883.053167489
"Num Offtake","Neonatal Female",31134.1743343923,5.92556605986096,31117.1222223356,31130.1653410939,31134.3354754293,31138.1746163892,31157.0325425931
"Num Offtake","Neonatal Male",94560.6705393109,32.3941443500964,94468.2230122445,94538.7376555177,94561.0574355809,94582.7642791832,94684.3999595849
"Num Offtake","Neonatal Combined",125694.844873703,38.3143256899174,125585.34523458,125668.695830889,125695.236517275,125720.83208144,125841.432502178
"Num Offtake","Juvenile Female",96550.8702142624,4.44577098417028,96537.9186870959,96547.8849701789,96550.9600243402,96553.9446605537,96568.2570816191
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",96550.8702142624,4.44577098417028,96537.9186870959,96547.8849701789,96550.9600243402,96553.9446605537,96568.2570816191
"Num Offtake","Adult Female",195871.545970871,0.545350806752122,195869.793262674,195871.190637853,195871.549364523,195871.89593464,195873.60093627
"Num Offtake","Adult Male",8598.33933483449,0.377900817023289,8597.12324393466,8598.09297576289,8598.34140058895,8598.58193211519,8599.76264742197
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-11048.8955727927,218.602067836758,-11774.4136807066,-11197.0291636575,-11047.6180329998,-10913.2158443237,-10343.5986672151
"Cml Pop Growth","Neonatal Female",-9866.36497543723,80.0818023920952,-10123.1671686562,-9919.88433594529,-9866.04519660998,-9817.09368296008,-9594.45594792115
"Cml Pop Growth","Neonatal Male",76561.0443010059,66.6574719162393,76350.7834831796,76516.7095673957,76562.1149744893,76603.5890791837,76812.9268744677
"Cml Pop Growth","Neonatal Combined",66694.6793255687,146.186302200512,66228.7451058863,66597.0742730604,66696.1248292791,66786.2739631771,67218.4709265466
"Cml Pop Growth","Juvenile Female",-22211.3411829233,40.555655041043,-22325.6424684718,-22239.3583281563,-22211.6700907364,-22183.5675608345,-22058.5085400622
"Cml Pop Growth","Juvenile Male",88501.9185369458,37.1489517103175,88397.9050576146,88475.5641363778,88501.7424952109,88527.3683286092,88640.8114924433
"Cml Pop Growth","Juvenile Combined",66290.5773540226,77.6978229836659,66072.2625891427,66236.2372210875,66289.7556721283,66343.7513954528,66582.3029523811
"Cml Pop Growth","Adult Female",-175188.592700617,7.5691778768495,-175210.533801641,-175193.662519234,-175188.457479151,-175183.498639787,-175158.942376452
"Cml Pop Growth","Adult Male",31154.4404482332,7.6729240988161,31132.1985935662,31149.3200040312,31154.5522870317,31159.6536473675,31184.4885178706
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",415666.704820878,256.520486395041,414816.211063135,415490.314783865,415668.566622787,415830.324846141,416515.557712914
"Total Number Increase","Neonatal Female",21267.8093589551,84.3395875973237,20993.9550536793,21210.7086099486,21268.2587956834,21319.2036663463,21543.1727833281
"Total Number Increase","Neonatal Male",171121.714840317,89.7422217441062,170823.049119126,171061.12846853,171122.203654363,171175.776018898,171397.674335118
"Total Number Increase","Neonatal Combined",192389.524199272,173.955253907263,191817.004172805,192271.709015942,192390.658444564,192493.437193398,192939.558481129
"Total Number Increase","Juvenile Female",74339.5290313392,44.7175199982655,74212.3485999372,74309.3878913898,74339.9100094593,74369.9117406534,74509.7485415568
"Total Number Increase","Juvenile Male",88501.9185369458,37.1489517103175,88397.9050576146,88475.5641363778,88501.7424952109,88527.3683286092,88640.8114924433
"Total Number Increase","Juvenile Combined",162841.447568285,81.8263483022487,162610.253657552,162785.461947353,162840.828964922,162897.363763335,163150.560034
"Total Number Increase","Adult Female",20682.9532702535,8.10057506974778,20659.4779917647,20677.5421595174,20683.1061561397,20688.5165274773,20714.6585598176
"Total Number Increase","Adult Male",39752.7797830677,8.0412781933431,39729.4667744071,39747.3967494516,39752.9303110857,39758.3069521064,39784.2511652926
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",93010.3486559472,2.23461889437915,93003.8024347826,93008.8392488836,93010.3726185196,93011.8861062993,93019.0797485611
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",23023.6690510934,1.06014538853288,23020.5806099998,23022.9571851965,23023.6904673427,23024.4021882859,23027.8151502322
"Total Mortality","Juvenile Male",4929.3446931004,0.997118495974595,4926.45388002648,4928.67719693199,4929.36335857462,4930.0300620612,4933.24714449628
"Total Mortality","Juvenile Combined",27953.0137441938,2.05723391835356,27947.0344900263,27951.6338714347,27953.0546440385,27954.4278747578,27961.0622947285
"Total Mortality","Adult Female",65057.3349117535,0.181134375099748,65056.7527622453,65057.2168904297,65057.3360389309,65057.4511497197,65058.0174538326
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",2013817705.82717,42692.0838583149,2013692451.10696,2013788898.44723,2013818082.76966,2013846859.78273,2013984463.41548
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",389974906.387419,17956.7425909704,389922594.372177,389962848.802858,389975269.13585,389987324.265186,390045133.014634
"Value of Total Mortality","Juvenile Male",101761391.844365,20584.5142308995,101701713.899267,101747612.053464,101761777.174414,101775540.601191,101841954.050981
"Value of Total Mortality","Juvenile Combined",491736298.231784,38540.6975137785,491624308.271443,491710464.90787,491737070.28576,491762773.705254,491887087.065615
"Value of Total Mortality","Adult Female",1522081407.59538,4237.81983983648,1522067787.62549,1522078646.36849,1522081433.96683,1522084127.09884,1522097376.34987
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",319773660.255481,106516228.709472,64887442.6867541,239429013.618831,319597408.578399,398670583.800713,580369923.921359
"Population Liveweight (kg)","Neonatal Female",19957139.5719627,11529606.1354945,272072.742679152,10066587.3409121,19585780.654546,30018549.7144361,40019886.1728345
"Population Liveweight (kg)","Neonatal Male",23201739.893103,5395911.1822501,7856680.37571818,19242918.9186618,23602868.8011414,27312186.9852338,34239820.3497021
"Population Liveweight (kg)","Juvenile Female",66030088.6290958,39535745.6111921,359960.708181443,32673456.5256202,62648594.582346,103691786.628625,135012296.700117
"Population Liveweight (kg)","Juvenile Male",24582986.9470748,14034834.6188573,129623.526124247,12027551.2636653,24380059.2645463,36432966.0540343,48677011.392221
"Population Liveweight (kg)","Juvenile Combined",90613075.5761707,42041135.0561538,2275995.47791219,57194351.4326374,87003762.2270498,125826245.803991,179756764.85224
"Population Liveweight (kg)","Adult Female",168148473.06417,96116845.6823423,1222704.55773933,88034950.9337566,164459557.377931,251575223.973262,336249134.242854
"Population Liveweight (kg)","Adult Male",17853232.1500754,10327586.7623676,64774.6551588874,8809738.65582728,18200401.3281249,26620431.6894917,35629905.4286694
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",74554483.9782366,33638750.4241582,3130356.74846239,45905506.420826,74820019.5538204,102445727.413786,144428171.282171
"Offtake Liveweight (kg)","Juvenile Female",18115819.8172946,10535994.0470401,96553.9488035706,8786754.00858555,18248655.1462337,27323633.9462923,36205835.2253878
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",54051730.5698893,31424507.9868002,195871.443378804,27422063.051041,54060658.6627603,82266162.5438804,107729421.801868
"Offtake Liveweight (kg)","Adult Male",2386933.59105269,1360795.65532864,17195.9783505463,1218741.37502336,2459126.08578069,3525253.35235464,4729373.01870232
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",248223255.446019,34300236.2061056,151915634.93606,223609744.876648,247424911.132245,272215643.616606,361591810.352689
"Manure","Overall",788864532.390236,29182936.1028959,715725797.361496,769212065.860543,788611702.611157,808882634.856817,873986774.369877
"Manure","Neonatal Female",66042892.8036967,1671280.77188031,60929063.2425477,64915776.6571617,66065581.6272893,67197340.2857096,72554283.3745939
"Manure","Neonatal Male",32643982.5161806,813760.833533325,30274096.8666792,32095546.856249,32659644.9971768,33214722.739542,35155919.4984103
"Manure","Neonatal Combined",98686875.3198773,1870636.34437285,91935118.6483355,97384522.9632015,98736847.9917991,100003610.070729,104922854.38066
"Manure","Juvenile Female",153479789.378117,5144303.66168806,135325981.818595,150056515.064058,153594503.011496,156933361.614958,171883158.471335
"Manure","Juvenile Male",35985472.3192956,1189172.69537176,32150177.4218646,35240936.0816565,35971474.4385374,36800178.4930715,39510527.2266926
"Manure","Juvenile Combined",189465261.697413,5273602.37588608,172296543.266582,186128153.524989,189763186.734034,192841006.062313,207344085.395824
"Manure","Adult Female",468444724.875246,28760788.1201762,399784570.119557,450571274.835577,468055803.22685,486299786.117889,552178313.662518
"Manure","Adult Male",32267670.4976988,2062280.99662081,26673555.5813243,30925507.4490535,32170013.9711466,33723461.8703417,39062701.1645272
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",46505.1743279736,1.11730944718958,46501.9012173913,46504.4196244418,46505.1863092598,46505.9430531497,46509.5398742805
"Hides","Juvenile Female",11511.8345255467,0.530072694266438,11510.2903049999,11511.4785925982,11511.8452336713,11512.2010941429,11513.9075751161
"Hides","Juvenile Male",2464.6723465502,0.498559247987298,2463.22694001324,2464.338598466,2464.68167928731,2465.0150310306,2466.62357224814
"Hides","Juvenile Combined",13976.5068720969,1.02861695917678,13973.5172450131,13975.8169357174,13976.5273220193,13977.2139373789,13980.5311473643
"Hides","Adult Female",32528.6674558767,0.0905671875498742,32528.3763811226,32528.6084452148,32528.6680194655,32528.7255748599,32529.0087269163
"Hides","Adult Male",0,0,0,0,0,0,0
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",2118930083.76671,116432924.780249,1793360767.30701,2039639953.77909,2115427119.95037,2194643001.38467,2580852692.84538
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",3189182016.9621,312823951.016927,2257804371.10998,2972382043.73897,3183165692.55306,3401903041.47875,4192694444.33464
"Cml Dry Matter","Neonatal Female",203808270.108991,23469970.1434104,135389230.154491,186481805.883523,203384559.73814,220049845.201217,279302711.165399
"Cml Dry Matter","Neonatal Male",195110447.898413,13080592.3706895,153230738.844619,186134057.85591,195292555.574115,204841569.657385,229379986.26244
"Cml Dry Matter","Neonatal Combined",398918718.007404,27212604.6115191,324310052.614516,380555359.842082,399426422.228,415992937.898596,485521103.850541
"Cml Dry Matter","Juvenile Female",660928175.236943,100938449.081925,355010967.279039,588561353.579714,662153732.86843,732025810.192024,985674138.832281
"Cml Dry Matter","Juvenile Male",157425601.500799,23695743.8095042,62416266.4016226,141355457.716819,157751796.668417,172522424.841841,229708716.053334
"Cml Dry Matter","Juvenile Combined",818353776.737742,102663837.001411,496475534.322966,747038302.633396,816290382.172138,889853342.175078,1164564579.34309
"Cml Dry Matter","Adult Female",1844666108.29917,294438948.127988,1018298470.69797,1644396968.8325,1840875246.59907,2044842608.78866,2781159976.61769
"Cml Dry Matter","Adult Male",127243413.91779,20960519.1890352,62079069.0049965,111701441.360865,128498363.463323,142572672.703522,196701441.215028
"Cml Dry Matter","Oxen",0,0,0,0,0,0,0
"Value of Offtake","Overall",6547512085.89187,102110.740004215,6547207412.55158,6547443890.40507,6547513711.42767,6547582098.55536,6547909209.65324
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",1635378639.68918,75302.4689298762,1635159266.72203,1635328075.62489,1635380160.89227,1635430714.66046,1635673138.44846
"Value of Offtake","Juvenile Male",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Combined",1635378639.68918,75302.4689298762,1635159266.72203,1635328075.62489,1635380160.89227,1635430714.66046,1635673138.44846
"Value of Offtake","Adult Female",4582610689.53449,12759.0274747764,4582569683.17352,4582602376.1632,4582610768.93239,4582618877.28684,4582658767.50497
"Value of Offtake","Adult Male",329522756.668197,14482.6709116006,329476151.200552,329513315.203137,329522835.836171,329532053.966382,329577303.6998
"Value of Offtake","Oxen",0,0,0,0,0,0,0
"Value of draught","Overall",0,0,0,0,0,0,0
"Value of Herd Increase","Overall",-756721640.839423,3174478.69860758,-767198628.468692,-758916373.636397,-756690531.06597,-754667550.771763,-746082926.589473
"Value of Herd Increase","Neonatal Female",-109674513.06696,890189.315390531,-112529126.246783,-110269434.278368,-109670958.405517,-109126813.379784,-106651972.317091
"Value of Herd Increase","Neonatal Male",806884501.992732,702509.762272438,804668542.207579,806417253.80174,806895785.927641,807332885.664425,809539117.622703
"Value of Herd Increase","Neonatal Combined",697209988.925771,1586730.60294651,692151963.605585,696152653.720137,697226958.808693,698207387.24995,702887145.305611
"Value of Herd Increase","Juvenile Female",-376215696.956354,686931.685085187,-378151732.130976,-376690251.362312,-376221267.996893,-375745267.345414,-373627017.651574
"Value of Herd Increase","Juvenile Male",1827033606.27671,766902.959107795,1824886352.0094,1826489546.03138,1827029972.07113,1827558991.77581,1829900912.45
