"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",9325841.61329548,31.6256194772096,9325712.4865218,9325820.71822747,9325841.4818513,9325862.68017885,9325942.97941099
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",155618.870987984,6.29821219792351,155592.585384939,155614.7250113,155618.762992891,155622.936422088,155638.444611788
"Num Offtake","Juvenile Male",320463.068895839,14.5671918581407,320402.242896061,320453.468231218,320462.849609165,320472.426350554,320508.300801446
"Num Offtake","Juvenile Combined",476081.939883823,20.8653962764365,475994.828281,476068.1958893,476081.615625035,476095.366518953,476146.745413234
"Num Offtake","Adult Female",4421782.09158216,7.14744806037667,4421754.57633845,4421777.42070066,4421782.19308572,4421787.08744843,4421806.0012536
"Num Offtake","Adult Male",2225691.74325289,3.73373282800015,2225677.3989446,2225689.29822078,2225691.79397498,2225694.34311721,2225704.24058092
"Num Offtake","Oxen",2202285.83857661,0.0453330884872325,2202285.68295775,2202285.80826226,2202285.83795327,2202285.87022143,2202285.99216323
"Cml Pop Growth","Overall",-7934253.5714816,2971.3989397233,-7945936.40805534,-7936160.61809849,-7934196.27667706,-7932306.90845267,-7924842.37536992
"Cml Pop Growth","Neonatal Female",-745492.102014379,973.376900987764,-748770.237112156,-746096.241760314,-745466.150123895,-744871.180706446,-742284.231525126
"Cml Pop Growth","Neonatal Male",-582097.74249981,973.376900987763,-585375.877597589,-582701.882245747,-582071.790609327,-581476.821191879,-578889.872010558
"Cml Pop Growth","Neonatal Combined",-1327589.84451419,1946.75380197553,-1334146.11470974,-1328798.12400606,-1327537.94073322,-1326348.00189833,-1321174.10353568
"Cml Pop Growth","Juvenile Female",1059929.04320581,521.668450945422,1057753.9000033,1059592.8580161,1059929.75269735,1060267.3999676,1061488.04334452
"Cml Pop Growth","Juvenile Male",1051842.5757574,514.750003851207,1049698.35099452,1051511.79106743,1051842.60998731,1052177.539418,1053385.14803027
"Cml Pop Growth","Juvenile Combined",2111771.61896321,1036.41546061044,2107452.25099781,2111104.78294644,2111772.2968675,2112444.9393856,2114873.19137478
"Cml Pop Growth","Adult Female",-4471377.31430599,93.8365794522089,-4471771.44444513,-4471439.54332329,-4471378.728588,-4471316.79519587,-4471089.28958428
"Cml Pop Growth","Adult Male",-2084946.20083851,96.8990855424034,-2085352.48258138,-2085010.37009411,-2084947.77826156,-2084883.81133298,-2084647.67576485
"Cml Pop Growth","Oxen",-2162111.83078613,1.76028839308107,-2162118.6173169,-2162112.97693148,-2162111.8065583,-2162110.6001739,-2162105.94466984
"Total Number Increase","Overall",1391588.04181388,2994.85865400611,1379776.07846645,1389655.08266178,1391633.21559043,1393547.02820166,1401052.72508516
"Total Number Increase","Neonatal Female",-745492.102014379,973.376900987764,-748770.237112156,-746096.241760314,-745466.150123895,-744871.180706446,-742284.231525126
"Total Number Increase","Neonatal Male",-582097.74249981,973.376900987763,-585375.877597589,-582701.882245747,-582071.790609327,-581476.821191879,-578889.872010558
