"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",9375830.30896524,31.7528162462709,9375733.79555969,9375808.60681537,9375829.25732236,9375851.40669098,9375929.0218043
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",151058.56617581,6.31831144230565,151040.129333405,151054.28612405,151058.41707477,151062.763813383,151078.501536323
"Num Offtake","Juvenile Male",311207.956795759,14.6148071323203,311165.35856425,311198.054614349,311207.630719015,311217.657592948,311254.093088049
"Num Offtake","Juvenile Combined",462266.522971568,20.9331118355635,462205.487897654,462252.34034321,462266.047793785,462280.42196359,462332.594624372
"Num Offtake","Adult Female",4415832.91147601,7.17519790005021,4415809.71963984,4415828.24598077,4415832.7689964,4415837.66912178,4415855.15725237
"Num Offtake","Adult Male",2222958.3894975,3.74856465433491,2222946.25816571,2222955.95962106,2222958.32461373,2222960.87413884,2222970.01308726
"Num Offtake","Oxen",2274772.48502016,0.045927939979739,2274772.32985648,2274772.45538335,2274772.48363672,2274772.51431735,2274772.62658599
"Cml Pop Growth","Overall",-7679348.55520517,2885.69794487106,-7689130.98930962,-7681358.4177992,-7679524.19043435,-7677311.33669426,-7670335.58127069
"Cml Pop Growth","Neonatal Female",-749230.071354587,941.248628063046,-752663.936919136,-749875.090284272,-749250.780585931,-748588.235569412,-746545.128875483
"Cml Pop Growth","Neonatal Male",-585835.711840019,941.248628063027,-589269.577404568,-586480.730769704,-585856.421071362,-585193.876054844,-583150.769360916
"Cml Pop Growth","Neonatal Combined",-1335065.78319461,1882.49725612607,-1341933.5143237,-1336355.82105398,-1335107.20165729,-1333782.11162426,-1329695.8982364
"Cml Pop Growth","Juvenile Female",747021.825714005,515.694485436086,745528.945346276,746664.100963706,746999.541226667,747383.926870533,748737.910729001
"Cml Pop Growth","Juvenile Male",779710.720550153,508.830769407811,778238.014863058,779358.552720944,779687.958840542,780067.878507876,781403.73862292
"Cml Pop Growth","Juvenile Combined",1526732.54626416,1024.52263729135,1523766.96020933,1526023.39060962,1526688.35489199,1527451.52335916,1530141.64935192
"Cml Pop Growth","Adult Female",-4537876.92673929,94.0992192320463,-4538147.15204558,-4537940.49125348,-4537879.08194129,-4537814.57191927,-4537577.95345706
"Cml Pop Growth","Adult Male",-2145682.51007383,97.1919719898105,-2145962.94245183,-2145748.07444394,-2145684.22844406,-2145617.96818045,-2145374.31440599
"Cml Pop Growth","Oxen",-1187455.8814616,1.78819971763935,-1187461.66010152,-1187457.04453881,-1187455.91810103,-1187454.6962165,-1187450.33757591
"Total Number Increase","Overall",1696481.75376007,2909.39107834669,1686653.07638048,1694460.47957748,1696297.12580691,1698536.7771583,1705592.61434725
"Total Number Increase","Neonatal Female",-749230.071354587,941.248628063046,-752663.936919136,-749875.090284272,-749250.780585931,-748588.235569412,-746545.128875483
"Total Number Increase","Neonatal Male",-585835.711840019,941.248628063027,-589269.577404568,-586480.730769704,-585856.421071362,-585193.876054844,-583150.769360916
"Total Number Increase","Neonatal Combined",-1335065.78319461,1882.49725612607,-1341933.5143237,-1336355.82105398,-1335107.20165729,-1333782.11162426,-1329695.8982364
