"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",9677199.87616139,41.3592814957327,9677073.68845588,9677173.27260222,9677198.49171621,9677227.9876617,9677329.78427391
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",160069.417267909,8.25171782831291,160044.41333705,160064.069826056,160069.213404578,160075.05754239,160094.542486828
"Num Offtake","Juvenile Male",330635.242620791,19.0886108016439,330577.415167081,330622.865250072,330634.761376935,330648.265632551,330693.314031005
"Num Offtake","Juvenile Combined",490704.6598887,27.3403185432819,490621.828504131,490686.931981784,490703.979290096,490723.321940454,490787.856517832
"Num Offtake","Adult Female",4610549.23448774,9.33147924006173,4610520.67746668,4610543.17404703,4610549.10030624,4610555.79432667,4610579.81977314
"Num Offtake","Adult Male",2299609.55315019,4.85666903179649,2299594.68357894,2299606.41094266,2299609.49455819,2299612.97029878,2299625.48275079
"Num Offtake","Oxen",2276336.42863476,0.0585730109838209,2276336.24748314,2276336.38914588,2276336.42695659,2276336.46947293,2276336.62523215
"Cml Pop Growth","Overall",-1736792.42993175,3951.10435674933,-1750415.1439634,-1739524.24593192,-1736828.00707335,-1734065.0883811,-1725636.51974401
"Cml Pop Growth","Neonatal Female",257015.200146028,1313.64920071166,252373.669861668,256105.883677103,256977.196403622,257925.938742292,261081.973165435
"Cml Pop Growth","Neonatal Male",411298.197603208,1313.64920071174,406656.667318849,410388.881134283,411260.193860801,412208.936199473,415364.970622617
"Cml Pop Growth","Neonatal Combined",668313.397749236,2627.2984014234,659030.337180517,666494.764811386,668237.390264424,670134.874941765,676446.943788052
"Cml Pop Growth","Juvenile Female",1525649.54491459,696.199170383542,1523739.75134439,1525167.79361747,1525622.22512007,1526140.55784036,1527719.64955337
"Cml Pop Growth","Juvenile Male",1506944.03880212,687.092550411223,1505063.38981456,1506467.89090358,1506916.89026662,1507427.62776466,1508985.60354422
