"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1228853.32602524,1638.55451065787,1224935.76321445,1227677.45427678,1228626.74892661,1229929.57681759,1236014.94152687
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",30525.2763426634,229.759660688379,29959.4135582747,30364.494366197,30501.29629282,30676.560427137,31469.5563246197
"Num Offtake","Juvenile Male",67978.5917471224,683.427124930048,66294.5982036715,67500.3433616724,67909.5314054938,68427.4392059046,70783.6072422125
"Num Offtake","Juvenile Combined",98503.8680897859,913.186482961682,96254.0117619462,97864.8648109987,98410.9892688896,99103.9996330416,102253.163566832
"Num Offtake","Adult Female",143227.438726315,40.1135267463995,143136.903407355,143198.230013983,143221.590735813,143253.7337513,143414.544926766
"Num Offtake","Adult Male",987122.019209143,694.814116798728,985544.84804515,986612.376755964,987017.342948313,987577.826194965,990347.233033268
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",3496110.68839607,178365.382756627,3026336.57784289,3367744.58965095,3480892.89395982,3617205.32528346,4062961.74930174
"Cml Pop Growth","Neonatal Female",667797.100105742,61006.8329121251,517397.660091055,623973.920766976,662096.651666365,708723.730420196,875460.243562807
"Cml Pop Growth","Neonatal Male",730992.183893649,61006.8329121251,580592.743878962,687169.004554883,725291.735454272,771918.814208104,938655.327350715
"Cml Pop Growth","Neonatal Combined",1398789.28399939,122013.66582425,1097990.40397002,1311142.92532186,1387388.38712064,1480642.5446283,1814115.57091352
"Cml Pop Growth","Juvenile Female",1099954.72042666,29935.5988938623,1021037.41262755,1077907.45741803,1098079.8423465,1119090.49671576,1205928.83761613
"Cml Pop Growth","Juvenile Male",1195949.96524153,29556.2652905457,1118037.49812052,1174280.14327382,1194197.05829107,1214777.54135192,1300681.654332
"Cml Pop Growth","Juvenile Combined",2295904.68566819,59491.6945326087,2139074.91074807,2252183.58334549,2292293.84543642,2333894.67426713,2506610.49194812
"Cml Pop Growth","Adult Female",222050.473378284,5596.42389574205,208245.926084634,218145.683949911,221499.654843715,225716.680992091,244950.627281043
"Cml Pop Growth","Adult Male",-420633.754649789,5018.86786777052,-433089.863014555,-424151.809968368,-421175.218702731,-417340.933236905,-400483.839348163
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",4724964.01442132,179499.308777363,4251921.08147893,4595911.90512505,4709515.83645583,4846112.38617671,5293575.97134474
"Total Number Increase","Neonatal Female",667797.100105742,61006.8329121251,517397.660091055,623973.920766976,662096.651666365,708723.730420196,875460.243562807
"Total Number Increase","Neonatal Male",730992.183893649,61006.8329121251,580592.743878962,687169.004554883,725291.735454272,771918.814208104,938655.327350715
"Total Number Increase","Neonatal Combined",1398789.28399939,122013.66582425,1097990.40397002,1311142.92532186,1387388.38712064,1480642.5446283,1814115.57091352
"Total Number Increase","Juvenile Female",1130479.99676933,30148.9565234974,1050996.82618583,1108258.58064353,1128549.3501255,1149906.98341907,1237140.71322334
"Total Number Increase","Juvenile Male",1263928.55698865,30190.8320249414,1184332.09632419,1241680.38054562,1261971.06294876,1283430.98851687,1370706.03275524
"Total Number Increase","Juvenile Combined",2394408.55375798,60339.7824192055,2235328.92251002,2349938.96118915,2390529.70689731,2433337.97193594,2607846.74597858
"Total Number Increase","Adult Female",365277.912104599,5635.46539490231,351382.829491989,361342.745033591,364721.962711371,368967.437061405,388365.172207808
"Total Number Increase","Adult Male",566488.264559353,5695.22604108375,552454.985030595,562502.86134727,565912.761712449,570228.660049205,589863.393685105
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",0,0,0,0,0,0,0
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",3398040388.76954,249389586.365022,2537978192.48982,3225709200.02452,3417499855.41704,3565722009.26001,4084836763.07376
