"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1208198.67346133,49.0758406308159,1208050.11819325,1208164.40139283,1208198.88048562,1208231.50791973,1208356.69522725
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",27971.7340058869,8.35351096533615,27947.3767501816,27966.1502465184,27971.5255023607,27977.4921296398,28000.8584262758
"Num Offtake","Juvenile Male",60434.8081887645,23.7276819798883,60366.3736856868,60418.501787051,60434.1064703421,60451.1720420538,60513.3597487213
"Num Offtake","Juvenile Combined",88406.5421946513,25.4572345308163,88325.9267769953,88388.785982781,88406.8924238598,88423.9470631073,88483.5137562011
"Num Offtake","Adult Female",139365.817456881,1.46292577924885,139361.526324903,139364.850610936,139365.815511944,139366.785005312,139371.324570257
"Num Offtake","Adult Male",980426.313809795,24.2698555836011,980354.332164759,980410.096263282,980426.091493658,980442.620759817,980508.084360443
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",569032.380447323,4356.6804920412,554143.045565786,566047.291889252,568845.089485989,571991.102946602,581294.628838265
"Cml Pop Growth","Neonatal Female",-215139.882889436,2053.90829859794,-222509.754790955,-216521.461252526,-215184.079800687,-213741.294036601,-208900.753119902
"Cml Pop Growth","Neonatal Male",-147219.704174843,1990.33882964245,-153889.364176777,-148570.751982863,-147256.083781167,-145868.034942374,-141841.58225143
"Cml Pop Growth","Neonatal Combined",-362359.587064279,2918.65247691555,-371734.192172263,-364455.046989098,-362406.82466329,-360243.529919236,-354288.167121798
"Cml Pop Growth","Juvenile Female",696294.039038639,1069.76354021084,692854.192216001,695546.414390607,696269.143801593,697072.63009287,699384.12212225
"Cml Pop Growth","Juvenile Male",799600.256907434,1012.15425980722,796802.715464272,798899.298067639,799583.218645016,800283.898787451,802810.909836066
"Cml Pop Growth","Juvenile Combined",1495894.29594607,1500.64961027702,1490268.83927826,1494880.35867901,1495908.79849099,1496878.69295128,1500224.13860983
"Cml Pop Growth","Adult Female",-87349.2639427786,200.806248215048,-87934.6755369287,-87483.2548483775,-87354.3947323114,-87209.9007323666,-86652.238028558
"Cml Pop Growth","Adult Male",-477153.064491691,174.098621243424,-477655.648248911,-477272.74221836,-477158.478455389,-477031.973774958,-476580.267913134
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",1777231.05390865,4386.4901266625,1762193.16375904,1774263.3840691,1777028.57264063,1780208.41881029,1789589.1761058
