"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1208198.13174256,47.9844443215457,1208043.59986678,1208163.98354018,1208199.22790843,1208228.90874964,1208338.9491455
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",27971.64189678,8.01763634632874,27946.9307126945,27966.0577492178,27971.8883547186,27977.3198544661,27995.7198771611
"Num Offtake","Juvenile Male",60434.3844005912,23.2233506634469,60359.8330763391,60418.3662367189,60434.0957375252,60449.3496479543,60502.3045693739
"Num Offtake","Juvenile Combined",88406.0262973712,24.6850584870443,88328.799346577,88388.8640110942,88405.7572659692,88422.248684615,88476.3749903802
"Num Offtake","Adult Female",139365.80760292,1.42574530751444,139361.473041867,139364.797281661,139365.86270473,139366.829074903,139369.855420417
"Num Offtake","Adult Male",980426.297842272,23.9732813367553,980348.326670012,980409.393302741,980427.155981515,980442.322195995,980495.856769373
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",568775.521983518,4170.57952053279,555866.985007228,565921.856955498,568673.589438672,571461.384361527,581989.381548017
"Cml Pop Growth","Neonatal Female",-215121.298733552,1932.7370291835,-220895.01792843,-216354.237104113,-215136.721619926,-213855.224475768,-208755.947044557
"Cml Pop Growth","Neonatal Male",-147420.866483853,1941.1494804942,-152660.162998068,-148774.18054626,-147489.188584169,-146034.10842134,-140472.26374594
"Cml Pop Growth","Neonatal Combined",-362542.165217405,2825.03305701053,-372276.251177592,-364403.299311641,-362659.593811764,-360680.060625573,-352490.313584442
"Cml Pop Growth","Juvenile Female",696275.631389235,1003.9257228017,693339.739087595,695563.73623413,696311.417403673,696971.322959472,699261.346394061
"Cml Pop Growth","Juvenile Male",799550.146948582,980.682336630061,796818.562830281,798812.604013154,799529.801413956,800173.55609769,802431.473286913
