"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1204828.69548224,29.9928133440556,1204728.2142792,1204807.96998152,1204829.35253863,1204849.53805178,1204912.89142713
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",27291.6588509536,6.01835687813285,27274.3710372296,27287.7867039942,27291.5828462809,27295.642439352,27311.2123988777
"Num Offtake","Juvenile Male",59345.5127752724,12.8129660772085,59307.53866042,59336.9336210121,59345.8595757106,59354.042751056,59382.4526235403
"Num Offtake","Juvenile Combined",86637.171626226,14.6585021855399,86588.6573494272,86627.2891774013,86637.67726842,86646.8107274802,86681.5687379409
"Num Offtake","Adult Female",139212.025553,1.42163425152448,139207.734575513,139211.080858026,139212.079369919,139212.94258626,139216.585903148
"Num Offtake","Adult Male",978979.498303015,16.1270337684287,978929.752892475,978968.746032552,978979.932659227,978990.554297222,979025.5438251
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",685372.916202928,1437.16604692316,680151.417322041,684412.111250098,685344.222106795,686276.726276916,690483.048784049
"Cml Pop Growth","Neonatal Female",-97920.9439456492,393.661516185675,-99115.2749416288,-98183.9762741842,-97921.8873428797,-97650.7469266122,-96602.5914750923
"Cml Pop Growth","Neonatal Male",-34725.8601577421,393.661516185669,-35920.1911537217,-34988.8924862769,-34726.8035549724,-34455.6631387051,-33407.507687185
"Cml Pop Growth","Neonatal Combined",-132646.804103391,787.323032371344,-135035.46609535,-133172.868760461,-132648.690897852,-132106.410065317,-130010.099162277
"Cml Pop Growth","Juvenile Female",637170.990731016,622.328595570732,635205.405613803,636771.453389537,637168.03181676,637582.886094596,639104.473056362
"Cml Pop Growth","Juvenile Male",769114.996578141,496.372662911887,767679.949821361,768781.71677837,769118.924068926,769441.627165814,770804.522672392
"Cml Pop Growth","Juvenile Combined",1406285.98730916,840.717225865658,1403365.51462903,1405728.43193782,1406260.85285264,1406843.83995725,1409055.38613693
"Cml Pop Growth","Adult Female",-103483.07295865,142.957371337213,-103894.338088154,-103574.548631059,-103485.918261884,-103387.574524324,-103019.974903603
"Cml Pop Growth","Adult Male",-484783.194044187,91.8543437805135,-485049.881824533,-484843.885163386,-484781.621970099,-484721.815503528,-484514.07364485
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",1890201.61168517,1452.45109357972,1884915.63231629,1889232.02164344,1890180.12508832,1891105.71695879,1895395.79830791
"Total Number Increase","Neonatal Female",-97920.9439456492,393.661516185675,-99115.2749416288,-98183.9762741842,-97921.8873428797,-97650.7469266122,-96602.5914750923
"Total Number Increase","Neonatal Male",-34725.8601577421,393.661516185669,-35920.1911537217,-34988.8924862769,-34726.8035549724,-34455.6631387051,-33407.507687185
"Total Number Increase","Neonatal Combined",-132646.804103391,787.323032371344,-135035.46609535,-133172.868760461,-132648.690897852,-132106.410065317,-130010.099162277
"Total Number Increase","Juvenile Female",664462.64958197,626.732138187436,662483.325123356,664060.531309621,664457.144846278,664875.906432653,666415.685455239
"Total Number Increase","Juvenile Male",828460.509353413,505.831204774793,826993.219040015,828124.406073879,828460.242049648,828795.828798108,830186.975295933
"Total Number Increase","Juvenile Combined",1492923.15893538,850.914136488881,1489966.69793076,1492355.89009342,1492899.11244077,1493492.365646,1495727.7880179
"Total Number Increase","Adult Female",35728.9525943504,144.282285853334,35313.9793561381,35636.599897066,35726.2352115508,35824.6822659454,36196.6109995447
"Total Number Increase","Adult Male",494196.304258828,106.769327583956,493879.871067943,494124.818106712,494199.192132155,494267.383903089,494504.122507066
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",507302.46921988,898.413018755039,504507.43007801,506739.796212406,507336.379814821,507933.749948614,509943.456011599
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",143268.899032643,707.206452721577,140815.161292418,142813.313996475,143279.561303726,143696.138778745,145536.112403139
"Total Mortality","Juvenile Male",103821.486953196,548.837558106465,102230.696649932,103447.970188558,103828.454207097,104199.670834882,105338.241824639
"Total Mortality","Juvenile Combined",247090.385985839,899.695880680376,244286.831184117,246524.814995778,247123.637869148,247724.167659634,249736.692924801
"Total Mortality","Adult Female",259862.447698933,2.65371726951195,259854.437874291,259860.684268316,259862.548157182,259864.159494351,259870.960352542
"Total Mortality","Adult Male",349.63553510822,0.00575965491729485,349.61776889017,349.631695011626,349.635690235438,349.639483677579,349.651979937536
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",7987796071.49736,13579669.5913004,7947668369.40997,7978829092.21006,7987869366.0048,7997738314.59282,8027534507.69949
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",1906837790.02727,9412566.15012714,1874179761.09379,1900774179.78526,1906979699.5524,1912524138.55629,1937013272.36926
"Value of Total Mortality","Juvenile Male",1837994865.76708,9716299.0392787,1809832444.90685,1831382343.48648,1838118209.95406,1844690011.95747,1864846606.65571
"Value of Total Mortality","Juvenile Combined",3744832655.79435,13598118.9516193,3704566218.55103,3735875493.34856,3744924936.36139,3754766219.16907,3784656406.44164
"Value of Total Mortality","Adult Female",4232320305.87432,43220.4867815958,4232189851.69067,4232291585.28281,4232321942.01487,4232348185.49514,4232458949.51848
"Value of Total Mortality","Adult Male",10643109.8286856,175.327258544032,10642569.0146351,10642992.9339031,10643114.5508487,10643230.0254423,10643610.4188915
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",1256253992.55501,355037219.534474,374102251.052366,978817887.286036,1275640371.17648,1523678770.78745,2108196821.99766
"Population Liveweight (kg)","Neonatal Female",70972604.9958259,41105895.3606361,1441834.55136395,34629130.6218661,71419893.6844039,106736001.068594,144335693.054338
"Population Liveweight (kg)","Neonatal Male",167922817.894592,37632838.8610778,56308329.8494047,143460039.15091,172879761.785784,198016666.655302,238045385.015943
"Population Liveweight (kg)","Juvenile Female",145220957.358693,85248909.2391415,1667218.72585831,71742496.4041831,142597047.265449,213464997.016501,300217426.562227
"Population Liveweight (kg)","Juvenile Male",118754656.385376,69457527.454307,1358764.19307449,58107342.499094,121023350.298988,178080291.421886,244853098.951893
"Population Liveweight (kg)","Juvenile Combined",263975613.744069,109576988.873708,12107026.5462536,187934375.76694,261932956.77087,342773373.900896,533803669.249348
"Population Liveweight (kg)","Adult Female",569389099.363812,314432998.618263,4612748.12366696,299850244.150081,574308989.102693,839574569.070818,1107118638.39045
"Population Liveweight (kg)","Adult Male",183993856.556715,104788475.736129,1541382.96636178,90939059.929438,186506753.288484,272834905.599337,369995243.14127
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",141279076.792602,67687289.2029873,7452439.14028882,84545646.2498244,140869040.099509,199655272.567739,273710914.889479
"Offtake Liveweight (kg)","Juvenile Female",2526573.47920595,1445332.49482215,27285.1816336768,1228383.428994,2538043.4101885,3820292.96694825,4914346.54428919
