"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1202473.62865839,55.458631793263,1202293.46719637,1202436.34876588,1202474.31131557,1202512.78660189,1202633.66453581
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",26928.6682295115,10.142364010185,26895.2771477929,26921.992912343,26928.3089459412,26935.224660697,26964.0041247362
"Num Offtake","Juvenile Male",58320.8785177057,25.9149204318063,58231.5695757559,58303.4847191111,58320.1067732275,58339.200548203,58401.3003419773
"Num Offtake","Juvenile Combined",85249.5467472172,27.9385964469512,85158.5802300047,85231.4864831965,85249.4010730852,85269.0669002939,85331.2784212243
"Num Offtake","Adult Female",139157.083605573,2.06561822695431,139151.1029761,139155.673649902,139157.023460128,139158.413920136,139163.764516371
"Num Offtake","Adult Male",978066.998305602,28.6649215353181,977977.457049226,978047.639769714,978066.654554338,978087.658804305,978146.322893072
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",328345.75098888,4251.03778605245,316027.764373429,325522.797782777,328281.695394835,331034.724542259,343908.630482789
"Cml Pop Growth","Neonatal Female",-216662.691528352,2006.61655936619,-222712.883223916,-218127.703306419,-216642.445704764,-215188.111256387,-210175.47059956
"Cml Pop Growth","Neonatal Male",-149027.789536965,1922.8783449983,-154478.60355049,-150343.322717745,-149031.95127816,-147737.130643733,-141956.310715753
"Cml Pop Growth","Neonatal Combined",-365690.481065317,2796.5452094121,-373766.818711188,-367550.132729629,-365712.243683389,-363840.321847853,-353899.127609662
"Cml Pop Growth","Juvenile Female",581803.890558151,1179.99922849593,577326.813010712,581028.994910357,581773.580724944,582554.369861106,586051.298708288
"Cml Pop Growth","Juvenile Male",716889.050187804,1052.77253325739,713411.253222766,716145.36064614,716853.714727358,717615.192101588,720447.969633485
"Cml Pop Growth","Juvenile Combined",1298692.94074596,1601.76560939346,1292753.53006782,1297610.33694296,1298678.3182831,1299802.54967265,1303256.43590137
"Cml Pop Growth","Adult Female",-112247.721724784,242.485060580686,-113049.256065357,-112407.343479915,-112257.064191932,-112089.703528881,-111402.034374004
"Cml Pop Growth","Adult Male",-492408.986966973,188.525283852022,-493063.654914492,-492538.093879206,-492415.549338677,-492273.994867276,-491818.158015723
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",1530819.37964727,4281.20869440135,1518406.26357403,1527935.04652988,1530757.59085522,1533533.15651659,1546426.73847751
"Total Number Increase","Neonatal Female",-216662.691528352,2006.61655936619,-222712.883223916,-218127.703306419,-216642.445704764,-215188.111256387,-210175.47059956
"Total Number Increase","Neonatal Male",-149027.789536965,1922.8783449983,-154478.60355049,-150343.322717745,-149031.95127816,-147737.130643733,-141956.310715753
"Total Number Increase","Neonatal Combined",-365690.481065317,2796.5452094121,-373766.818711188,-367550.132729629,-365712.243683389,-363840.321847853,-353899.127609662
"Total Number Increase","Juvenile Female",608732.558787663,1188.7027589351,604227.983354695,607952.961129602,608705.868536209,609493.097695765,613010.780462573
"Total Number Increase","Juvenile Male",775209.92870551,1075.79064777601,771642.822798522,774445.63496886,775182.613038413,775951.183836717,778849.269975462
"Total Number Increase","Juvenile Combined",1383942.48749317,1623.66455767421,1377937.4560536,1382833.2793009,1383928.00597247,1385073.02535186,1388587.71432259
"Total Number Increase","Adult Female",26909.3618807896,244.443029693682,26101.9380850672,26748.8537756399,26900.0404864638,27068.6576281015,27761.7301423672
"Total Number Increase","Adult Male",485658.011338629,215.947818862938,484913.802134734,485513.065391593,485651.582380669,485810.69007199,486328.164877349
"Total Number Increase","Oxen",0,0,0,0,0,0,0
