"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",7392414.75929213,2048.99785403496,7388158.12440285,7390885.2245448,7392204.59151485,7393685.00864081,7400773.51704335
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",100912.410888042,585.658396571169,99594.2438560804,100482.340171312,100860.685062591,101299.351801621,103378.500353737
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",100912.410888042,585.658396571169,99594.2438560804,100482.340171312,100860.685062591,101299.351801621,103378.500353737
"Num Offtake","Adult Female",1165218.69468585,258.006942288175,1164691.66000425,1165027.35466466,1165192.95933619,1165378.12913116,1166249.55195693
"Num Offtake","Adult Male",977893.819454498,1174.36156382524,975481.532419857,977016.712878661,977774.77168459,978614.062819344,982598.689722224
"Num Offtake","Oxen",5148389.83426374,41.8964058425293,5148304.88401547,5148358.14460323,5148383.48562128,5148414.44842732,5148565.7106325
"Cml Pop Growth","Overall",4051482.90152164,481087.715634396,2627963.64838,3712880.35072612,4049530.15070036,4369302.35022627,5749196.97560439
"Cml Pop Growth","Neonatal Female",1584338.59435415,161439.873985597,1107500.03213617,1468057.23507292,1575440.17233134,1689365.8605984,2156576.49195737
"Cml Pop Growth","Neonatal Male",1277782.74996528,161439.407999916,800958.883026335,1161500.06814642,1268933.32553583,1382841.75203934,1849956.36465872
"Cml Pop Growth","Neonatal Combined",2862121.34431942,322879.278917981,1908458.91516251,2629557.30321934,2844373.49786717,3072184.66886708,4006532.85661609
"Cml Pop Growth","Juvenile Female",2226321.79021785,82178.4214634696,2018997.11934258,2165883.43322144,2223267.84680663,2285664.58416309,2571334.72372077
"Cml Pop Growth","Juvenile Male",2139684.08363609,82672.1246394876,1931381.3962293,2078818.60928686,2136615.40722715,2199541.04860415,2486891.6371699
