"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",6546050.87836158,377.939594467025,6544920.60103117,6545796.04327325,6546049.43160213,6546334.13887915,6547027.57752744
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",93068.5831198945,124.682438500846,92664.7882669283,92985.8812256439,93073.3331543344,93158.5274722211,93399.1665245623
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",93068.5831198945,124.682438500846,92664.7882669283,92985.8812256439,93073.3331543344,93158.5274722211,93399.1665245623
"Num Offtake","Adult Female",1151740.29745548,61.9962931952422,1151511.33342114,1151699.15675531,1151741.01002704,1151783.67348976,1151911.4816426
"Num Offtake","Adult Male",831761.557106241,274.889607888577,830851.871765475,831580.098640195,831766.604144365,831944.562569831,832655.098993653
"Num Offtake","Oxen",4469480.44067997,11.80220941028,4469439.87728611,4469472.48963756,4469480.59145033,4469488.4243434,4469518.60865603
"Cml Pop Growth","Overall",-2284283.86205349,77906.6570663473,-2502443.1810234,-2338940.82438486,-2284372.83865429,-2234564.42060365,-2045353.6889891
"Cml Pop Growth","Neonatal Female",-308547.112676263,29566.1160407147,-412930.359229596,-329839.98075987,-307165.779765113,-287374.08294061,-226107.859139989
"Cml Pop Growth","Neonatal Male",-637060.630921191,31311.0807494847,-731914.737451321,-658028.067432407,-636478.233291876,-615975.075615412,-544886.323718594
"Cml Pop Growth","Neonatal Combined",-945607.743597454,52353.0543119456,-1104017.49939474,-982298.698954326,-944518.482302293,-910793.096961312,-787628.151831274
"Cml Pop Growth","Juvenile Female",1046228.91795308,16202.2818899506,995223.52903414,1034701.03315466,1046564.44314904,1057952.69273088,1095638.39909587
"Cml Pop Growth","Juvenile Male",882857.240503635,17798.3132318138,823992.411491017,870765.368378229,882985.099443944,894451.419743732,940634.114347262
"Cml Pop Growth","Juvenile Combined",1929086.15845671,27923.2100612129,1841489.75035111,1910023.69001388,1928921.04658612,1947002.94691992,2014100.79980523
"Cml Pop Growth","Adult Female",-775267.663597479,3201.75026463155,-785654.194562612,-777393.972800048,-775150.908166519,-772943.282961155,-766763.745012295
"Cml Pop Growth","Adult Male",1485773.59997813,3296.77897911639,1475145.3084383,1483635.34832287,1485729.03936828,1488055.32086384,1496227.90341828
"Cml Pop Growth","Oxen",-3978268.2132934,201.476422555654,-3978932.04151241,-3978400.67412617,-3978264.87593762,-3978132.43063903,-3977614.43214909
"Total Number Increase","Overall",4261767.01630809,78131.8255813604,4042862.0635483,4206697.69057688,4261623.68495324,4311871.90654435,4501351.21927152
"Total Number Increase","Neonatal Female",-308547.112676263,29566.1160407147,-412930.359229596,-329839.98075987,-307165.779765113,-287374.08294061,-226107.859139989
"Total Number Increase","Neonatal Male",-637060.630921191,31311.0807494847,-731914.737451321,-658028.067432407,-636478.233291876,-615975.075615412,-544886.323718594
"Total Number Increase","Neonatal Combined",-945607.743597454,52353.0543119456,-1104017.49939474,-982298.698954326,-944518.482302293,-910793.096961312,-787628.151831274
"Total Number Increase","Juvenile Female",1139297.50107297,16312.4082667023,1088045.44947636,1127738.70507221,1139625.14415009,1151115.79816082,1188973.66638146
"Total Number Increase","Juvenile Male",882857.240503635,17798.3132318138,823992.411491017,870765.368378229,882985.099443944,894451.419743732,940634.114347262
"Total Number Increase","Juvenile Combined",2022154.74157661,28008.7759935151,1934311.67079333,2002993.64702079,2022098.67712233,2040139.6784579,2107429.52914484
"Total Number Increase","Adult Female",376472.633857998,3260.45767682846,365901.704787012,374311.806521172,376595.042001964,378843.940921108,385127.323625648
"Total Number Increase","Adult Male",2317535.15708437,3556.84806194913,2306088.86496387,2315198.65162603,2317509.05724475,2319979.99326841,2328883.00241193
"Total Number Increase","Oxen",491212.22738657,212.882343166717,490507.835773695,491071.725489546,491216.085125623,491353.969402666,491904.176506938
"Total Mortality","Overall",2493095.78263499,48409.3839668014,2329001.39048791,2458793.3846646,2492238.00066625,2528443.81220577,2652947.0850229
"Total Mortality","Neonatal Female",560458.039352376,32068.9694973442,463980.821505814,538200.156762711,559641.616543529,581933.261403973,656641.969104384
"Total Mortality","Neonatal Male",597756.854984223,34609.6904859394,495772.690710158,573117.709617161,597747.52604427,620276.868655627,721990.001611334
"Total Mortality","Neonatal Combined",1158214.8943366,47389.0006830795,1008982.44045756,1125608.05227516,1156452.3883633,1190432.51393755,1314787.62623574
"Total Mortality","Juvenile Female",377167.079649592,8131.79981335678,349885.972582143,371643.893460593,377236.556417794,382418.036422618,403393.363799496
"Total Mortality","Juvenile Male",448640.321510042,9819.9245495395,421138.024764247,441648.902248936,448695.391774741,455234.976247953,474541.540513746
"Total Mortality","Juvenile Combined",825807.401159634,12486.0132237382,784183.705751378,817466.323521052,825293.107680519,834011.20695885,862775.448078868
"Total Mortality","Adult Female",326272.038939229,17.5626892904374,326207.176606556,326260.384349947,326272.240800862,326284.326767638,326320.53304323
"Total Mortality","Adult Male",28681.4330036635,9.47895199615809,28650.0645436371,28675.1758151791,28681.6070394609,28687.7435368907,28712.2447928846
"Total Mortality","Oxen",154120.015195861,0.406972738285219,154118.616458142,154119.741021985,154120.020394839,154120.2904946,154121.331332966
"Value of Total Mortality","Overall",37440478625.747,543624230.787629,35559511808.7957,37073714786.9377,37421011088.1486,37824532063.5655,39153165890.7488
"Value of Total Mortality","Neonatal Female",6316917352.41126,361449057.142268,5229523526.76192,6066048964.61713,6307715458.52091,6558964380.55518,7401005530.67282
"Value of Total Mortality","Neonatal Male",5911315639.43584,342260909.163421,4902777501.86151,5667655087.26285,5911223384.01763,6134019750.49048,7139877614.87743
"Value of Total Mortality","Neonatal Combined",12228232991.8471,499957855.007162,10619133979.1797,11883229838.3809,12212870578.6348,12578020810.2062,13878428107.5735
"Value of Total Mortality","Juvenile Female",6401072986.52239,138008450.168676,5938072987.54552,6307336497.25408,6402252108.15873,6490189347.32579,6846171108.99051
"Value of Total Mortality","Juvenile Male",9265810761.8101,202811825.439657,8697803240.09658,9121416322.15779,9266948133.16715,9402010786.44295,9800751074.30975
"Value of Total Mortality","Juvenile Combined",15666883748.3325,240511450.930111,14871831223.4552,15501545014.7743,15655474280.0001,15822073725.5601,16387155624.5682
"Value of Total Mortality","Adult Female",7883081040.35758,424333.336724956,7881513897.10316,7882799453.0291,7883085917.5503,7883377927.4199,7884252709.71995
"Value of Total Mortality","Adult Male",1164148769.29982,384740.549719743,1162875556.97009,1163894796.69418,1164155833.22718,1164404907.11166,1165399386.9554
"Value of Total Mortality","Oxen",5305734020.23636,14010.4392027657,5305685867.30637,5305724581.5294,5305734199.21632,5305743497.66786,5305779329.5585
"Population Liveweight (kg)","Overall",11141409637.3438,882259478.84932,8459031243.06325,10528909347.2883,11125470392.1201,11777365153.69,14045984651.6514
"Population Liveweight (kg)","Neonatal Female",324679874.790696,67820782.3763729,108390742.983797,277493939.501099,329239664.119824,377077933.779966,458552467.672667
"Population Liveweight (kg)","Neonatal Male",361374188.64117,94842127.215595,134946337.43356,291899878.36403,363879780.586206,430992465.591419,586076082.052039
"Population Liveweight (kg)","Juvenile Female",927625596.300225,197504470.195247,521284898.060931,774396461.155828,914988772.701928,1067888915.36155,1479496749.11812
"Population Liveweight (kg)","Juvenile Male",1155688342.88913,252077075.571324,673076598.109355,953210549.863601,1139146871.92082,1333349140.38744,1845632970.94436
"Population Liveweight (kg)","Juvenile Combined",2083313939.18935,323184569.551294,1253937999.74099,1851473516.13807,2073282001.82109,2308152451.15852,3055982761.40695
"Population Liveweight (kg)","Adult Female",3847090595.23017,570377374.810978,2502865137.95633,3407351744.17304,3838906226.49087,4266128400.17784,5269828029.81181
"Population Liveweight (kg)","Adult Male",965131056.07069,153909548.838185,654751952.580264,844526596.864138,954020897.022985,1079306426.08874,1378215273.1511
"Population Liveweight (kg)","Oxen",3559819983.42174,568612739.501811,2302081196.52279,3119055538.8343,3524408801.35864,3972879515.88731,5020805079.98976
"Offtake Liveweight (kg)","Overall",1699662896.38183,204101146.716261,1243136274.89648,1541314689.60487,1687419753.85821,1853512882.33905,2243795039.17543
"Offtake Liveweight (kg)","Juvenile Female",15710600.8267807,3237499.47798722,8803514.02570273,13259775.209595,15565369.8094479,17978188.390031,24761874.3681081
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",276997534.885625,41504744.2524878,179754487.82291,246574134.266145,274482804.485361,306967749.658956,382127529.806181
"Offtake Liveweight (kg)","Adult Male",221645315.397744,35946050.1331694,148799483.680055,193805736.589446,220588543.440789,247799190.32844,314060523.581177
"Offtake Liveweight (kg)","Oxen",1185309445.27168,196370656.25853,775260106.129969,1028923425.64689,1174685865.11798,1332561405.09097,1710216566.72191
"Meat (kg)","Overall",5625140719.31153,222293611.339949,4933310910.53702,5479864430.82257,5615676041.21245,5762439650.83289,6380220917.7166
"Manure","Overall",30108449240.504,970875146.938181,26987967315.4945,29468554120.004,30119450877.8319,30774486846.365,33385469604.9957
"Manure","Neonatal Female",936818292.259141,23217490.5561265,866944382.399492,921280384.626079,937475155.392251,951776805.465594,1013398205.62802
"Manure","Neonatal Male",999096147.014362,25468353.4637425,930732519.092534,981856127.45859,998841930.235439,1016265848.92036,1073569593.18476
"Manure","Neonatal Combined",1935914439.2735,35774911.6362933,1805356773.12243,1911739015.43114,1936230004.56159,1960877919.15582,2044545501.81684
"Manure","Juvenile Female",2123318135.66724,73652825.3286942,1900549395.12673,2069347796.19126,2121679075.11979,2173808751.01962,2334633657.69505
"Manure","Juvenile Male",2515668531.61431,80935506.2454613,2169533189.57667,2463098136.87138,2517736259.36969,2566836335.95269,2758233853.2729
"Manure","Juvenile Combined",4638986667.28155,107436694.368757,4234474621.81793,4564359227.17826,4641935779.07254,4714323132.12341,4948682057.79541
"Manure","Adult Female",11158028809.3997,680044436.680464,9162869972.53564,10720743349.4075,11118870614.7648,11513456983.7034,13070982375.3397
"Manure","Adult Male",2055655763.72125,125018751.834032,1679988076.31171,1969254598.28611,2046795715.34579,2140128917.18674,2422212762.56207
"Manure","Oxen",10319863560.8281,635473890.186981,8500046893.79872,9923678830.34776,10321452243.6311,10709684803.4484,12486640180.3182
"Hides","Overall",667440.444149193,6239.39983718362,646643.655010903,663275.235413549,667175.932288891,671531.220972233,685911.631938591
"Hides","Juvenile Female",188583.539824796,4065.89990667839,174942.986291072,185821.946730296,188618.278208897,191209.018211309,201696.681899748
"Hides","Juvenile Male",224320.160755021,4909.96227476975,210569.012382124,220824.451124468,224347.69588737,227617.488123976,237270.770256873
"Hides","Juvenile Combined",412903.700579817,6243.0066118691,392091.852875689,408733.161760526,412646.55384026,417005.603479425,431387.724039434
"Hides","Adult Female",163136.019469614,8.78134464521872,163103.588303278,163130.192174973,163136.120400431,163142.163383819,163160.266521615
"Hides","Adult Male",14340.7165018317,4.73947599807904,14325.0322718185,14337.5879075896,14340.8035197304,14343.8717684454,14356.1223964423
"Hides","Oxen",77060.0075979305,0.203486369142609,77059.3082290709,77059.8705109925,77060.0101974194,77060.1452473,77060.6656664832
"Milk","Overall",1327497840.09814,217810350.597967,595817667.840782,1188420372.33521,1332992431.43762,1470582322.7927,1911445374.17922
"Wool","Overall",0,0,0,0,0,0,0
