"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",7392167.14407462,2008.47479355926,7386838.03193545,7390729.69473931,7391961.22884397,7393426.24633782,7400805.09808993
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",100878.769993884,572.806309307208,99359.5447296493,100470.103615582,100833.330305917,101245.420530137,103375.890326625
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",100878.769993884,572.806309307208,99359.5447296493,100470.103615582,100833.330305917,101245.420530137,103375.890326625
"Num Offtake","Adult Female",1165198.50539728,253.136002375801,1164530.40900742,1165016.68479868,1165171.2388347,1165355.26027373,1166322.53316347
"Num Offtake","Adult Male",977827.285432865,1152.27760169777,974789.435714274,977001.081296133,977701.818465444,978544.227173522,982908.982008905
"Num Offtake","Oxen",5148262.58325059,41.7288472600447,5148158.64248411,5148232.86404903,5148257.46833107,5148287.80001354,5148459.45944221
"Cml Pop Growth","Overall",4004144.57949685,472232.873367577,2685550.83176993,3670671.55991471,3987064.21146286,4307868.30276065,6003164.22185281
"Cml Pop Growth","Neonatal Female",1568661.27387299,159881.415230554,1125923.88309944,1455443.08494515,1561827.32299725,1671546.4001747,2331720.46323822
"Cml Pop Growth","Neonatal Male",1261924.96291974,159881.231200215,818764.176433093,1148676.86335857,1255043.46163121,1364748.40431144,2024518.85136918
"Cml Pop Growth","Neonatal Combined",2830586.23679273,319762.515362396,1944688.05953253,2604334.29656604,2816774.20777033,3036443.61546434,4356239.3146074
"Cml Pop Growth","Juvenile Female",2219951.35299405,80221.0239398984,1990170.62533295,2162630.62710376,2214429.90335157,2271838.75177471,2576537.09067859
"Cml Pop Growth","Juvenile Male",2133014.39310853,80701.488525052,1901930.5998479,2075407.38891289,2127436.86397394,2185217.08707075,2491832.52603276
"Cml Pop Growth","Juvenile Combined",4352965.74610257,160922.343569592,3892101.22518085,4237938.12440344,4341880.95055515,4456919.75933862,5068369.61671135
"Cml Pop Growth","Adult Female",-272912.110599348,14847.0519020581,-312293.324259756,-283490.270270921,-274106.607596872,-263412.892877542,-208046.209003355
"Cml Pop Growth","Adult Male",1595511.57045885,13679.1693804561,1559369.03059668,1585796.53574343,1594415.42160357,1604295.33763098,1655459.68657989
"Cml Pop Growth","Oxen",-4502006.86325795,722.780644890754,-4503937.30092034,-4502528.51793554,-4502084.5432257,-4501555.32447672,-4498807.36918927
"Total Number Increase","Overall",11396311.7235715,473566.004097433,10073243.2930058,11062885.1832336,11379142.8896296,11700194.7797296,13399954.2976992
"Total Number Increase","Neonatal Female",1568661.27387299,159881.415230554,1125923.88309944,1455443.08494515,1561827.32299725,1671546.4001747,2331720.46323822
"Total Number Increase","Neonatal Male",1261924.96291974,159881.231200215,818764.176433093,1148676.86335857,1255043.46163121,1364748.40431144,2024518.85136918
"Total Number Increase","Neonatal Combined",2830586.23679273,319762.515362396,1944688.05953253,2604334.29656604,2816774.20777033,3036443.61546434,4356239.3146074
"Total Number Increase","Juvenile Female",2320830.12298793,80753.2493096442,2089647.77393428,2263089.44007988,2315211.99985755,2373105.51126958,2679912.98100521
"Total Number Increase","Juvenile Male",2133014.39310853,80701.488525052,1901930.5998479,2075407.38891289,2127436.86397394,2185217.08707075,2491832.52603276
"Total Number Increase","Juvenile Combined",4453844.51609646,161454.660439524,3991578.37378218,4338512.70645935,4442670.33316198,4558308.01157225,5171745.50703798
"Total Number Increase","Adult Female",892286.394797929,15093.2776781816,852237.084747664,881529.167483473,891084.004958157,901949.288836951,958178.232750841
"Total Number Increase","Adult Male",2573338.85589172,14799.2753114972,2534158.46631096,2562794.34008496,2572142.90082211,2582827.88313176,2637964.35473092
"Total Number Increase","Oxen",646255.719992644,763.473454633179,644221.341563763,645704.615873049,646171.274282628,646732.501916313,649652.090252937
"Total Mortality","Overall",14887.4268874698,478.288911142368,13123.7397620821,14564.1483947491,14877.6734011812,15205.5074016642,16710.5491951282
"Total Mortality","Neonatal Female",5415.83300832169,300.74978913897,4393.53850874309,5208.94765439197,5408.83044894257,5618.14011185201,6534.27038273982
"Total Mortality","Neonatal Male",5744.4090575075,316.63351946966,4569.7858618837,5532.24496531671,5739.35124187604,5954.90122930963,6939.54050190733
"Total Mortality","Neonatal Combined",11160.2420658292,461.080995179118,9548.32806301434,10850.7379942557,11150.9196020322,11465.2880190425,12960.4643082232
"Total Mortality","Juvenile Female",1140.66460310316,62.8634214446185,924.560563122614,1097.79628427619,1140.64745932776,1182.61809117918,1361.27309754954
"Total Mortality","Juvenile Male",1347.38751409933,73.7792993002573,1072.97474835927,1298.21667058931,1345.21411951591,1396.91487048677,1666.03675687156
"Total Mortality","Juvenile Combined",2488.05211720249,98.0409242976181,2097.14962772788,2421.60079310346,2487.75978030071,2553.42123857299,2897.15570923616
"Total Mortality","Adult Female",363.723638397128,20.5921262925981,297.980110873926,349.817898035759,363.176587476536,377.500191550075,444.518068229314
"Total Mortality","Adult Male",39.5431104648599,2.11266836639681,32.0491457413948,38.0845447583584,39.5166576396624,40.9862323271586,48.2675804011907
"Total Mortality","Oxen",835.865955576151,42.5321608441209,692.98166197902,807.052295892068,835.440780858805,864.55900195975,1009.39735272695
"Value of Total Mortality","Overall",218727709.132652,6752722.34473584,192846163.094372,214151791.294624,218652822.211568,223161682.972712,245259731.060741
"Value of Total Mortality","Neonatal Female",72310133.9140378,4015496.32232785,58660848.1900267,69547879.6819511,72216638.4156228,75011261.0953154,87243082.5840526
