"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",7392465.48135728,2054.24889617546,7387414.39731485,7390987.74819075,7392223.67429495,7393761.99016854,7402403.2933536
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",100925.089490182,586.199022564207,99438.9645520127,100505.879345845,100866.550447043,101300.000213048,103613.109207374
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",100925.089490182,586.199022564207,99438.9645520127,100505.879345845,100866.550447043,101300.000213048,103613.109207374
"Num Offtake","Adult Female",1165228.1937707,258.751150112363,1164604.70190648,1165041.55216555,1165194.77241461,1165390.56987432,1166498.60132727
"Num Offtake","Adult Male",977921.473629927,1177.86969401298,975074.393977688,977070.512611552,977771.595376798,978663.332107258,983687.602383077
"Num Offtake","Oxen",5148390.72446647,41.9310463233549,5148296.33687866,5148359.95506983,5148384.2956429,5148416.08290221,5148603.98043589
"Cml Pop Growth","Overall",4051973.41690407,480706.26532616,2521673.67356838,3709186.0413116,4021950.42736873,4369492.43996435,6092355.2632186
"Cml Pop Growth","Neonatal Female",1583238.09904963,162336.772247344,1065641.54537718,1467868.25721169,1571309.28358534,1686428.5451914,2198514.445315
"Cml Pop Growth","Neonatal Male",1276697.6868686,162336.772247344,759101.133196151,1161327.84503067,1264768.87140431,1379888.13301037,1891974.03313397
"Cml Pop Growth","Neonatal Combined",2859935.78591823,324673.544494687,1824742.67857333,2629196.10224236,2836078.15498965,3066316.67820177,4090488.47844896
"Cml Pop Growth","Juvenile Female",2227276.06351119,81951.5438616029,1992184.78234545,2169372.65583611,2221206.9455619,2280101.742481,2606634.27922069
"Cml Pop Growth","Juvenile Male",2140658.27123817,82443.5374474432,1904245.2975943,2082350.94105832,2134557.81333028,2193794.66027561,2522213.5373705
"Cml Pop Growth","Juvenile Combined",4367934.33474936,164394.984675315,3896430.07993975,4251736.51709789,4355781.95684324,4473898.86627447,5128847.81659119
"Cml Pop Growth","Adult Female",-271372.920967613,15194.062838108,-309933.709137129,-282231.180677584,-272845.329044252,-261679.441443599,-201993.529346373
"Cml Pop Growth","Adult Male",1596713.02529782,13998.3424141486,1561122.70655878,1586669.31573239,1595361.43203231,1605694.92838216,1660260.70800771
"Cml Pop Growth","Oxen",-4501236.80809373,738.164855955763,-4503026.51733461,-4501770.69833597,-4501329.57600897,-4500771.0647204,-4497634.24356474
"Total Number Increase","Overall",11444438.8982613,482093.510888088,9910101.7772158,11100881.5225712,11414713.8985073,11762834.1077259,13493028.6715712
