"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",6567879.51066569,1793.25220534692,6563273.21412971,6566579.89844078,6567701.41643446,6568994.85555964,6576054.0126747
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",97064.754859073,557.027761897456,95551.4686154553,96666.8662821611,97020.2241848143,97417.2234351838,99507.0624937511
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",97064.754859073,557.027761897456,95551.4686154553,96666.8662821611,97020.2241848143,97417.2234351838,99507.0624937511
"Num Offtake","Adult Female",1163396.04613783,250.821970171272,1162753.03206364,1163213.06488158,1163371.39534066,1163551.31997518,1164525.1807021
"Num Offtake","Adult Male",837749.35383246,983.255935934362,835307.080541399,837044.803864067,837653.538808893,838363.030775039,842288.504943192
"Num Offtake","Oxen",4469669.35583632,36.0173545163654,4469581.83674404,4469643.24727977,4469665.47601359,4469691.62868215,4469836.78509856
"Cml Pop Growth","Overall",2432894.65730437,448732.059731261,1123401.56430452,2117466.58598215,2408712.24827892,2723734.72722571,4438639.2472133
"Cml Pop Growth","Neonatal Female",1130088.77974932,154740.827922401,654158.479358536,1020706.48930097,1123023.35443556,1228912.49134762,1890085.14758961
"Cml Pop Growth","Neonatal Male",800014.932008668,154730.410851489,317185.349156191,690783.924207391,791465.27125305,899127.315552664,1580590.91183318
"Cml Pop Growth","Neonatal Combined",1930103.71175799,307053.903940142,1000564.94855968,1713620.61336518,1913850.49505708,2124081.57173951,3470676.05942279
"Cml Pop Growth","Juvenile Female",1712636.39422089,76056.3482471659,1462848.51516398,1658458.76142237,1708396.93544658,1760761.51241559,2052995.23107855
"Cml Pop Growth","Juvenile Male",1551807.5415282,76627.3693681027,1312018.89142849,1497514.09089291,1547640.59766459,1599835.69966206,1898020.45722164
"Cml Pop Growth","Juvenile Combined",3264443.93574909,151287.857056356,2774867.40659247,3156210.61659377,3255716.88074942,3359080.5114146,3951015.68830019
"Cml Pop Growth","Adult Female",-370990.686230255,14427.3326425658,-410235.317242354,-381284.789445657,-372130.972998928,-361790.182451277,-307834.546924749
"Cml Pop Growth","Adult Male",1583155.63443649,13411.1447823538,1546509.75488291,1573607.38119271,1582076.91377462,1591437.83511849,1642431.31493684
"Cml Pop Growth","Oxen",-3973817.93840894,726.305669247852,-3975625.65091536,-3974337.62430333,-3973889.17764351,-3973361.7925259,-3970469.3859219
"Total Number Increase","Overall",9000774.16797006,449907.194759394,7686977.9334731,8684565.17102731,8976527.79271754,9291737.47944523,11009254.6798357
"Total Number Increase","Neonatal Female",1130088.77974932,154740.827922401,654158.479358536,1020706.48930097,1123023.35443556,1228912.49134762,1890085.14758961
"Total Number Increase","Neonatal Male",800014.932008668,154730.410851489,317185.349156191,690783.924207391,791465.27125305,899127.315552664,1580590.91183318
"Total Number Increase","Neonatal Combined",1930103.71175799,307053.903940142,1000564.94855968,1713620.61336518,1913850.49505708,2124081.57173951,3470676.05942279
"Total Number Increase","Juvenile Female",1809701.14907996,76571.3307852993,1558438.10187454,1755187.99763668,1805445.05687528,1858283.69969122,2151922.25819292
"Total Number Increase","Juvenile Male",1551807.5415282,76627.3693681027,1312018.89142849,1497514.09089291,1547640.59766459,1599835.69966206,1898020.45722164
"Total Number Increase","Juvenile Combined",3361508.69060816,151797.84076345,2870456.99330303,3253087.79632825,3352667.8224344,3456433.71227241,4049942.71541457
"Total Number Increase","Adult Female",792405.359907577,14670.9369504994,752517.714821287,781923.852142086,791246.411648703,801749.248561674,856669.651400498
"Total Number Increase","Adult Male",2420904.98826895,14363.8390178827,2381883.03848848,2410656.97442235,2419776.71960529,2429759.05958104,2484646.23779475
"Total Number Increase","Oxen",495851.417427383,761.651057147391,493959.455375537,495305.589032028,495777.346224622,496326.695371118,499367.399176665
"Total Mortality","Overall",2416677.57287058,64055.9593967291,2203495.78473333,2372331.42111046,2414507.64249718,2459257.77592943,2716556.54920008
"Total Mortality","Neonatal Female",667690.780311067,40219.8498655092,529344.883463509,639309.336433889,666592.9829205,694373.551569988,872617.564342434
"Total Mortality","Neonatal Male",707706.053235581,42045.618315908,574690.568881648,677982.525549538,706207.520069755,736131.657820446,895993.843028109
"Total Mortality","Neonatal Combined",1375396.83354665,61136.6492325925,1169367.68690993,1332689.89588997,1373860.39405005,1415486.850939,1649282.42423971
"Total Mortality","Juvenile Female",393356.604852228,8538.31963189233,362176.639389015,387614.132469159,393307.466416854,399020.180740851,426689.862592753
"Total Mortality","Juvenile Male",464909.696207265,10052.762542891,425623.905281962,458189.313492652,465139.268288751,471832.297337392,503874.20459553
"Total Mortality","Juvenile Combined",858266.301059493,13529.8616786139,802179.130918938,849171.990850493,858319.818252934,867266.913119738,922023.092079308
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",28887.9087528434,33.905377101185,28803.692432462,28863.6139263471,28884.6047865135,28909.0700267255,29044.4312049377
"Total Mortality","Oxen",154126.529511597,1.24197774194321,154123.511611863,154125.629216544,154126.395724607,154127.297540764,154132.302934433
"Value of Total Mortality","Overall",32424797710.7714,738794904.200167,30049222443.697,31917781212.7654,32408078299.5087,32911092354.5629,35930964120.0055
"Value of Total Mortality","Neonatal Female",7306090872.9272,440098750.316725,5792264826.39415,6995531832.446,7294078414.86718,7598062482.1029,9548466760.95783
"Value of Total Mortality","Neonatal Male",7640741010.87001,453945078.927853,6204640723.55832,7319831254.70762,7624562113.19925,7947637753.82899,9673588166.4601
"Value of Total Mortality","Neonatal Combined",14946831883.7972,664352172.978813,12707307226.0758,14484191018.3809,14930037947.3733,15383055916.3073,17933720807.5886
"Value of Total Mortality","Juvenile Female",6815261588.56378,147934167.369521,6275040277.07975,6715768022.23503,6814410220.39812,6913388201.23919,7392790650.73891
"Value of Total Mortality","Juvenile Male",9476373874.61236,204908043.661587,8675601497.08368,9339390585.8066,9481053301.37647,9617479033.3756,10270597467.5809
"Value of Total Mortality","Juvenile Combined",16291635463.1761,259006238.763005,15223338340.8974,16117856637.6798,16291698401.3368,16465880122.9873,17489295226.6321
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",724879169.482409,850781.612624544,722765944.295455,724269543.711155,724796263.641432,725410165.57382,728806759.60498
"Value of Total Mortality","Oxen",4915244178.45472,39607.872085364,4915147934.7117,4915215467.17422,4915239911.85811,4915268671.64807,4915428298.49605
"Population Liveweight (kg)","Overall",11771685551.1129,945665340.547564,8502557863.23149,11116746949.7994,11751751526.8949,12422863077.4575,15655366952.0257
"Population Liveweight (kg)","Neonatal Female",444788271.288773,96179562.7480844,139356608.412026,378141239.268464,452002160.713802,519008986.756189,673836197.682136
"Population Liveweight (kg)","Neonatal Male",487257955.959045,129660251.626397,132405303.561535,391464416.450262,487195247.067904,585775136.024982,831545022.917836
"Population Liveweight (kg)","Juvenile Female",1037303900.08544,220593997.387031,562146917.215325,867173918.650591,1024682484.41024,1195987894.34229,1716182008.51952
"Population Liveweight (kg)","Juvenile Male",1291040766.88648,287639021.871276,707066070.707539,1071107853.86693,1270021440.66801,1499309274.67504,2143724207.20821
"Population Liveweight (kg)","Juvenile Combined",2328344666.97191,361903171.469144,1384273020.90548,2066256830.56203,2314485785.96842,2574195501.16818,3602237627.90151
"Population Liveweight (kg)","Adult Female",3961226214.44205,609901379.159893,2508771497.91583,3504873720.17431,3949254322.61925,4395477040.62856,5620779117.51219
"Population Liveweight (kg)","Adult Male",990878132.313002,160923344.53641,643817832.807148,866182561.776505,985412916.66466,1102611535.75219,1459747144.21817
"Population Liveweight (kg)","Oxen",3559190310.13814,570493211.443081,2301021063.80057,3123115224.90185,3523602965.67581,3963972440.56622,5200078011.0144
"Offtake Liveweight (kg)","Overall",1705573476.55834,198323151.190993,1210069059.23966,1556964326.79154,1696546832.70006,1841760178.4577,2348811013.51292
"Offtake Liveweight (kg)","Juvenile Female",16421496.6446718,3423454.22097531,8805467.69845849,13804932.2119541,16263257.3366291,18945448.1387147,27068353.4095067
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",281995440.828225,44016384.4417396,178441188.399717,249449620.175459,281337033.938539,312544856.531313,397606202.051052
"Offtake Liveweight (kg)","Adult Male",221580166.493395,36106500.1221005,144658670.062645,193723523.506907,219640693.250282,247154311.55742,325484219.718925
"Offtake Liveweight (kg)","Oxen",1185576372.59205,190428873.084831,768955192.105307,1041046174.25596,1175884301.91415,1318784150.41132,1757699172.96129
"Meat (kg)","Overall",5640738871.58415,217231001.342944,4967148392.99475,5490232241.31566,5635046261.29031,5788047445.39376,6506829881.14713
"Manure","Overall",30763840171.264,946083831.364608,27333639501.4757,30118656476.6183,30765691988.5577,31410299626.4263,34368296176.7546
"Manure","Neonatal Female",1151581822.19291,37027457.9643881,1020673972.16877,1125916195.73263,1150432424.48288,1175917754.0717,1314985571.48179
"Manure","Neonatal Male",1212731419.55909,38869089.9268475,1086075294.08831,1185842472.41582,1212243975.30787,1238143619.55137,1378055621.16721
"Manure","Neonatal Combined",2364313241.752,62936577.8239764,2123175599.9082,2320371117.42392,2362098498.40964,2405152119.04374,2665183099.60472
"Manure","Juvenile Female",2226571017.70115,75850245.6754619,1910330463.22221,2175119392.74324,2225325880.6856,2277166816.49092,2549730734.54428
