"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",6549230.46092699,380.680831620414,6547782.68159712,6548973.72085965,6549234.19160671,6549487.57452584,6550575.53754348
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",93065.4123045688,125.724408204847,92602.504662926,92980.2786257125,93066.3704194034,93150.7885060319,93523.6203498311
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",93065.4123045688,125.724408204847,92602.504662926,92980.2786257125,93066.3704194034,93150.7885060319,93523.6203498311
"Num Offtake","Adult Female",1151739.25424641,62.7774588408475,1151509.86959455,1151698.25751494,1151740.02237765,1151781.23382211,1151954.32317624
"Num Offtake","Adult Male",834769.576310025,275.736903563623,833741.47294223,834583.614258427,834768.930850161,834957.368096097,835728.138064109
"Num Offtake","Oxen",4469656.21806599,11.8191283847168,4469614.01965251,4469648.19469933,4469656.19343805,4469664.17057267,4469698.60545318
"Cml Pop Growth","Overall",-2261627.53963882,75961.8613617232,-2549949.2148001,-2313643.75754613,-2261300.18884442,-2210335.50253955,-1984415.41399112
"Cml Pop Growth","Neonatal Female",-308579.280071294,29521.1872805079,-440331.262002875,-328614.674543698,-308269.297311335,-288242.370680687,-207397.780317119
"Cml Pop Growth","Neonatal Male",-638120.049281452,30471.9245948786,-770437.656717657,-658495.342999914,-637602.56351299,-617155.767018143,-524665.88787207
"Cml Pop Growth","Neonatal Combined",-946699.329352746,50729.8698013025,-1149991.16511141,-981539.489900181,-946186.168339483,-911937.65243536,-753487.435155233
"Cml Pop Growth","Juvenile Female",1046036.56057516,16072.8037992783,983400.437097624,1035199.10517769,1046238.71642627,1057189.45143899,1103672.57620762
"Cml Pop Growth","Juvenile Male",881659.20225315,17445.1467170163,810060.922956728,869992.163787257,881805.723229276,893448.992228666,941359.468191152
"Cml Pop Growth","Juvenile Combined",1927695.76282831,27644.6279625713,1814320.32498786,1909343.86167158,1927724.20093791,1946198.24583275,2028062.98561906
"Cml Pop Growth","Adult Female",-775350.380758552,3227.40900204016,-787236.6444558,-777538.097491912,-775319.548744742,-773163.535611954,-763534.227254903
"Cml Pop Growth","Adult Male",1508842.65160983,3290.92339099472,1496885.63144986,1506625.22189292,1508852.50801223,1511077.83436798,1519273.03487229
"Cml Pop Growth","Oxen",-3976116.24396566,202.121421049128,-3976870.25684052,-3976251.76205424,-3976117.08548675,-3975978.69894791,-3975416.38128113
"Total Number Increase","Overall",4287602.92128818,76187.5310993993,3997964.92687324,4235530.49207383,4287896.32026973,4339081.97660366,4565272.32458751
"Total Number Increase","Neonatal Female",-308579.280071294,29521.1872805079,-440331.262002875,-328614.674543698,-308269.297311335,-288242.370680687,-207397.780317119
"Total Number Increase","Neonatal Male",-638120.049281452,30471.9245948786,-770437.656717657,-658495.342999914,-637602.56351299,-617155.767018143,-524665.88787207
"Total Number Increase","Neonatal Combined",-946699.329352746,50729.8698013025,-1149991.16511141,-981539.489900181,-946186.168339483,-911937.65243536,-753487.435155233
"Total Number Increase","Juvenile Female",1139101.97287972,16183.6257925862,1076080.56743778,1128195.3006797,1139286.14195634,1150336.74175494,1197126.39480359
"Total Number Increase","Juvenile Male",881659.20225315,17445.1467170163,810060.922956728,869992.163787257,881805.723229276,893448.992228666,941359.468191152
"Total Number Increase","Juvenile Combined",2020761.17513287,27733.8042752197,1907006.19679425,2002333.09439322,2020789.33403013,2039366.02729294,2121586.60596889
"Total Number Increase","Adult Female",376388.873487856,3286.9950132301,364283.942573641,374161.710719666,376419.408460235,378617.449225768,388403.776821331
"Total Number Increase","Adult Male",2343612.22791986,3551.60725236502,2330800.93130764,2341233.55008793,2343616.5315268,2346011.98558032,2354947.0255686
"Total Number Increase","Oxen",493539.974100332,213.539306958063,492743.762811986,493395.942142606,493539.379367226,493685.343135104,494282.224172044
"Total Mortality","Overall",2463477.24891508,49381.4808029003,2295255.62219291,2429281.55355541,2462796.4608777,2496315.07529622,2661536.40662572
"Total Mortality","Neonatal Female",558555.373520081,32481.6182821353,453319.618909477,536104.19369927,557509.094391658,580154.320704526,688685.070606797
"Total Mortality","Neonatal Male",598088.694678403,35302.5965757315,491966.630165073,573226.774139826,597411.146979183,621737.181057966,727530.177686888
"Total Mortality","Neonatal Combined",1156644.06819848,47783.2945404659,990701.2419063,1123618.94984809,1155835.72150679,1188465.53680271,1360377.68961164
"Total Mortality","Juvenile Female",377491.003504403,8042.12955417772,348217.047040754,372062.418946784,377394.074048232,383052.639673899,407541.009222216
"Total Mortality","Juvenile Male",448944.357314582,9589.23482910996,413764.798093838,442370.966565251,448886.946617597,455439.450541318,490018.38549445
"Total Mortality","Juvenile Combined",826435.360818985,12614.0526254511,775223.632663275,817903.959220262,826276.451678882,834905.953050221,876037.910041481
"Total Mortality","Adult Female",326271.74341258,17.7839826744615,326206.761924803,326260.129607633,326271.961013498,326283.635643658,326332.669455026
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",154126.076485034,0.407556151197057,154124.621367328,154125.799817218,154126.075635795,154126.350709402,154127.538119075
"Value of Total Mortality","Overall",35309218912.9619,579366868.86413,33188617772.5184,34911880415.7959,35305085707.7929,35692823436.6421,37527071955.7044
"Value of Total Mortality","Neonatal Female",6170408711.26124,358827199.424919,5007860380.74719,5922388618.51488,6158850376.75315,6409014117.59913,7607962541.30919
"Value of Total Mortality","Neonatal Male",6699837903.20693,395462540.462981,5511049958.34318,6421332659.66535,6692247959.11193,6964750159.21348,8149851859.03648
"Value of Total Mortality","Neonatal Combined",12870246614.4682,531892356.659724,11022409217.3759,12502366237.9214,12861226701.2806,13223520071.5648,15140559802.3905
"Value of Total Mortality","Juvenile Female",5938793625.34104,126521022.453878,5478247587.36691,5853389620.832,5937268704.13478,6026290834.87251,6411548686.36684
"Value of Total Mortality","Juvenile Male",8991310929.78176,192050062.602312,8286746209.96119,8859661207.21097,8990161127.09713,9121392535.1478,9813928148.34507
"Value of Total Mortality","Juvenile Combined",14930104555.1228,231676040.941308,13979762282.06,14772576054.3762,14928300913.8921,15085133940.2085,15886894842.5311
"Value of Total Mortality","Adult Female",6993041501.87968,381167.328835943,6991648741.85661,6992792581.09009,6993046165.75964,6993296390.22707,6994347340.8068
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",5494415247.8956,14528.9024581664,5494363374.64289,5494405385.00996,5494415217.6212,5494425023.67517,5494467353.44804
