"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",6556952.00294957,306.021310261154,6555901.41689939,6556758.35538997,6556951.05205513,6557159.6652229,6557896.28164679
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",95748.8483048634,106.757667025423,95404.5506281342,95673.225549437,95751.3029775037,95820.5861440743,96063.8768099954
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",95748.8483048634,106.757667025423,95404.5506281342,95673.225549437,95751.3029775037,95820.5861440743,96063.8768099954
"Num Offtake","Adult Female",1153136.76900691,47.3919228058619,1152980.5769091,1153103.90483088,1153139.63360553,1153169.26266772,1153279.09792721
"Num Offtake","Adult Male",838309.04384914,202.540492699802,837625.43443331,838177.932865073,838305.912628047,838447.737031375,838937.991286679
"Num Offtake","Oxen",4469757.34178866,7.30847291526137,4469734.19079226,4469752.51748166,4469757.18482053,4469762.27691619,4469778.83501705
"Cml Pop Growth","Overall",-1465202.84249935,75121.1618287655,-1781433.3258516,-1515074.8143932,-1465063.93026713,-1417528.56956383,-1204346.074572
"Cml Pop Growth","Neonatal Female",-305097.351629592,29487.8537459168,-417680.058606459,-324575.538146341,-305462.287208142,-286089.125870927,-211222.662325806
"Cml Pop Growth","Neonatal Male",-634016.541234422,29806.2481364578,-730872.354542892,-653684.725515239,-633250.554009787,-614089.191962187,-528674.262471203
"Cml Pop Growth","Neonatal Combined",-939113.892864013,50561.6683024736,-1144423.95470732,-973781.59919836,-940981.82033441,-906434.488841118,-751541.325780441
"Cml Pop Growth","Juvenile Female",1348935.77868087,14820.1576247247,1298449.02516825,1338731.48658986,1348650.28578614,1358841.85031308,1389388.35956091
"Cml Pop Growth","Juvenile Male",1243989.61280715,15896.8761950334,1190750.63770934,1232900.66708674,1244601.83138122,1254297.09646076,1298163.14280719
"Cml Pop Growth","Juvenile Combined",2592925.39148802,26045.0573182402,2498390.04929219,2576331.77856307,2592104.81914331,2608961.14255933,2684127.91432295
"Cml Pop Growth","Adult Female",-706817.919928294,2753.60063634341,-715703.326687094,-708763.134169934,-706758.208518343,-704967.595554885,-698696.549388325
"Cml Pop Growth","Adult Male",1561278.29491025,2789.00652673138,1551649.3680719,1559478.24045349,1561284.3503404,1563168.24947062,1570405.9522431
"Cml Pop Growth","Oxen",-3973474.71610531,149.696173636281,-3973981.15341442,-3973571.3057158,-3973476.67780737,-3973372.08081157,-3973008.96410301
"Total Number Increase","Overall",5091749.16045022,75324.540047159,4774546.7685344,5041860.56907693,5091670.57836637,5139382.38748175,5353237.49589783
"Total Number Increase","Neonatal Female",-305097.351629592,29487.8537459168,-417680.058606459,-324575.538146341,-305462.287208142,-286089.125870927,-211222.662325806
"Total Number Increase","Neonatal Male",-634016.541234422,29806.2481364578,-730872.354542892,-653684.725515239,-633250.554009787,-614089.191962187,-528674.262471203
"Total Number Increase","Neonatal Combined",-939113.892864013,50561.6683024736,-1144423.95470732,-973781.59919836,-940981.82033441,-906434.488841118,-751541.325780441
"Total Number Increase","Juvenile Female",1444684.62698573,14919.3008538033,1393853.57579638,1434405.30104349,1444431.09462038,1454650.57122491,1485426.92084239
"Total Number Increase","Juvenile Male",1243989.61280715,15896.8761950334,1190750.63770934,1232900.66708674,1244601.83138122,1254297.09646076,1298163.14280719
"Total Number Increase","Juvenile Combined",2688674.23979288,26126.8260292145,2593794.59992032,2672024.88659702,2687850.11301031,2704778.66556878,2780089.57960497
"Total Number Increase","Adult Female",446318.849078617,2799.67121884462,437286.462457205,444345.827691735,446378.426839662,448192.146871074,454577.741466803
"Total Number Increase","Adult Male",2399587.33875939,2986.15313618481,2389274.80250521,2397677.89196084,2399567.1443541,2401600.94181603,2409343.94352978
"Total Number Increase","Oxen",496282.625683349,156.895067561181,495753.037377835,496181.083693939,496280.196724748,496390.067057213,496769.861328244
"Total Mortality","Overall",1664162.88965027,45500.7660763159,1515216.99915174,1633366.43802871,1663127.02660124,1693846.25194458,1834207.68546577
"Total Mortality","Neonatal Female",557972.149711017,31448.0820564252,458646.901681899,537958.175705034,558429.530638476,578925.730684293,654135.669425136
"Total Mortality","Neonatal Male",596486.32807541,33594.6761068215,505973.297925546,574762.913044223,593656.298404181,618792.538454555,700670.604631805
"Total Mortality","Neonatal Combined",1154458.47778643,45505.9158979379,1005502.71038704,1123651.97095853,1153404.7111701,1184119.24336769,1324505.17037746
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",326667.6399453,13.4254738826829,326623.392892096,326658.329980419,326668.451446326,326676.844948362,326707.95975275
"Total Mortality","Adult Male",28907.208408591,6.98415492068301,28883.6356701141,28902.6873401749,28907.1004354499,28911.9909321164,28928.8962512648
"Total Mortality","Oxen",154129.563509954,0.252016307422847,154128.765199733,154129.39715454,154129.55809726,154129.733686765,154130.30465576
"Value of Total Mortality","Overall",22149715565.1801,487569325.493805,20535981417.1309,21823763337.3642,22136059107.2861,22461705084.3975,23965658299.201
"Value of Total Mortality","Neonatal Female",6182830675.16852,348472887.964722,5082218053.81956,5961057935.29197,6187898865.09519,6415015100.97416,7248408517.76973
"Value of Total Mortality","Neonatal Male",6196933629.08097,349017183.337898,5256588119.04138,5971247716.74899,6167532274.48911,6428674238.5965,7279310569.88517
"Value of Total Mortality","Neonatal Combined",12379764304.2495,487708126.503624,10765776991.37,12054062810.7665,12365846618.3374,12691864104.1216,14195772520.5531
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",8421813439.75486,346121.937266864,8420672707.15152,8421573419.69234,8421834361.05041,8422050753.79829,8422852924.09536
"Value of Total Mortality","Adult Male",832380342.563895,201108.082912276,831701567.780415,832250158.824817,832377233.487469,832518054.878211,833004841.950314
"Value of Total Mortality","Oxen",5493807099.62502,8982.89041642024,5493778644.58851,5493801170.03869,5493806906.6945,5493813165.42158,5493833517.08837
"Population Liveweight (kg)","Overall",11414005604.7305,950364964.330559,8315777312.15074,10721312197.4263,11390771555.5456,12089098694.9643,13998273269.3704
"Population Liveweight (kg)","Neonatal Female",320514106.004788,71441296.6072364,114568822.155391,273675483.761353,324259729.428311,373671440.349438,456588008.219482
"Population Liveweight (kg)","Neonatal Male",358306875.759305,96016375.2067,110293039.182452,290038478.233889,357288573.713035,431699050.816388,585646308.81806
"Population Liveweight (kg)","Juvenile Female",1077494706.05932,227660631.476438,558162968.572683,904171903.483653,1061649226.09404,1245763966.64442,1679019141.07697
"Population Liveweight (kg)","Juvenile Male",1234733089.9249,271425948.339906,692790144.563198,1018175619.39032,1216382926.35528,1420389585.36841,1979726549.31327
"Population Liveweight (kg)","Juvenile Combined",2312227795.98423,356717275.806673,1373316443.23671,2062070765.06274,2292912263.90808,2550064797.29216,3385596717.4928
"Population Liveweight (kg)","Adult Female",3887712756.25397,593091884.279836,2467423225.24541,3435112485.49887,3910147133.80937,4345637732.01685,5238448978.56169
"Population Liveweight (kg)","Adult Male",988082042.44724,157943253.724317,668431994.641822,869156081.48396,980765119.129725,1098502988.99633,1419060890.47029
"Population Liveweight (kg)","Oxen",3547162028.28098,569923172.394344,2412107962.39052,3117805560.54439,3495757115.96754,3976359406.47774,5106731372.80849
"Offtake Liveweight (kg)","Overall",1703857247.0272,201037777.935956,1238639117.86803,1556277561.96622,1701313305.96695,1849661973.24576,2274322713.11433
"Offtake Liveweight (kg)","Juvenile Female",17728357.3920493,3725687.16203844,9040961.58971503,14794219.6708905,17580681.2764906,20416511.8711574,27408561.7380791
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",278931903.291872,40156718.4099162,176149187.942317,248296821.634163,277108947.585299,308329990.537311,384742020.992363
"Offtake Liveweight (kg)","Adult Male",221550520.968192,35529658.5859304,147390996.137251,194802595.688021,218784450.572771,247888468.817041,319962878.780649
"Offtake Liveweight (kg)","Oxen",1185646465.37509,191215342.846498,787121035.372797,1041371007.58403,1182503423.67107,1321071127.00581,1699834366.26448
"Meat (kg)","Overall",5626534084.87011,216770356.898911,4939206465.16864,5486296642.61709,5627970204.18444,5770293510.70636,6371613351.42089
"Manure","Overall",30152352266.9032,945367153.133636,27331068086.635,29507284066.3591,30170223700.6967,30802945226.8746,32923520607.3928
"Manure","Neonatal Female",938882129.49709,23636795.7819106,869852448.169847,923433695.415868,938517661.531159,954632465.562096,1007978905.55997
"Manure","Neonatal Male",999944336.190245,26273313.0465124,927329728.951831,982135924.726405,999505390.511748,1018437542.22307,1095092416.7522
"Manure","Neonatal Combined",1938826465.68733,35576293.0084754,1836898088.52592,1912910962.64966,1938784273.62814,1962848362.27245,2053259854.66563
"Manure","Juvenile Female",2192724397.35583,73741772.1346495,1990835850.28255,2143583772.10769,2191055875.85974,2243902808.74076,2398935075.28259
"Manure","Juvenile Male",2593775535.26135,85804511.939417,2291084963.3921,2535691778.40544,2596187417.40428,2651182941.25702,2879844860.23504
"Manure","Juvenile Combined",4786499932.61718,113205815.170518,4376182885.47569,4707848300.2094,4788302756.44052,4865321124.80582,5123474717.61848
"Manure","Adult Female",11067262736.7532,704611267.367893,9176034529.09602,10728711759.3971,11127113284.5562,11524292743.13,13090631240.0898
