"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",6556948.03030561,323.355019449764,6556080.7503611,6556727.76109676,6556933.66385381,6557176.70625878,6558122.28290361
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",95749.1961755571,110.510524958579,95365.7419080142,95675.3096758884,95748.5733104133,95827.9830214167,96063.2590502189
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",95749.1961755571,110.510524958579,95365.7419080142,95675.3096758884,95748.5733104133,95827.9830214167,96063.2590502189
"Num Offtake","Adult Female",1153136.78666869,49.8650048640027,1152970.83865842,1153101.70489644,1153136.12202118,1153171.53482239,1153274.65796752
"Num Offtake","Adult Male",838304.844327374,209.628500615934,837692.975172242,838163.095328823,838312.346920959,838447.420026473,839031.669400475
"Num Offtake","Oxen",4469757.20313399,7.63156945222108,4469734.16868964,4469752.11811751,4469757.4660524,4469762.57456239,4469782.2660285
"Cml Pop Growth","Overall",-1462666.92070493,76031.0778829501,-1678813.58247802,-1512748.7898465,-1462690.78164063,-1412135.14310592,-1213788.90768927
"Cml Pop Growth","Neonatal Female",-303602.808266313,29054.8201462122,-394094.646869782,-322303.793589817,-303092.242113996,-283796.132143348,-203749.006684147
"Cml Pop Growth","Neonatal Male",-632920.874932777,30261.5323064779,-722337.997282343,-654377.492983847,-631935.083153965,-612834.023130651,-540212.109830208
"Cml Pop Growth","Neonatal Combined",-936523.683199089,50920.15406322,-1100466.35240872,-970794.162526972,-937347.120436444,-900662.24488533,-774543.605117164
"Cml Pop Growth","Juvenile Female",1349067.24646996,14948.3400567855,1295680.35589277,1339194.815649,1349556.69542113,1359462.29772141,1394541.65750793
"Cml Pop Growth","Juvenile Male",1243856.34487415,16029.467066462,1197614.73196525,1232485.98149497,1244337.99952364,1254635.515,1297765.12481592
"Cml Pop Growth","Juvenile Combined",2592923.59134411,26516.3895413824,2513856.37351369,2575086.72058151,2592123.5055633,2611836.55023529,2688946.2991567
"Cml Pop Growth","Adult Female",-706808.568479077,2847.887724383,-716736.4109472,-708703.309221519,-706820.669432026,-704783.135997255,-698681.55787012
"Cml Pop Growth","Adult Male",1561219.57054822,2836.7613034053,1552757.21118875,1559265.32616616,1561351.16790858,1563075.9831897,1571435.08509754
"Cml Pop Growth","Oxen",-3973477.83091909,154.852947612594,-3973928.72825219,-3973581.89376097,-3973472.27055147,-3973372.86586837,-3972939.84204634
"Total Number Increase","Overall",5094281.10960068,76247.9156308267,4877624.86196995,5044117.05795686,5094200.48861009,5145196.68939168,5344043.14927642
"Total Number Increase","Neonatal Female",-303602.808266313,29054.8201462122,-394094.646869782,-322303.793589817,-303092.242113996,-283796.132143348,-203749.006684147
"Total Number Increase","Neonatal Male",-632920.874932777,30261.5323064779,-722337.997282343,-654377.492983847,-631935.083153965,-612834.023130651,-540212.109830208
"Total Number Increase","Neonatal Combined",-936523.683199089,50920.15406322,-1100466.35240872,-970794.162526972,-937347.120436444,-900662.24488533,-774543.605117164
"Total Number Increase","Juvenile Female",1444816.44264552,15050.9631352764,1391046.09780078,1434895.41568184,1445347.66731994,1455347.33721325,1490568.05723822
"Total Number Increase","Juvenile Male",1243856.34487415,16029.467066462,1197614.73196525,1232485.98149497,1244337.99952364,1254635.515,1297765.12481592
"Total Number Increase","Juvenile Combined",2688672.78751967,26603.388093399,2609338.0785698,2670765.05467829,2687897.60796565,2707588.62288955,2784994.06314195
"Total Number Increase","Adult Female",446328.218189611,2896.45799397748,436247.848086454,444390.735268377,446315.244830844,448389.420067591,454581.642105525
"Total Number Increase","Adult Male",2399524.41487559,3040.84339132038,2390464.93428555,2397421.79991914,2399657.99846931,2401523.46456816,2410466.75449801
"Total Number Increase","Oxen",496279.372214898,162.382977182721,495805.44043745,496169.615273182,496285.190047111,496389.74657038,496842.423982152
"Total Mortality","Overall",1668513.04556125,47454.6572968597,1544521.28903515,1634651.7586007,1669189.37634485,1700153.99918841,1818126.41781565
"Total Mortality","Neonatal Female",559777.455206186,30999.7858256671,477420.699304038,538517.829049999,558884.681362348,581414.098089259,651532.155274299
"Total Mortality","Neonatal Male",599031.323080171,34805.272249793,482470.567760537,574593.601125407,598429.618080486,623898.094609207,697324.983351508
"Total Mortality","Neonatal Combined",1158808.77828636,47460.8817951016,1034771.24926379,1124920.79652459,1159507.02835206,1190456.52513696,1308427.98709214
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",326667.644948637,14.1260637008494,326620.634180856,326657.70676953,326667.456663223,326677.488618241,326706.701973802
"Total Mortality","Adult Male",28907.0635974957,7.22856898675632,28885.9646611118,28902.1757009939,28907.3223076193,28911.9800009129,28932.1265310509
"Total Mortality","Oxen",154129.558728758,0.263157567317971,154128.764437574,154129.383383362,154129.56779491,154129.743950427,154130.4229665
"Value of Total Mortality","Overall",20470580399.6964,500672209.878153,19146420249.8329,20118254782.7518,20480100692.5689,20816197199.1884,22029883508.2845
"Value of Total Mortality","Neonatal Female",6252800129.0543,346272367.721545,5332862519.66314,6015326840.45233,6242827708.13229,6494484752.38689,7277714217.84323
"Value of Total Mortality","Neonatal Male",6010290253.8142,349213439.305049,4840795530.11164,5765098063.63806,6004253137.63021,6259787248.05532,6996504839.89432
"Value of Total Mortality","Neonatal Combined",12263090382.8685,500835674.333842,10937800820.8014,11910086495.6028,12272103803.2689,12609161390.0646,13822619227.1689
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",6565790085.47755,283923.952763819,6564845202.08374,6565590335.06194,6565786301.07306,6565987936.31859,6566575104.23458
"Value of Total Mortality","Adult Male",1084141060.45771,271102.88876151,1083349758.24921,1083957743.00386,1084150763.21658,1084325447.04531,1085081029.86245
"Value of Total Mortality","Oxen",5939071977.38323,10140.2465989366,5939041370.97291,5939065220.80171,5939072326.72913,5939079114.52702,5939105279.04318
"Population Liveweight (kg)","Overall",11427746969.3437,907547164.809778,8951148106.37741,10816248937.1045,11394632046.4852,11987567727.4325,14501406299.0579
"Population Liveweight (kg)","Neonatal Female",325386775.706396,69263837.438839,135798046.00564,275993025.634572,332693445.972692,379918240.990977,461537106.4119
"Population Liveweight (kg)","Neonatal Male",362567870.425631,96181511.179809,123718809.33763,292110138.152056,364004162.793403,431582611.191458,577714697.287781
"Population Liveweight (kg)","Juvenile Female",982571814.057364,197850749.733388,528972991.351151,833026949.166425,975367881.934301,1125030987.21046,1540306356.39795
"Population Liveweight (kg)","Juvenile Male",1363336498.6798,312048721.431995,694238315.113709,1126014109.65181,1344866330.10503,1586637919.08542,2250725743.4875
"Population Liveweight (kg)","Juvenile Combined",2345908312.73716,374480967.773278,1486404746.47087,2068584978.00581,2330385180.01168,2584296304.74415,3611964159.97469
"Population Liveweight (kg)","Adult Female",3880134480.79797,567260091.06609,2460918183.78289,3478376233.91027,3868097458.94503,4295424442.23483,5259261480.46806
"Population Liveweight (kg)","Adult Male",992752310.612868,160619300.02123,640396026.266875,867543077.607181,980061140.314725,1107506428.95349,1429121944.58017
"Population Liveweight (kg)","Oxen",3520997219.06368,547954085.409625,2358030260.69297,3091088625.45303,3520690839.65145,3942389232.28508,4942739931.09733
"Offtake Liveweight (kg)","Overall",1696896698.27229,199272629.168891,1211088510.95609,1542501154.86944,1682313700.98029,1830154688.03027,2315650723.97529
"Offtake Liveweight (kg)","Juvenile Female",16133567.2675113,3412918.5704487,8727503.90706327,13381854.9251966,15943418.8573456,18500686.1044299,26125430.2353173
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",277285540.008316,40425268.5469206,178675805.521996,245983510.422128,275804624.790383,308867144.936973,379679754.711156
"Offtake Liveweight (kg)","Adult Male",220959350.180748,34922669.285731,144537185.699782,194373215.12706,219847836.064307,245368966.179302,325169000.56156
"Offtake Liveweight (kg)","Oxen",1182518240.81572,193355055.444817,783257330.287326,1033658966.45481,1175755658.2791,1311128801.32291,1734725971.38048
"Meat (kg)","Overall",5631038334.47643,227316089.589393,5031098260.95627,5466641387.35698,5633469727.71301,5794713973.24362,6241417864.67677
"Manure","Overall",30240264315.9989,947083852.5328,27440713451.7,29577449224.1259,30274197445.2158,30886882005.8391,33160022898.0085
"Manure","Neonatal Female",935454812.388499,23578630.1590338,865777401.291046,919425818.137981,934530449.182625,951071596.593621,1023562794.36757
"Manure","Neonatal Male",996935014.545795,24871318.4247944,920813807.425019,979341839.869233,997078842.505732,1013224777.12391,1086469420.53941
"Manure","Neonatal Combined",1932389826.93429,34946700.1865084,1821686633.69455,1908199195.79231,1930924997.74758,1957403996.57894,2058119853.35752
"Manure","Juvenile Female",2191045868.81666,74927257.3828676,1914335029.95316,2137253764.43556,2191553352.79686,2241304698.61677,2421295836.36508
"Manure","Juvenile Male",2591198023.65689,90413464.5001241,2322863879.25835,2532241161.10422,2592933523.50654,2654829700.14014,2869186133.89084
"Manure","Juvenile Combined",4782243892.47354,117797496.182755,4430890698.2772,4699879392.64859,4778867411.4366,4866538096.89911,5175575066.84344
"Manure","Adult Female",11161996724.0168,674961466.71617,9173275758.53199,10738855908.4198,11132569712.4182,11530037790.7857,13090623921.3441
"Manure","Adult Male",2066812418.92942,127368478.989855,1631421872.36817,1983624617.05727,2065211189.80074,2149699982.61791,2445609779.20485
"Manure","Oxen",10296821453.6448,644978137.445372,8144191528.65315,9906668556.58565,10311618514.1265,10693931837.1698,12487716767.8955
"Hides","Overall",254852.133637445,9.41092319999594,254823.021802242,254845.534163564,254851.467465015,254858.963003967,254882.632183532
"Hides","Juvenile Female",0,0,0,0,0,0,0
"Hides","Juvenile Male",0,0,0,0,0,0,0
"Hides","Juvenile Combined",0,0,0,0,0,0,0
"Hides","Adult Female",163333.822474318,7.0630318504247,163310.317090428,163328.853384765,163333.728331611,163338.744309121,163353.350986901
"Hides","Adult Male",14453.5317987478,3.61428449337816,14442.9823305559,14451.087850497,14453.6611538096,14455.9900004564,14466.0632655254
"Hides","Oxen",77064.7793643791,0.131578783658985,77064.3822187868,77064.6916916811,77064.7838974551,77064.8719752136,77065.2114832499
"Milk","Overall",1330445673.82877,223317231.811042,672378684.304123,1180134425.05803,1325304740.1948,1482109181.39988,2056197736.28366
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",108724508826.551,2616010628.02796,99979633153.5684,106915351668.392,108669826712.6,110568021668.656,116467049497.53
"Cml Dry Matter","Neonatal Female",3143324937.14306,198364710.664554,2507693703.34787,3003622281.87417,3156756880.8852,3276816346.76186,3731868334.14599
"Cml Dry Matter","Neonatal Male",3540210609.92864,273982303.272745,2671519787.79468,3370576627.84623,3534976964.88629,3714301520.36396,4477496660.59313
"Cml Dry Matter","Neonatal Combined",6683535547.0717,342606316.146219,5732387407.59619,6458145809.07557,6686445970.82899,6914972999.16967,7741748483.33899
"Cml Dry Matter","Juvenile Female",8340261613.0016,504186930.715945,6753554187.01365,7986136981.98632,8316901056.46284,8692256179.87571,9809197805.85833
"Cml Dry Matter","Juvenile Male",11857144528.7557,770560574.648128,9622547075.82253,11342724693.6948,11875477656.0058,12333273487.5658,14277921357.6961
"Cml Dry Matter","Juvenile Combined",20197406141.7573,926646434.175462,17110645297.6417,19557871654.9967,20163765983.1815,20785368992.4104,22919041222.3453
"Cml Dry Matter","Adult Female",36831670311.6547,1638578712.84194,32292927285.2197,35780744777.506,36824562141.603,37989321167.1433,41775027918.5605
"Cml Dry Matter","Adult Male",7467620826.64196,348491632.564749,6291484363.17479,7240709151.78627,7468779865.80125,7692704764.07922,8782897903.54906
"Cml Dry Matter","Oxen",37544275999.4253,1741349031.79167,31739337011.2855,36292262913.5775,37620167107.1617,38765276363.8839,43202051171.4948
"Value of Offtake","Overall",204874877860.924,28583858337.7021,131426865038.735,183475076436.185,204197828645.467,226948907740.201,277502743268.515
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",1571721372.7286,78153183.4293671,1333027138.34337,1521985742.47141,1583127251.67491,1635780062.87188,1701714639.01623
"Value of Offtake","Juvenile Male",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Combined",1571721372.7286,78153183.4293671,1333027138.34337,1521985742.47141,1583127251.67491,1635780062.87188,1701714639.01623
"Value of Offtake","Adult Female",26941208441.0801,2017108003.3273,21751726315.5368,25522012982.8002,26967415781.7433,28421925508.535,31707989915.0245
"Value of Offtake","Adult Male",27964289371.7367,5254357997.24135,14564849063.4288,24258598976.9708,28034658038.8546,31721820828.0434,39875392764.8293
"Value of Offtake","Oxen",148397658675.379,27994760532.2452,79627301626.6174,127220125213.049,148222098473.39,169949761055.207,215639638979.092
"Value of draught","Overall",162675540127.423,421730.806671727,162674278100.959,162675254833.512,162675552341.49,162675839138.106,162676955881.755
"Value of Herd Increase","Overall",-58153234914.8717,26764958425.4794,-127292357351.705,-76736376598.7289,-59687971405.4693,-38950260926.1356,12159220259.1255
"Value of Herd Increase","Neonatal Female",-3383783600.94512,324394538.971864,-4430574510.47499,-3600227407.38613,-3380507184.5125,-3167281949.54235,-2294630638.19922
"Value of Herd Increase","Neonatal Male",-6865878968.85871,860684159.991017,-10290673894.4266,-7338032414.74344,-6672493309.0779,-6248258653.63447,-5352617993.39414
"Value of Herd Increase","Neonatal Combined",-10249662569.8038,971906878.348952,-14005128203.4834,-10827061682.0409,-10128107575.7504,-9567572098.55727,-7716483585.08343
"Value of Herd Increase","Juvenile Female",22137105493.007,1143349991.61625,18232128734.9638,21450725498.5945,22296099576.6464,23013694843.3896,24319143506.1073
"Value of Herd Increase","Juvenile Male",24940423277.427,754316894.289562,21679356515.8734,24497974266.4546,25034951471.8419,25492329067.9732,26512638307.0832
"Value of Herd Increase","Juvenile Combined",47077528770.434,1367312184.3166,41878205623.9367,46175677990.5691,47184250616.1377,48035775096.3068,50522731207.2773
"Value of Herd Increase","Adult Female",-16447547408.6469,1227367589.3925,-19197308901.4428,-17373064581.9922,-16438804646.2896,-15485655859.7756,-13518726193.4891
"Value of Herd Increase","Adult Male",52211065598.5932,9620770706.63532,27768632516.1273,44916603513.7574,52513805980.7683,59086790491.5574,74965174465.9913
"Value of Herd Increase","Oxen",-130744619305.448,25135560326.0154,-187903107367.224,-149943474423.08,-131644537712.122,-112642298622.812,-65030878961.1835
"Value of Herd Increase plus Offtake","Overall",146721642946.052,37767627481.7058,42067679544.7326,118820712018.13,146766530249.074,173038764549.823,261932947407.725
"Value of Herd Increase plus Offtake","Neonatal Female",-3383783600.94512,324394538.971864,-4430574510.47499,-3600227407.38613,-3380507184.5125,-3167281949.54235,-2294630638.19922
