"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",6549113.59870297,336.349750774878,6547949.26964719,6548882.46731537,6549113.8141129,6549344.60382919,6550367.59447681
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",94066.3168197639,100.587828336,93698.737908086,93997.6508839837,94066.1575006498,94134.3832824409,94459.9578100994
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",94066.3168197639,100.587828336,93698.737908086,93997.6508839837,94066.1575006498,94134.3832824409,94459.9578100994
"Num Offtake","Adult Female",1152120.14165282,53.0966238022255,1151926.40750711,1152083.53900574,1152120.21002281,1152155.79215263,1152334.97198747
"Num Offtake","Adult Male",833394.962854983,234.225806483401,832589.810137304,833237.263997582,833391.346881872,833554.725661574,834323.249178084
"Num Offtake","Oxen",4469532.17737541,10.638410370294,4469498.28584554,4469524.85917278,4469532.07959085,4469539.41810248,4469575.09112714
"Cml Pop Growth","Overall",-1141672.49612403,63305.8046566754,-1375611.69136517,-1184734.67998425,-1141756.4189452,-1099893.2178656,-921331.951809525
"Cml Pop Growth","Neonatal Female",51286.3656746044,20974.1718259328,-28270.9054699843,37145.013178285,50972.2301296773,65250.1412850891,129084.51787783
"Cml Pop Growth","Neonatal Male",-255254.046506424,20974.1718259328,-334811.317651012,-269395.399002743,-255568.182051351,-241290.270895939,-177455.894303198
"Cml Pop Growth","Neonatal Combined",-203967.680831819,41948.3436518655,-363082.223120996,-232250.385824458,-204595.951921674,-176040.12961085,-48371.3764253678
"Cml Pop Growth","Juvenile Female",1213119.73047446,12416.2390357247,1169617.1007456,1204590.74854377,1213003.66759751,1221475.69845731,1259985.99789982
"Cml Pop Growth","Juvenile Male",1063399.09331202,13283.4780269824,1015358.39281269,1054264.57866278,1063467.02044115,1072457.37116209,1112627.14482601
"Cml Pop Growth","Juvenile Combined",2276518.82378648,23525.8743549056,2197069.54343762,2260206.0526829,2276483.70251239,2292557.93572707,2361658.85358545
