"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",6565829.48945612,379.055730919723,6564356.65568105,6565578.50821579,6565834.73867296,6566084.22270873,6567258.20899864
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",93071.6731357988,126.471629376695,92516.3536678671,92987.7207426498,93073.1952143884,93157.740511243,93529.9911913266
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",93071.6731357988,126.471629376695,92516.3536678671,92987.7207426498,93073.1952143884,93157.740511243,93529.9911913266
"Num Offtake","Adult Female",1151741.62966991,63.0819935207816,1151459.89036808,1151700.22738623,1151743.04157146,1151784.05793428,1151975.33853642
"Num Offtake","Adult Male",831757.696163498,273.160800035007,830653.917416962,831577.206645074,831761.909303877,831945.81938189,832771.456068039
"Num Offtake","Oxen",4489258.49048691,11.7330378932622,4489212.84643029,4489250.65715845,4489258.60294553,4489266.55906879,4489298.82736638
"Cml Pop Growth","Overall",-2147089.50190136,75642.551591625,-2470044.90537813,-2198186.91489732,-2146430.03121987,-2096237.67670663,-1843247.77983551
"Cml Pop Growth","Neonatal Female",-306862.536714028,29270.0590843231,-421874.226392435,-326612.009545125,-306646.545189737,-287022.031366841,-198947.589069942
"Cml Pop Growth","Neonatal Male",-636485.461966012,30134.2943995715,-769480.827961962,-656714.455967931,-636261.758770609,-616483.198356589,-522737.889241448
"Cml Pop Growth","Neonatal Combined",-943347.99868004,50768.6685296867,-1145019.04739556,-977388.71656833,-943140.453565017,-909261.845589129,-764332.869879763
"Cml Pop Growth","Juvenile Female",1047040.82840285,16211.8575059676,976814.895014211,1036078.70118557,1047331.90338374,1057863.7244324,1100165.02467139
"Cml Pop Growth","Juvenile Male",882626.502540541,17245.926694989,814990.547387926,871181.372401553,882712.602413879,894385.122134074,951797.770157449
"Cml Pop Growth","Juvenile Combined",1929667.33094339,27557.0120240426,1812699.92857376,1911036.48275334,1930064.39624835,1948339.90115782,2041752.1004644
"Cml Pop Growth","Adult Female",-775187.955921172,3246.75131736222,-789391.633424478,-777341.515338817,-775141.512273605,-772970.175758501,-763468.710557081
"Cml Pop Growth","Adult Male",1485708.36521997,3254.17666732346,1472908.79965763,1483555.24643841,1485735.41201162,1487932.016722,1498117.53047924
"Cml Pop Growth","Oxen",-3843929.24346351,200.598819853352,-3844739.97946886,-3844060.86579577,-3843925.87222093,-3843790.6726084,-3843183.04248601
"Total Number Increase","Overall",4418739.98755476,75862.480600351,4094442.5579589,4367466.46486494,4419330.75237239,4469688.86691637,4723252.05225257
"Total Number Increase","Neonatal Female",-306862.536714028,29270.0590843231,-421874.226392435,-326612.009545125,-306646.545189737,-287022.031366841,-198947.589069942
"Total Number Increase","Neonatal Male",-636485.461966012,30134.2943995715,-769480.827961962,-656714.455967931,-636261.758770609,-616483.198356589,-522737.889241448
"Total Number Increase","Neonatal Combined",-943347.99868004,50768.6685296867,-1145019.04739556,-977388.71656833,-943140.453565017,-909261.845589129,-764332.869879763
"Total Number Increase","Juvenile Female",1140112.50153865,16323.5310710665,1069449.65233493,1129089.57690061,1140427.03501398,1151008.48633526,1193604.63235707
"Total Number Increase","Juvenile Male",882626.502540541,17245.926694989,814990.547387926,871181.372401553,882712.602413879,894385.122134074,951797.770157449
"Total Number Increase","Juvenile Combined",2022739.00407919,27647.6895445946,1905477.82668864,2004074.51679273,2023122.28430001,2041499.31456394,2135025.92981686
"Total Number Increase","Adult Female",376553.67374874,3306.63573432714,362068.256943599,374358.932019504,376598.263949515,378810.329732965,388506.62797934
"Total Number Increase","Adult Male",2317466.06138347,3512.30843105205,2303688.57393432,2315142.73670171,2317489.32733246,2319885.73370957,2330888.98654728
"Total Number Increase","Oxen",645329.247023402,211.935103475402,644472.86696143,645189.212052213,645332.515839214,645475.204692843,646115.784880376
"Total Mortality","Overall",2336604.42251225,48417.6458717524,2162930.98154207,2303266.35118766,2336197.69824488,2368624.07123025,2544601.5996194
"Total Mortality","Neonatal Female",557813.350394455,31957.3114071923,451103.260803501,535750.929679685,556891.967715957,579340.61008488,684454.303153387
"Total Mortality","Neonatal Male",597428.405901891,34160.0556984228,486377.162064753,573767.237861267,596778.210003663,619849.481519545,730632.888608139
"Total Mortality","Neonatal Combined",1155241.75629635,47069.0451153683,984252.614632721,1122971.95704882,1154298.77173651,1187075.10176498,1351849.22704553
"Total Mortality","Juvenile Female",377470.532125588,8063.19536068749,346679.225942131,372016.63172454,377487.667754541,383002.954807804,404688.078899267
"Total Mortality","Juvenile Male",448938.417885524,9475.73636947698,415657.861930936,442564.165178839,448984.08505989,455318.06914599,484855.15844615
"Total Mortality","Juvenile Combined",826408.950011111,12477.984299012,779269.988631442,817909.078880413,826338.438736844,834926.316144097,875003.635858505
"Total Mortality","Adult Female",326272.416337086,17.8702531220353,326192.603503704,326260.687644825,326272.816309196,326284.435675432,326338.62281485
"Total Mortality","Adult Male",28681.2998677068,9.41933793224167,28643.2385316194,28675.0760912094,28681.4451484096,28687.7868752376,28716.2571057944
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",36072410579.1834,544693108.871852,34021462557.4922,35702378903.6347,36067046629.5583,36439813955.0805,38365681864.6039
"Value of Total Mortality","Neonatal Female",6238554610.91732,357408857.803203,5045114688.80308,5991809680.23255,6228249916.42893,6479314329.39152,7654900238.36871
"Value of Total Mortality","Neonatal Male",5949256358.01738,340169510.767193,4843396121.14689,5713635900.38063,5942781637.29223,6172527841.8541,7275720931.55944
"Value of Total Mortality","Neonatal Combined",12187810968.9347,496486233.116292,10411608495.5622,11845508042.4358,12178283730.3831,12524432151.3212,14274451514.2418
"Value of Total Mortality","Juvenile Female",6617892269.10129,141365626.453705,6078052653.01377,6522273347.28164,6618192694.52983,6714887859.96734,7095075988.22007
"Value of Total Mortality","Juvenile Male",8911303431.57018,188090746.217907,8250693600.31642,8784776278.27751,8912209912.35112,9037937744.66235,9624240798.16093
"Value of Total Mortality","Juvenile Combined",15529195700.6715,235953331.032116,14626629067.0186,15368471964.9956,15528513733.5644,15690887676.754,16452482032.1873
"Value of Total Mortality","Adult Female",7340956110.64956,402071.20579733,7339160364.28063,7340692221.30185,7340965109.80965,7341226539.37986,7342445721.24235
"Value of Total Mortality","Adult Male",1014447798.92763,333158.771631438,1013101582.44525,1014227666.07459,1014452937.45656,1014677242.17259,1015684224.52195
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",11694186803.7553,995238717.103928,8398585472.03813,10990969443.9534,11683100843.5491,12375164103.3496,15074806871.4322
"Population Liveweight (kg)","Neonatal Female",323487955.189229,69684435.500324,106845443.350895,274390612.45092,329248964.53528,377434063.302607,465919576.43153
"Population Liveweight (kg)","Neonatal Male",357328560.0222,95622733.5310131,105202765.987652,286519381.715313,361132003.385496,429107491.391113,591787446.594929
