"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",6556246.60841159,389.626539013526,6554779.73309637,6555989.05295925,6556247.37547278,6556490.52489754,6557459.62878092
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",93100.6479968483,129.973387854634,92676.198978124,93010.4200311995,93102.8606213545,93187.8217524305,93546.0508850174
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",93100.6479968483,129.973387854634,92676.198978124,93010.4200311995,93102.8606213545,93187.8217524305,93546.0508850174
"Num Offtake","Adult Female",1161876.82385868,64.7280080924076,1161668.62666411,1161833.88964872,1161877.59251255,1161922.29888914,1162089.1275213
"Num Offtake","Adult Male",831787.940149065,283.601166105145,830695.855115979,831585.272647414,831802.379032172,831977.791299737,832701.669234801
"Num Offtake","Oxen",4469481.196407,12.1988116266119,4469438.46009068,4469472.89371815,4469481.19031283,4469489.58059446,4469519.15892022
"Cml Pop Growth","Overall",-1909650.06400328,76456.3739920743,-2163916.9870324,-1958059.62545579,-1906287.17011783,-1858501.75579958,-1628931.62030112
"Cml Pop Growth","Neonatal Female",-278778.083058654,29491.7455763143,-366435.891566499,-297450.678238272,-277794.521824472,-258493.408496408,-187592.279613074
"Cml Pop Growth","Neonatal Male",-609729.849876603,29890.2561519268,-712435.219988451,-629676.151199242,-608319.986212825,-589285.127452796,-512898.063755634
"Cml Pop Growth","Neonatal Combined",-888507.932935257,50523.0399381314,-1058485.66900244,-922085.982891854,-882861.080769371,-854526.691887016,-730597.762514535
"Cml Pop Growth","Juvenile Female",1054974.76855381,16603.3836707937,1000017.45120972,1044140.48195967,1054911.79780956,1066429.25857912,1112087.45711064
"Cml Pop Growth","Juvenile Male",889966.849138284,17689.528964441,828894.679574459,878259.132946013,890122.615985239,901352.170233655,950669.977616294
"Cml Pop Growth","Juvenile Combined",1944941.6176921,28444.1962860901,1839050.97297148,1926314.54567616,1945096.04358567,1963745.6019178,2049531.93143109
"Cml Pop Growth","Adult Female",-474218.517347088,3353.68793430473,-485212.174226211,-476496.453154475,-474161.789695535,-471972.79452506,-462727.031116724
"Cml Pop Growth","Adult Male",1486383.29406475,3371.46892585026,1472791.75521743,1484131.73555799,1486326.96670029,1488597.77388112,1498372.98028911
"Cml Pop Growth","Oxen",-3978248.52547779,207.815882107178,-3979051.62284865,-3978396.13675441,-3978238.30680996,-3978109.62703929,-3977575.61871885
"Total Number Increase","Overall",4646596.54440831,76696.0880174501,4391826.2632263,4598462.53940804,4650098.28322632,4697759.98368397,4928326.69415063
"Total Number Increase","Neonatal Female",-278778.083058654,29491.7455763143,-366435.891566499,-297450.678238272,-277794.521824472,-258493.408496408,-187592.279613074
"Total Number Increase","Neonatal Male",-609729.849876603,29890.2561519268,-712435.219988451,-629676.151199242,-608319.986212825,-589285.127452796,-512898.063755634
"Total Number Increase","Neonatal Combined",-888507.932935257,50523.0399381314,-1058485.66900244,-922085.982891854,-882861.080769371,-854526.691887016,-730597.762514535
"Total Number Increase","Juvenile Female",1148075.41655066,16719.8646149329,1092752.13760302,1137206.50502432,1147997.92243729,1159606.29637178,1205626.71303502
"Total Number Increase","Juvenile Male",889966.849138284,17689.528964441,828894.679574459,878259.132946013,890122.615985239,901352.170233655,950669.977616294
"Total Number Increase","Juvenile Combined",2038042.26568895,28538.1529749436,1931785.65936478,2019366.78260871,2038159.08763789,2056846.25433298,2143071.18735547
"Total Number Increase","Adult Female",687658.306511593,3415.42046632878,676478.956868642,685332.084512116,687720.964059637,689938.37112397,699362.096404571
"Total Number Increase","Adult Male",2318171.23421382,3640.51061892498,2303487.61033341,2315738.08840134,2318168.21517048,2320562.62408656,2331074.64952391
"Total Number Increase","Oxen",491232.670929208,219.627341891635,490386.837242032,491075.7662579,491243.831396877,491379.708621199,491940.397968817
"Total Mortality","Overall",2168952.5643419,48224.0783464492,2024578.18586541,2134274.89338857,2168935.20910165,2203303.07441087,2312402.55837894
"Total Mortality","Neonatal Female",559431.518980798,31669.347641895,448313.739992543,537950.880010513,559154.950044741,580140.822763526,660636.77505565
"Total Mortality","Neonatal Male",601084.441111877,35271.9190213097,499176.137314197,577466.846200174,598999.020283506,625218.816394312,721463.836271191
"Total Mortality","Neonatal Combined",1160515.96009268,47025.4196281451,1024426.67685513,1129108.26479224,1158950.14370905,1194047.81772698,1304952.30768285
"Total Mortality","Juvenile Female",377099.683824224,8185.86277523782,353441.779908321,371519.764143763,376938.239947037,382734.002266665,404023.072169911
"Total Mortality","Juvenile Male",448534.536405826,9718.05242502342,416143.644262844,441951.075273428,448407.273709813,455160.962119926,474190.051029368
"Total Mortality","Juvenile Combined",825634.220230049,12514.5443883331,785114.014780717,817312.980564603,825223.079517629,833771.377188009,873025.485625525
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",28682.3427637609,9.77935055534999,28644.6846591717,28675.3542292212,28682.8406562818,28688.8893551634,28713.850663269
"Total Mortality","Oxen",154120.041255414,0.420648676780416,154118.567589334,154119.754955798,154120.04104527,154120.330365326,154121.350307594
"Value of Total Mortality","Overall",29239528422.1997,563467461.639555,27560651001.9462,28836761052.1728,29254358995.8259,29634494237.2311,30921132663.1844
"Value of Total Mortality","Neonatal Female",6305345079.8364,356944788.701305,5052938096.57882,6063237088.69248,6302227875.1008,6538759362.51956,7446028151.4798
"Value of Total Mortality","Neonatal Male",6583958892.17941,386349818.762586,5467709598.26236,6325264333.81892,6561116302.90611,6848313987.53681,7902530685.06804
"Value of Total Mortality","Neonatal Combined",12889303972.0158,521797469.176602,11368024259.6138,12541553737.0632,12871033772.7255,13262129065.7669,14497215053.74
"Value of Total Mortality","Juvenile Female",6047731097.99302,131280663.955118,5668317782.72695,5958243211.30587,6045141943.98806,6138091404.09243,6479514575.80006
"Value of Total Mortality","Juvenile Male",8978779585.25513,194536303.539604,8330377606.1075,8846991636.68475,8976232036.28359,9111427600.28143,9492352548.43641
"Value of Total Mortality","Juvenile Combined",15026510683.2482,231358466.424001,14257907885.8564,14872429078.5975,15013128845.2624,15182098113.3114,15868020819.0753
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",821485196.698595,280088.40772576,820406638.516981,821285039.489742,821499456.737912,821672696.303153,822387608.096374
"Value of Total Mortality","Oxen",5349367748.97642,14600.3365097097,5349316599.35476,5349357811.77476,5349367741.68252,5349377783.72096,5349413184.99797
"Population Liveweight (kg)","Overall",11214582258.0423,930997173.212389,8540886752.40152,10587146609.1909,11206522001.3568,11870670189.9513,14436015674.9194
"Population Liveweight (kg)","Neonatal Female",328001893.658345,68101232.7009137,143491291.210627,284261547.693499,330112501.143417,378165929.710519,464685966.592541
"Population Liveweight (kg)","Neonatal Male",362752846.872143,98475344.8727656,127083677.801842,288246299.037864,364722759.369688,437642116.936058,603974394.386932
"Population Liveweight (kg)","Juvenile Female",931382359.119265,191638545.138971,515152326.58018,780961427.340295,920289971.280254,1059393929.67216,1477852284.72888
"Population Liveweight (kg)","Juvenile Male",1160348646.72317,254054713.535432,650761346.895707,961107307.784295,1138687264.95777,1331171161.87544,1878204477.14271
"Population Liveweight (kg)","Juvenile Combined",2091731005.84243,319100810.354784,1366378319.54659,1854670968.37277,2078641091.39983,2301366648.08594,3042113849.62521
"Population Liveweight (kg)","Adult Female",3933497436.60705,582764191.087254,2536739832.38939,3508804630.10272,3952628143.22254,4362505493.7444,5439045599.95456
"Population Liveweight (kg)","Adult Male",968700811.52591,156755993.943768,640064852.074823,846499782.848167,966244778.436769,1082521351.78045,1394761655.36456
"Population Liveweight (kg)","Oxen",3529898263.53644,598078064.654905,2334860300.66552,3084879267.90525,3506801302.7018,3973149040.67173,5112404937.55359
"Offtake Liveweight (kg)","Overall",1682629018.55872,196898214.420749,1248100229.74504,1535102377.63687,1669054187.62402,1818943819.13389,2238112583.85761
"Offtake Liveweight (kg)","Juvenile Female",15629981.6641423,3201567.24476597,8611585.80256235,13369297.4914714,15364587.0031858,17805381.0373924,24472640.6383529
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",277457716.42415,40526803.8536907,185673978.761178,246648679.952171,278317090.407874,306878845.765749,382162863.627523
"Offtake Liveweight (kg)","Adult Male",220819697.403437,35250716.8629312,145575508.724156,194065165.269102,219276576.383784,246573397.95127,320541858.097042
"Offtake Liveweight (kg)","Oxen",1168721623.06699,189246321.449315,782218313.032464,1016857915.58209,1155895339.82116,1302762447.13813,1653786106.23979
"Meat (kg)","Overall",5617125431.72592,217060633.112717,4999545390.20312,5470219331.52424,5606616076.66123,5760526243.67009,6421057362.14833
"Manure","Overall",30206973240.7346,959124492.927112,27326805844.5346,29591211819.883,30228988313.7348,30857525491.0863,33327873925.6437
"Manure","Neonatal Female",941656693.614783,25034784.2042889,850621030.27833,924772712.415089,942239579.962222,958764502.745748,1016240887.74577
"Manure","Neonatal Male",1001900111.57421,26350054.8731597,922956166.547329,984179803.631972,999998381.283564,1020561527.71962,1082583676.94337
"Manure","Neonatal Combined",1943556805.18899,35685400.1347368,1844312344.75677,1917932816.37987,1943638587.15362,1967283177.05102,2058316457.9256
"Manure","Juvenile Female",2118133976.13573,69968624.0625274,1892918760.42483,2070771851.20725,2119180358.29062,2168978319.36603,2317030255.61702
"Manure","Juvenile Male",2506207243.95554,83788445.0287121,2268819740.68772,2448803660.08331,2507025278.56944,2562922130.81921,2739704308.05779
"Manure","Juvenile Combined",4624341220.09127,109537794.468824,4200615969.38451,4549239013.44348,4622117806.71518,4701055318.34935,4930118087.21725
