"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",6549235.66254402,381.173479267291,6547834.84678642,6548978.34170213,6549238.60602733,6549496.65179224,6550630.80767621
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",93066.5828401257,125.260255035593,92528.9324546344,92982.0356967274,93068.65676959,93152.1300856044,93552.343812481
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",93066.5828401257,125.260255035593,92528.9324546344,92982.0356967274,93068.65676959,93152.1300856044,93552.343812481
"Num Offtake","Adult Female",1151739.51735835,62.6593815764408,1151491.7576252,1151696.93765963,1151739.7432575,1151781.66685318,1151987.66105974
"Num Offtake","Adult Male",834773.251183415,277.131121329458,833755.454168661,834584.156883787,834779.281506719,834966.581354265,835686.811692646
"Num Offtake","Oxen",4469656.31116213,11.8745513425903,4469614.04561247,4469648.15149681,4469656.46785984,4469664.61714574,4469694.37479247
"Cml Pop Growth","Overall",-2260344.637804,75852.3048920856,-2560977.44561809,-2310663.29549691,-2260433.16082959,-2209559.87913996,-1974147.14257845
"Cml Pop Growth","Neonatal Female",-308283.064590327,29190.4450982826,-423927.415704828,-328279.700047579,-307811.010721218,-287774.117000356,-207826.461559901
"Cml Pop Growth","Neonatal Male",-637665.843306715,30200.8827382323,-756359.43198865,-657966.519879497,-636984.315046287,-616881.623034469,-512716.81447239
"Cml Pop Growth","Neonatal Combined",-945948.907897042,50660.4452644299,-1129647.09206595,-979875.452667146,-944926.193730403,-912458.430358621,-750272.585842529
"Cml Pop Growth","Juvenile Female",1046215.88339343,16104.5904227499,979458.485815122,1035334.73590325,1046469.48355828,1057306.79233732,1105919.97776118
"Cml Pop Growth","Juvenile Male",881919.565948964,17369.8915927489,813031.710727375,870149.281366439,882345.135280657,893955.323318815,949162.499076219
"Cml Pop Growth","Juvenile Combined",1928135.4493424,27631.4845227849,1820723.37384167,1909036.15860702,1928385.79966691,1947264.78120765,2029456.99245284
"Cml Pop Growth","Adult Female",-775319.496398991,3215.19633622167,-789142.714087674,-777496.219222571,-775270.233152595,-773114.676086741,-762899.792316394
"Cml Pop Growth","Adult Male",1508901.80622678,3297.91920334754,1497248.55128792,1506671.31140858,1508969.83333159,1511182.95684359,1520160.41601701
"Cml Pop Growth","Oxen",-3976113.48907714,203.125850337266,-3976859.43619239,-3976252.42353747,-3976109.00931549,-3975972.47517968,-3975444.03618293
"Total Number Increase","Overall",4288891.02474002,76077.0636207665,3987181.46213017,4238280.50582184,4288772.58242538,4339872.13324335,4575807.38668189
"Total Number Increase","Neonatal Female",-308283.064590327,29190.4450982826,-423927.415704828,-328279.700047579,-307811.010721218,-287774.117000356,-207826.461559901
"Total Number Increase","Neonatal Male",-637665.843306715,30200.8827382323,-756359.43198865,-657966.519879497,-636984.315046287,-616881.623034469,-512716.81447239
"Total Number Increase","Neonatal Combined",-945948.907897042,50660.4452644299,-1129647.09206595,-979875.452667146,-944926.193730403,-912458.430358621,-750272.585842529
"Total Number Increase","Juvenile Female",1139282.46623356,16215.173284236,1071987.41826976,1128318.50907729,1139545.3708395,1150425.8063917,1199354.54455295
"Total Number Increase","Juvenile Male",881919.565948964,17369.8915927489,813031.710727375,870149.281366439,882345.135280657,893955.323318815,949162.499076219
"Total Number Increase","Juvenile Combined",2021202.03218252,27720.9302508392,1913252.3062963,2002039.11346402,2021405.024108,2040405.02564962,2122856.02830776
"Total Number Increase","Adult Female",376420.020959358,3274.66600849368,362349.043537524,374202.625384376,376469.069632222,378658.9267903,389087.868743342
"Total Number Increase","Adult Male",2343675.05741019,3560.38916220755,2331004.00545658,2341270.21406601,2343736.78356078,2346133.74736111,2355684.6635569
"Total Number Increase","Oxen",493542.822084991,214.618487066197,492754.609420086,493396.31712891,493547.509931718,493692.542184166,494250.307563395
"Total Mortality","Overall",2463996.86017335,48571.4470933501,2295898.59368924,2430163.47803048,2463479.79661757,2496445.8460013,2653320.82632015
"Total Mortality","Neonatal Female",558878.38033871,32154.5390607028,459624.986394596,536529.004886796,557905.840976966,579848.122689971,713217.256865675
"Total Mortality","Neonatal Male",598009.912427204,34209.766710654,483469.071823404,573904.020953136,597072.902478297,621045.658417712,732801.166134577
"Total Mortality","Neonatal Combined",1156888.29276591,47222.2284710316,987918.859200595,1124041.36176141,1156379.34716182,1188774.45475993,1344708.68707462
"Total Mortality","Juvenile Female",377563.716154232,7998.5917499313,347893.427546548,372165.501981204,377569.802734606,383048.623428309,404165.466862359
"Total Mortality","Juvenile Male",449146.953609419,9504.58388318634,411258.190827964,442738.327898128,449208.250348921,455697.692927722,482292.182498129
"Total Mortality","Juvenile Combined",826710.669763651,12298.5240635098,777372.911012001,818504.217607886,826748.244688951,835136.77393556,871715.327940325
"Total Mortality","Adult Female",326271.817948541,17.7505330244875,326201.631055297,326259.755710943,326271.881942635,326283.758315348,326342.113614656
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",154126.079695246,0.40946728767536,154124.622262499,154125.798327476,154126.085098615,154126.366108474,154127.392234223
"Value of Total Mortality","Overall",36733724327.4321,577720253.849883,34762161865.2821,36331803632.0331,36725014622.478,37120276588.6205,39047882796.2782
"Value of Total Mortality","Neonatal Female",6294994797.45606,362176572.260764,5177042089.87522,6043259881.33545,6284040481.74467,6531190047.88815,8033409556.3051
"Value of Total Mortality","Neonatal Male",6756797919.14355,386529513.510482,5462623195.00313,6484430130.63985,6746210825.61646,7017074341.55742,8279778130.07708
"Value of Total Mortality","Neonatal Combined",13051792716.5996,532775503.155828,11145744313.4713,12681710176.747,13046325199.9152,13411632374.5716,15171474591.3165
"Value of Total Mortality","Juvenile Female",6287876640.1497,133207074.903199,5793753114.34313,6197975774.82596,6287978004.93904,6379221276.42287,6730897300.52584
"Value of Total Mortality","Juvenile Male",9226741991.80465,195250891.773578,8448400213.54296,9095090790.59993,9228001199.27736,9361312606.29914,9907638239.14152
"Value of Total Mortality","Juvenile Combined",15514618631.9544,234136402.925851,14545607381.9345,15358663967.1477,15514541461.7309,15672647195.9064,16385630038.1146
"Value of Total Mortality","Adult Female",7620185077.49816,414569.507477875,7618545839.63847,7619903359.99181,7620186572.10118,7620463948.67232,7621826855.78386
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",5827830584.6053,15482.8176206697,5827775476.01398,5827819945.49932,5827830788.91803,5827841414.49062,5827880214.45904
"Population Liveweight (kg)","Overall",11132736715.1662,894225164.737345,8076288535.63345,10500826541.061,11111024055.3644,11748597652.3044,14221897770.4666
"Population Liveweight (kg)","Neonatal Female",325843271.322757,69196182.2413981,95676549.4394416,277817516.498787,331036407.841236,379508802.896349,463939418.936591
"Population Liveweight (kg)","Neonatal Male",358284722.336185,96928738.1855089,107936932.890148,289723079.044011,358519754.692896,429092626.945482,593666634.326651
"Population Liveweight (kg)","Juvenile Female",925394270.736455,194406642.60512,503732485.396225,775922840.574241,916343656.648087,1066531752.23963,1507849096.76045
"Population Liveweight (kg)","Juvenile Male",1165446016.55156,260313284.225611,653157074.240396,958786757.157931,1144120192.84076,1349304010.69491,1995320420.06165
"Population Liveweight (kg)","Juvenile Combined",2090840287.28801,324561055.687134,1230666911.58242,1851141135.18532,2077749616.19776,2318692716.77141,3276252624.82413
"Population Liveweight (kg)","Adult Female",3848730966.022,574777395.00238,2440090793.42365,3417594400.85121,3842537143.40487,4267019604.25486,5374086341.08258
"Population Liveweight (kg)","Adult Male",972186347.88664,157565659.465272,625892438.744229,851892717.000367,966726049.124092,1082340012.80981,1455188765.52
"Population Liveweight (kg)","Oxen",3536851120.31057,581927660.072546,2290419706.38001,3094488068.81175,3500149584.0627,3945575205.1122,5244892246.19323
"Offtake Liveweight (kg)","Overall",1699801283.52876,201003331.642693,1152852517.80417,1548653688.18259,1687431647.33592,1840883895.1448,2343427243.28541
"Offtake Liveweight (kg)","Juvenile Female",15675339.0038418,3271448.72853858,8517576.4184885,13148854.9020097,15520777.4868241,17986009.2656809,25494370.0331178
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",278480247.862276,41779632.0694198,176177669.914285,246750179.473365,277812605.929902,309174069.523536,387423342.85184
"Offtake Liveweight (kg)","Adult Male",221959745.294,36126620.3681179,142241000.349999,194547741.985147,220534069.407266,248343720.41156,320597538.137545
"Offtake Liveweight (kg)","Oxen",1183685951.36864,193332243.189062,764709191.361552,1038069944.90675,1168933025.14066,1319448512.4345,1739684174.74119
"Meat (kg)","Overall",5617504388.45903,217409950.070761,4966325166.49232,5466598347.88608,5611672546.02075,5761907178.7728,6451073366.38697
"Manure","Overall",30072498169.373,930570560.260646,26402743450.6938,29435281048.9393,30083841245.5177,30704990470.1364,33624584332.6473
"Manure","Neonatal Female",936764250.638657,23990446.9004328,848071731.854442,920233514.610386,936818548.344412,953179436.804828,1020548680.26213
"Manure","Neonatal Male",998360107.820021,25633273.0332869,908927143.814753,980709674.846509,998500919.12897,1016035332.57064,1095434061.27265
"Manure","Neonatal Combined",1935124358.45868,35464660.6008174,1804461431.88892,1910976771.46844,1935514408.36152,1959365473.80201,2051189090.95999
"Manure","Juvenile Female",2116560844.36105,70345649.7372858,1821175217.18199,2070052305.06284,2116726013.45529,2163924276.04013,2375543676.80146
"Manure","Juvenile Male",2503057394.86852,82408391.114227,2202706766.76716,2447270642.35266,2502862132.99098,2558883607.24868,2844148638.11443
"Manure","Juvenile Combined",4619618239.22956,108734842.558415,4195949118.02765,4547401929.41009,4619407696.17548,4692185628.08949,5009740826.87719
"Manure","Adult Female",11128039863.7489,671181902.01509,8774496634.45938,10720535984.4536,11114859553.2737,11510462183.6474,13455126000.0262
"Manure","Adult Male",2057042427.08818,126544637.939451,1622241221.50582,1973196478.73449,2057439584.27857,2139868764.95088,2489181047.24725
"Manure","Oxen",10332673280.8476,634154980.229044,8143898267.6451,9930042248.49714,10320933064.4877,10714164373.8383,12487316313.0926
"Hides","Overall",653554.283703719,6147.18531882243,628869.888948253,649452.553492376,653571.452031822,657769.110813782,676039.134201971
