"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",6549103.48032835,334.342221214794,6548116.15098602,6548877.04755218,6549105.57375637,6549333.39985967,6550118.21998695
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",94063.8256775147,103.716421823289,93735.6947777299,93992.3371455997,94066.2877224172,94136.6509569565,94388.651269486
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",94063.8256775147,103.716421823289,93735.6947777299,93992.3371455997,94066.2877224172,94136.6509569565,94388.651269486
"Num Offtake","Adult Female",1152117.6433967,54.133093175927,1151959.86670612,1152079.50348839,1152117.22478852,1152155.26504684,1152285.77337246
"Num Offtake","Adult Male",833390.150638079,230.897860015365,832693.467056151,833236.181844357,833394.437429644,833551.6408705,834063.642202904
"Num Offtake","Oxen",4469531.86061606,10.4230724325885,4469498.8281079,4469525.22241605,4469531.63459587,4469538.80322597,4469562.54876144
"Cml Pop Growth","Overall",-1136243.5463328,62412.1573189678,-1349983.75907955,-1182231.51366458,-1136162.31410166,-1092047.17351046,-883069.110711202
"Cml Pop Growth","Neonatal Female",53834.2770855736,20771.4466816009,-11150.9776640884,38727.4411450259,53762.51213464,68341.8820758064,131748.964420314
"Cml Pop Growth","Neonatal Male",-252706.135095455,20771.4466816009,-317691.389845117,-267812.971036002,-252777.900046389,-238198.530105222,-174791.447760715
"Cml Pop Growth","Neonatal Combined",-198871.858009881,41542.8933632019,-328842.367509205,-229085.529890976,-199015.387911749,-169856.648029416,-43042.4833404012
"Cml Pop Growth","Juvenile Female",1213195.93011626,12562.7692636285,1172814.16032452,1204415.38197909,1212795.20443066,1221510.91902045,1253573.00570477
"Cml Pop Growth","Juvenile Male",1063720.53804109,12822.9902406579,1021376.17815605,1055244.28244294,1063247.07366395,1072392.20450119,1104618.02031158
"Cml Pop Growth","Juvenile Combined",2276916.46815735,23117.5887356974,2194190.33848057,2260996.74067088,2275830.58033807,2293493.92429431,2358191.02601635
"Cml Pop Growth","Adult Female",-749447.330387097,2656.27864712885,-757882.332033662,-751272.010715562,-749378.068356181,-747611.574700685,-741104.661210047
"Cml Pop Growth","Adult Male",1512217.01629044,2577.63833253261,1504107.20199816,1510444.66864196,1512284.34707652,1513963.59031499,1521526.23753225
"Cml Pop Growth","Oxen",-3977057.84238361,168.736082938006,-3977569.40807457,-3977172.1047892,-3977054.01195779,-3976941.04846788,-3976564.48973329
"Total Number Increase","Overall",5412859.93399554,62606.949539461,5198134.24509301,5366617.86885032,5412823.08254921,5457071.99234957,5667049.10927575
"Total Number Increase","Neonatal Female",53834.2770855736,20771.4466816009,-11150.9776640884,38727.4411450259,53762.51213464,68341.8820758064,131748.964420314
"Total Number Increase","Neonatal Male",-252706.135095455,20771.4466816009,-317691.389845117,-267812.971036002,-252777.900046389,-238198.530105222,-174791.447760715
"Total Number Increase","Neonatal Combined",-198871.858009881,41542.8933632019,-328842.367509205,-229085.529890976,-199015.387911749,-169856.648029416,-43042.4833404012
"Total Number Increase","Juvenile Female",1307259.75579378,12652.1146335857,1266574.07856271,1298463.66467013,1306853.62643766,1315625.94806501,1347878.3815779
"Total Number Increase","Juvenile Male",1063720.53804109,12822.9902406579,1021376.17815605,1055244.28244294,1063247.07366395,1072392.20450119,1104618.02031158
"Total Number Increase","Juvenile Combined",2370980.29383487,23198.2962433396,2287950.25671876,2355088.86543498,2369918.01041798,2387618.96778577,2452496.40188948
"Total Number Increase","Adult Female",402670.313009599,2707.58446423407,394083.618608064,400804.731801778,402757.586149747,404558.702644645,411165.724897211
"Total Number Increase","Adult Male",2345607.16692852,2794.79321193128,2336800.66905431,2343684.46656907,2345709.92424992,2347481.80504293,2355577.82465771
"Total Number Increase","Oxen",492474.018232442,178.797217564316,491934.4533563,492354.726778068,492477.389637631,492599.089879247,492995.581994405
"Total Mortality","Overall",1345377.05041964,12486.2006197557,1304911.52718274,1336621.5192046,1345331.3396442,1353053.85864823,1386465.17301228
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
