"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",549145.124308121,5479.9284467984,534964.946157435,545353.63919045,548596.549428758,552632.900727814,570554.975952454
"Num Offtake","Neonatal Female",41591.6528316258,748.582180946136,39653.6870664583,41073.8600846626,41515.505439619,42070.9499873384,44506.0131082435
"Num Offtake","Neonatal Male",140261.283900112,4114.2525698025,129688.921897931,137351.970984233,139876.822402598,142933.94938043,156461.807742175
"Num Offtake","Neonatal Combined",181852.936731738,4862.10226148843,169342.60896439,178425.43083321,181407.079805594,184995.326617708,200967.820850418
"Num Offtake","Juvenile Female",118110.536320062,553.724375549459,116692.432680594,117732.13961188,118043.040253706,118459.292144992,120179.677689507
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",118110.536320062,553.724375549459,116692.432680594,117732.13961188,118043.040253706,118459.292144992,120179.677689507
"Num Offtake","Adult Female",240500.252325646,68.3827553978135,240339.909989291,240452.026388706,240490.65516568,240543.5907857,240743.566792648
"Num Offtake","Adult Male",8681.39893067499,39.0292933693178,8589.99452316082,8653.82665944925,8675.90199562104,8705.98355379926,8820.28166755382
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",357786.409222054,29522.6141590941,273065.578065098,337269.044489814,355103.261498904,376683.491617194,477605.50431436
"Cml Pop Growth","Neonatal Female",81479.7228301315,10985.3769027799,50391.652688248,73763.6323038993,80279.8451162855,88436.1189554657,122730.457083179
"Cml Pop Growth","Neonatal Male",163390.749570877,9241.54762336347,138345.91720317,156814.971353825,162298.766050644,169563.465276224,195034.906450318
"Cml Pop Growth","Neonatal Combined",244870.472401009,20160.6390113693,188737.569891418,230310.985487861,242513.571143365,257886.816570622,317765.363533497
"Cml Pop Growth","Juvenile Female",32859.7517435485,5283.33023809551,19387.1071741785,29150.0689869708,32408.4422054917,36380.2507226842,53716.0280685274
"Cml Pop Growth","Juvenile Male",144399.381700196,4861.42681386834,132085.809395904,141000.616326165,144016.86684696,147644.318248175,163719.421407422
"Cml Pop Growth","Juvenile Combined",177259.133443744,10143.9090310857,151472.916570082,170154.064175606,176411.050833698,184017.8494376,217435.44947595
"Cml Pop Growth","Adult Female",-108813.520076494,972.127755075514,-111317.836189002,-109479.564726787,-108929.15743133,-108183.834155332,-105135.278030677
"Cml Pop Growth","Adult Male",44470.3234537944,965.191698386554,41984.6494583036,43809.1609123985,44354.621135671,45093.1629009545,48119.3010673839
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",906931.533530175,34292.3406960227,809348.998790142,882949.724700721,904132.9281824,929181.95032121,1048160.48026681
"Total Number Increase","Neonatal Female",123071.375661757,11523.4228988134,90226.8963707017,115050.534680663,121833.672398814,130176.259289311,167236.470191423
"Total Number Increase","Neonatal Male",303652.03347099,12177.8811116661,268737.85840757,295166.259318989,302507.066721676,311162.612785329,351496.714192493
"Total Number Increase","Neonatal Combined",426723.409132747,23686.851839382,358964.754778272,410383.953431203,424320.035285023,441143.721142501,518733.184383916
"Total Number Increase","Juvenile Female",150970.288063611,5798.11535270907,136079.539854772,146866.150122869,150432.447979091,154768.502967385,173755.322391296
"Total Number Increase","Juvenile Male",144399.381700196,4861.42681386834,132085.809395904,141000.616326165,144016.86684696,147644.318248175,163719.421407422
"Total Number Increase","Juvenile Combined",295369.669763807,10654.3973288832,268165.349250676,287871.121580679,294453.134063693,302427.373548075,337474.743798718
"Total Number Increase","Adult Female",131686.732249152,1038.45691009272,129022.073800289,130974.612798424,131561.890256071,132347.11138863,135578.441645566
"Total Number Increase","Adult Male",53151.7223844694,1003.03250652327,50574.6439814644,52463.8537658024,53032.0404572882,53794.5656022856,56922.9700930192
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",94.552511028875,7.61429007434344,73.6590167850781,89.2474237104984,94.6007422921333,99.7415194480156,121.288402847129
"Total Mortality","Neonatal Female",54.0365587490025,6.51584398354214,36.3547197956379,49.5301158989805,53.809089298,58.6148660817373,71.8084294454052
"Total Mortality","Neonatal Male",28.209497813422,3.50961865099906,19.3431609439159,25.6915749009764,28.0373409934941,30.4887920785391,43.2791490325602
"Total Mortality","Neonatal Combined",82.2460565624245,7.47260038076254,61.9740924525795,77.1283416834205,82.2426546748273,87.1061647451421,110.711261560625
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",12.3064544664505,1.77090130125478,6.99413256981589,11.067169837446,12.2966756853805,13.4734643136893,19.9139463345235
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",1245961.95286181,96305.6583248149,978020.55175244,1178650.02350803,1245539.80368203,1314675.24901944,1572082.15856287
"Value of Total Mortality","Neonatal Female",660737.425759303,79673.1338931598,444530.971773142,605634.445166375,657956.020300225,716719.136501051,878044.751886637
"Value of Total Mortality","Neonatal Male",297302.718405436,36988.2219247442,203859.507504024,270766.077038881,295488.340464533,321324.428594931,456123.279569056
"Value of Total Mortality","Neonatal Combined",958040.144164739,88618.9835943697,724625.191300884,897202.987955631,958745.776337314,1015863.56677033,1286344.41475346
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",287921.808697075,41432.0068441567,163634.725603413,258927.505516887,287693.024335163,315225.171083074,465906.688442513
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",754100730.115836,55619473.8825336,528891806.468582,719073772.075444,760524070.923279,795189273.420046,895338760.759911
"Population Liveweight (kg)","Neonatal Female",59779931.8204291,11903118.9035741,23716764.5190166,51989502.5255882,60830137.4737042,68657402.1117844,82199564.148018
"Population Liveweight (kg)","Neonatal Male",38210175.5643617,8767515.89333065,11159630.1393932,32388745.0936574,38562924.9815449,44948012.1129892,57289904.3139093
"Population Liveweight (kg)","Juvenile Female",130399883.090773,22202096.9910579,90407945.0867065,113099271.196912,126912037.432015,145175136.888886,201049779.13922
"Population Liveweight (kg)","Juvenile Male",73871947.9420207,10705107.5129448,44818375.9569013,66248672.9274742,74901326.8157878,82102181.7736861,96968793.2197393
"Population Liveweight (kg)","Juvenile Combined",204271831.032794,24382988.3438354,148477020.995492,186312796.61521,201035301.901285,220273977.276972,281861113.145938
"Population Liveweight (kg)","Adult Female",408660326.09196,47675811.0715394,261748342.915148,378015000.712438,416421827.038425,447494200.380036,482506644.459069
"Population Liveweight (kg)","Adult Male",43178465.606292,6065568.55801253,23349115.2570973,39064143.4619677,43836027.9711523,48026507.0498135,54773708.7490649
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",159407817.306493,14638270.8930155,113467100.202122,150049871.08376,160505958.458725,169978391.803853,192316777.4225
"Offtake Liveweight (kg)","Juvenile Female",32492156.9672359,5274936.41801028,22751588.9758262,28141613.3078976,32199470.8996771,36353246.5854663,47103889.6015312
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",122442852.087029,13640767.5038654,77197442.8665639,113530810.265948,124302227.581545,133426531.878033,144107241.560915
"Offtake Liveweight (kg)","Adult Male",4472808.25222767,618957.890188894,2433708.21406679,4027786.57539484,4558311.38767537,4960782.19208764,5599194.1512441
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",521782418.701722,15718884.1377135,468590167.846531,511351155.886807,521768542.65445,532625257.068604,564799618.152189
"Manure","Overall",997456823.084546,36653665.6935846,886595832.605053,973249234.708046,996432799.59114,1023519361.08417,1101151907.51171
"Manure","Neonatal Female",90063540.4180347,2864678.56038573,79672010.9793283,88105030.418854,89949399.4480246,91988867.4040118,100504571.57039
"Manure","Neonatal Male",49400873.1385218,1936862.59157774,43847806.440032,48086131.4767656,49379411.6289024,50690599.1533879,55900583.3234937
"Manure","Neonatal Combined",139464413.556557,4146025.86302985,125237414.564462,136571600.985345,139490167.276815,142245064.282003,153486858.855011
"Manure","Juvenile Female",189165298.953483,6271748.49120392,170766004.342838,184990488.016235,189356304.080365,193238948.648827,209066163.106252
"Manure","Juvenile Male",49055730.9263959,1907610.54097138,43552462.7023981,47732591.3687366,49054922.1450033,50250182.349873,55406303.7632056
"Manure","Juvenile Combined",238221029.879878,6596923.80999892,219258935.941601,233776363.816529,238431879.063645,242467171.212117,259131314.023553
"Manure","Adult Female",580321265.19701,35540875.0237175,478644637.061484,559720865.30037,580978246.268901,602316861.40509,683588958.642608
"Manure","Adult Male",39450114.4511009,2428981.99733274,31939144.2838028,37797935.5666264,39466340.7195662,41160421.1283402,46632293.722391
