"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",505109.671954969,51.7499098476859,504910.265197922,505074.341229062,505109.235833998,505145.373775122,505342.639358225
"Num Offtake","Neonatal Female",35695.2809521594,7.05660617559694,35668.131590319,35690.4665512528,35695.2300700062,35700.1463722728,35727.0165962642
"Num Offtake","Neonatal Male",110001.352298527,38.7537440135151,109853.227773877,109974.82974013,110001.316622415,110028.002887997,110177.736214554
"Num Offtake","Neonatal Combined",145696.633250686,45.8037752344188,145521.359364196,145665.316976303,145696.573263597,145728.050861983,145904.752810818
"Num Offtake","Juvenile Female",113999.933839614,5.30375663087291,113976.830951809,113996.358944379,113999.865459537,114003.556180682,114021.006341205
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",113999.933839614,5.30375663087291,113976.830951809,113996.358944379,113999.865459537,114003.556180682,114021.006341205
"Num Offtake","Adult Female",237036.709448218,0.658796326569512,237033.806886745,237036.263029931,237036.717687398,237037.161926381,237039.15236451
"Num Offtake","Adult Male",8376.3954164509,0.376180910998312,8374.7382872741,8376.14059384972,8376.40001978475,8376.65384333027,8377.79022402778
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",71496.1805911105,269.762869958542,70537.8702991062,71317.1905800937,71497.7618986276,71681.5892287476,72639.946258252
"Cml Pop Growth","Neonatal Female",-14659.4277956165,99.6368723204121,-15028.8726258531,-14725.9305251062,-14658.1521667863,-14590.9749244238,-14291.1837726735
"Cml Pop Growth","Neonatal Male",92475.5478979512,83.9031227159833,92157.4043586204,92420.2019490945,92477.5391726317,92532.406628213,92757.9762373111
"Cml Pop Growth","Neonatal Combined",77816.1201023347,182.914697386268,77128.5317327674,77693.7272499303,77818.3108258945,77941.066691407,78450.8431273859
"Cml Pop Growth","Juvenile Female",-13112.6345683171,49.3483052470976,-13299.3233200363,-13146.0455807399,-13112.7841188596,-13078.4533391591,-12886.5357367618
"Cml Pop Growth","Juvenile Male",107113.626788696,45.4379717801408,106942.546150886,107082.740651145,107113.382740941,107145.21031269,107322.969481475
"Cml Pop Growth","Juvenile Combined",94000.992220379,94.7789329066566,93643.2228308494,93936.6873481517,94000.6857211954,94066.7631768043,94436.4337447132
"Cml Pop Growth","Adult Female",-137265.044035958,9.23442075273368,-137305.107306042,-137271.247726958,-137265.181013979,-137258.707970038,-137228.133961318
"Cml Pop Growth","Adult Male",36944.1123043548,9.17696704016804,36904.308593482,36937.9348747652,36943.9740570788,36950.4047023994,36980.8033474702
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",576605.852546079,314.631988897634,575468.517614774,576394.292153057,576606.18906066,576823.95515193,577982.585616476
"Total Number Increase","Neonatal Female",21035.8531565429,104.613398343812,20650.5702725788,20966.4391715443,21037.1882901025,21107.0469515509,21435.8328235907
"Total Number Increase","Neonatal Male",202476.900196478,111.130964514545,202070.525031852,202403.334989981,202477.594713986,202553.204810981,202919.763114614
"Total Number Increase","Neonatal Combined",223512.753353021,215.579363211319,222721.095304431,223370.158342044,223515.525589368,223660.653445437,224355.595938204
"Total Number Increase","Juvenile Female",100887.299271297,54.289786978746,100680.30903458,100850.189219826,100887.416069476,100924.681133027,101134.470604443
"Total Number Increase","Juvenile Male",107113.626788696,45.4379717801408,106942.546150886,107082.740651145,107113.382740941,107145.21031269,107322.969481475
"Total Number Increase","Juvenile Combined",208000.926059993,99.6805605210483,207622.855185466,207933.24428396,208000.562338083,208069.902191916,208457.440085918
"Total Number Increase","Adult Female",99771.6654122596,9.87556361903895,99728.6995807028,99765.0119138968,99771.542716618,99778.4106314358,99810.9784411323
"Total Number Increase","Adult Male",45320.5077208057,9.54292830194703,45279.0468807561,45314.0966326462,45320.3694844754,45327.0218296209,45358.5711512216
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",65839.1332745877,8.81022294073574,65805.2149578572,65833.1170231266,65839.0756935386,65845.198749997,65878.808515785
"Total Mortality","Neonatal Female",22715.1787877378,4.49056756628895,22697.9019211121,22712.1150780699,22715.1464081857,22718.2749641736,22735.3741976227
"Total Mortality","Neonatal Male",10845.2037477421,3.82079166330431,10830.5999213681,10842.5888476185,10845.200230379,10847.8312706475,10862.5937112941
"Total Mortality","Neonatal Combined",33560.3825354799,8.30908540157878,33528.5018424802,33554.7094254213,33560.3325293792,33566.1095455055,33597.9679089167
"Total Mortality","Juvenile Female",4384.61283998516,0.203990639648959,4383.72426737728,4384.47534401456,4384.6102099822,4384.75216079548,4385.42332081558
"Total Mortality","Juvenile Male",937.605006311862,0.192223199287664,936.769618133245,937.475881874087,937.602514537238,937.736158419963,938.371385879782
"Total Mortality","Juvenile Combined",5322.21784629702,0.396208281284214,5320.49388551052,5321.95110273986,5322.21291295659,5322.48852185408,5323.79470669537
"Total Mortality","Adult Female",25396.7902980233,0.0705853207038613,25396.4793092941,25396.7424674926,25396.7911807927,25396.8387778265,25397.0520390546
"Total Mortality","Adult Male",1559.74259478741,0.070047479978996,1559.43402590621,1559.69514506167,1559.74345195992,1559.7907156546,1560.00231757759
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",1103991195.56077,97437.7450575014,1103614751.89425,1103924691.79147,1103990182.2429,1104058492.47069,1104427667.18244
"Value of Total Mortality","Neonatal Female",252501927.404494,49917.149066868,252309877.755082,252467871.207826,252501567.473393,252536344.501753,252726419.580774
"Value of Total Mortality","Neonatal Male",103907897.107117,36607.0049261185,103767977.846628,103882843.749033,103907863.407261,103933071.404074,104074510.347908
"Value of Total Mortality","Neonatal Combined",356409824.51161,86500.8917999046,356077855.60171,356350833.423038,356409278.652378,356469438.675011,356800929.928682
"Value of Total Mortality","Juvenile Female",74266572.2836687,3455.19345437406,74251521.6408363,74264243.3769186,74266527.7366785,74268932.0995538,74280300.2079744
"Value of Total Mortality","Juvenile Male",19355917.7503021,3968.25572609455,19338671.9967427,19353252.1054086,19355866.3101067,19358625.2544217,19371738.8901022
"Value of Total Mortality","Juvenile Combined",93622490.0339708,7423.34545838104,93590193.637579,93617491.1640511,93622399.3103093,93627564.6180823,93652039.0980766
"Value of Total Mortality","Adult Female",594183305.812554,1651.41416318725,594176029.920245,594182186.769457,594183326.465825,594184440.046028,594189429.505722
"Value of Total Mortality","Adult Male",59775575.2026327,2684.49962271502,59763749.6088297,59773756.7393436,59775608.0529119,59777419.386747,59785528.8188435
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",381584112.629163,134430612.14695,49426162.728485,275771202.238914,381939336.916276,487827047.521831,734528918.12001
"Population Liveweight (kg)","Neonatal Female",23235630.0576812,13310226.3386756,312713.397744713,11891094.0776272,23162395.5570703,34727945.8725646,46023859.436896
"Population Liveweight (kg)","Neonatal Male",13799826.0249355,7907080.5514435,185825.171724418,6887789.89331404,13766259.5316957,20658132.5334535,27378577.6096285
"Population Liveweight (kg)","Juvenile Female",81098767.3651595,46781637.7696526,430845.477648089,40516212.9332616,81029572.0790279,121526665.065422,161651279.391966
"Population Liveweight (kg)","Juvenile Male",29207543.1843136,16860566.5820388,154899.08615037,14727652.3317619,29138249.4987149,43699256.9332975,58165539.6824745
"Population Liveweight (kg)","Juvenile Combined",110306310.549473,49990180.8028221,1171737.6566406,70091312.0298306,110076840.442721,150650181.532844,219614984.181522
"Population Liveweight (kg)","Adult Female",213231105.909707,122691103.356672,776534.884413124,107162725.65598,212771587.148051,319163156.970324,427112437.294266
"Population Liveweight (kg)","Adult Male",21011240.0873666,12061196.0276456,75983.6820035135,10489091.1552748,21128563.7837884,31462372.2080854,41812302.2296997
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",89506102.1332828,39575668.5070419,1344535.2101884,57087081.677918,89196766.5379157,122291515.493263,175704897.317249
"Offtake Liveweight (kg)","Juvenile Female",21369730.6586582,12362102.2795231,113994.885020355,10488454.9644577,21317943.5193979,32032481.2090493,42753332.1034648
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",65824502.933704,37684086.2465278,237035.213845448,33184986.0718781,66133313.1236017,98844324.8471516,130370660.357747
"Offtake Liveweight (kg)","Adult Male",2311868.54092058,1331181.81437426,8375.92855625776,1155878.70822511,2328637.12315955,3468134.50858834,4607388.61067705
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",294730608.526433,42936447.265834,145059268.961653,265344236.686415,294292213.6831,324008293.238666,441525688.844617
"Manure","Overall",948736608.683667,35460323.5030226,816580600.964671,924680547.671226,948647153.277795,972274559.408746,1071660986.10624
"Manure","Neonatal Female",75566785.7037697,1880876.94114092,69360737.190367,74289946.988134,75569713.4043786,76851748.0905382,82399374.3430996
"Manure","Neonatal Male",38015371.4054967,959605.57101651,34290587.7446504,37367115.167423,38010437.6826204,38673534.2098558,41334825.2090688
"Manure","Neonatal Combined",113582157.109266,2113677.42189295,105833837.40325,112129540.18844,113627236.411532,114989300.101233,121030164.223
"Manure","Juvenile Female",181298755.722181,6007658.65061814,157618013.935549,177221778.709847,181393536.975505,185399478.417572,203103832.419701
"Manure","Juvenile Male",42566917.6646624,1491650.81646137,37360397.2385442,41542592.4938808,42562705.9189013,43581437.2227753,48100506.7722981
"Manure","Juvenile Combined",223865673.386843,6174507.48095375,200072054.856567,219672315.658899,223916092.804691,228093872.488504,247643028.704699
"Manure","Adult Female",573526857.14537,34851289.687906,450963583.063788,550749074.65314,571776587.939075,592766649.422671,691482513.303907
"Manure","Adult Male",37761921.0421867,2337141.87252859,29738527.4205457,36154640.6500998,37746562.1565171,39323938.601131,45599697.7363005
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",16139.3753695539,0.26714371363346,16138.2036103554,16139.1947246967,16139.3724199428,16139.5580974728,16140.4203034341
"Hides","Juvenile Female",2192.30641999258,0.10199531982448,2191.86213368864,2192.23767200728,2192.3051049911,2192.37608039774,2192.71166040779
"Hides","Juvenile Male",468.802503155931,0.0961115996438322,468.384809066623,468.737940937043,468.801257268619,468.868079209981,469.185692939891
"Hides","Juvenile Combined",2661.10892314851,0.198104140642107,2660.24694275526,2660.97555136993,2661.1064564783,2661.24426092704,2661.89735334768
"Hides","Adult Female",12698.3951490117,0.0352926603519306,12698.2396546471,12698.3712337463,12698.3955903963,12698.4193889132,12698.5260195273
"Hides","Adult Male",779.871297393705,0.035023739989498,779.717012953106,779.847572530836,779.871725979959,779.895357827301,780.001158788794
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",2563965454.55262,139665445.319952,2097373403.84903,2467621878.10159,2561216125.4533,2655920525.03274,3100720051.41496
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",3722863675.06519,371814256.378217,2231372710.36339,3471800567.01138,3723025170.24987,3974575375.30649,5021954474.80888
"Cml Dry Matter","Neonatal Female",232985984.110316,27520203.5496945,126243264.12961,213444781.770351,232816166.861835,252127167.392972,320110446.590164
"Cml Dry Matter","Neonatal Male",117194647.022428,13877857.4659987,68989508.0563838,107703692.609546,117307165.418246,126540568.793689,165946105.172449
"Cml Dry Matter","Neonatal Combined",350180631.132744,30846172.0453032,226527533.921372,329156644.135679,350344425.781658,371266777.265634,459761398.271555
"Cml Dry Matter","Juvenile Female",785000790.39761,117982079.150027,341266060.579158,707557487.714031,786710657.578458,865879966.397907,1247597480.84211
"Cml Dry Matter","Juvenile Male",184669589.826333,28956125.4279151,82338562.3483566,164847419.425805,184628260.210491,204396961.241384,290833300.122264
"Cml Dry Matter","Juvenile Combined",969670380.223942,121062490.440648,515604915.552135,888079668.765081,968460450.144996,1051115490.22419,1439223022.80774
"Cml Dry Matter","Adult Female",2254334176.57834,351440377.638434,860868982.594797,2015044357.41326,2250403773.42758,2496425249.23181,3466102390.14452
"Cml Dry Matter","Adult Male",148678487.130159,23659071.877718,58684388.5549963,132523017.325128,148820082.386983,164965699.628359,237020384.437165
"Cml Dry Matter","Oxen",0,0,0,0,0,0,0
"Value of Offtake","Overall",7797658711.56595,119139.098840991,7797135978.70553,7797578070.04096,7797657421.97712,7797740300.72514,7798124452.48602
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",1930930879.37539,89835.029813725,1930539562.66174,1930870327.79989,1930929721.15364,1930992234.5884,1931287805.40733
"Value of Offtake","Juvenile Male",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Combined",1930930879.37539,89835.029813725,1930539562.66174,1930870327.79989,1930929721.15364,1930992234.5884,1931287805.40733
"Value of Offtake","Adult Female",5545710854.2505,15413.1988564214,5545642945.92229,5545700409.84827,5545711047.01437,5545721440.4296,5545768008.72007
"Value of Offtake","Adult Male",321016977.940064,14416.7572330993,320953470.121493,321007212.118697,321017154.358231,321026881.891789,321070432.545641
"Value of Offtake","Oxen",0,0,0,0,0,0,0
"Value of draught","Overall",0,0,0,0,0,0,0
"Value of draught","Oxen",0,0,0,0,0,0,0
"Value of Herd Increase","Overall",916599121.828702,3824364.00337046,902394857.443724,914049198.1494,916573133.581605,919234276.473912,933666685.908188
"Value of Herd Increase","Neonatal Female",-162954199.376073,1107563.4727137,-167060948.108983,-163693443.717081,-162940019.485997,-162193277.259895,-158860798.817038
"Value of Herd Increase","Neonatal Male",886008224.41027,803875.818741836,882960091.159942,885477954.874274,886027302.812984,886552987.904909,888714170.329678
"Value of Herd Increase","Neonatal Combined",723054025.034197,1905044.84433056,715899143.05096,721775670.708117,723076154.411873,724358182.346616,729700560.912431
"Value of Herd Increase","Juvenile Female",-222101804.318155,835861.59427534,-225263938.394775,-222667720.046573,-222104337.405244,-221522842.658677,-218272142.309272
"Value of Herd Increase","Juvenile Male",2211253711.42584,938021.489429226,2207721922.73888,2210616098.00225,2211248673.30399,2211905721.69517,2215575381.97557
"Value of Herd Increase","Juvenile Combined",1989151907.10769,1773745.86408088,1982457984.34411,1987949605.73905,1989146143.86573,1990381768.53121,1997303239.6663
"Value of Herd Increase","Adult Female",-3211452970.26528,216048.507930956,-3212390290.53217,-3211598111.81992,-3211456175.00306,-3211304731.66701,-3210589422.15899
"Value of Herd Increase","Adult Male",1415846159.95209,351698.084847401,1414320722.5366,1415609416.1405,1415840861.76349,1416087309.81475,1417252307.48845
"Value of Herd Increase","Oxen",0,0,0,0,0,0,0
"Value of Herd Increase plus Offtake","Overall",8714257833.39465,3918915.7133844,8699599274.27813,8711629277.39214,8714214781.78571,8716947655.58848,8731791138.39421
"Value of Herd Increase plus Offtake","Neonatal Female",-162954199.376073,1107563.4727137,-167060948.108983,-163693443.717081,-162940019.485997,-162193277.259895,-158860798.817038
"Value of Herd Increase plus Offtake","Neonatal Male",886008224.41027,803875.818741836,882960091.159942,885477954.874274,886027302.812984,886552987.904909,888714170.329678
"Value of Herd Increase plus Offtake","Neonatal Combined",723054025.034197,1905044.84433056,715899143.05096,721775670.708117,723076154.411873,724358182.346616,729700560.912431
"Value of Herd Increase plus Offtake","Juvenile Female",1708829075.05723,919560.411846001,1705323074.42771,1708200505.00541,1708831053.38478,1709462249.03121,1713015663.09806
"Value of Herd Increase plus Offtake","Juvenile Male",2211253711.42584,938021.489429226,2207721922.73888,2210616098.00225,2211248673.30399,2211905721.69517,2215575381.97557
"Value of Herd Increase plus Offtake","Juvenile Combined",3920082786.48307,1856695.86672427,3913044997.1666,3918821695.02539,3920076001.4848,3921365549.99381,3928591045.07363
"Value of Herd Increase plus Offtake","Adult Female",2334257883.98523,231048.686431035,2333252655.39012,2334102218.73753,2334255013.39799,2334415695.13307,2335177651.60873
"Value of Herd Increase plus Offtake","Adult Male",1736863137.89216,365723.184243819,1735274192.6581,1736617439.34953,1736857840.12304,1737112784.59839,1738321880.79942
"Value of Herd Increase plus Offtake","Oxen",0,0,0,0,0,0,0
"Value of Manure","Overall",474368304.341834,17730161.7515113,408290300.482335,462340273.835613,474323576.638897,486137279.704373,535830493.05312
"Value of Manure","Neonatal Female",37783392.8518849,940438.470570459,34680368.5951835,37144973.494067,37784856.7021893,38425874.0452691,41199687.1715498
"Value of Manure","Neonatal Male",19007685.7027483,479802.785508255,17145293.8723252,18683557.5837115,19005218.8413102,19336767.1049279,20667412.6045344
"Value of Manure","Neonatal Combined",56791078.5546332,1056838.71094647,52916918.7016252,56064770.0942201,56813618.2057658,57494650.0506165,60515082.1114999
"Value of Manure","Juvenile Female",90649377.8610906,3003829.32530907,78809006.9677745,88610889.3549237,90696768.4877526,92699739.2087858,101551916.209851
"Value of Manure","Juvenile Male",21283458.8323312,745825.408230684,18680198.6192721,20771296.2469404,21281352.9594507,21790718.6113877,24050253.386149
"Value of Manure","Juvenile Combined",111932836.693422,3087253.74047688,100036027.428283,109836157.82945,111958046.402345,114046936.244252,123821514.35235
"Value of Manure","Adult Female",286763428.572685,17425644.843953,225481791.531894,275374537.32657,285888293.969538,296383324.711336,345741256.651954
"Value of Manure","Adult Male",18880960.5210934,1168570.93626429,14869263.7102729,18077320.3250499,18873281.0782586,19661969.3005655,22799848.8681503
"Value of Manure","Oxen",0,0,0,0,0,0,0
"Value of Hides","Overall",917228.52267606,21.9310725372945,917132.303354755,917213.67603716,917228.275611359,917243.52805136,917314.23722953
"Value of Hides","Juvenile Female",174668.473234667,8.12631237511229,174633.075440964,174662.995849973,174668.368464048,174674.02331494,174700.760110248
"Value of Hides","Juvenile Male",38483.3908883763,7.88967685347549,38449.1029210502,38478.0910593665,38483.2886150989,38488.7739418027,38514.8464419224
"Value of Hides","Juvenile Combined",213151.864123044,16.0157644246351,213082.178362015,213141.081301523,213151.665722156,213162.805287481,213215.606552171
"Value of Hides","Adult Female",607561.791559353,1.68859699991223,607554.351844836,607560.647320156,607561.812677648,607562.95133095,607568.053132096
"Value of Hides","Adult Male",51859.3091279481,2.32898295526746,51849.0496344581,51857.7314894305,51859.3376277622,51860.9090810016,51867.9445556837
"Value of Hides","Oxen",44655.5578657152,2.00546507225186,44646.7235134471,44654.1993761923,44655.5824066341,44656.9355700727,44662.9937504083
"Value of Milk","Overall",79482929091.1313,4329628804.91852,65018575519.3201,76496278221.1494,79397699889.0524,82333536276.0148,96122321593.8638
"Value of Milk","Adult Female",79482929091.1313,4329628804.91852,65018575519.3201,76496278221.1494,79397699889.0524,82333536276.0148,96122321593.8638
"Total Production Value","Overall",88672472457.3905,4329938658.0937,74177118289.89,85685997371.7674,88588285607.5753,91523382097.5292,105303658471.68
