"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",549424.435663297,5819.43219567823,532561.875364302,545144.622426006,549202.730616362,553132.781831294,571898.904137186
"Num Offtake","Neonatal Female",41630.2776590243,794.802834306051,39326.0042364439,41044.4540743936,41601.6703265985,42138.6060861866,44710.5439981001
"Num Offtake","Neonatal Male",140473.331650799,4370.01435632972,127725.165555281,137340.237628173,140314.079916028,143199.471713129,157751.50615828
"Num Offtake","Neonatal Combined",182103.609309823,5163.99238206349,167051.169791725,178403.103964611,181927.201658877,185332.024243451,202462.05015638
"Num Offtake","Juvenile Female",118133.637024487,588.75526384871,116588.135525779,117692.583679083,118088.063983521,118501.907582262,120319.457765453
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",118133.637024487,588.75526384871,116588.135525779,117692.583679083,118088.063983521,118501.907582262,120319.457765453
"Num Offtake","Adult Female",240504.331955908,72.9837913712239,240335.880714639,240450.495062568,240495.668220365,240547.832155592,240768.989819313
"Num Offtake","Adult Male",8682.8573730793,41.6563951061363,8586.68933215889,8652.14104914834,8677.92926796133,8707.69631226292,8833.92960917166
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",359870.296412175,31266.7675828303,283405.540754871,338241.784442595,358470.896670048,379628.505745956,459890.79762441
"Cml Pop Growth","Neonatal Female",82279.1322345336,11624.9890453246,55719.7367396011,74279.0003475233,81371.3519802052,89491.2540850451,119821.811727769
"Cml Pop Growth","Neonatal Male",164043.384981803,9742.89879035337,142111.236492482,157396.155646926,162963.206445687,170328.153185133,195148.345081684
"Cml Pop Growth","Neonatal Combined",246322.517216337,21299.0239006299,197830.973232083,231637.911758048,244412.140190691,259732.441027055,314564.575186501
"Cml Pop Growth","Juvenile Female",33143.3614020707,5612.69559720435,16713.0409622483,29147.7921729142,32933.3721383188,36652.7720014831,55746.268901377
"Cml Pop Growth","Juvenile Male",144657.326799102,5167.06094874537,129514.845483493,140965.434010958,144507.576255445,147889.905006098,165607.64968779
"Cml Pop Growth","Juvenile Combined",177800.688201172,10778.8017690405,146227.886445741,170047.165158151,177462.291181396,184538.813498467,221353.918589167
"Cml Pop Growth","Adult Female",-108762.487721602,1033.0262108532,-111499.309016417,-109534.176563014,-108845.959136282,-108117.952722228,-104928.66712174
"Cml Pop Growth","Adult Male",44509.5787162682,1025.69468623633,41793.0645579833,43742.3441449693,44427.4973988042,45152.0834905356,48315.6521333874
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",909294.732075472,36329.9735230963,815967.416119174,883469.652013796,907027.407431088,933046.683477901,1029216.78259982
"Total Number Increase","Neonatal Female",123909.409893558,12195.8211389529,96083.3917787685,115479.955918391,123120.976156557,131514.138377639,163393.605452452
"Total Number Increase","Neonatal Male",304516.716632602,12874.6883327341,275087.291857312,295603.951851446,303744.949911608,312508.470790582,346192.015474863
"Total Number Increase","Neonatal Combined",428426.12652616,25054.6640054901,371368.927039813,411084.897145673,426910.619640734,443995.995688806,509585.620927315
"Total Number Increase","Juvenile Female",151276.998426557,6157.84970942328,133301.176488027,146866.382390143,151033.723114229,155154.3557009,175727.10800337
"Total Number Increase","Juvenile Male",144657.326799102,5167.06094874537,129514.845483493,140965.434010958,144507.576255445,147889.905006098,165607.64968779
"Total Number Increase","Juvenile Combined",295934.325225659,11319.121803551,262816.021971521,287842.064375012,295508.940387066,302929.810379305,341334.75769116
"Total Number Increase","Adult Female",131741.844234306,1103.99018263831,128836.571698223,130914.064838947,131655.321630124,132432.542191641,135840.322697573
"Total Number Increase","Adult Male",53192.4360893475,1066.17987615861,50379.7538901422,52390.2319033068,53106.8503915685,53858.1366177189,57149.5817425591
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",0,0,0,0,0,0,0
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",756139324.255046,57781318.366658,560177806.482948,719979422.367633,759553361.345554,796660572.566327,899530124.378385
"Population Liveweight (kg)","Neonatal Female",60016209.0257148,12360350.5576344,19777352.6018798,51696657.920149,61324193.8754519,69824018.0296411,85660980.3627053
"Population Liveweight (kg)","Neonatal Male",38609242.1546722,8479281.20956078,12562873.989564,33098775.2768999,38967536.3523949,44743332.1543719,57296713.6381629
"Population Liveweight (kg)","Juvenile Female",130311308.587288,22613766.8549655,91078530.7630162,113162005.062201,127551521.355515,143912038.435502,205338468.903418
"Population Liveweight (kg)","Juvenile Male",73601302.4587077,11685160.2577801,41716388.2408707,64894894.7835137,74168092.9680827,82767759.565801,100314552.236449
"Population Liveweight (kg)","Juvenile Combined",203912611.045996,25835082.0388782,144844852.068332,185336059.01028,201698175.478758,220685949.989789,296418136.555163
"Population Liveweight (kg)","Adult Female",410381974.722343,48885296.1176271,243597245.2942,379882968.724947,419186195.862423,449717703.715416,482198336.634006
"Population Liveweight (kg)","Adult Male",43219287.3063197,5847617.67220499,24521829.6945103,39281359.4860049,43734131.5924844,47804070.7785819,54696428.2738277
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
