"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",544239.212705347,5596.82368220801,530236.340712411,540153.640852589,544052.227317303,547796.398161731,563483.615673252
"Num Offtake","Neonatal Female",40623.0717518139,763.333740058338,38710.7912883705,40066.2064657056,40596.0442125142,41110.2032545922,43243.7263668222
"Num Offtake","Neonatal Male",137580.588155014,4211.18522587822,126876.484925509,134488.529329081,137402.843108288,140327.523622194,151996.556033382
"Num Offtake","Neonatal Combined",178203.659906828,4973.85873161992,165587.276213879,174526.059514244,178003.883845561,181416.577073213,195240.282400205
"Num Offtake","Juvenile Female",117093.478864922,556.553983376215,115900.555583196,116665.552444301,117045.423439945,117435.552532809,119052.958044855
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",117093.478864922,556.553983376215,115900.555583196,116665.552444301,117045.423439945,117435.552532809,119052.958044855
"Num Offtake","Adult Female",240378.196829553,68.3522649889269,240240.237044895,240327.470158551,240372.416962733,240419.162829857,240624.209001995
"Num Offtake","Adult Male",8563.87710404452,38.848071967069,8485.48791779493,8535.04168159667,8560.58498415745,8587.17342004412,8703.69214943108
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",315387.180124713,30671.053759246,234215.951447251,293830.909125826,312920.108932778,335292.275663294,412792.971621912
"Cml Pop Growth","Neonatal Female",65014.5193481702,11404.0132438592,36729.1630553912,56946.0407432222,64200.1818504648,72234.6006940149,100956.051682665
"Cml Pop Growth","Neonatal Male",155868.941280537,9589.90820580922,133311.115933479,148666.918906228,155259.41395257,161919.374969219,187179.68999943
"Cml Pop Growth","Neonatal Combined",220883.460628708,20934.3328663701,170416.514868156,205605.955062305,219576.604957611,233987.891349199,287902.313301012
"Cml Pop Growth","Juvenile Female",22523.8110354092,5384.21621246708,8672.33136641973,18588.205856597,22283.8873916813,25991.9911727853,40831.2216160591
"Cml Pop Growth","Juvenile Male",140203.311401946,4969.00399510325,127349.130794594,136539.669048031,139958.018571293,143424.244766192,157058.357464143
"Cml Pop Growth","Juvenile Combined",162727.122437355,10352.491083367,136021.462161013,155140.27933947,162228.147770437,169516.447083536,197889.579080202
"Cml Pop Growth","Adult Female",-110586.603126686,977.402135909713,-112708.344643755,-111331.937848601,-110664.948527942,-109970.745625512,-107162.009984904
"Cml Pop Growth","Adult Male",42363.2001853358,964.613760417133,40268.0008668127,41626.4551601678,42284.6650985041,42970.7215422003,45742.5317271694
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",859626.39283006,35589.9711257046,764452.292159662,834024.142022853,857215.665551687,883200.61044287,973566.427975702
"Total Number Increase","Neonatal Female",105637.591099984,11968.4144437393,75439.9543437618,97253.6638941626,104946.267994858,113449.464046991,142780.709941227
"Total Number Increase","Neonatal Male",293449.529435552,12693.6136996017,260782.154933297,284524.731227248,292294.86937729,301949.998457619,333186.732439637
"Total Number Increase","Neonatal Combined",399087.120535536,24647.142216078,336222.109277059,381945.418282172,397357.601752216,415509.283421767,475245.622961886
"Total Number Increase","Juvenile Female",139617.289900331,5903.69761706603,124572.886949616,135294.042435125,139356.809196929,143474.799177989,159787.489823314
"Total Number Increase","Juvenile Male",140203.311401946,4969.00399510325,127349.130794594,136539.669048031,139958.018571293,143424.244766192,157058.357464143
"Total Number Increase","Juvenile Combined",279820.601302277,10868.0339200031,251922.01774421,271940.739224493,279283.202010752,286862.831538021,316845.847287457
"Total Number Increase","Adult Female",129791.593702867,1043.85840062874,127546.471183841,128988.234187625,129701.179685881,130435.944621048,133462.199017091
"Total Number Increase","Adult Male",50927.0772893803,1002.36185465122,48761.6939545519,50156.8356270152,50845.7621721231,51553.9274508135,54446.2238766005
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",46564.0119237725,946.724618556985,44189.2525988903,45874.8396819311,46529.4836990967,47167.2180943607,49815.5538798264
"Total Mortality","Neonatal Female",25851.0456602452,485.757834582579,24634.1399107813,25496.6768418126,25833.8463170545,26161.0384347405,27518.734960705
"Total Mortality","Neonatal Male",13564.2833392268,415.187275790811,12508.9492180079,13259.4324690643,13546.7591796903,13835.1079627516,14985.5759469532
"Total Mortality","Neonatal Combined",39415.328999472,900.716380858427,37143.0891287891,38761.8921037702,39385.550892527,39993.5384392196,42504.3109076582
"Total Mortality","Juvenile Female",4503.59534095855,21.4059224375467,4457.71367627679,4487.13663247312,4501.74705538252,4516.75202049267,4578.9599248021
"Total Mortality","Juvenile Male",1050.4346053475,20.1880005706959,1006.86556369365,1034.91126934222,1048.75709918184,1062.99713590569,1121.33822760575
"Total Mortality","Juvenile Combined",5554.02994630604,41.5933334890144,5464.57923997044,5522.00269075223,5550.38382113645,5579.66736246584,5700.29815240785
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",1594.6529779945,7.23377891800595,1580.05637089975,1589.28362346973,1594.03996256725,1598.99091269787,1620.68750368717
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",576400172.839028,10365145.2782822,550584462.687176,568870734.243883,575973105.253639,582958013.198616,612057647.168866
"Value of Total Mortality","Neonatal Female",287360223.559286,5399684.08921995,273833099.248244,283421059.773589,287169035.660378,290806103.240575,305898257.823197
"Value of Total Mortality","Neonatal Male",129959398.673132,3977909.28935176,119848242.457734,127038622.486106,129791499.700613,132554169.391123,143576803.147759
"Value of Total Mortality","Neonatal Combined",417319622.232417,9375252.99205421,393681341.705978,410535842.757078,417023192.592538,423334468.223575,449475060.970955
"Value of Total Mortality","Juvenile Female",76281897.8851558,362573.514247167,75504754.2487762,76003120.2808296,76250591.6240691,76504745.7231049,77558423.206298
"Value of Total Mortality","Juvenile Male",21685171.9927937,416761.083781445,20785732.6968918,21364708.2443009,21650541.55551,21944512.873637,23148906.3706931
"Value of Total Mortality","Juvenile Combined",97967069.8779495,779323.596326836,96290486.945668,97366903.0450082,97899085.0202165,98447870.6231599,100707329.576991
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",61113480.7286611,277227.34325366,60554080.3583619,60907705.5858538,61089987.5254273,61279727.7382332,62111227.891307
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",601541265.053566,72856102.8281009,376328201.156537,550754545.660313,602335150.112098,654328578.983064,803849694.627847
"Population Liveweight (kg)","Neonatal Female",28690668.0952705,16743468.0477845,377127.304683131,13293753.5209656,29299177.5395485,42709529.5025176,61937256.8194214
"Population Liveweight (kg)","Neonatal Male",19038350.0070657,10593083.5464747,236450.008977473,9820018.56335614,19451815.5062008,28087292.7008891,39771274.1330071
"Population Liveweight (kg)","Juvenile Female",86505829.5609481,49574329.0229422,471536.290396916,42674963.9125101,86930063.3177459,128041679.769524,177022628.011369
"Population Liveweight (kg)","Juvenile Male",34623549.0920079,20373678.7125107,179267.007429944,17211120.4184205,33886776.9249766,52529178.2128981,74366068.004733
"Population Liveweight (kg)","Juvenile Combined",121129378.652956,53463729.7528924,8420109.64083826,76574788.5765535,122719318.810811,163461406.661273,245563139.622622
"Population Liveweight (kg)","Adult Female",410022434.688352,46081346.3354086,243643457.94998,382348845.872694,417209702.613919,446689957.177027,480837784.52903
"Population Liveweight (kg)","Adult Male",22660433.6099219,12693709.3011112,82957.4513309004,12227876.0487873,22677516.0262436,32992090.7527289,45153102.9005643
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",146494319.211441,18487532.6806387,87196989.399718,133823870.458983,148011509.634344,159201897.331198,186727530.783305
"Offtake Liveweight (kg)","Juvenile Female",22024105.8229322,12394073.6360862,116562.843533803,11594093.6392292,22461245.2513065,32307034.0450109,44106125.5199638
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",122214885.195226,13458887.2616269,72908094.1648636,113517992.252526,124005680.047793,132511092.335435,143912262.175729
"Offtake Liveweight (kg)","Adult Male",2255328.19328272,1348137.18184918,8583.05171925306,1060105.7525112,2215983.23418137,3394392.75218961,4684933.15750099
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",482749584.881787,20474927.3562894,415593983.143493,468724887.229203,483114913.799572,497493585.661111,536133674.391203
"Manure","Overall",992272563.113661,35733467.9700468,868836629.31793,966787689.599804,992374076.470559,1017095121.26588,1104728802.21415
"Manure","Neonatal Female",87864339.8909884,2869494.70364009,78783934.8127364,85824860.6942743,87725933.0880456,89857908.088549,97466060.7931322
"Manure","Neonatal Male",48507767.4703358,2037054.15164866,42706672.0337384,47093112.2873901,48495532.2265087,49869525.4645975,55369485.6676106
"Manure","Neonatal Combined",136372107.361324,4297937.0269277,124472326.790518,133263706.690716,136243011.519373,139092206.13737,152835546.460743
"Manure","Juvenile Female",187193761.671405,6360297.56164331,165238226.716706,183158413.529945,187128433.147039,191377801.959994,207190890.660834
"Manure","Juvenile Male",48231865.282128,1991260.32887845,42393551.5958496,46845100.7866065,48197922.8578594,49479270.6351736,55933894.922866
"Manure","Juvenile Combined",235425626.953533,6902855.87683342,211256721.635769,231033970.831896,235211540.812519,239753328.143413,258438379.043476
"Manure","Adult Female",581732334.180868,34298003.1014011,458637342.684645,560001095.452178,581004460.665511,602300225.96352,702833760.346587
"Manure","Adult Male",38742494.6179359,2442222.19275898,31484544.7008256,37073544.0136031,38750773.1519406,40443517.699497,46291606.5632085
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",3574.34146215027,24.3345275795405,3523.08173505059,3555.88195586319,3572.32753994789,3589.50110783714,3660.49282804751
"Hides","Juvenile Female",2251.79767047927,10.7029612187734,2228.85683813839,2243.56831623656,2250.87352769126,2258.37601024634,2289.47996240105
"Hides","Juvenile Male",525.217302673748,10.0940002853479,503.432781846826,517.455634671112,524.378549590922,531.498567952844,560.669113802876
"Hides","Juvenile Combined",2777.01497315302,20.7966667445072,2732.28961998522,2761.00134537611,2775.19191056823,2789.83368123292,2850.14907620393
"Hides","Adult Female",0,0,0,0,0,0,0
"Hides","Adult Male",797.326488997248,3.61688945900298,790.028185449873,794.641811734863,797.019981283625,799.495456348935,810.343751843583
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",3320583042.1604,553124994.881546,1920197579.94863,2927604300.58799,3311653417.55515,3663487358.68481,5602451790.07899
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",5642434774.79998,188479371.538639,5083835593.21465,5509902280.26561,5647349175.83757,5780835046.21946,6287515007.22956
"Cml Dry Matter","Neonatal Female",270477855.883721,33390638.5647535,144749364.416199,247955217.153517,270971378.947739,292523343.176506,381656599.107287
"Cml Dry Matter","Neonatal Male",149047635.976015,18168336.4685411,75174019.0359365,136732015.775518,148148544.396959,161692268.72194,206310306.231136
"Cml Dry Matter","Neonatal Combined",419525491.859736,37375298.5688975,310224072.669096,394912097.268456,417937718.319669,445880067.747281,545265275.10925
"Cml Dry Matter","Juvenile Female",815506782.738506,123275397.567916,458406110.540729,728700441.035677,814160790.490825,904619455.963381,1193317569.80349
"Cml Dry Matter","Juvenile Male",210712544.468258,32579818.7361347,88425496.6391219,189322573.998409,210161675.136971,231716814.726953,322689125.80783
"Cml Dry Matter","Juvenile Combined",1026219327.20676,128295276.292217,644658174.473104,938644218.843953,1029178273.42744,1118151213.66592,1378025318.50845
"Cml Dry Matter","Adult Female",4043936118.75996,132128227.791408,3647392397.71702,3956060467.87476,4047181196.50421,4136792553.10407,4491097105.44207
"Cml Dry Matter","Adult Male",152753836.973525,23838195.8996401,86931400.9987936,136266890.33596,152543260.332309,168829033.823083,229732294.765103
"Cml Dry Matter","Oxen",0,0,0,0,0,0,0
"Value of Offtake","Overall",7935419664.17367,12457615.3281404,7909637575.46513,7926023427.95294,7934425642.21245,7943208662.65701,7979723295.10921
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",1983329345.01405,9426911.37042634,1963123610.46818,1976081127.30157,1982515382.2258,1989123388.80073,2016519003.36375
"Value of Offtake","Juvenile Male",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Combined",1983329345.01405,9426911.37042634,1963123610.46818,1976081127.30157,1982515382.2258,1989123388.80073,2016519003.36375
"Value of Offtake","Adult Female",5623888293.02421,1599169.59168096,5620660585.90235,5622701491.82946,5623753067.26009,5624846733.56733,5629643993.81067
"Value of Offtake","Adult Male",328202026.135402,1488813.51006595,325197838.961573,327096937.405511,328075858.93285,329094834.149771,333560297.934797
"Value of Offtake","Oxen",0,0,0,0,0,0,0
"Value of draught","Overall",0,0,0,0,0,0,0
"Value of Herd Increase","Overall",4528190312.53348,430234515.991394,3373425439.6108,4208003303.65366,4495693271.92982,4808222490.38491,5937814814.16177
"Value of Herd Increase","Neonatal Female",722701397.07426,126767011.218739,408281376.523729,633012188.901658,713649221.449767,802959821.31467,1122227470.5045
"Value of Herd Increase","Neonatal Male",1493380326.40883,91880910.5198582,1277253801.75866,1424377750.04057,1487540445.07957,1551349531.58009,1793368609.88454
"Value of Herd Increase","Neonatal Combined",2216081723.48309,218038582.073357,1689717416.31653,2057681128.27599,2202431634.7018,2352819054.60017,2913359603.06989
"Value of Herd Increase","Juvenile Female",381508311.31776,91197854.2067674,146891948.684417,314847030.799041,377444484.640298,440252346.484637,691599231.73281
"Value of Herd Increase","Juvenile Male",2894357160.58177,102580118.474911,2628995456.12359,2818724927.82754,2889293335.38578,2960850108.95327,3242312731.48977
"Value of Herd Increase","Juvenile Combined",3275865471.89953,193764351.069573,2775887404.80801,3133574567.01843,3266617620.18653,3402889625.63224,3933911963.22258
"Value of Herd Increase","Adult Female",-2587284166.75194,22867300.3717437,-2636924431.28529,-2604722017.90588,-2589117135.75973,-2572875564.65448,-2507162385.60681
"Value of Herd Increase","Adult Male",1623527283.90281,36967857.7542262,1543230865.21973,1595292267.55827,1620517505.23507,1646809932.38329,1753036785.91204
"Value of Herd Increase","Oxen",0,0,0,0,0,0,0
"Value of Herd Increase plus Offtake","Overall",12463609976.7071,440243326.738153,11283063015.0759,12139906790.5916,12433386997.4713,12748312880.7745,13914724487.156
"Value of Herd Increase plus Offtake","Neonatal Female",722701397.07426,126767011.218739,408281376.523729,633012188.901658,713649221.449767,802959821.31467,1122227470.5045
"Value of Herd Increase plus Offtake","Neonatal Male",1493380326.40883,91880910.5198582,1277253801.75866,1424377750.04057,1487540445.07957,1551349531.58009,1793368609.88454
"Value of Herd Increase plus Offtake","Neonatal Combined",2216081723.48309,218038582.073357,1689717416.31653,2057681128.27599,2202431634.7018,2352819054.60017,2913359603.06989
"Value of Herd Increase plus Offtake","Juvenile Female",2364837656.33181,99996830.2378643,2110015559.1526,2291610490.76614,2360425634.17758,2430176148.47677,2706480502.62729
"Value of Herd Increase plus Offtake","Juvenile Male",2894357160.58177,102580118.474911,2628995456.12359,2818724927.82754,2889293335.38578,2960850108.95327,3242312731.48977
"Value of Herd Increase plus Offtake","Juvenile Combined",5259194816.91358,202489348.268482,4739011015.27619,5111713901.79717,5249806541.5267,5389755922.47808,5948793234.11706
"Value of Herd Increase plus Offtake","Adult Female",3036604126.27227,24422111.1411099,2984077239.81714,3017808727.05367,3034488799.93087,3051679360.35404,3122481608.20386
"Value of Herd Increase plus Offtake","Adult Male",1951729310.03821,38414515.7176534,1868743159.11425,1922210568.56973,1948612989.48445,1975752715.62498,2086597083.84684
"Value of Herd Increase plus Offtake","Oxen",0,0,0,0,0,0,0
"Value of Manure","Overall",496136281.556831,17866733.9850234,434418314.658965,483393844.799902,496187038.23528,508547560.632939,552364401.107074
"Value of Manure","Neonatal Female",43932169.9454942,1434747.35182004,39391967.4063682,42912430.3471372,43862966.5440228,44928954.0442745,48733030.3965661
"Value of Manure","Neonatal Male",24253883.7351679,1018527.07582433,21353336.0168692,23546556.143695,24247766.1132543,24934762.7322988,27684742.8338053
"Value of Manure","Neonatal Combined",68186053.6806621,2148968.51346385,62236163.3952591,66631853.345358,68121505.7596864,69546103.0686849,76417773.2303714
"Value of Manure","Juvenile Female",93596880.8357027,3180148.78082165,82619113.3583528,91579206.7649724,93564216.5735194,95688900.9799971,103595445.330417
"Value of Manure","Juvenile Male",24115932.641064,995630.164439223,21196775.7979248,23422550.3933032,24098961.4289297,24739635.3175868,27966947.461433
"Value of Manure","Juvenile Combined",117712813.476767,3451427.93841671,105628360.817884,115516985.415948,117605770.406259,119876664.071707,129219189.521738
"Value of Manure","Adult Female",290866167.090434,17149001.5507005,229318671.342322,280000547.726089,290502230.332755,301150112.98176,351416880.173294
"Value of Manure","Adult Male",19371247.3089679,1221111.09637949,15742272.3504128,18536772.0068016,19375386.5759703,20221758.8497485,23145803.2816043
"Value of Manure","Oxen",0,0,0,0,0,0,0
"Value of Hides","Overall",305463.669543625,1889.30879740717,301575.339551044,304043.168058415,305305.785631108,306635.260298568,312190.943611551
"Value of Hides","Juvenile Female",146582.175957165,696.715946197347,145088.828145823,146046.481002225,146522.018305108,147010.397093496,149035.128288256
"Value of Hides","Juvenile Male",32837.5209764772,631.094871435673,31475.5139443881,32352.2476723581,32785.080640237,33230.2368662835,35054.0313345337
"Value of Hides","Juvenile Combined",179419.696933642,1327.79202815147,176564.342090211,178397.312608105,179303.185811302,180237.972631,184089.159622789
"Value of Hides","Adult Female",0,0,0,0,0,0,0
"Value of Hides","Adult Male",58389.4821690355,264.870546116468,57855.0158359533,58192.8789991863,58367.0361234993,58548.3190849717,59342.7569533859
