"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",505204.6383224,49.8460092012409,505027.184771597,505171.512977123,505204.160273228,505237.931118805,505393.686247116
"Num Offtake","Neonatal Female",35694.9845077584,6.7981751682184,35670.8212191092,35690.4628613836,35694.9071076898,35699.5265847806,35720.8118485599
"Num Offtake","Neonatal Male",109999.680162634,37.4110605847509,109864.177496596,109974.88399196,109999.406645983,110024.531659098,110141.63103348
"Num Offtake","Neonatal Combined",145694.664670392,44.2030479909964,145534.998715706,145665.360520861,145694.270521185,145724.09291764,145862.44288204
"Num Offtake","Juvenile Female",113999.758121751,5.04195735945588,113980.391398731,113996.401467199,113999.680434967,114003.18151463,114017.951769077
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",113999.758121751,5.04195735945588,113980.391398731,113996.401467199,113999.680434967,114003.18151463,114017.951769077
"Num Offtake","Adult Female",237036.691320171,0.622172169503197,237034.308890736,237036.280039793,237036.689711574,237037.107249359,237038.990764575
"Num Offtake","Adult Male",8473.52421008617,0.356988427312459,8472.15754146679,8473.28805471858,8473.52346952305,8473.76263816586,8474.84350723593
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",72944.5187736459,264.058859677055,71779.1219593263,72770.7426260597,72943.2254487482,73122.8000134187,73983.4035490556
"Cml Pop Growth","Neonatal Female",-14664.6546860726,97.6290525777796,-15097.2032185541,-14729.007190171,-14664.4751347012,-14599.5226395087,-14278.7509824275
"Cml Pop Growth","Neonatal Male",92471.3330828936,82.0728339730296,92115.0653643143,92417.1686571744,92470.8377561282,92526.5358541571,92791.6834995548
"Cml Pop Growth","Neonatal Combined",77806.678396821,179.122006627376,77017.8621457602,77688.8291260438,77806.411317996,77926.4234562989,78512.9325171273
"Cml Pop Growth","Juvenile Female",-13114.8091222066,47.7336562566922,-13291.175701682,-13146.7106909969,-13114.9759008351,-13083.3307717805,-12933.8963012315
"Cml Pop Growth","Juvenile Male",107111.598920645,43.9950341547179,106948.100190108,107082.111224282,107111.389092312,107140.591339481,107277.736585998
"Cml Pop Growth","Juvenile Combined",93996.7897984387,91.7218557797324,93656.9244884262,93935.4923162366,93996.4866503817,94057.2379247583,94343.8402847663
"Cml Pop Growth","Adult Female",-137265.35469092,8.78615397517343,-137299.015290797,-137271.211298793,-137265.470566287,-137259.367059872,-137233.307541298
"Cml Pop Growth","Adult Male",38406.4052693057,8.79351070564804,38372.7084092831,38400.5530736335,38406.2784185256,38412.3995956009,38438.4149815047
