"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",508691.133195265,53.7501533884466,508484.239404942,508654.680921563,508691.019780035,508726.893026415,508892.003587461
"Num Offtake","Neonatal Female",36558.5406959259,7.34283654600224,36530.314072987,36553.5538038216,36558.5409715049,36563.4347885165,36585.9387756325
"Num Offtake","Neonatal Male",112113.992317491,40.3158478444113,111962.344608729,112086.446098902,112113.891691724,112140.911596932,112261.836315616
"Num Offtake","Neonatal Combined",148672.533013417,47.6518769849298,148492.658681716,148639.941816485,148672.377071678,148704.326610399,148847.775091248
"Num Offtake","Juvenile Female",114537.089345781,5.44162073313637,114514.439006261,114533.413015272,114537.097522961,114540.795600253,114558.588263961
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",114537.089345781,5.44162073313637,114514.439006261,114533.413015272,114537.097522961,114540.795600253,114558.588263961
"Num Offtake","Adult Female",237093.230112396,0.670660537852011,237090.448533921,237092.765140445,237093.230098099,237093.677523501,237095.859220309
"Num Offtake","Adult Male",8388.28072367047,0.382719235234004,8386.69318304287,8388.01549994424,8388.28072305241,8388.53590637324,8389.7810119429
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",101598.665043051,284.96179179719,100621.265185154,101407.735547591,101598.39756091,101789.931631896,102672.981328991
"Cml Pop Growth","Neonatal Female",-563.977736097184,105.34063858876,-966.900047415635,-634.336275006935,-563.816014485084,-494.113441625712,-137.821617309353
"Cml Pop Growth","Neonatal Male",98323.9091722132,88.131919714528,97972.4066818833,98264.5211890255,98324.1668859527,98382.2465902566,98686.1994490625
"Cml Pop Growth","Neonatal Combined",97759.931436116,192.828607427627,97005.5066344677,97629.3303437147,97760.7292646776,97887.8053724493,98548.3778317531
"Cml Pop Growth","Juvenile Female",-6855.62540723535,51.5412468535341,-7045.15121866239,-6890.85111931493,-6855.92883385424,-6821.21334236272,-6670.22182842781
"Cml Pop Growth","Juvenile Male",109692.752835162,47.3903183178434,109520.960905975,109660.536441904,109692.58962334,109724.52061892,109861.311936151
"Cml Pop Growth","Juvenile Combined",102837.127427927,98.9235801098328,102475.809687312,102769.807889754,102836.645909355,102903.338936676,103191.090107724
"Cml Pop Growth","Adult Female",-136317.057962563,9.48282271400715,-136356.43290207,-136323.456331346,-136317.077187577,-136310.578371953,-136279.667983977
"Cml Pop Growth","Adult Male",37318.6641415705,9.41216877377238,37279.5704373165,37312.3151760646,37318.6474559335,37325.091612605,37355.7784915143
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",610289.798238316,331.976543453098,609190.165729687,610070.040525528,610290.552636716,610514.621369055,611517.679479329
"Total Number Increase","Neonatal Female",35994.5629598287,110.665773963767,35578.2213617994,35920.3234416567,35994.6920662839,36068.2762759084,36438.0997170723
"Total Number Increase","Neonatal Male",210437.901489705,117.189565534687,210008.825220129,210359.12287622,210437.799093949,210514.968778562,210899.530434403
"Total Number Increase","Neonatal Combined",246432.464449533,227.712326579609,245587.046581929,246279.999649528,246432.921300222,246582.609283853,247337.630151475
"Total Number Increase","Juvenile Female",107681.463938546,56.6218162405507,107469.287787599,107642.711014094,107681.313104102,107719.235478131,107888.366435533
"Total Number Increase","Juvenile Male",109692.752835162,47.3903183178434,109520.960905975,109660.536441904,109692.58962334,109724.52061892,109861.311936151
"Total Number Increase","Juvenile Combined",217374.216773708,103.963828830615,216990.248693574,217303.198792718,217373.785943564,217443.629042985,217749.678371684
"Total Number Increase","Adult Female",100776.172149834,10.135063913523,100734.015631851,100769.352023258,100776.173527264,100783.081441406,100816.191236332
"Total Number Increase","Adult Male",45706.944865241,9.78420794328189,45666.2636203594,45700.3489469015,45706.9459164281,45713.6190567032,45745.5595034572
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",32315.4524832998,0.546805712466332,32313.1681419987,32315.0797733826,32315.4534973849,32315.8229211911,32317.6182989697
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",4405.27266714543,0.209293105120629,4404.40150024083,4405.13126981815,4405.27298165234,4405.41521539436,4406.09954861388
"Total Mortality","Juvenile Male",945.378011724006,0.197071490999209,944.558474606107,945.245448480383,945.378036722469,945.512659304586,946.155891768793
"Total Mortality","Juvenile Combined",5350.65067886943,0.406358388644252,5348.95997484693,5350.37684017864,5350.65088036056,5350.92775197968,5352.25544038267
"Total Mortality","Adult Female",25402.846083471,0.0718564861984013,25402.5480572058,25402.7962650476,25402.8460819392,25402.8940203751,25403.1277736045
"Total Mortality","Adult Male",1561.95572095933,0.0712649610435743,1561.66010994591,1561.90633447238,1561.95572084424,1562.00323773847,1562.23508498247
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",748318270.129073,11954.6198640024,748268294.160802,748310139.632534,748318264.756487,748326366.098689,748365631.172217
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",74616508.4361092,3545.00661453322,74601752.6110791,74614113.4481798,74616513.7632273,74618922.9183497,74630514.1544218
"Value of Total Mortality","Juvenile Male",19516383.6740304,4068.34386018765,19499465.1497685,19513647.038429,19516384.1900986,19519163.3386839,19532442.229675
"Value of Total Mortality","Juvenile Combined",94132892.1101396,7613.23462072238,94101217.7608476,94127765.7511875,94132894.9359764,94138084.4655117,94162956.3840968
"Value of Total Mortality","Adult Female",594324986.968888,1681.15435109792,594318014.346387,594323821.417054,594324986.933049,594326108.500697,594331577.391252
"Value of Total Mortality","Adult Male",59860391.0500453,2731.15836703394,59849062.0535672,59858498.3623194,59860391.0456347,59862212.083089,59871097.3968682
