"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",508689.45277838,50.6370970341489,508500.521667932,508655.594149063,508690.513525523,508724.111056863,508868.515415062
"Num Offtake","Neonatal Female",36558.3119258447,6.91753993320499,36532.5005024048,36553.6941237666,36558.4641141032,36563.0636090527,36582.8036543309
"Num Offtake","Neonatal Male",112112.6546646,37.9551454272434,111971.108982332,112087.04337958,112113.554333563,112138.370455056,112248.753888301
"Num Offtake","Neonatal Combined",148670.966590445,44.8654539134416,148503.609484736,148641.030217834,148671.966009502,148701.177085834,148831.557542631
"Num Offtake","Juvenile Female",114536.990550071,5.17574272262792,114518.675893005,114533.736785038,114537.043702019,114540.60706035,114552.856693291
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",114536.990550071,5.17574272262792,114518.675893005,114533.736785038,114537.043702019,114540.60706035,114552.856693291
"Num Offtake","Adult Female",237093.220438533,0.641891523655106,237091.145461487,237092.78626067,237093.216410929,237093.676457553,237095.107181667
"Num Offtake","Adult Male",8388.27519933113,0.366297013953627,8387.09082870452,8388.0273866961,8388.2728100334,8388.53563707206,8389.35190759148
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",101582.607425663,270.63480804304,100764.138441788,101392.721547172,101583.422691591,101767.353179525,102526.116680229
"Cml Pop Growth","Neonatal Female",-570.544916776138,100.336571598598,-877.270547323104,-638.141896302579,-568.786485943565,-501.124162701322,-224.286507937359
"Cml Pop Growth","Neonatal Male",98318.2551644913,83.9442634364098,98070.9264670484,98262.1692993883,98322.0127558521,98375.4796778883,98610.5406170801
"Cml Pop Growth","Neonatal Combined",97747.7102477152,183.699267787086,97193.7265203112,97621.3042350551,97753.9541783485,97874.9301474652,98386.2541091428
"Cml Pop Growth","Juvenile Female",-6857.41254795118,48.5071844938587,-7037.82229063747,-6890.11582297678,-6856.87888783647,-6824.26425242591,-6681.74866418389
"Cml Pop Growth","Juvenile Male",109691.053408571,44.5949384835471,109525.623613817,109661.361000296,109691.446306844,109721.598512701,109853.246043093
"Cml Pop Growth","Juvenile Combined",102833.640860619,93.0935765577601,102487.80132318,102771.803621297,102834.600557399,102897.838668068,103171.497378909
"Cml Pop Growth","Adult Female",-136317.233405129,9.01363456923997,-136349.333199883,-136322.98668342,-136316.991673425,-136310.857499934,-136289.216124793
"Cml Pop Growth","Adult Male",37318.489722457,8.94649230465134,37286.6296103586,37312.7704434245,37318.753754101,37324.8276054448,37346.2845469464
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",610272.060204043,314.878057925893,609318.514805729,610052.919121282,610271.258221288,610488.348086522,611394.63209529
"Total Number Increase","Neonatal Female",35987.7670090686,105.355087575332,35665.0325970964,35916.1414217134,35989.0711358619,36060.1763310553,36349.4726004948
"Total Number Increase","Neonatal Male",210430.909829091,111.442874593469,210091.887059069,210353.202272897,210433.404653683,210510.372536681,210810.325597896
"Total Number Increase","Neonatal Combined",246418.67683816,216.659194818001,245756.919656165,246270.378751058,246423.918232843,246571.751580712,247159.798198391
"Total Number Increase","Juvenile Female",107679.57800212,53.3035267149978,107480.853602367,107643.363367994,107680.630187473,107715.95954399,107871.108029107
"Total Number Increase","Juvenile Male",109691.053408571,44.5949384835471,109525.623613817,109661.361000296,109691.446306844,109721.598512701,109853.246043093
"Total Number Increase","Juvenile Combined",217370.631410691,97.8470289144494,217006.477216184,217303.916799561,217371.642135478,217437.947631909,217724.354072199
"Total Number Increase","Adult Female",100775.987033404,9.63789426962156,100741.812261604,100769.907962327,100776.179703792,100782.739011827,100805.662948183
"Total Number Increase","Adult Male",45706.7649217882,9.30256227920524,45673.7204390632,45700.879321067,45707.0548828915,45713.3325119955,45735.5066531109
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",32315.4429988669,0.520866795062979,32313.6304316177,32315.1069519457,32315.4470849681,32315.8122169455,32316.9856275986
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",4405.26886731043,0.199067027793404,4404.56445742325,4405.14372250148,4405.27091161613,4405.4079638596,4405.8791035881
"Total Mortality","Juvenile Male",945.374392281548,0.187379040989175,944.709091867474,945.25585375444,945.379723799177,945.506432695768,945.952753319658
"Total Mortality","Juvenile Combined",5350.64325959198,0.386440055961586,5349.27354929072,5350.39916719901,5350.65014277963,5350.91316800673,5351.83185690775
"Total Mortality","Adult Female",25402.8450469857,0.0687740918201467,25402.6227280164,25402.7985279289,25402.8446154567,25402.8939061664,25403.0471980358
"Total Mortality","Adult Male",1561.95469228924,0.0682070301844711,1561.7341543105,1561.90854786755,1561.95424738553,1562.00318759273,1562.1551827929
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",748318067.375334,11395.2355797168,748278748.346815,748310489.426566,748318134.776474,748325979.316107,748351258.275342
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",74616444.0745041,3371.79731676468,74604512.779835,74614324.37173,74616478.7009541,74618800.091854,74626780.2565752
"Value of Total Mortality","Juvenile Male",19516308.9542603,3868.25292218048,19502574.4925121,19513861.8449067,19516419.0181102,19519034.7965714,19528248.639531
"Value of Total Mortality","Juvenile Combined",94132753.0287644,7239.938016028,94107087.2723472,94128181.601228,94132884.3870542,94137814.2095185,94155028.8961062
"Value of Total Mortality","Adult Female",594324962.719277,1609.03865222473,594319761.344673,594323874.359425,594324952.623225,594326105.82867,594329692.245245
"Value of Total Mortality","Adult Male",59860351.627293,2613.96622478975,59851899.7297955,59858583.188476,59860334.576803,59862210.1613037,59868035.225355
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",395796203.320662,135737677.193739,91334790.9525657,282895926.882998,394607929.445808,506182022.176684,714170526.118584
"Population Liveweight (kg)","Neonatal Female",24381088.3381077,14004440.6612425,326848.136651277,12747130.7613419,24361997.8875772,36621855.4570415,48084711.3780541
"Population Liveweight (kg)","Neonatal Male",28597896.5053241,6433700.1735619,9815642.46276715,24213876.4079822,28946934.4904511,33759725.5731459,41089131.0995882
"Population Liveweight (kg)","Juvenile Female",83168120.2762354,46840090.8789809,874320.158035677,41971945.3207763,84612983.777959,121538433.40876,163959308.771858
"Population Liveweight (kg)","Juvenile Male",29157443.1590337,16998278.2918754,157556.01112331,14294617.8421392,29141698.0455299,44103958.6221792,59112236.778005
"Population Liveweight (kg)","Juvenile Combined",112325563.435269,50014421.2195664,5213950.85213796,73138809.8457507,112589086.482171,153702376.118844,219519092.064874
"Population Liveweight (kg)","Adult Female",209933390.344359,123840425.192037,777487.959672775,99324823.6704378,203316486.369704,315858432.246465,427626132.627056
"Population Liveweight (kg)","Adult Male",20558264.6976018,12068248.4650445,76353.4383342547,10538630.8782505,20163148.7509596,30795157.1365898,42004623.402084
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",88299811.1644472,39529811.3843479,10303859.1472959,54844844.8018584,86695481.6744389,121260490.219388,172131654.133919
"Offtake Liveweight (kg)","Juvenile Female",21281895.8599114,12229248.2494677,114539.225539062,11167005.7469567,22162810.0146718,31269225.0492242,42952953.7372923
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",64659589.9263128,37954179.6914632,237092.693361665,32244650.9682788,63304100.1530643,97742049.8278483,130400549.145505
"Offtake Liveweight (kg)","Adult Male",2358325.37822303,1336635.28488526,8388.10198111501,1230926.00289056,2382394.58452623,3531354.5894713,4613555.57855958
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",296220124.125369,46071305.7039269,136665125.833155,265447635.685349,296950961.46474,329172626.648939,439031864.398763
"Manure","Overall",949266098.949564,36263050.8799039,831843906.571083,923743032.292997,949495572.680225,974948283.406055,1065570990.68133
"Manure","Neonatal Female",77777785.465681,1926574.48342875,71912277.3401914,76470954.3909287,77808193.4909436,79095433.9888307,83228640.3877403
"Manure","Neonatal Male",38867608.8479654,992250.741803203,35989558.7787469,38218300.3866119,38926266.3948649,39541904.025131,42291256.6270318
"Manure","Neonatal Combined",116645394.313646,2213517.82977627,110231760.902813,115112823.745536,116732114.821419,118097265.922573,124428855.71294
"Manure","Juvenile Female",182847698.297789,6213133.47632104,157023520.94701,178417420.660594,183139355.317973,187325890.506631,203328381.322926
"Manure","Juvenile Male",42893168.4073926,1463269.85244586,37864717.6642711,41920756.8977944,42893089.2860451,43940130.7913807,47104555.7654018
"Manure","Juvenile Combined",225740866.705182,6390218.9516371,199627964.528318,221184288.106946,226201492.074402,230299828.673489,244166394.094928
"Manure","Adult Female",569271956.163245,35604653.7636116,451115746.030894,549673559.319375,570964039.982819,592243286.928471,691708664.224252
"Manure","Adult Male",37607881.76749,2329798.40839512,30897733.6149785,36051398.5591206,37569381.724288,39303388.5542975,45683116.5899627
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",16157.7214994334,0.260433397531489,16156.8152158088,16157.5534759728,16157.7235424841,16157.9061084727,16158.4928137993
"Hides","Juvenile Female",2202.63443365522,0.0995335138967021,2202.28222871163,2202.57186125074,2202.63545580807,2202.7039819298,2202.93955179405
"Hides","Juvenile Male",472.687196140774,0.0936895204945873,472.354545933737,472.62792687722,472.689861899588,472.753216347884,472.976376659829
"Hides","Juvenile Combined",2675.32162979599,0.193220027980793,2674.63677464536,2675.1995835995,2675.32507138982,2675.45658400337,2675.91592845388
"Hides","Adult Female",12701.4225234928,0.0343870459100733,12701.3113640082,12701.3992639645,12701.4223077283,12701.4469530832,12701.5235990179
"Hides","Adult Male",780.977346144622,0.0341035150922355,780.867077155248,780.954273933775,780.977123692764,781.001593796364,781.077591396448
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",2566059151.13427,139722454.532732,2109588822.34004,2469438972.61064,2572420450.2739,2654909387.39339,2980846831.39342
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",3872664606.2225,377876077.603436,2552412406.86809,3619057269.0367,3873772871.59579,4127556453.90874,5159130945.86824
"Cml Dry Matter","Neonatal Female",237730033.6603,28429386.032112,149409349.481725,219293129.00601,239111704.353799,259066603.891075,319059510.321627
"Cml Dry Matter","Neonatal Male",232158861.783926,15146860.7133345,177745084.708031,222798034.412659,232222348.08079,242161139.064798,279581786.711048
"Cml Dry Matter","Neonatal Combined",469888895.444225,32645519.978692,363233698.057413,447075826.653024,470042442.680714,492335376.038291,573991245.295666
"Cml Dry Matter","Juvenile Female",794929776.889359,119310844.520913,435507081.439184,712690441.279085,792015561.325536,883836078.379791,1161668471.38324
"Cml Dry Matter","Juvenile Male",185983088.417049,28878965.7436047,90711813.8433897,165919891.800712,185438688.174907,205928571.118781,290956298.621174
"Cml Dry Matter","Juvenile Combined",980912865.306408,122316418.647778,598027703.123365,895329011.442091,981964449.665091,1064649614.97539,1356089718.31692
"Cml Dry Matter","Adult Female",2274287179.66911,351944601.248384,1111972160.60369,2027991130.8941,2262559587.53244,2519162034.05063,3440085399.08183
"Cml Dry Matter","Adult Male",147575665.802753,23884517.5728875,76931842.0353503,130599056.947278,147159898.152833,163928263.008571,220412603.704337
"Cml Dry Matter","Oxen",0,0,0,0,0,0,0
"Value of Offtake","Overall",7808532790.05619,116197.261831052,7808128640.41193,7808457802.52676,7808533771.50468,7808615149.94106,7808876625.45894
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",1940027545.93711,87666.7302358716,1939717332.27571,1939972433.66498,1940028446.22481,1940088802.3882,1940296286.67095
"Value of Offtake","Juvenile Male",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Combined",1940027545.93711,87666.7302358716,1939717332.27571,1939972433.66498,1940028446.22481,1940088802.3882,1940296286.67095
"Value of Offtake","Adult Female",5547032985.37992,15017.6940874298,5546984439.21695,5547022827.35463,5547032891.1501,5547043654.40092,5547077127.62228
"Value of Offtake","Adult Male",321472258.739166,14037.9667627593,321426868.919272,321462761.567741,321472167.17172,321482239.75515,321513522.506536
"Value of Offtake","Oxen",0,0,0,0,0,0,0
"Value of draught","Overall",0,0,0,0,0,0,0
"Value of Herd Increase","Overall",1419070805.91559,3886652.15386024,1406762899.43677,1416339648.44807,1419008847.59973,1421781556.02927,1433091895.49554
"Value of Herd Increase","Neonatal Female",-6342177.29488355,1115341.32989001,-9751739.40404362,-7093585.31929947,-6322630.57774867,-5570496.1925879,-2493168.82223168
"Value of Herd Increase","Neonatal Male",1036185923.00409,884696.986782666,1033579301.12887,1035594828.46318,1036225524.6352,1036789017.87323,1039266348.61747
"Value of Herd Increase","Neonatal Combined",1029843745.70921,1993760.76744302,1023828305.79146,1028470273.42231,1029914880.01844,1031225870.0829,1036773179.79524
"Value of Herd Increase","Juvenile Female",-116150853.737197,821614.690956979,-119206633.958817,-116704781.809581,-116141814.602174,-115589387.90759,-113175458.873947
"Value of Herd Increase","Juvenile Male",2264462106.56653,920617.910054352,2261046973.88365,2263849136.49012,2264470217.55849,2265092679.69621,2267810411.3136
"Value of Herd Increase","Juvenile Combined",2148311252.82933,1742072.90516825,2141840339.92483,2147157516.71948,2148329409.20305,2149513145.24469,2154634952.43966
"Value of Herd Increase","Adult Female",-3189277992.74639,210882.994381939,-3190028999.54447,-3189412596.4453,-3189272337.19144,-3189128822.06846,-3188622500.45565
"Value of Herd Increase","Adult Male",1430193800.12344,342865.37108346,1428972793.18738,1429974614.4738,1430203918.87217,1430436693.15107,1431259008.97717
"Value of Herd Increase","Oxen",0,0,0,0,0,0,0
"Value of Herd Increase plus Offtake","Overall",9227603595.97178,3977392.27111266,9214891539.8487,9224803461.24404,9227532254.88396,9230380901.62073,9241968520.95448
"Value of Herd Increase plus Offtake","Neonatal Female",-6342177.29488355,1115341.32989001,-9751739.40404362,-7093585.31929947,-6322630.57774867,-5570496.1925879,-2493168.82223168
