"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",513209.522221968,52.3404515218421,513007.952292068,513173.92666286,513208.91249539,513245.745463766,513385.853917457
"Num Offtake","Neonatal Female",36683.0265669518,7.14800150547847,36655.4556704509,36678.1788313456,36682.9481799402,36687.947515819,36707.1321971819
"Num Offtake","Neonatal Male",112839.186000962,39.2296807550583,112686.550873849,112812.571174899,112838.62979389,112866.156659295,112971.359575349
"Num Offtake","Neonatal Combined",149522.212567914,46.3709153962922,149342.0065443,149490.758704205,149521.587249608,149554.029629364,149678.491772531
"Num Offtake","Juvenile Female",115020.548349886,5.32621029993678,114998.774722657,115016.930118296,115020.520851768,115024.149246114,115038.582146412
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",115020.548349886,5.32621029993678,114998.774722657,115016.930118296,115020.520851768,115024.149246114,115038.582146412
"Num Offtake","Adult Female",240173.042094506,0.660113045539685,240170.20289618,240172.600285186,240173.039929767,240173.499087253,240175.35521364
"Num Offtake","Adult Male",8493.71920966163,0.376763468356343,8492.09892119251,8493.46705073912,8493.71793261243,8493.98001443538,8495.03951799893
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",137746.82766157,279.694826507999,136612.571915151,137558.161691247,137745.88062148,137937.497016583,138716.14341318
"Cml Pop Growth","Neonatal Female",2966.47004321248,103.573111963714,2546.46142998897,2896.60267310469,2965.67133531498,3036.13227781374,3339.78264443233
"Cml Pop Growth","Neonatal Male",101363.939321493,86.8623821484479,101019.757144301,101304.611474731,101363.417702025,101422.489723512,101684.13885431
"Cml Pop Growth","Neonatal Combined",104330.409364706,189.815751874941,103570.731610693,104201.007474527,104329.876521824,104458.167723845,105020.620735907
"Cml Pop Growth","Juvenile Female",-2731.85086164404,50.2963311295444,-2928.93385924009,-2765.97085871242,-2732.63231751678,-2697.16783906905,-2562.65814590169
"Cml Pop Growth","Juvenile Male",111408.356870467,46.2481179782822,111226.772648812,111376.931676234,111407.603683365,111440.355538792,111563.450927083
"Cml Pop Growth","Juvenile Combined",108676.506008823,96.536556065055,108297.838789572,108611.112601873,108674.990088334,108743.142105961,109000.792781181
"Cml Pop Growth","Adult Female",-114286.442619101,9.34498165878723,-114324.349114828,-114292.794510889,-114286.450856371,-114280.148672654,-114254.81382948
"Cml Pop Growth","Adult Male",39026.3549071421,9.27835822096534,38988.7030806759,39020.0461162188,39026.3492025889,39032.60194346,39057.7469404877
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",650956.349883538,325.437089293628,649654.801717115,650734.657799058,650955.458832799,651179.908041347,652094.85874436
"Total Number Increase","Neonatal Female",39649.4966101643,108.749893803038,39206.5948373271,39575.7797241201,39648.8797985611,39722.8733120994,40039.3666677538
"Total Number Increase","Neonatal Male",214203.125322456,115.109310990542,213734.181264661,214124.800466087,214202.49259983,214281.604655468,214612.819688315
"Total Number Increase","Neonatal Combined",253852.62193262,223.720139701145,252940.776101988,253700.898612892,253851.565541769,254005.206775629,254652.186356069
"Total Number Increase","Juvenile Female",112288.697488242,55.265921593048,112073.290814103,112251.232115609,112287.817464397,112326.717722686,112474.978148836
"Total Number Increase","Juvenile Male",111408.356870467,46.2481179782822,111226.772648812,111376.931676234,111407.603683365,111440.355538792,111563.450927083
"Total Number Increase","Juvenile Combined",223697.054358709,101.466245084205,223300.063462915,223628.358623459,223695.409219203,223766.7901327,224038.429075919
"Total Number Increase","Adult Female",125886.599475405,9.98722420155953,125845.853781351,125879.806375285,125886.556075219,125893.349241858,125920.412924841
"Total Number Increase","Adult Male",47520.0741168037,9.64476609347231,47480.8020018684,47513.5078059798,47520.051363998,47526.5842422162,47552.7130216668
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",0,0,0,0,0,0,0
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",393600199.673952,138594781.901877,50508745.5544431,282716935.843912,393747477.52898,504948950.860202,734450633.507402
"Population Liveweight (kg)","Neonatal Female",24446788.3180707,13965305.0879389,330345.479925687,12557263.0189966,24467084.8685772,36363910.4849051,48626586.8283575
"Population Liveweight (kg)","Neonatal Male",14623552.9925975,8312867.03857934,194791.010464546,7405816.74637502,14626086.1971915,21897418.8709054,28688734.342548
"Population Liveweight (kg)","Juvenile Female",83535142.7363548,47481235.6419927,441248.78252749,42812501.9859982,83417253.2859204,123585320.938297,165531212.308164
"Population Liveweight (kg)","Juvenile Male",29912192.1494018,17248591.8812442,159190.446432389,14817379.0657639,29931604.5996083,44769907.3145369,59765124.3837532
"Population Liveweight (kg)","Juvenile Combined",113447334.885757,50444433.8450078,1997980.46839811,71781391.4896383,113844601.808063,154038086.044655,224652728.027803
"Population Liveweight (kg)","Adult Female",219308118.00599,126779721.41173,799514.421382048,108735670.508773,218270612.86712,328604618.711686,439747108.106617
"Population Liveweight (kg)","Adult Male",21774405.471537,12339858.8210813,78056.127290244,11087039.9623765,21708002.6063093,32634398.9977278,42953080.7223196
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",90318477.1079199,40347033.1607888,2348438.1567589,56948235.7927542,90527902.5427654,123513002.955503,178684791.061326
"Offtake Liveweight (kg)","Juvenile Female",21659828.7073111,12491048.2695038,115009.866367198,10813273.4527255,21853584.2106984,32550313.4792857,43137421.0191174
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",66320952.3028366,38351584.5707275,240172.116256199,32663631.0354813,66528120.2564985,99671549.7288631,132095959.337502
"Offtake Liveweight (kg)","Adult Male",2337696.09777223,1352281.92329459,8492.98345720254,1172116.99586804,2335826.74949392,3507982.09265799,4671934.37817523
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",296513563.317271,43129386.7591425,160212026.153728,266995542.533403,296159124.857326,326068985.287964,447471131.556234
"Manure","Overall",962040172.641811,35950054.9958529,847275130.636058,937780964.767664,961964032.427035,986395148.180453,1085706057.35509
"Manure","Neonatal Female",78063470.4121953,1984693.57754317,70263840.3073987,76723459.0872591,78072632.2093774,79429231.2231876,85452613.7525088
"Manure","Neonatal Male",39173059.9612193,991745.969063113,35129090.2530721,38499978.931814,39178574.3982734,39838210.7914778,42915952.0517284
"Manure","Neonatal Combined",117236530.373415,2215552.28980987,108205403.785876,115725703.507195,117259286.500332,118741104.852726,125635998.542215
"Manure","Juvenile Female",183072947.692335,6175761.87605603,160137578.238072,178842239.278669,183149110.596421,187278637.287295,209848754.931159
"Manure","Juvenile Male",43171523.7769416,1547267.84972105,37531088.302335,42125092.0578719,43197546.202857,44219668.2462539,48727051.8812882
"Manure","Juvenile Combined",226244471.469276,6371174.80076532,201161413.112095,221912080.857995,226239251.482568,230594980.662944,254571280.557213
"Manure","Adult Female",580269746.298897,35268011.5696724,477424845.754908,559041286.200717,580215922.145571,601354208.086499,702341458.180438
"Manure","Adult Male",38289424.5002239,2350035.22818828,31198065.0959796,36693432.9867694,38285846.2520931,39910295.7330821,46343321.6389927
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",0,0,0,0,0,0,0
"Hides","Juvenile Female",0,0,0,0,0,0,0
"Hides","Juvenile Male",0,0,0,0,0,0,0
"Hides","Juvenile Combined",0,0,0,0,0,0,0
"Hides","Adult Female",0,0,0,0,0,0,0
