"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",509008.247782133,52.0557845285631,508829.726985981,508972.377481496,509007.315716082,509043.697444877,509164.606286666
"Num Offtake","Neonatal Female",35816.4880561321,7.10061220282033,35792.0864609473,35811.6028688889,35816.3547784478,35821.3314068655,35837.7504855084
"Num Offtake","Neonatal Male",110707.641531492,39.043480766783,110571.265475925,110680.589501282,110707.151530985,110734.657943348,110825.25012185
"Num Offtake","Neonatal Combined",146524.129587624,46.1374788871866,146363.351936872,146492.21076029,146523.572887146,146555.766859992,146663.000607358
"Num Offtake","Juvenile Female",114052.89249591,5.29181996893551,114037.567241769,114049.366430888,114052.86015291,114056.563683006,114068.439679295
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",114052.89249591,5.29181996893551,114037.567241769,114049.366430888,114052.86015291,114056.563683006,114068.439679295
"Num Offtake","Adult Female",240052.55119988,0.654402850861758,240050.765585343,240052.134575482,240052.544012873,240052.998939001,240054.55893053
"Num Offtake","Adult Male",8378.67449871811,0.371923520856145,8377.65943072177,8378.437605011,8378.67042264274,8378.92889997723,8379.81551946128
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",101025.919568126,275.232497003371,100169.843224394,100821.767655146,101031.13291643,101206.416585897,101945.656239926
"Cml Pop Growth","Neonatal Female",-11269.9139692245,102.228526756354,-11571.5061912849,-11339.9395961211,-11271.4351852283,-11201.6087740141,-10923.8921834253
"Cml Pop Growth","Neonatal Male",95394.5864348906,86.3338875375389,95136.8350773811,95336.4093701027,95391.8232845172,95452.8731219224,95680.5181135007
"Cml Pop Growth","Neonatal Combined",84124.6724656661,187.937582264487,83565.3288860961,83998.128936418,84119.0786950424,84249.5202752798,84756.6259300754
"Cml Pop Growth","Juvenile Female",-12167.5909024217,49.7949336469945,-12344.0372563488,-12202.0483867408,-12169.1891458353,-12132.9930230275,-12017.8259195582
"Cml Pop Growth","Juvenile Male",108008.61003529,45.8705278979713,107845.096769489,107976.703488374,108007.422440269,108040.453302739,108147.070046616
"Cml Pop Growth","Juvenile Combined",95841.0191328678,95.6580743813649,95501.0595131401,95773.6947436228,95837.8552042439,95907.5637964677,96129.2441270577
"Cml Pop Growth","Adult Female",-115979.014519663,9.28756186026413,-116006.333453106,-115985.29208378,-115979.086869262,-115972.581487025,-115951.666582867
"Cml Pop Growth","Adult Male",37039.2424892547,9.16542468893768,37012.2769186337,37033.0468504462,37039.1686904293,37045.5999165809,37066.2322077569
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",610034.167350258,320.251634440318,608999.570210374,609800.36517056,610040.853952901,610245.175620169,611093.226637748
