"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",508685.982690289,50.6023795371584,508516.839662047,508650.438535924,508688.241935379,508721.548432133,508845.397487919
"Num Offtake","Neonatal Female",36557.8380106757,6.91228789677384,36534.7515353477,36552.983520323,36558.1339625474,36562.6789350945,36579.6050845742
"Num Offtake","Neonatal Male",112110.117294655,37.9531956457992,111985.024076321,112082.836708946,112112.438546004,112136.513992736,112226.573154385
"Num Offtake","Neonatal Combined",148667.955305331,44.8584026199185,148519.775611669,148635.622151188,148670.532042328,148699.338969816,148806.178238959
"Num Offtake","Juvenile Female",114536.604543603,5.14831493744131,114518.950241405,114533.1299047,114536.9341048,114540.080531725,114554.408856055
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",114536.604543603,5.14831493744131,114518.950241405,114533.1299047,114536.9341048,114540.080531725,114554.408856055
"Num Offtake","Adult Female",237093.174088138,0.638670972577939,237091.067327424,237092.75209244,237093.200260992,237093.602414393,237095.330814741
"Num Offtake","Adult Male",8388.24875321704,0.364459029276011,8387.04648154991,8388.0079912594,8388.26362429098,8388.49313264695,8389.47957816395
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",101564.992848941,273.130206232353,100698.14365984,101387.536248392,101570.185597057,101744.161316285,102377.415351159
"Cml Pop Growth","Neonatal Female",-576.333564030312,101.723337041354,-887.419857962115,-643.160355782675,-571.204656870075,-512.538745441503,-268.704453066108
"Cml Pop Growth","Neonatal Male",98313.7954127797,85.2595255818158,98032.9458391949,98257.1941259122,98319.0502857097,98367.8107652914,98572.6709018184
"Cml Pop Growth","Neonatal Combined",97737.4618487494,186.411308593555,97154.0527103966,97614.9942267476,97749.9828973106,97853.9902791174,98299.2292125541
"Cml Pop Growth","Juvenile Female",-6860.57769466645,48.5269590273343,-7018.17084813141,-6894.98951832244,-6858.1623383628,-6826.67412873641,-6715.42336078733
"Cml Pop Growth","Juvenile Male",109688.192092148,44.631395503685,109544.621801631,109656.645691413,109690.644507344,109718.797651291,109819.353971352
"Cml Pop Growth","Juvenile Combined",102827.614397481,93.1500452924007,102526.450953499,102761.68829567,102832.490205289,102892.594698647,103103.930610565
"Cml Pop Growth","Adult Female",-136317.906015738,8.96577787197791,-136348.688095655,-136324.009094138,-136317.363432296,-136311.690167712,-136286.910601675
"Cml Pop Growth","Adult Male",37317.8226184492,8.89919926984822,37287.2709761571,37311.7683222366,37318.3528533083,37323.974388096,37348.5787411368
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",610250.975539231,317.214440134116,609236.281467031,610037.427666315,610261.71970759,610467.248241105,611176.419139353
"Total Number Increase","Neonatal Female",35981.5044466454,106.720687560146,35654.3042103371,35911.6563659804,35986.3449744617,36049.6321427236,36304.5665133073
"Total Number Increase","Neonatal Male",210423.912707435,112.706846868338,210072.73148644,210350.09854553,210425.938795986,210497.719335616,210764.921499376
"Total Number Increase","Neonatal Combined",246405.417154081,219.289960830779,245729.468528552,246261.603642758,246412.251926565,246546.599928407,247069.488012683
"Total Number Increase","Juvenile Female",107676.026848936,53.3016449470794,107500.779393273,107637.882345123,107679.161597266,107712.975740791,107838.985495267
"Total Number Increase","Juvenile Male",109688.192092148,44.631395503685,109544.621801631,109656.645691413,109690.644507344,109718.797651291,109819.353971352
"Total Number Increase","Juvenile Combined",217364.218941084,97.8828075718391,217045.401194904,217295.261366806,217369.514293908,217432.772432064,217658.339466619
"Total Number Increase","Adult Female",100775.2680724,9.58678569902731,100742.379231768,100768.809011799,100775.857680747,100781.810564287,100808.420213067
"Total Number Increase","Adult Male",45706.0713716662,9.25341330523897,45674.317457707,45699.7913063066,45706.6456482514,45712.430739651,45738.0583193008
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",32315.4042924103,0.518130360714067,32313.6361294444,32315.0551297214,32315.4292036345,32315.7604753325,32317.1936623169
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",4405.2540209078,0.198012112978524,4404.57500928479,4405.12038095001,4405.26669633847,4405.38771275865,4405.93880215594
"Total Mortality","Juvenile Male",945.360422790133,0.186389153090919,944.720867085429,945.234248048884,945.37236453481,945.488549468103,946.004745504695
"Total Mortality","Juvenile Combined",5350.61444369793,0.384395254463319,5349.29587637022,5350.35550197881,5350.63848187894,5350.8756987644,5351.94354766064
