"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",505106.703797409,51.4122566858139,504929.477004877,505072.004341621,505104.536877801,505142.534350196,505285.657457045
"Num Offtake","Neonatal Female",35694.8777095729,7.00795694524673,35670.6976524953,35690.1703435432,35694.5646097623,35699.7721556845,35719.2593024601
"Num Offtake","Neonatal Male",109999.136392107,38.457648693537,109868.116202622,109973.50353294,109997.21472453,110025.955702048,110130.460978436
"Num Offtake","Neonatal Combined",145694.01410168,45.4590714775744,145538.813855118,145663.37364129,145691.684222482,145725.554939972,145849.720280897
"Num Offtake","Juvenile Female",113999.642017657,5.29798933161358,113981.003029762,113996.160675329,113999.482831741,114003.291077116,114019.180861054
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",113999.642017657,5.29798933161358,113981.003029762,113996.160675329,113999.482831741,114003.291077116,114019.180861054
"Num Offtake","Adult Female",237036.673047338,0.663455751607452,237034.516801304,237036.201729575,237036.657231014,237037.129336979,237039.03364316
"Num Offtake","Adult Male",8376.37463073414,0.37883944321163,8375.14331869402,8376.10566721617,8376.36566532275,8376.63511126654,8377.7226719343
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",71474.518162561,270.987660419712,70730.812954851,71287.0082161326,71470.7045092762,71659.9643236732,72456.3761044084
"Cml Pop Growth","Neonatal Female",-14667.6769359503,99.9231924339639,-14927.3791670626,-14733.1376275932,-14671.5832305731,-14597.8834776133,-14298.9978912613
"Cml Pop Growth","Neonatal Male",92468.5284354397,83.9453794123823,92247.8864910005,92414.4214411237,92466.7129886281,92524.656468207,92775.0976694674
"Cml Pop Growth","Neonatal Combined",77800.8514994895,183.291796003035,77324.1576306915,77679.2203588422,77795.4667181459,77923.7786799857,78476.0997782061
"Cml Pop Growth","Juvenile Female",-13115.4361680613,48.9142310626323,-13280.0547892322,-13148.1814832881,-13117.6688979294,-13081.7884474445,-12951.6503598484
"Cml Pop Growth","Juvenile Male",107111.044513928,45.0302592909971,106961.029698797,107081.58499133,107109.343632074,107141.971340805,107259.893066797
"Cml Pop Growth","Juvenile Combined",93995.608345867,93.9372150394017,93680.9749095649,93933.488541847,93991.7833479624,94060.4682683596,94308.2427069485
"Cml Pop Growth","Adult Female",-137265.550486263,9.21509431968484,-137298.151768171,-137271.491284736,-137265.700122454,-137259.214972752,-137231.526048597
"Cml Pop Growth","Adult Male",36943.6088034675,9.15846573344242,36911.2256070299,36937.71171783,36943.4651147667,36949.9019807563,36977.4172508641
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",576581.22195997,315.92857663074,575660.289959728,576368.180951678,576585.767692004,576797.086201762,577703.092445289
"Total Number Increase","Neonatal Female",21027.2007736227,104.985649776901,20751.8224992618,20957.5546643629,21022.9539261901,21098.5693446592,21414.9397649379
"Total Number Increase","Neonatal Male",202467.664827547,111.680289353354,202171.033245246,202393.332424277,202462.671717668,202543.400123165,202880.562966049
"Total Number Increase","Neonatal Combined",223494.86560117,216.508598716303,222922.855744507,223350.981014781,223486.649510538,223642.254621449,224295.502730987
"Total Number Increase","Juvenile Female",100884.205849595,53.8530960320368,100700.948240529,100848.346981944,100881.995617663,100921.69637587,101067.530501206
"Total Number Increase","Juvenile Male",107111.044513928,45.0302592909971,106961.029698797,107081.58499133,107109.343632074,107141.971340805,107259.893066797
"Total Number Increase","Juvenile Combined",207995.250363524,98.8363316802258,207661.977939327,207928.45317477,207990.590724482,208062.973933613,208327.423568003
"Total Number Increase","Adult Female",99771.1225610751,9.86173513440059,99736.3650331334,99764.6764552388,99770.855641679,99777.9160427777,99807.5075945625
"Total Number Increase","Adult Male",45319.9834342016,9.52756805088305,45286.3689257239,45313.7835787808,45319.7494343113,45326.5458520528,45355.1399227984
