"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1364061.33859107,1257.97145556254,1361155.46195546,1363126.69692704,1363913.16470668,1364860.92585712,1368277.80981092
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",49707.3344217483,308.505613282631,48968.3125576537,49483.6667578469,49674.9525079412,49912.3568363053,50730.0769184257
"Num Offtake","Juvenile Male",26174.8101602393,247.068272980437,25583.0600933282,25995.6215583477,26148.8601806327,26338.8773548367,26993.882881136
"Num Offtake","Juvenile Combined",75882.1445819876,555.573875176869,74551.3726509819,75479.2883161946,75823.8126885739,76251.234191142,77723.9597995616
"Num Offtake","Adult Female",256128.52409225,68.7267686602177,255976.977449978,256077.349593835,256120.65389996,256171.598958019,256370.748667895
"Num Offtake","Adult Male",1032050.66991683,641.761180081344,1030627.1118545,1031567.44868156,1031976.42176523,1032454.0038968,1034303.83964563
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",3756797.55564811,201993.679204014,3211900.83038241,3614276.58455232,3736715.98569889,3888198.65808472,4445117.13579097
"Cml Pop Growth","Neonatal Female",478363.878874038,69963.0880835107,299275.356478729,428648.061037104,470883.871696962,525075.437350259,717567.589801658
"Cml Pop Growth","Neonatal Male",920576.96117218,69962.5730825666,741486.181356835,870896.163956331,913092.522538893,967278.004351285,1159781.980065
"Cml Pop Growth","Neonatal Combined",1398940.84004622,139925.659180766,1040761.53783556,1299544.22499343,1383976.39423585,1492353.44170154,1877349.56986666
"Cml Pop Growth","Juvenile Female",1334669.12498432,32827.1094833966,1253529.44370585,1310599.29509712,1331949.50269328,1356102.6541253,1444149.89627372
"Cml Pop Growth","Juvenile Male",1255805.50068549,32878.1810277905,1174550.55601586,1231678.81746187,1253067.54240489,1277286.90434827,1365433.45782406
"Cml Pop Growth","Juvenile Combined",2590474.62566981,65705.2866184434,2428079.99972171,2542278.11255899,2585017.04509817,2633389.55847357,2809583.35409778
"Cml Pop Growth","Adult Female",145062.505842933,5947.91518441446,130809.350406213,140758.923126444,144428.773874688,149039.620979615,164774.01690422
"Cml Pop Growth","Adult Male",-377680.415910845,5553.29893612961,-391050.609521295,-381733.424182101,-378246.884951286,-373953.051580334,-359303.954048925
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",5120858.89423918,202831.69767931,4573478.80463364,4978258.71833256,5100253.73965339,5253841.51031682,5812016.74982358
"Total Number Increase","Neonatal Female",478363.878874038,69963.0880835107,299275.356478729,428648.061037104,470883.871696962,525075.437350259,717567.589801658
"Total Number Increase","Neonatal Male",920576.96117218,69962.5730825666,741486.181356835,870896.163956331,913092.522538893,967278.004351285,1159781.980065
"Total Number Increase","Neonatal Combined",1398940.84004622,139925.659180766,1040761.53783556,1299544.22499343,1383976.39423585,1492353.44170154,1877349.56986666
"Total Number Increase","Juvenile Female",1384376.45940607,33111.8269610365,1302588.74043655,1359989.14002226,1381615.64046381,1406092.38323175,1494677.03128839
"Total Number Increase","Juvenile Male",1281980.31084573,33106.2013899836,1200206.44850172,1257599.36135519,1279209.27870677,1303688.28168481,1392264.69181325
"Total Number Increase","Juvenile Combined",2666356.7702518,66218.0274091922,2502795.18893827,2617588.50137745,2660824.91917057,2709782.57420143,2886941.72310163
"Total Number Increase","Adult Female",401191.029935183,6014.63497905457,386786.327856191,396839.681597026,400550.052631583,405189.111338418,421127.051396293
"Total Number Increase","Adult Male",654370.254005984,6176.70682451092,639576.502333205,649890.538958693,653721.504515817,658471.933870918,674847.072028399
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",460.485226637896,35.860615010292,356.767750346491,435.567463717586,458.728200746537,485.924809512475,578.242332575082
"Total Mortality","Neonatal Female",217.714050535266,25.6901458060461,144.628594524943,200.564932191526,216.578378260501,233.924073723014,306.201964329539
