"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1364169.55715846,1334.41116831746,1361031.67147791,1363178.39237712,1364024.94230958,1364994.50608881,1369994.5885347
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",49739.302059874,327.197109576071,48919.5341996535,49501.2161053121,49708.4550681364,49945.8649008099,51188.4285921402
"Num Offtake","Juvenile Male",26200.7516491408,262.037666248069,25544.4024817406,26010.0579994578,26176.0227838413,26366.2169255139,27361.3191958648
"Num Offtake","Juvenile Combined",75940.0537090147,589.234753108044,74463.9366813941,75511.272711877,75884.5242809392,76312.1764504168,78549.7477880051
"Num Offtake","Adult Female",256133.323282774,72.845405879156,255970.056979557,256079.033612069,256125.03596278,256177.746290742,256443.535839568
"Num Offtake","Adult Male",1032096.18016667,680.246823898037,1030562.40790554,1031589.41747044,1032018.61345009,1032512.1322183,1035001.30490713
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",3777345.89142219,203617.725320675,3178725.11774886,3631123.00126065,3765913.77354037,3908792.35356995,4706067.14073867
"Cml Pop Growth","Neonatal Female",484495.579457033,69345.297592383,294746.539547428,434614.674866206,479189.613211232,529213.22532119,813561.042300152
"Cml Pop Growth","Neonatal Male",926774.99476465,69345.0937787671,737001.212400722,876900.409290678,921467.789982163,971471.581245595,1255802.39129824
"Cml Pop Growth","Neonatal Combined",1411270.57422168,138690.385566764,1031747.75194815,1311512.80993406,1400660.9462856,1500709.65350837,2069363.43359839
"Cml Pop Growth","Juvenile Female",1338217.1382042,34122.5955834545,1242206.94158975,1313668.48852441,1335768.21306569,1360103.50308793,1485378.49203097
"Cml Pop Growth","Juvenile Male",1259404.80052261,34177.1609470724,1163268.25504086,1234824.44134878,1256930.02128309,1281314.76303187,1406840.85665858
"Cml Pop Growth","Juvenile Combined",2597621.93872681,68299.7511912145,2405475.19663061,2548503.47081201,2592698.61044442,2641410.23658263,2892219.34868955
"Cml Pop Growth","Adult Female",145609.64082295,6308.84437704668,129752.304238872,141014.355569411,145040.649338254,149600.524165201,173584.443833037
"Cml Pop Growth","Adult Male",-377156.262349251,5888.66359525939,-392072.117498985,-381448.471137033,-377693.579022735,-373425.882748852,-350972.422403305
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",5141515.44858065,204539.747551893,4539962.49179923,4994807.86873062,5130254.74290391,5273692.28354559,6072388.40368275
"Total Number Increase","Neonatal Female",484495.579457033,69345.297592383,294746.539547428,434614.674866206,479189.613211232,529213.22532119,813561.042300152
"Total Number Increase","Neonatal Male",926774.99476465,69345.0937787671,737001.212400722,876900.409290678,921467.789982163,971471.581245595,1255802.39129824
