"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1364066.93860313,1301.43464888338,1360758.59569123,1363103.81698145,1363934.2303192,1364901.35411852,1370161.28327299
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",49708.0210413191,319.403291694409,48853.7440598061,49474.3243986523,49677.2359212404,49914.4213362938,51144.4058169364
"Num Offtake","Juvenile Male",26175.2610682088,255.795898706684,25491.1640899708,25988.1162599934,26150.5988137594,26340.5759352144,27325.7050184719
"Num Offtake","Juvenile Combined",75883.2821095278,575.199186532957,74344.908149777,75462.4406586456,75827.8347349998,76254.9972715081,78470.1108354083
"Num Offtake","Adult Female",256130.217276416,70.9754643345613,255959.658306167,256077.62852335,256122.037216156,256175.321441525,256470.126014707
"Num Offtake","Adult Male",1032053.43921719,662.846826501406,1030454.02923529,1031562.50293511,1031978.622655,1032473.85107451,1035221.04642288
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",3752638.05920252,196884.351482917,3171149.51685146,3614924.10169157,3742098.76581746,3880798.34482754,4553906.06373074
"Cml Pop Growth","Neonatal Female",476487.504925662,66879.2815838941,288938.825834289,428901.714348091,472059.018340452,519337.788546199,751783.401703261
"Cml Pop Growth","Neonatal Male",918676.616307607,66879.2815838941,731127.937216234,871090.825730036,914248.129722397,961526.899928144,1193972.51308521
"Cml Pop Growth","Neonatal Combined",1395164.12123327,133758.563167788,1020066.76305052,1299992.54007813,1386307.14806285,1480864.68847434,1945755.91478847
"Cml Pop Growth","Juvenile Female",1334443.56284606,33257.3263374957,1241424.56026842,1310356.67258011,1332294.70279602,1356312.23576327,1473057.10573381
"Cml Pop Growth","Juvenile Male",1255566.10555839,33310.6574884435,1162405.80605801,1231443.45465783,1253413.2432401,1277482.33724994,1394365.01440043
