"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1310679.7686738,1250.96739684089,1307981.06988174,1309761.4553511,1310589.47825948,1311527.02389793,1315810.16396079
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",47275.2501009606,307.940294990716,46619.2796525594,47054.4731810652,47256.5950448312,47462.8640547857,48529.1086940831
"Num Offtake","Juvenile Male",24903.3060414267,245.336061059297,24359.5399088674,24728.215852375,24884.7368847874,25052.8469795312,25914.332516356
"Num Offtake","Juvenile Combined",72178.5561423874,552.95091149129,70983.5082150504,71785.7936571899,72147.9783207784,72517.0758581156,74443.4412104391
"Num Offtake","Adult Female",255557.626971408,69.7603837926699,255415.684911102,255505.362196054,255550.790884351,255602.778951944,255841.078137342
"Num Offtake","Adult Male",982943.585560001,636.162439887455,981581.876755585,982478.543570682,982880.80517764,983352.088834093,985580.48677643
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",2724171.72104826,190003.958159794,2226482.23098535,2596884.58624221,2716120.82289646,2842406.41506147,3342867.95172377
"Cml Pop Growth","Neonatal Female",285494.920306283,66460.0601080367,125002.323838208,238550.671323546,282374.229392051,324497.519284324,559167.738193412
"Cml Pop Growth","Neonatal Male",759679.797978433,66532.9061002268,594160.376202928,713468.260081885,755993.037097569,798671.454080737,1028677.94599176
"Cml Pop Growth","Neonatal Combined",1045174.71828472,132923.496048137,719162.700041137,953340.667837236,1038651.92155408,1121790.06023129,1587845.68418517
"Cml Pop Growth","Juvenile Female",1088694.89772858,30916.3183216636,1013800.23125739,1067123.11277845,1086557.62325675,1107417.19737281,1201901.76632577
"Cml Pop Growth","Juvenile Male",1082334.87187148,30895.2370353524,1008948.21970552,1060753.94344143,1080474.70140325,1101171.41324335,1198791.76334373
"Cml Pop Growth","Juvenile Combined",2171029.76960006,61772.0388892773,2022748.45096291,2128660.59146293,2166598.64128626,2209425.43535942,2400693.5296695
"Cml Pop Growth","Adult Female",98378.7940954701,5933.82384434398,85723.7121129809,94143.3180913241,98020.101868059,102032.009340482,122521.671726019
"Cml Pop Growth","Adult Male",-590411.560931992,5370.0087048635,-602325.307636272,-594249.867635132,-590753.55785338,-587075.784318578,-568324.240620483
