"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1337411.73725008,42.7152821896498,1337273.69960217,1337383.30223527,1337409.90674281,1337440.50146295,1337545.77893062
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",44839.8842541354,16.9021281018559,44788.8907437887,44828.3593301591,44839.8792626204,44851.2791395749,44891.697353897
"Num Offtake","Juvenile Male",22952.5308450117,9.72569937449454,22924.9357444372,22945.5273424912,22952.4177753014,22959.3426575086,22980.9695255308
"Num Offtake","Juvenile Combined",67792.4150991472,19.6304091432208,67722.3186463058,67778.9852907771,67792.1983681281,67806.3467961587,67857.9244733572
"Num Offtake","Adult Female",245277.828733766,4.19142037281217,245266.685139059,245274.99441932,245277.728066942,245280.55024839,245290.901819687
"Num Offtake","Adult Male",1024341.49341717,27.3703431166519,1024263.23131903,1024321.61741617,1024341.27885789,1024360.37231844,1024428.37279172
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",408518.763843947,5482.48470230408,390758.076489879,404691.031808784,408415.172943115,412144.655631207,429396.951148191
"Cml Pop Growth","Neonatal Female",-400579.924301181,2669.43740773798,-408477.844466241,-402392.135008712,-400552.247737458,-398747.702111233,-392392.683333864
"Cml Pop Growth","Neonatal Male",73724.4620405754,2225.1387560649,67455.5009187614,72162.294500195,73700.8622061546,75279.917112874,81678.3561419041
"Cml Pop Growth","Neonatal Combined",-326855.462260606,3622.19170270319,-338657.857753671,-329336.77902062,-326993.087579853,-324474.701216522,-313461.856043866
"Cml Pop Growth","Juvenile Female",784450.732589302,1614.92277280297,778903.720503063,783358.315706737,784443.427089351,785480.241495567,790147.657145749
"Cml Pop Growth","Juvenile Male",777600.540032531,1198.45873526394,774000.085191114,776786.923552186,777579.653119043,778428.14504074,781080.483061064
"Cml Pop Growth","Juvenile Combined",1562051.27262183,2038.56647497276,1554368.31265297,1560674.32888835,1562044.99645053,1563434.50802879,1568449.32034632
"Cml Pop Growth","Adult Female",-376148.824225402,317.381940119603,-377112.134152036,-376366.596777098,-376147.86191017,-375933.394243922,-375180.409125159
"Cml Pop Growth","Adult Male",-450528.222291879,217.007289293837,-451139.837708106,-450683.29694175,-450529.485353168,-450377.095470491,-449890.484886113
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",1745930.50109403,5508.07590346896,1728074.19628759,1742094.47973628,1745816.933592,1749566.09126602,1766874.08643265
"Total Number Increase","Neonatal Female",-400579.924301181,2669.43740773798,-408477.844466241,-402392.135008712,-400552.247737458,-398747.702111233,-392392.683333864
"Total Number Increase","Neonatal Male",73724.4620405754,2225.1387560649,67455.5009187614,72162.294500195,73700.8622061546,75279.917112874,81678.3561419041
"Total Number Increase","Neonatal Combined",-326855.462260606,3622.19170270319,-338657.857753671,-329336.77902062,-326993.087579853,-324474.701216522,-313461.856043866
"Total Number Increase","Juvenile Female",829290.616843438,1629.70690740266,823692.611246852,828187.196856498,829289.967933314,830334.399233697,835036.441695416
"Total Number Increase","Juvenile Male",800553.070877542,1207.09408487508,796927.247918063,799733.431124978,800529.583706288,801388.800918983,804061.041109187
"Total Number Increase","Juvenile Combined",1629843.68772098,2055.66635598241,1622090.63129927,1628455.03492057,1629847.35389071,1631242.16223084,1636297.0233082
"Total Number Increase","Adult Female",-130870.995491636,321.351723619576,-131845.203741683,-131090.836882983,-130870.381537208,-130652.413511545,-129889.507305472
"Total Number Increase","Adult Male",573813.271125293,243.142484362334,573123.393610929,573638.183562279,573810.444382537,573983.566437714,574524.238138271
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",1212194.97771398,5278.77844983652,1192436.00567747,1208677.64666777,1212232.67935565,1215788.5583805,1228968.88113175
"Total Mortality","Neonatal Female",249092.537633124,4018.79183962988,236067.703722008,246341.706542195,249096.788477613,251878.529565427,259847.886106583
"Total Mortality","Neonatal Male",194345.587241007,3166.77700455656,184113.921382261,192398.891918693,194565.570608351,196398.528746031,203276.478441067
"Total Mortality","Neonatal Combined",443438.124874131,5206.13371474563,424895.994241565,440111.886393032,443296.742680131,447025.290252362,459249.72169727
"Total Mortality","Juvenile Female",188348.199995182,932.527289244685,185429.802594655,187721.738283364,188339.268680989,188969.046944827,191395.353934281
"Total Mortality","Juvenile Male",120512.723968854,612.665559589577,118363.278666359,120109.790585191,120523.038946137,120933.32226553,122405.736351183
"Total Mortality","Juvenile Combined",308860.923964036,1102.18943619415,305555.253473306,308103.080550133,308833.019288223,309607.96944003,312317.27580906
"Total Mortality","Adult Female",459895.928875811,7.85891319902401,459875.034635735,459890.614536226,459895.740125516,459901.031715731,459920.440911913
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",22315305850.3268,60851002.269458,22087250992.7488,22275788668.606,22315571027.3223,22356404236.5522,22506596202.4257
"Value of Total Mortality","Neonatal Female",2805581986.61078,45264503.3060381,2658880524.78921,2774598793.65666,2805629864.7722,2836961203.56518,2926721753.47646
"Value of Total Mortality","Neonatal Male",2178913249.89291,35504445.83096,2064200522.81435,2157087798.17306,2181379602.13,2201929884.8989,2279042290.35849
"Value of Total Mortality","Neonatal Combined",4984495236.50368,58533798.5972088,4776136710.53237,4947169543.29776,4982904164.19197,5024774993.201,5162199639.04244
"Value of Total Mortality","Juvenile Female",3032993331.43589,15016597.1840106,2985998033.07623,3022905344.42888,3032849509.42755,3042990903.26383,3082062011.55803
"Value of Total Mortality","Juvenile Male",2461969764.81758,12516222.6359137,2418058473.36558,2453738187.47749,2462180490.80035,2470562220.91224,2500642355.53028
"Value of Total Mortality","Juvenile Combined",5494963096.25347,19293450.8278058,5437861734.16207,5482051890.31187,5494744027.49769,5508568514.30096,5552391332.43771
"Value of Total Mortality","Adult Female",11835847517.5696,202256.407237263,11835309784.9566,11835710748.1202,11835842659.906,11835978843.8793,11836478357.5128
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",1842165600.70606,396764071.514624,762791727.440663,1522565797.22241,1839068950.11175,2159088254.68781,2826762694.86447
"Population Liveweight (kg)","Neonatal Female",90074004.2810938,49693140.9579807,1720443.54914985,46658583.1299771,91370692.1540896,134459716.467952,172818639.706868
"Population Liveweight (kg)","Neonatal Male",75871416.6848397,43606491.0612873,1514332.92784717,37492704.1013588,72798419.3602713,115149185.611256,151791152.158353
"Population Liveweight (kg)","Juvenile Female",203789545.22875,111647318.127434,2140740.13109829,110769270.681473,205502153.056496,304197822.7245,385323570.878969
"Population Liveweight (kg)","Juvenile Male",138225884.614876,80022948.2172961,1532349.53309804,68622252.9867014,139715006.988299,208433301.61218,276563884.678964
"Population Liveweight (kg)","Juvenile Combined",342015429.843626,141840473.417955,20188081.9280297,237911130.809697,343135652.306337,444000388.497306,640636648.952832
"Population Liveweight (kg)","Adult Female",583723443.911446,340757812.727695,4947648.73012813,291931605.240142,568961701.492192,875756444.715638,1187525410.24116
