"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1297119.9881816,35.383251579274,1296972.21359472,1297097.01668096,1297120.53880082,1297143.64487491,1297232.78392134
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",46574.3054022535,14.21400352408,46526.9828374761,46564.4964456726,46574.0366942624,46584.2665323965,46619.5041288912
"Num Offtake","Juvenile Male",23802.927461518,8.42454565716826,23775.3291996159,23797.6731941778,23803.0399147111,23808.0589478929,23832.2345813073
"Num Offtake","Juvenile Combined",70377.2328637715,16.9063537034852,70304.9021526279,70366.3705177767,70376.6390462784,70388.7976241328,70437.6391391378
"Num Offtake","Adult Female",245715.07896259,3.21000799968375,245704.972817937,245712.932007425,245715.025065768,245717.22239049,245723.920911843
"Num Offtake","Adult Male",981027.676355238,21.5783955757968,980958.399356343,981014.427823234,981027.930491574,981041.658835163,981100.630519677
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",532498.044849319,5196.16237364926,515436.146043224,528886.97995166,532768.828137972,535984.44559505,550501.714254584
"Cml Pop Growth","Neonatal Female",-397951.848010904,2642.21212632785,-405708.591159015,-399738.725070889,-397980.304355017,-396133.844397352,-389868.177285731
"Cml Pop Growth","Neonatal Male",76291.1262096855,2220.88403939925,69461.274349395,74890.2779390862,76281.3276943556,77765.3826682272,83186.2269928202
"Cml Pop Growth","Neonatal Combined",-321660.721801219,3502.36210185626,-333410.972561115,-324069.18837388,-321365.741420002,-319309.788119889,-310032.323963477
"Cml Pop Growth","Juvenile Female",936907.533119931,1401.78137163002,932400.47247195,935953.088814232,936901.810138393,937884.86484389,941963.112454135
"Cml Pop Growth","Juvenile Male",876537.59445196,1091.59747024335,873180.01240069,875837.316334938,876538.183356427,877255.215019363,879890.317352761
"Cml Pop Growth","Juvenile Combined",1813445.12757189,1811.9147153906,1806164.35816814,1812217.25085198,1813427.71144812,1814684.67736402,1820293.85257355
"Cml Pop Growth","Adult Female",-343729.648978372,268.029200660774,-344623.651254677,-343915.471230024,-343733.792369754,-343538.938540149,-342871.562524839
"Cml Pop Growth","Adult Male",-615556.711942982,184.696987468078,-616161.920509791,-615673.892846152,-615553.249612565,-615444.043023311,-614914.062491599
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",1829618.03303092,5218.50102729866,1812513.22827948,1825978.46267299,1829885.12816673,1833134.28388122,1847734.49817592
"Total Number Increase","Neonatal Female",-397951.848010904,2642.21212632785,-405708.591159015,-399738.725070889,-397980.304355017,-396133.844397352,-389868.177285731
"Total Number Increase","Neonatal Male",76291.1262096855,2220.88403939925,69461.274349395,74890.2779390862,76281.3276943556,77765.3826682272,83186.2269928202
"Total Number Increase","Neonatal Combined",-321660.721801219,3502.36210185626,-333410.972561115,-324069.18837388,-321365.741420002,-319309.788119889,-310032.323963477
"Total Number Increase","Juvenile Female",983481.838522185,1414.98555231437,978931.950654418,982520.489146663,983473.574599857,984468.636004183,988582.616583026
"Total Number Increase","Juvenile Male",900340.521913478,1099.40962668219,896955.341600306,899632.501415295,900341.41393973,901063.960663941,903722.551934068
"Total Number Increase","Juvenile Combined",1883822.36043566,1827.48392368903,1876469.26032077,1882588.11338136,1883807.90411171,1885068.07946454,1890731.49171269
"Total Number Increase","Adult Female",-98014.5700157815,271.156645184972,-98918.6784367399,-98202.1715887307,-98019.553028795,-97821.8365524199,-97147.6416129967
"Total Number Increase","Adult Male",365470.964412256,205.684437241288,364797.080757604,365342.534798633,365473.987856785,365595.344954939,366186.568028078
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",1133705.40153336,5017.63660735672,1118087.78307708,1130198.90922815,1133447.25586263,1137273.24418753,1150618.991563
"Total Mortality","Neonatal Female",249038.071228784,3922.97079633111,237852.620209325,246484.78437629,248940.249793959,251793.032277696,259938.985244358
"Total Mortality","Neonatal Male",194349.335124022,3150.97011831785,183958.603485106,192318.943546375,194374.701549502,196346.739807187,204214.110785919
"Total Mortality","Neonatal Combined",443387.406352805,5022.35935656954,427748.255500574,439881.062649536,443123.801907887,446955.081723779,460310.463536814
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",460715.773054856,6.01876499940777,460696.824033632,460711.747513921,460715.671998314,460719.791982169,460732.351709705
