"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1297121.35952877,35.2172680826884,1296995.66583937,1297097.31063623,1297120.14380309,1297145.05464077,1297246.26399325
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",46574.6728021709,14.6442139395001,46532.6410808907,46564.3534325454,46574.0062612635,46584.9096302309,46619.7680772828
"Num Offtake","Juvenile Male",23803.2398921375,8.37806152470864,23777.6810285549,23797.6991821858,23803.0086047261,23808.8577342766,23828.0069476511
"Num Offtake","Juvenile Combined",70377.9126943084,17.2099429037499,70316.0034865184,70365.8503907228,70377.1794226321,70389.2764256957,70440.1353308231
"Num Offtake","Adult Female",245715.142121929,3.25901155699381,245705.869028497,245712.819526953,245715.054287295,245717.347975123,245724.505146754
"Num Offtake","Adult Male",981028.304712529,21.3621693952721,980966.336733405,981013.795584583,981027.822818941,981042.979124122,981082.825967863
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",532918.657087494,5438.57805778541,516659.979631053,529209.084225664,533132.008992529,536703.106762789,553435.851257116
"Cml Pop Growth","Neonatal Female",-397778.850891118,2660.31066568798,-404712.461800292,-399619.024927055,-397783.550723379,-395993.605876409,-389350.625082198
"Cml Pop Growth","Neonatal Male",76409.7913129569,2260.45081673307,69637.8814159746,74858.190384487,76398.9223312247,77937.8868072803,82821.3338889368
"Cml Pop Growth","Neonatal Combined",-321369.059578162,3674.62257035534,-332165.308770476,-323913.17114382,-321238.998295776,-318815.677773379,-309018.435925763
"Cml Pop Growth","Juvenile Female",936970.07812114,1457.99543161724,932763.721905684,935912.772583815,936952.370588383,938009.464367147,941457.114529307
"Cml Pop Growth","Juvenile Male",876589.943906942,1088.39887942878,873311.823022318,875878.588768793,876582.168738817,877309.487341138,880197.477811561
"Cml Pop Growth","Juvenile Combined",1813560.02202808,1870.58035662869,1807135.85747892,1812214.71468574,1813546.01642973,1814870.44962865,1820483.55900221
"Cml Pop Growth","Adult Female",-343722.628765296,276.33326574746,-344515.137553229,-343918.483137094,-343735.986843282,-343530.525528838,-342869.315628005
"Cml Pop Growth","Adult Male",-615549.67659713,183.783975828393,-616112.177063519,-615672.126899505,-615556.000320401,-615426.212442097,-614997.781758426
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",1830040.01661626,5460.92009636616,1813655.64547042,1826278.14498058,1830236.47224856,1833801.78552846,1850682.11525036
"Total Number Increase","Neonatal Female",-397778.850891118,2660.31066568798,-404712.461800292,-399619.024927055,-397783.550723379,-395993.605876409,-389350.625082198
"Total Number Increase","Neonatal Male",76409.7913129569,2260.45081673307,69637.8814159746,74858.190384487,76398.9223312247,77937.8868072803,82821.3338889368
"Total Number Increase","Neonatal Combined",-321369.059578162,3674.62257035534,-332165.308770476,-323913.17114382,-321238.998295776,-318815.677773379,-309018.435925763
"Total Number Increase","Juvenile Female",983544.750923311,1471.79408391916,979304.182652726,982474.341369489,983528.218418867,984596.040649977,988067.573012591
"Total Number Increase","Juvenile Male",900393.18379908,1096.16634601773,897091.616221433,899675.129031328,900385.128592782,901117.746597711,904025.484759212
"Total Number Increase","Juvenile Combined",1883937.93472239,1886.57699538359,1877451.86096544,1882578.51329494,1883928.59362126,1885255.15683814,1890923.69433303
"Total Number Increase","Adult Female",-98007.4866433674,279.519022436235,-98809.2685247316,-98205.0691134067,-98021.1267879506,-97813.4376491842,-97144.8104812514
"Total Number Increase","Adult Male",365478.628115399,204.569983990206,364854.159669885,365343.507170928,365472.910549526,365616.742021685,366085.044209437
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",1133361.50004101,5216.55069244414,1114411.09861883,1129953.92213975,1133345.41720073,1136782.4896471,1148743.13078448
"Total Mortality","Neonatal Female",248833.927857111,3966.72881066611,236043.925878937,246058.026109137,248812.660561604,251526.004295511,259476.909929695
"Total Mortality","Neonatal Male",194209.311517247,3221.50119967227,185214.424315837,191970.200101547,194274.622810422,196368.000073861,203736.333338322
"Total Mortality","Neonatal Combined",443043.239374358,5221.5076160631,424064.039190125,439629.569099504,443032.636142064,446465.677105216,458454.716918558
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",460715.891478616,6.11064666935852,460698.504428433,460711.536613036,460715.726788677,460720.027453355,460733.447150163
"Total Mortality","Adult Male",229602.369188039,4.99965666697991,229587.866043988,229598.97343469,229602.256404433,229605.803624795,229615.12948184
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",24198345996.1805,54778141.4283958,24000763719.3745,24162051106.103,24197829179.8623,24235855004.0863,24356218783.879
"Value of Total Mortality","Neonatal Female",2794224929.69872,44543493.8377141,2650602463.55805,2763053561.97817,2793986113.36124,2824454999.85681,2913737916.0895
"Value of Total Mortality","Neonatal Male",1819305959.26711,30178245.7522869,1735044026.81591,1798330503.91834,1819917779.69916,1839528032.68145,1908552800.40846
"Value of Total Mortality","Neonatal Combined",4613530888.96584,54917581.960836,4415080069.01905,4577190968.28731,4613003455.53035,4651216594.40174,4772298552.06947
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",10505639804.4596,139340.218273266,10505243329.9948,10505540501.071,10505636049.058,10505734116.511,10506040123.9736
"Value of Total Mortality","Adult Male",9079175302.75511,197701.615595807,9078601804.37292,9079041024.35001,9079170842.94865,9079311110.81964,9079679883.54296
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",1576718564.57605,404029484.253251,519128523.708451,1265764690.8141,1577180372.97647,1884007708.25698,2568671362.42943
"Population Liveweight (kg)","Neonatal Female",88344785.7351227,49493514.5123106,1723207.87683958,44883360.5395642,88355339.8397825,129489771.386431,173169736.768077
"Population Liveweight (kg)","Neonatal Male",76856566.8820733,44357326.0982381,1517220.28755544,39521960.8909004,73078592.1046967,115772660.834768,152367999.231907
"Population Liveweight (kg)","Juvenile Female",198460127.865915,122119184.330151,2293687.78179443,84954714.8640457,197296825.412606,305167425.094949,413333601.472281
"Population Liveweight (kg)","Juvenile Male",380409519.80793,63437720.9729952,221543378.020393,334643443.87406,383356541.206185,428599948.658469,516296665.645681
"Population Liveweight (kg)","Juvenile Combined",578869647.673845,134872318.794149,250517104.052802,478039643.200716,582300013.987617,684795833.614186,894528337.495884
"Population Liveweight (kg)","Adult Female",603967569.489663,346759238.891384,4979592.5879824,293809880.475907,607562003.482842,906318206.99046,1195257273.49459
"Population Liveweight (kg)","Adult Male",228679994.795348,127853982.941898,1821194.18279425,118402388.342329,233126378.442211,338794517.845889,437168519.1862
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
