"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1293593.05520049,25.995463735143,1293486.49071623,1293575.52553183,1293593.1877708,1293610.57254792,1293687.12739171
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",45459.3969694388,10.0755623256989,45422.8137777091,45452.5030198469,45459.3239157665,45466.2051655019,45495.9838851282
"Num Offtake","Juvenile Male",23314.4668416293,5.16150502955171,23293.6146909888,23310.9257716011,23314.471731564,23318.0346812724,23333.8199956647
"Num Offtake","Juvenile Combined",68773.8638110681,11.7907740666871,68730.6000771094,68766.0105584553,68773.8994383269,68781.7750670428,68816.4657958403
"Num Offtake","Adult Female",245397.009766078,2.97297757150119,245387.475801066,245394.959859991,245396.970567217,245399.040263185,245408.462403664
"Num Offtake","Adult Male",979422.181623339,16.5681273842888,979354.567104683,979410.682284717,979422.283834586,979433.594135761,979481.42647174
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",663271.336669743,1897.29870305609,656505.301188745,662014.122482297,663239.542738387,664536.575614926,670419.207433444
"Cml Pop Growth","Neonatal Female",-241292.985223737,512.123988622201,-243137.067787519,-241640.349157031,-241295.875197714,-240948.110903392,-239393.882640594
"Cml Pop Growth","Neonatal Male",200896.126158209,512.123988622202,199052.043594426,200548.762224914,200893.236184231,201241.000478553,202795.228741351
"Cml Pop Growth","Neonatal Combined",-40396.8590655279,1024.2479772444,-44085.0241930929,-41091.5869321173,-40402.6390134827,-39707.110424839,-36598.6538992438
"Cml Pop Growth","Juvenile Female",859511.263394014,837.546609219342,856271.4374903,858944.219796099,859515.685073331,860084.625449526,862542.399158807
"Cml Pop Growth","Juvenile Male",834321.008369839,588.86293037121,832124.481214127,833916.943069384,834321.667718153,834719.514743631,836827.364318423
"Cml Pop Growth","Juvenile Combined",1693832.27176385,1090.93998319684,1689781.70600004,1693094.24138025,1693841.64202037,1694560.59035971,1697758.27407469
"Cml Pop Growth","Adult Female",-364377.097406471,187.090748858886,-365061.106244091,-364505.750032084,-364379.210988894,-364250.559760949,-363704.796160897
"Cml Pop Growth","Adult Male",-625786.978622111,110.070593064646,-626224.843194891,-625862.137128737,-625786.87043477,-625711.151004883,-625371.917984665
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",1956864.39187023,1912.48394741212,1950063.89609361,1955598.68896488,1956837.25672586,1958142.74865895,1964083.40538931
"Total Number Increase","Neonatal Female",-241292.985223737,512.123988622201,-243137.067787519,-241640.349157031,-241295.875197714,-240948.110903392,-239393.882640594
"Total Number Increase","Neonatal Male",200896.126158209,512.123988622202,199052.043594426,200548.762224914,200893.236184231,201241.000478553,202795.228741351
"Total Number Increase","Neonatal Combined",-40396.8590655279,1024.2479772444,-44085.0241930929,-41091.5869321173,-40402.6390134827,-39707.110424839,-36598.6538992438
"Total Number Increase","Juvenile Female",904970.660363452,845.036745130613,901702.372973292,904395.967220757,904977.102135575,905549.82446957,908032.165119325
"Total Number Increase","Juvenile Male",857635.475211468,592.707166873234,855421.64395456,857228.782617376,857636.402811751,858036.70268122,860159.354675616
"Total Number Increase","Juvenile Combined",1762606.13557492,1099.83090072384,1758522.90808461,1761861.65957411,1762616.98644212,1763342.23767406,1766554.99485948
"Total Number Increase","Adult Female",-118980.087640393,189.857029341049,-119673.278885994,-119110.310066346,-118982.104458971,-118851.691432674,-118296.333757233
"Total Number Increase","Adult Male",353635.203001228,125.404722465875,353129.723909792,353549.319110019,353635.022859926,353721.797619076,354105.989604736
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",1002654.07577591,1150.7268856731,998455.992642056,1001878.04583423,1002646.46786973,1003428.38854346,1006831.20424544
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",190917.936153466,959.383609456022,187376.260053327,190268.196768532,190906.266421935,191571.77551133,194586.326900625
"Total Mortality","Juvenile Male",122390.278271548,625.340190290904,119539.750054195,121962.155096591,122383.626944923,122815.972180728,124569.557216489
"Total Mortality","Juvenile Combined",313308.214425014,1154.8869951479,309095.811292839,312530.296539013,313301.332745515,314084.131736367,317501.274704885
"Total Mortality","Adult Female",460119.393311396,5.57433294656375,460101.517126998,460115.549737483,460119.319813532,460123.200493472,460140.867006871
"Total Mortality","Adult Male",229226.468039505,3.87764683462004,229210.643364926,229223.776704934,229226.491961286,229229.13905305,229240.333855088
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",21560699933.7453,20027014.0541912,21488236375.3207,21547225568.9333,21560472300.3683,21574266903.348,21630242031.2241
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",3091879331.32733,15537033.4116061,3034522566.67284,3081356926.69892,3091690342.26507,3102468134.23039,3151288215.36879
