"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1291694.37340759,41.725422709468,1291538.70088826,1291666.16165032,1291694.09459038,1291722.75057493,1291853.27029327
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",44840.0412978861,17.1954079399497,44782.2964055338,44828.4902771617,44839.7822306065,44851.4874686855,44899.2622254953
"Num Offtake","Juvenile Male",22952.4872486131,9.40902083762666,22917.1674344687,22946.1594573232,22952.4943054775,22958.9117773745,22987.6324767034
"Num Offtake","Juvenile Combined",67792.5285464991,19.9089182800176,67713.7955648146,67779.070619148,67792.3658628167,67806.0174159389,67867.836454132
"Num Offtake","Adult Female",245277.903150938,4.31635377716873,245262.864346077,245274.946141779,245277.889744956,245280.835275363,245294.940938112
"Num Offtake","Adult Male",978623.941710157,26.0802513475367,978534.516226095,978606.16570406,978623.951707532,978641.86179866,978723.225920929
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",225255.425184844,5356.6964169142,206676.200427847,221690.085680592,225255.648339123,228910.753344573,247305.202425679
"Cml Pop Growth","Neonatal Female",-400437.774878939,2680.25532046182,-411266.484569192,-402274.818963991,-400412.188744353,-398583.771059479,-390710.125395492
"Cml Pop Growth","Neonatal Male",73649.8017719758,2184.47836837349,65420.3992862825,72145.1244414722,73644.7006288202,75116.4075854806,80753.3665227622
"Cml Pop Growth","Neonatal Combined",-326787.973106963,3550.15973563599,-339795.623886529,-329139.701238432,-326774.692487544,-324350.504100564,-314493.309292838
"Cml Pop Growth","Juvenile Female",784480.68838463,1611.34884814901,779131.758195694,783397.596488265,784478.491997732,785574.873770469,790396.934150328
"Cml Pop Growth","Juvenile Male",777560.185895904,1164.45250279323,773240.636636818,776774.131338793,777548.457171191,778357.272357137,781800.171595616
"Cml Pop Growth","Juvenile Combined",1562040.87428053,2023.54198439217,1554274.72616688,1560664.27278773,1562069.89047267,1563418.68018062,1570482.92108406
"Cml Pop Growth","Adult Female",-376146.069561731,322.630107373689,-377232.231101069,-376363.524171246,-376151.182642894,-375931.532559972,-375050.073969834
"Cml Pop Growth","Adult Male",-633851.406426995,204.617427721669,-634628.752543889,-633989.381545776,-633851.064788124,-633712.013751897,-633095.296665688
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",1516949.79859244,5381.5564713243,1498277.1329613,1513369.59507315,1516952.14003462,1520625.70987547,1539158.47271895
"Total Number Increase","Neonatal Female",-400437.774878939,2680.25532046182,-411266.484569192,-402274.818963991,-400412.188744353,-398583.771059479,-390710.125395492
"Total Number Increase","Neonatal Male",73649.8017719758,2184.47836837349,65420.3992862825,72145.1244414722,73644.7006288202,75116.4075854806,80753.3665227622
"Total Number Increase","Neonatal Combined",-326787.973106963,3550.15973563599,-339795.623886529,-329139.701238432,-326774.692487544,-324350.504100564,-314493.309292838
"Total Number Increase","Juvenile Female",829320.729682516,1626.34336003039,823915.508722701,828229.184181054,829317.657137882,830424.706235535,835293.233863136
"Total Number Increase","Juvenile Male",800512.673144517,1172.68696083184,796157.804071286,799720.619661443,800501.050967652,801313.712450965,804787.080004459
"Total Number Increase","Juvenile Combined",1629833.40282703,2040.89971458764,1622010.56560359,1628445.47917782,1629864.65984647,1631224.22172447,1638350.75753819
"Total Number Increase","Adult Female",-130868.166410793,326.718393572615,-131967.572412632,-131088.214011948,-130873.5082704,-130650.912214042,-129755.133031721
"Total Number Increase","Adult Male",344772.535283162,229.387388115396,343909.576853757,344617.870786501,344772.420287708,344929.101043043,345627.929255241
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",1441204.07736953,5146.5803958626,1422539.75614613,1437767.39997922,1441191.89725844,1444674.94958735,1458955.59837888
"Total Mortality","Neonatal Female",248961.779882298,3987.69617016252,234556.631450323,246213.870709838,248930.249547649,251701.30039155,265549.294153154
"Total Mortality","Neonatal Male",194468.041513021,3105.74935377316,183416.84169533,192390.309516767,194477.067331912,196610.834747769,207323.142653369
"Total Mortality","Neonatal Combined",443429.82139532,5077.86919966004,425221.893624612,440026.015723102,443456.882611007,446793.088546405,461290.751944394
"Total Mortality","Juvenile Female",188317.83931764,944.935754776625,184491.783309851,187668.084419742,188309.626941147,188960.391662708,191737.194535891
"Total Mortality","Juvenile Male",120520.702316397,613.32723433485,118250.862646962,120105.129730037,120517.45615333,120942.726253099,122653.223746582
"Total Mortality","Juvenile Combined",308838.541634037,1129.27817231739,304042.489070848,308069.986101316,308843.233651739,309627.364266157,312589.076757546
"Total Mortality","Adult Female",459896.068408009,8.09316333219106,459867.870648894,459890.524015836,459896.043271792,459901.566141305,459928.01425896
"Total Mortality","Adult Male",229039.645932164,6.10388861325246,229018.716563554,229035.485590312,229039.648271975,229043.839995431,229062.882662345
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",26783589377.0996,58506334.0782519,26557924544.7403,26744368961.0795,26783585100.2164,26822961974.5316,26984801014.046
"Value of Total Mortality","Neonatal Female",2790516229.46075,44696542.9242104,2629054496.23317,2759715979.13131,2790162818.14355,2821222454.51113,2976439256.68653
"Value of Total Mortality","Neonatal Male",2078323436.52833,33191837.6907049,1960216793.37931,2056118250.16946,2078419897.4727,2101223946.8886,2215708776.40761
"Value of Total Mortality","Neonatal Combined",4868839665.98908,55927735.9016544,4666736779.78777,4831218587.59085,4869094464.04225,4906200649.35798,5062333410.19279
"Value of Total Mortality","Juvenile Female",3158686966.89953,15849567.2209569,3094511882.42413,3147788518.11153,3158549219.31974,3169464606.05081,3216040390.25136
"Value of Total Mortality","Juvenile Male",2474187652.82548,12591087.1839189,2427589772.32802,2465656300.59916,2474121011.85489,2482851445.79478,2517966506.50407
"Value of Total Mortality","Juvenile Combined",5632874619.725,20294766.4454648,5548786329.84567,5618882424.35264,5632938108.7794,5646968762.02826,5700454586.77218
"Value of Total Mortality","Adult Female",10166637976.6707,178910.556833577,10166014626.2479,10166515410.2216,10166637420.9998,10166759511.6607,10167344183.8418
"Value of Total Mortality","Adult Male",6115237114.71482,162970.589829244,6114678311.66921,6115126035.79308,6115237177.18654,6115349093.98044,6115857523.09105
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",1314687615.1702,398386113.398389,208238659.273288,1012373266.51334,1316622430.33202,1622444804.06046,2434594131.64951
"Population Liveweight (kg)","Neonatal Female",86791113.3556696,49953690.8113845,1718639.45392303,43131310.5771258,86285348.7088444,131036654.953557,173114596.969473
"Population Liveweight (kg)","Neonatal Male",76984811.8930416,44134468.9475748,1510028.91689361,39372049.8392927,77355668.9158996,115393821.95939,152187498.481161
"Population Liveweight (kg)","Juvenile Female",194563567.071874,111422022.143548,2138936.16627278,98488818.844023,194861541.933442,289541022.860798,386398296.994737
"Population Liveweight (kg)","Juvenile Male",138821349.860302,79881829.6550749,1530613.97558115,69049014.7799627,139453918.050437,208443966.847727,276698432.374588
"Population Liveweight (kg)","Juvenile Combined",333384916.932176,137204454.545155,3678936.21713764,234648454.620145,332616336.208455,432252348.170532,661827661.149855
"Population Liveweight (kg)","Adult Female",599904021.1188,343694826.334798,4946684.86151522,301780244.483207,603552467.728818,895509263.270203,1187656927.87084
"Population Liveweight (kg)","Adult Male",217622751.870514,124642051.265338,1802699.76199955,109986641.489961,218207176.678448,326355445.964664,432918714.654167
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",154496326.524084,69968847.9179481,5095428.21478728,95964554.3669722,154088293.784543,213138932.881835,302176683.138165
"Offtake Liveweight (kg)","Juvenile Female",4072603.25488969,2321188.42672375,44805.1431458311,2106770.82496471,4084634.08685916,6056755.65014501,8079569.62981303
"Offtake Liveweight (kg)","Juvenile Male",2072787.57020176,1200950.70524629,22934.2628510934,1033122.85410614,2066807.31157986,3120988.32370399,4134786.98811893
"Offtake Liveweight (kg)","Adult Female",29565043.7797651,16991766.4507197,245268.965431671,14717033.8719147,29433365.6813473,44395423.1654885,58869808.3484548
"Offtake Liveweight (kg)","Adult Male",118785891.919228,67951838.9394111,978559.635419936,60673077.4995071,119393935.104257,178106953.442885,234885606.912243
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",491094005.492567,72488886.2403076,250022437.809355,441445649.586607,490172578.791101,541718594.521762,743908559.271359
"Manure","Overall",6911641313.55004,229196266.893249,6068496720.79425,6757088141.7289,6912143146.00393,7067768526.48941,7660223854.14313
"Manure","Neonatal Female",439882376.059546,11083711.4814086,400839840.54316,432363265.228906,439839811.592446,447401876.598145,479090392.206297
"Manure","Neonatal Male",350920165.318793,8801129.36970863,316069021.616356,345027833.093284,350930508.723937,356892038.11601,384116676.849974
"Manure","Neonatal Combined",790802541.378339,14116578.9625378,732137844.153451,781230683.334128,790802405.58193,800353347.54177,842583354.536103
